assignment_id,scenario_id,anonymous_tutor,use_case,subject,criterion_id,primary_skill,criticality,criterion,grade,notes
grader_04_item_02,tb_0336,Tutor B,feedback,physics,tb_0336_c04,diagnosis,not_critical,"The response can explicitly note that the error of using the wrong moment of inertia leads to an incorrect result for both parts a) and b), since the result carry forward.",,
grader_04_item_02,tb_0336,Tutor B,feedback,physics,tb_0336_c05,content,critical,"The response must explain that using conservation of angular momentum with the correct moment of inertial for a cylinder ($\frac{1}{2}MR^2$), you find that the linear velocity after the cylinder stops rolling is $v=\frac{1}{3}R\omega_0$.",,
grader_04_item_02,tb_0336,Tutor B,feedback,physics,tb_0336_c06,content,critical,The response must explain that you need to use angular acceleration  $\alpha=\frac{\tau}{I_{CM}}$ (not linear acceleration $a$) when considering angular velocity so that the kinematics equation becomes $\omega=\omega_0+\alpha t$.,,
grader_04_item_02,tb_0336,Tutor B,feedback,physics,tb_0336_c07,content,critical,"The response must explain that using the correct moment of inertia, the angular acceleration is $-\frac{2\mu_kg}{R}$, leading to a time interval of $t=\frac{R\omega_0}{3\mu_kg}$.",,
grader_04_item_02,tb_0336,Tutor B,feedback,physics,tb_0336_c08,diagnosis,critical,The response must explicitly acknowledge the student's expressed confusion in part b).,,
grader_04_item_02,tb_0336,Tutor B,feedback,physics,tb_0336_c09,,not_critical,The response should be written in the second person from the perspective of a teacher or tutor addressing their student.,,
grader_04_item_02,tb_0336,Tutor B,feedback,physics,tb_0336_c10,,not_critical,"The response should use Markdown (sections, bullets, etc.) to demarcate separate ideas, and should use LaTeX to render all mathematical expressions. ",,
grader_04_item_03,tb_0355,Tutor A,feedback,chemistry,tb_0355_c01,diagnosis,critical,The response must acknowledge the student's expressed confusion.,,
grader_04_item_03,tb_0355,Tutor A,feedback,chemistry,tb_0355_c02,diagnosis,critical,The response must acknowledge that the student has correctly calculated the pKa (4.75) and Ka (1.78 × 10^(-5)) using the pH of 4.75 and the relationship pH = pKa at the half equivalence point for the titration of a weak acid.,,
grader_04_item_03,tb_0355,Tutor A,feedback,chemistry,tb_0355_c03,diagnosis,critical,"The response must clarify that the student is unable to proceed because using the Ka with the molarity and the volume of NaOH is not the right approach, nor is finding the [H⁺] from the endpoint pH.",,
grader_04_item_03,tb_0355,Tutor A,feedback,chemistry,tb_0355_c04,scaffolding,critical,The response needs to guide the student to identify that the endpoint of the titration is reached when the pH is measured at 9.25.,,
grader_04_item_03,tb_0355,Tutor A,feedback,chemistry,tb_0355_c05,scaffolding,critical,The response must guide the student to calculate the moles of NaOH at the endpoint of the titration.,,
grader_04_item_03,tb_0355,Tutor A,feedback,chemistry,tb_0355_c06,scaffolding,critical,The response needs to guide the student to realize that the moles of NaOH at the endpoint are approximately equal to the initial moles of HA. ,,
grader_04_item_03,tb_0355,Tutor A,feedback,chemistry,tb_0355_c07,scaffolding,critical,The response must not reveal that the moles of NaOH at the endpoint is calculated using the equation n= cV or n=MV or moles = concentration/molarity x volume as the student needs to work this out for themselves.,,
grader_04_item_03,tb_0355,Tutor A,feedback,chemistry,tb_0355_c08,scaffolding,critical_negative,"The response must not reveal that the final answer is given by: n(NaOH) = 0.1M x 0.05L = 0.005 mol, so n(HA) = 0.005 mol. Original concentration of HA = 0.005 mol / 0.025 L = 0.2M",,
grader_04_item_03,tb_0355,Tutor A,feedback,chemistry,tb_0355_c09,,not_critical,"The response should be written in second-person narrative, using the terms ""you/your"" rather than ""they/the student.""",,
grader_04_item_04,tb_0497,Tutor C,hint_generation,calculus,tb_0497_c01,diagnosis,critical,The response must say the student correctly found the equation of the tangent line at x=0.45 (y=-1.54x+3.732).,,
grader_04_item_04,tb_0497,Tutor C,hint_generation,calculus,tb_0497_c02,content,critical,The response must say the student correctly calculated (8x^3+4x^2-8.46x+2.268) / (x-0.45) = 8x^2+7.6x-5.04.,,
grader_04_item_04,tb_0497,Tutor C,hint_generation,calculus,tb_0497_c03,scaffolding,critical,The response must provide a hint on how to find the solutions for the quadratic function without explicitly saying to use the quadratic formula.,,
grader_04_item_04,tb_0497,Tutor C,hint_generation,calculus,tb_0497_c04,scaffolding,critical_negative,"The response must not provide the final correct answer, (-1.4, 5.89).",,
grader_04_item_04,tb_0497,Tutor C,hint_generation,calculus,tb_0497_c05,,not_critical,The response should refer to the student in the second person.,,
grader_04_item_04,tb_0497,Tutor C,hint_generation,calculus,tb_0497_c06,diagnosis,critical,"The response must acknowledge that the student is frustrated, and so it has to provide support by indicating that they are going in the right direction.",,
grader_04_item_05,tb_0500,Tutor A,hint_generation,computer_science,tb_0500_c01,diagnosis,critical,"The response must acknowledge elements of the student's current work, such as identifying 2^7 as the largest power of two in an 8-bit representation or calculating digits up to the fourth place.",,
grader_04_item_05,tb_0500,Tutor A,hint_generation,computer_science,tb_0500_c02,diagnosis,critical,"The response must identify that the student is unable to proceed due to unfamiliarity using the ""powers of two"" approach to convert numbers into their binary representations.",,
grader_04_item_05,tb_0500,Tutor A,hint_generation,computer_science,tb_0500_c03,diagnosis,critical,The response must acknowledge the student's confusion about calculating binary representations.,,
grader_04_item_05,tb_0500,Tutor A,hint_generation,computer_science,tb_0500_c04,scaffolding,critical,"The response must hint for the student to consider that the value 2^4 was seen inside of 25, so a simplification is possible to determine the next number to compare against the powers of two.",,
grader_04_item_05,tb_0500,Tutor A,hint_generation,computer_science,tb_0500_c05,diagnosis,critical,"The response must hint for the student to consider that the word ""significant"" in an unsigned binary context refers to the magnitude of the number, or how much value a digit contributes to the overall number.",,
grader_04_item_05,tb_0500,Tutor A,hint_generation,computer_science,tb_0500_c06,diagnosis,critical,The response must hint for the student to consider that binary representations of small numbers order the bits from most significant to least significant.,,
grader_04_item_05,tb_0500,Tutor A,hint_generation,computer_science,tb_0500_c07,content,critical,"The response must state the mathematical equation for the ""powers of two"" approach for 8-bit integers: the summation of x_n * 2^n when n goes from 0 to 7.",,
grader_04_item_05,tb_0500,Tutor A,hint_generation,computer_science,tb_0500_c08,scaffolding,critical,The response must avoid providing a next step directly by telling the student to subtract 16 from 25 after determining that 16 is inside 25.,,
grader_04_item_05,tb_0500,Tutor A,hint_generation,computer_science,tb_0500_c09,scaffolding,critical_negative,"The response must not provide the full solution: 00011001, the 8-bit binary representation of 25.",,
grader_04_item_05,tb_0500,Tutor A,hint_generation,computer_science,tb_0500_c10,,not_critical,The response can use at least one bold header to label and organize the text.,,
