rank,model,theta,theta_debiased,se_ability,se_param,se_judge,bias_band_low,bias_band_high,n_admin_scenarios,n_admin_criteria,stop_reason,hit_cap,observed_pass_rate,se_total,judge
25,stabilityai/stablelm-2-zephyr-1_6b,-0.5551481264963917,0.3166677318003107,0.22973457842182654,0.139,0.4739620200764655,-0.3087985676643553,1.6841442979827606,15,23,precision,False,0.17926045016077172,0.5447375267021891,gemini-3-flash-preview
26,Qwen/Qwen2.5-0.5B-Instruct,-0.6936341996109153,0.34076095888368313,0.21972732176117424,0.0908,0.5605250751039625,-0.333959048212842,2.1268304724675215,15,25,precision,False,0.17363344051446947,0.6088621319713039,gemini-3-flash-preview
27,openbmb/MiniCPM-2B-sft-bf16,-0.787898176974369,0.4636900469382617,0.2191907672689349,0.0901,0.7440821508039535,-0.3835773635989424,2.6174697662079613,15,26,precision,False,0.16157556270096463,0.7809102698780326,gemini-3-flash-preview
28,Qwen/Qwen1.5-1.8B,-0.8032647201132739,0.2486519377598454,0.231576107139792,0.0733,0.3836195981377951,-0.45228130906256986,1.3225845057845098,15,23,precision,False,0.12540192926045016,0.45405327823221786,gemini-3-flash-preview
29,Qwen/Qwen1.5-1.8B-Chat,-0.8146254877106694,0.3455237801909036,0.22112234702828204,0.0702,0.5836521836538945,-0.4226339692863238,2.3067133049321438,15,26,precision,False,0.14790996784565916,0.6280708589317414,gemini-3-flash-preview
30,microsoft/phi-1_5,-0.8463720623931267,0.25170825976649164,0.23148744617172767,0.0732,0.3790490614140975,-0.4590960152200668,1.1081915445387367,16,24,precision,False,0.1157556270096463,0.45013650006860895,gemini-3-flash-preview
31,h2oai/h2o-danube2-1.8b-base,-0.9076802269812744,0.18014855534563248,0.2450549128208268,0.09,0.3503054846327773,-0.4666808123188801,1.4371055667285069,15,24,precision,False,0.10530546623794212,0.4368819552939077,gemini-3-flash-preview
32,utter-project/EuroLLM-1.7B-Instruct,-0.9517656096084859,0.5086897314240995,0.2037801835248554,0.0762,0.9407140933239203,-0.5931494090320548,2.557531230889309,15,26,precision,False,0.1197749196141479,0.9655443068941317,gemini-3-flash-preview
33,meta-llama/Llama-3.2-1B,-0.9574616998212155,0.2929281608148707,0.2031558023260529,0.0757,0.445043147583833,-0.6005820057013707,1.1799305617137528,15,26,precision,False,0.09244372990353698,0.495041587374301,gemini-3-flash-preview
34,BSC-LT/salamandra-2b-instruct,-1.0091207663302972,0.3028092590409137,0.20221696327675942,0.0821,0.45010174315391993,-0.6347931416586386,1.1036214067017487,15,26,precision,False,0.10289389067524116,0.5002236394124847,gemini-3-flash-preview
35,h2oai/h2o-danube2-1.8b-chat,-1.1022415875545846,0.3232012312470511,0.19637869570165592,0.123,0.413975077796917,-0.6748384948839312,0.8728873693627673,15,25,precision,False,0.14308681672025725,0.47441433068832045,gemini-3-flash-preview
36,Qwen/Qwen2-0.5B,-1.218156559614655,0.20507889712752742,0.20561717188532638,0.121,0.4141757387125684,-0.7247787352416668,1.3743607267056919,17,29,precision,False,0.0860128617363344,0.47797590306648474,gemini-3-flash-preview
37,google/gemma-2-2b,-1.284483575456962,0.20209838244214787,0.23888772565113756,0.1087,0.36421082000293886,-0.598691997943527,1.1879845430188372,16,25,precision,False,0.11093247588424437,0.44892377624045077,gemini-3-flash-preview
38,01-ai/Yi-6B-200K,-1.3298967047013324,0.4320771696026712,0.22516066193164982,0.1297,0.7442008298661451,-0.8406185797605724,1.702898361590741,15,24,precision,False,0.12379421221864952,0.7882602925778754,gemini-3-flash-preview
39,pankajmathur/orca_mini_3b,-1.3408816208749836,0.35020270249212065,0.19986150371460887,0.1209,0.5762889014243222,-0.8931658849685692,1.0686172334631712,15,26,precision,False,0.10932475884244373,0.6218282146798396,gemini-3-flash-preview
40,01-ai/Yi-6B,-1.3716504296819103,0.3056295853215657,0.20780524955430724,0.138,0.5662719512927037,-0.8451486594716373,1.370903711729694,15,26,precision,False,0.1085209003215434,0.6187818230710839,gemini-3-flash-preview
41,h2oai/h2o-danube-1.8b-chat,-1.4519956512371026,0.46467387182825093,0.20424947358863232,0.1154,0.864191232169106,-0.8665692401516937,2.3435718776807564,15,27,precision,False,0.08922829581993569,0.8954671927095884,gemini-3-flash-preview
42,allenai/OLMo-2-0425-1B,-1.45741197275404,0.2694253058625906,0.21003432226407875,0.1027,0.4387152699564465,-0.9262252998331334,0.8010260959310888,15,25,precision,False,0.10610932475884244,0.49712452627273246,gemini-3-flash-preview
43,BSC-LT/salamandra-7b,-1.5235683607236914,0.3632041727361302,0.2256645501748277,0.1704,0.5942715897397022,-0.9335684705324061,1.3759665837498958,15,25,precision,False,0.15112540192926044,0.6581180529185932,gemini-3-flash-preview
44,HuggingFaceTB/SmolLM2-360M,-1.5608424763514954,0.5853902746332605,0.22663339396547239,0.2173,1.0379464771528761,-0.9735687877018051,2.4085474093260926,15,27,precision,False,0.0707395498392283,1.0843960875502894,gemini-3-flash-preview
45,utter-project/EuroLLM-1.7B,-2.0783456834219733,0.1631732470524942,0.2467657037532094,0.1421,0.4165752909720333,-1.1299027529793613,0.7540793525624063,16,27,precision,False,0.05466237942122187,0.5045995398305976,gemini-3-flash-preview
46,BSC-LT/salamandra-2b,-2.2395214044353215,0.2934449095932728,0.2298178894022792,0.1409,0.6233850932417201,-1.1133189223290587,1.5753905747426276,15,26,precision,False,0.07315112540192927,0.679174533360392,gemini-3-flash-preview
47,openlm-research/open_llama_3b,-2.3687896411025653,0.30923580959171154,0.23872793541089973,0.1305,0.6044674275712448,-1.0731964029274679,1.5739905108669083,15,23,precision,False,0.06832797427652733,0.6628741570917883,gemini-3-flash-preview
48,openbmb/MiniCPM-1B-sft-bf16,-2.861120978807171,0.19626356749306179,0.2723856100060948,0.1619,0.5112093765162378,-1.0994611615244652,1.4213000661000263,25,40,plateau,False,0.04340836012861737,0.6014487153336624,gemini-3-flash-preview
49,ai-forever/mGPT,-3.5014789616088877,0.14847809997457426,0.48360320263718076,0.2004,0.4175366649839813,-1.1026018190634301,1.1906973096670592,18,29,plateau,False,0.006430868167202572,0.6696036769663706,gemini-3-flash-preview
50,BEE-spoke-data/smol_llama-220M-openhermes,-3.6375484740507753,0.18387170963561328,0.44436258118096145,0.1603,0.46572005709154835,-1.1431192610420455,1.1975591546501572,17,29,plateau,False,0.014469453376205787,0.6633621673951279,gemini-3-flash-preview
51,allenai/OLMo-1B-hf,-3.817431647285111,0.30032087828286064,0.4513945084395002,0.2166,0.7522765223396648,-1.166853025679973,1.99623369574199,20,32,plateau,False,0.003215434083601286,0.9036550936683742,gemini-3-flash-preview
52,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-3.8312304368507535,0.2369997830359632,0.4428936552311661,0.2032,0.5900340647459126,-1.1319757461476323,1.509212322165921,21,35,plateau,False,0.01045016077170418,0.7652354065283484,gemini-3-flash-preview
