rank,model,theta,theta_mwle,theta_debiased,se_ability,se_param,se_judge,bias_band_low,bias_band_high,observed_pass_rate,se_total,judge
33,01-ai/Yi-6B-200K,-1.1540143241709966,-1.1525796522364244,0.5963167352968428,0.0944388080335085,0.08554452506035413,0.39992354360601023,-0.44005076376390534,1.420204204823712,0.12379421221864952,0.4197325278805299,gemini-3-flash-preview
34,google/gemma-2b,-1.185926384028963,-1.1874658661750321,0.6021669210002643,0.08444546824480849,0.0857251288289052,0.4016051488089728,-0.43772910903879747,1.422175958121448,0.1157556270096463,0.4192451912302567,gemini-3-flash-preview
35,01-ai/Yi-6B,-1.2165886991336086,-1.2261874645512463,0.5993109442771626,0.08516266117182107,0.08955378351801506,0.40718035198371233,-0.4695982543154738,1.4235856834805134,0.1085209003215434,0.42552132501419687,gemini-3-flash-preview
36,pankajmathur/orca_mini_3b,-1.2865992702197597,-1.2959010149436887,0.5556975260236052,0.10443833369021363,0.08900645399080302,0.4203029167225334,-0.5378634715518117,1.4163439019553619,0.10932475884244373,0.44213578932435926,gemini-3-flash-preview
37,google/gemma-2-2b,-1.2926532261921344,-1.3010165452800155,0.5872918093561338,0.10502588592017495,0.09417902804921957,0.4094317842542145,-0.5047539611897998,1.421882416534677,0.11093247588424437,0.4330525510780452,gemini-3-flash-preview
38,allenai/OLMo-2-0425-1B,-1.3446136887569824,-1.3459916385247965,0.5776375322758674,0.10134376308854602,0.09369309128536056,0.4109363124490838,-0.5120213094070654,1.4202191945942344,0.10610932475884244,0.4334946442123654,gemini-3-flash-preview
39,BSC-LT/salamandra-2b-instruct,-1.3466398827028947,-1.3478901396608471,0.5384247209051847,0.10094230185018532,0.08562925821712129,0.4296276454630117,-0.5949448412823106,1.4132116575947173,0.10289389067524116,0.4495571508848676,gemini-3-flash-preview
40,h2oai/h2o-danube2-1.8b-base,-1.3725905125406996,-1.3739958972196116,0.5609872469535018,0.09537474869877828,0.08869043339381308,0.4223206143519137,-0.5650334306670345,1.419459076010536,0.10530546623794212,0.4419468712091028,gemini-3-flash-preview
41,h2oai/h2o-danube-1.8b-chat,-1.4902456905102135,-1.4997561345293484,0.5294257259981763,0.10842810887406562,0.09450191882858794,0.4311522718100797,-0.6223683865507376,1.4121243926348641,0.08922829581993569,0.4545102297454746,gemini-3-flash-preview
42,meta-llama/Llama-3.2-1B,-1.496261175118867,-1.505292199704942,0.5239956244727473,0.10891765273146785,0.09210903642957062,0.4372889904674452,-0.645287986883908,1.4101161749041804,0.09244372990353698,0.4599660757627175,gemini-3-flash-preview
43,Qwen/Qwen2-0.5B,-1.5298013995817856,-1.536315280210818,0.5597966252455374,0.10886433312479568,0.08939426868793812,0.42515983394657997,-0.586324164628337,1.4138052211302585,0.0860128617363344,0.44788800240957694,gemini-3-flash-preview
44,HuggingFaceTB/SmolLM2-360M,-1.9564757939465258,-1.978244256811546,0.49990553256053816,0.11951673447081058,0.11661499310365582,0.45669657134173536,-0.7879433544500144,1.4085313962958392,0.0707395498392283,0.4862664544366892,gemini-3-flash-preview
45,BSC-LT/salamandra-2b,-2.1116113223416066,-2.13611726461436,0.49555065516656105,0.12514631093453954,0.13027571405611882,0.46436048822561266,-0.8367314811077629,1.4116214637924,0.07315112540192927,0.49826099971649945,gemini-3-flash-preview
46,openlm-research/open_llama_3b,-2.226345389009794,-2.251404064714973,0.5003905930294508,0.12778905304639526,0.13877682863973298,0.4631920365520911,-0.8415916301293853,1.4087989380112358,0.06832797427652733,0.5001358945037538,gemini-3-flash-preview
47,utter-project/EuroLLM-1.7B,-2.300624574644467,-2.3272310327937595,0.47140069857305544,0.1324720375816992,0.13741787664350702,0.47662058089587656,-0.9363543076543047,1.4072522352978254,0.05466237942122187,0.5134196058739674,gemini-3-flash-preview
48,openbmb/MiniCPM-1B-sft-bf16,-2.5657138227263534,-2.6037131338472683,0.48764289834666813,0.14756431217633942,0.16244749377182882,0.4684558719259677,-0.8914294661376614,1.4082643534489352,0.04340836012861737,0.5173154921348704,gemini-3-flash-preview
49,BEE-spoke-data/smol_llama-220M-openhermes,-4.484825779722242,-5.15839638492934,0.4453218268760465,0.3479165157701007,0.2261241238113064,0.5015625630482744,-1.0902498913563743,1.406571476467363,0.014469453376205787,0.6509554715697472,gemini-3-flash-preview
50,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-4.76009804034376,-5.7879563708321955,0.44549901498177263,0.38066483993364747,0.2322970276990422,0.5024377027050269,-1.0942513740956927,1.4065167005949122,0.01045016077170418,0.6717970486233353,gemini-3-flash-preview
51,ai-forever/mGPT,-5.042226722337319,-6.790545757949526,0.4428901465273642,0.4035533776560851,0.23939946669311735,0.5036966272177635,-1.1053628054625755,1.4064928119024134,0.006430868167202572,0.6883877726551616,gemini-3-flash-preview
52,allenai/OLMo-1B-hf,-5.3997764759838,-12.0,0.4425577227124128,0.3846176505787698,0.24944184313438025,0.5041519441501472,-1.1085883268481707,1.4064928119024134,0.003215434083601286,0.6814111483042984,gemini-3-flash-preview
