model,theta_full,se_judge_tierA_full,se_judge_tierB_full,se_judge_diff_B_minus_A
arcee-ai/raspberry-3B,1.2002062085918608,0.13589166555079493,0.019748453288401094,-0.11614321226239384
google/gemma-2-2b,-1.2926532261921344,0.4094317842542145,0.22391357147728513,-0.18551821277692937
google/gemma-2b,-1.185926384028963,0.4016051488089728,0.2973456814872446,-0.1042594673217282
h2oai/h2o-danube-1.8b-chat,-1.4902456905102135,0.4311522718100797,0.3161905350967236,-0.11496173671335608
h2oai/h2o-danube2-1.8b-base,-1.3725905125406996,0.4223206143519137,0.32429810315599344,-0.09802251119592026
h2oai/h2o-danube2-1.8b-chat,-0.8276715481471719,0.37833134982591676,0.22086941786619269,-0.15746193195972408
ibm-granite/granite-3.0-2b-base,0.7586259642035521,0.18290096260688538,0.08504331927235559,-0.09785764333452979
ibm-granite/granite-3.1-2b-base,0.9532273998875034,0.1641759299265394,0.08011890151968916,-0.08405702840685024
ibm-granite/granite-3.1-2b-instruct,2.0679131239297646,0.046820570454276456,0.08310739349994298,0.03628682304566652
ibm-granite/granite-7b-instruct,0.16952933079949287,0.25108844512024414,0.07174081332278616,-0.179347631797458
ibm/PowerLM-3b,0.21466769217539258,0.2301868864933354,0.08613440951230267,-0.14405247698103274
meta-llama/Llama-3.2-1B,-1.496261175118867,0.4372889904674452,0.5317266951439651,0.0944377046765199
meta-llama/Llama-3.2-1B-Instruct,-0.14067375562714923,0.2889763853895785,0.07976636912447849,-0.2092100162651
meta-llama/Llama-3.2-3B-Instruct,1.3997495599293204,0.11617668562069128,0.03165859642504419,-0.08451808919564709
microsoft/phi-1_5,-1.107033803013277,0.4030358533172185,0.30371773236141664,-0.09931812095580184
nvidia/AceInstruct-1.5B,1.3173774086964098,0.13390100296326882,0.03227816417648139,-0.10162283878678743
openbmb/MiniCPM-1B-sft-bf16,-2.5657138227263534,0.4684558719259677,0.47159596600861087,0.0031400940826431523
openbmb/MiniCPM-2B-sft-bf16,-0.685533640701852,0.35760631272189747,0.16960631279022778,-0.1879999999316697
openlm-research/open_llama_3b,-2.226345389009794,0.4631920365520911,0.3653042750469078,-0.0978877615051833
pankajmathur/orca_mini_3b,-1.2865992702197597,0.4203029167225334,0.25925977070864537,-0.16104314601388803
pankajmathur/orca_mini_v9_5_3B-Instruct,1.0027644430242109,0.14993684539013097,0.039594941268843456,-0.11034190412128751
stabilityai/stablelm-2-1_6b-chat,-0.05974342131751189,0.28071782106076887,0.18996894842762457,-0.0907488726331443
stabilityai/stablelm-2-zephyr-1_6b,-0.3830580175991281,0.32229974856023214,0.24565619976789696,-0.07664354879233518
stabilityai/stablelm-zephyr-3b,0.07520473364616682,0.2644723151924314,0.07216599764847445,-0.19230631754395697
tiiuae/Falcon3-1B-Instruct,0.9199873885603309,0.15225759813566364,0.07778763391443443,-0.07446996422122922
tiiuae/Falcon3-3B-Base,1.4001234007869834,0.11760498169103117,0.029976982457856165,-0.087627999233175
tiiuae/Falcon3-3B-Instruct,2.400198437899983,0.07423080207787451,0.014595957110343094,-0.059634844967531415
utter-project/EuroLLM-1.7B,-2.300624574644467,0.47662058089587656,0.35143542297086794,-0.12518515792500862
utter-project/EuroLLM-1.7B-Instruct,-1.0931846765129545,0.4048204607257837,0.38438552389806324,-0.020434936827720462
