rank,model_name,theta_correctness_full,theta_correctness_cat,cat_se_correctness,items_administered,cat_items_loading_correctness,theta_scaffolding_full,z_correctness,percentile_correctness,correctness_converged,theta_correctness_full_grid7
25,microsoft/Phi-3-mini-4k-instruct,0.4878,0.5079,0.2656,69,55,0.0,0.758,70.7,True,0.0
26,HuggingFaceTB/SmolLM2-1.7B-Instruct,0.0279,0.1722,0.2604,23,18,-1.1544,0.563,69.5,True,0.0
27,microsoft/phi-2,0.0,-0.0078,0.2852,22,19,0.0,0.551,68.3,True,-0.0
28,tiiuae/Falcon3-1B-Base,0.0,0.1304,0.2881,21,15,-1.1544,0.551,67.1,True,-0.0
29,h2oai/h2o-danube3-4b-base,0.0,-0.1816,0.2645,22,17,-1.1544,0.551,65.9,True,-0.0
30,lmsys/vicuna-7b-v1.5,-0.0,-0.1403,0.2954,21,18,0.0,0.551,64.6,True,-0.0
31,nvidia/Nemotron-Mini-4B-Instruct,-0.0,0.013,0.2683,78,54,-0.0,0.551,63.4,True,-0.0
32,01-ai/Yi-6B-Chat,-0.4253,-0.4723,0.2983,22,15,-1.1544,0.372,62.2,True,-0.0
33,meta-llama/Llama-3.2-3B,-0.4878,-0.2036,0.2748,75,49,-0.0,0.345,61.0,True,-0.0
34,meta-llama/Llama-3.2-1B-Instruct,-0.4878,-0.5584,0.292,34,24,-0.4971,0.345,59.8,True,-0.0
35,Qwen/Qwen2-1.5B,-0.4898,0.0008,0.2814,29,21,-1.1541,0.344,58.5,True,-1.1544
36,HuggingFaceTB/SmolLM2-1.7B,-0.6499,-0.5744,0.2865,52,32,-0.0009,0.277,57.3,True,-1.1544
37,allenai/OLMo-2-0425-1B,-0.9638,-0.7426,0.2815,34,21,0.0,0.144,56.1,True,-1.1544
38,Qwen/Qwen2.5-0.5B-Instruct,-0.9668,0.0201,0.2464,50,36,-1.1544,0.142,54.9,True,-1.1544
39,stabilityai/stablelm-zephyr-3b,-0.9761,-0.5917,0.2934,100,60,-1.1539,0.139,53.7,True,-1.1544
40,deepseek-ai/deepseek-coder-6.7b-base,-0.9762,-0.6054,0.2926,40,24,0.0,0.138,52.4,True,-1.1544
41,google/gemma-2-2b,-0.9762,-0.0602,0.2814,39,30,-0.0,0.138,51.2,True,-1.1544
42,01-ai/Yi-6B,-0.9766,-0.7096,0.2662,100,62,-0.0006,0.138,50.0,True,-1.1544
43,stabilityai/stablelm-2-zephyr-1_6b,-1.352,-1.164,0.2988,28,19,-0.904,-0.021,48.8,True,-1.1544
44,h2oai/h2o-danube2-1.8b-base,-1.4658,-0.5526,0.2831,50,32,-0.0,-0.069,47.6,True,-1.1544
45,Qwen/Qwen2.5-0.5B,-1.466,-0.1897,0.242,28,23,-1.1544,-0.069,46.3,True,-1.1544
46,HuggingFaceTB/SmolLM2-360M-Instruct,-1.4661,-1.0971,0.2888,53,27,-0.0692,-0.069,45.1,True,-1.1544
47,facebook/opt-2.7b,-1.9612,-1.6787,0.2849,33,17,0.8746,-0.278,43.9,True,-2.3668
48,facebook/opt-1.3b,-1.9644,-1.6186,0.2847,52,24,1.1306,-0.28,42.7,True,-2.3668
49,stabilityai/stablelm-3b-4e1t,-1.9734,-1.6772,0.296,48,20,-1.0781,-0.283,41.5,True,-2.3668
50,stabilityai/stablelm-2-1_6b,-1.9794,-1.7424,0.2865,60,29,0.0007,-0.286,40.2,True,-2.3668
51,microsoft/phi-1_5,-2.3229,-1.2634,0.2813,51,26,0.0001,-0.431,39.0,True,-2.3668
52,facebook/opt-6.7b,-2.3529,-1.6345,0.2971,37,19,0.8963,-0.444,37.8,True,-2.3668
53,deepseek-ai/deepseek-llm-7b-base,-2.3592,-1.9065,0.2901,66,28,-0.0,-0.447,36.6,True,-2.3668
54,openbmb/MiniCPM-2B-sft-bf16,-2.446,-1.3085,0.2726,58,27,0.0,-0.483,35.4,True,-2.3668
55,EleutherAI/pythia-1.4b,-2.4511,-1.3686,0.2957,77,39,0.8048,-0.485,34.1,True,-2.3668
56,EleutherAI/pythia-6.9b,-2.4515,-1.576,0.2917,42,20,0.0001,-0.486,32.9,True,-2.3668
57,TinyLlama/TinyLlama-1.1B-Chat-v1.0,-2.4523,-0.904,0.2969,28,19,-1.0355,-0.486,31.7,True,-2.3668
58,Qwen/Qwen2-0.5B,-2.4766,-1.6279,0.284,100,56,-0.0009,-0.496,30.5,True,-2.3668
59,EleutherAI/pythia-1b,-2.498,-1.8452,0.2951,40,19,1.1329,-0.505,29.3,True,-2.3668
60,EleutherAI/pythia-2.8b,-2.5556,-1.9062,0.2827,38,16,1.1018,-0.53,28.0,True,-2.3668
61,meta-llama/Llama-3.2-1B,-2.8128,-2.1073,0.2951,46,21,0.0,-0.639,26.8,True,-2.3668
62,bigscience/bloom-7b1,-2.8904,-1.6258,0.2701,100,57,0.001,-0.671,25.6,True,-2.367
63,HuggingFaceTB/SmolLM2-360M,-3.3001,-1.736,0.2978,45,21,0.0065,-0.845,24.4,True,-3.7504
64,openai-community/gpt2-xl,-3.4327,-2.1308,0.2947,28,17,1.1541,-0.901,23.2,True,-3.7504
65,openai-community/gpt2-large,-3.5949,-1.9027,0.2922,42,20,1.1541,-0.969,22.0,True,-3.7504
66,togethercomputer/RedPajama-INCITE-Base-3B-v1,-3.6022,-1.8281,0.285,38,17,0.0528,-0.972,20.7,True,-3.7504
67,EleutherAI/pythia-410m,-3.6033,-1.9347,0.2904,39,17,1.1487,-0.973,19.5,True,-3.7504
68,togethercomputer/RedPajama-INCITE-7B-Base,-3.758,-1.6548,0.2957,100,57,-0.0003,-1.038,18.3,True,-3.7504
69,bigscience/bloom-3b,-3.8023,-2.0041,0.2932,60,22,-0.0001,-1.057,17.1,True,-3.7504
70,HuggingFaceTB/SmolLM2-135M,-3.9015,-2.2376,0.2995,35,18,0.0124,-1.099,15.9,True,-3.7504
71,deepseek-ai/deepseek-math-7b-base,-4.0807,-1.6634,0.2831,82,41,0.0245,-1.175,14.6,True,-3.7504
72,bigscience/bloom-1b1,-4.2732,-1.8723,0.2849,48,20,0.002,-1.256,13.4,True,-3.7504
73,LLM360/Amber,-4.666,-1.9095,0.2975,51,22,0.3183,-1.423,12.2,True,-3.7504
74,bigscience/bloom-1b7,-4.8245,-2.053,0.3016,100,54,-0.0003,-1.49,11.0,False,-3.7504
75,bigscience/bloomz-3b,-5.0899,-1.7711,0.2725,25,16,1.1544,-1.602,9.8,True,-3.7504
76,bigscience/bloomz-7b1,-5.1334,-2.206,0.2935,21,16,2.3668,-1.62,8.5,True,-3.7504
77,openai-community/gpt2,-5.2348,-1.8012,0.2948,33,15,1.1544,-1.663,7.3,True,-3.7504
78,bigscience/bloomz-1b7,-5.4941,-2.1201,0.2919,27,16,1.1544,-1.773,6.1,True,-3.7504
79,bigscience/bloom-560m,-5.6407,-1.4061,0.2957,31,18,0.0021,-1.835,4.9,True,-3.7504
80,EleutherAI/pythia-160m,-5.6478,-2.6286,0.2868,37,22,1.1542,-1.838,3.7,True,-3.7504
81,openai-community/gpt2-medium,-5.7429,-2.0005,0.2961,35,17,1.1204,-1.878,2.4,True,-3.7504
82,EleutherAI/pythia-70m,-5.8631,-2.1597,0.2982,35,18,1.1215,-1.929,1.2,True,-3.7504
