model,theta_stop,n_criteria,pred_passrate,actual_passrate,is_headline_excluded
01-ai/Yi-6B-200K,-1.8805453706640511,2619,0.04217298071261598,0.054219167621229476,False
01-ai/Yi-6B-Chat,-0.5785253029952304,2556,0.08851046180591762,0.12206572769953052,False
BSC-LT/salamandra-7b-instruct,-0.6641564941470324,2619,0.08575683586940314,0.10920198549064529,False
EleutherAI/pythia-1b,-5.538450846238133,2607,0.007826803338229714,0.0364403528960491,False
EleutherAI/pythia-2.8b,-2.7957657892888963,2603,0.024850779697573315,0.031886285055704955,False
EleutherAI/pythia-410m,-5.585087789109745,2611,0.0076990465071508475,0.01800076599004213,False
HuggingFaceTB/SmolLM2-135M,-5.453069606744804,2498,0.008094289746782496,0.015612489991993595,False
LLM360/Amber,-3.915272607585638,2619,0.014343260193066512,0.0061092019854906456,False
OpenBMB/MiniCPM4-0.5B,-1.0955540906404972,2619,0.06661626217990724,0.08858342878961435,False
Qwen/Qwen2.5-1.5B,0.7171396994762435,2396,0.19082647867535102,0.2003338898163606,False
Qwen/Qwen2.5-3B,1.5049564280041756,2544,0.2867144847451811,0.29952830188679247,False
Qwen/Qwen2.5-7B-Instruct,2.392861380141528,2543,0.43829950101194304,0.5064883995281164,False
Qwen/Qwen3-0.6B,1.1279040215530207,2587,0.23476788785883262,0.22149207576343255,False
Qwen/Qwen3-4B,2.512701377791636,2584,0.4640047935418151,0.6056501547987616,False
allenai/OLMo-2-0425-1B-DPO,-0.021882960688370066,2619,0.12446044828226932,0.15693012600229095,False
bigscience/bloomz-3b,-5.502338039681391,2614,0.008057805108116767,0.00612088752869166,False
facebook/opt-1.3b,-3.765795231218016,2605,0.015581256517390603,0.05143953934740883,False
h2oai/h2o-danube3-4b-base,0.3572997535553081,2590,0.1537784374154322,0.14633204633204633,False
ibm-granite/granite-3.1-2b-base,1.0598165329676805,2547,0.2253730499392851,0.19866509619159795,False
openai-community/gpt2-large,-5.78367493480984,2617,0.007323249862773273,0.018723729461215134,False
openai-community/gpt2-medium,-5.422181170555407,2621,0.008120626421004584,0.0019076688286913392,False
pankajmathur/orca_mini_3b,-1.9857905869634207,2619,0.039701140360574094,0.047346315387552504,False
tiiuae/Falcon3-7B-Base,2.17393269700507,2547,0.3958077479384708,0.40910875539850805,False
01-ai/Yi-1.5-6B,1.021276560062121,2780,0.21636010146192736,0.19460431654676258,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-3.8576718121570948,2780,0.014415398286478226,0.012949640287769784,False
BEE-spoke-data/smol_llama-220M-openhermes,-3.8306537902372906,2780,0.01459162193268384,0.012949640287769784,False
BSC-LT/salamandra-2b-instruct,-2.52918016533649,2780,0.028231743665771077,0.04352517985611511,False
Qwen/Qwen2-1.5B,0.08405834132631367,2747,0.12749806522412038,0.08991627229705133,False
Qwen/Qwen2.5-0.5B,-1.4659497937255794,2744,0.0511375469223647,0.05065597667638484,False
Qwen/Qwen2.5-Coder-7B,1.9068780229154136,2712,0.3323913596432931,0.3252212389380531,False
allenai/OLMo-2-0425-1B,-1.1793516028902238,2748,0.06083118511655964,0.09170305676855896,False
allenai/OLMo-2-0425-1B-Instruct,0.3253313945302168,2780,0.14812629435328883,0.15467625899280577,False
bigscience/bloom-3b,-3.4486297850211844,2773,0.017161659770672726,0.011900468806346917,False
deepseek-ai/deepseek-math-7b-base,-2.8049120242352594,2766,0.02409785177216735,0.006869125090383225,False
facebook/opt-2.7b,-1.9499732025636791,2764,0.03851087466703164,0.04703328509406657,False
h2oai/h2o-danube-1.8b-chat,-1.5583350112688168,2780,0.04946392664782485,0.05503597122302158,False
ibm-granite/granite-3.1-2b-instruct,1.2505825500838879,2721,0.2432448691451399,0.2682837192208747,False
meta-llama/Llama-3.2-1B-Instruct,-0.8149939098954585,2723,0.07548681426458287,0.09585016525890562,False
meta-llama/Llama-3.2-3B-Instruct,1.1033976046320053,2693,0.2233033184538637,0.23393984404010398,False
microsoft/Phi-3.5-mini-instruct,1.4310520658793573,2734,0.26601401948050374,0.25676664228237017,False
mistralai/Mistral-7B-Instruct-v0.3,1.2422653241305839,2722,0.24107207357799026,0.21748714180749448,False
openai-community/gpt2,-4.380379903545322,2786,0.011414250601625531,0.00466618808327351,False
stabilityai/stablelm-2-1_6b,-2.5935814663394616,2764,0.02656734663143143,0.04232995658465991,False
stabilityai/stablelm-zephyr-3b,-0.6311251515778926,2742,0.08354158319679147,0.08059810357403355,False
togethercomputer/RedPajama-INCITE-7B-Base,-3.4615867959729356,2775,0.017057823831175045,0.011171171171171172,False
togethercomputer/RedPajama-INCITE-Base-3B-v1,-2.7321315174685052,2781,0.024621861452896576,0.013664149586479683,False
EleutherAI/pythia-1.4b,-4.2790222710637815,2722,0.010039510311887791,0.03820720058780309,False
EleutherAI/pythia-70m,-5.575334175184435,2734,0.006603155938536916,0.0010972933430870519,False
HuggingFaceH4/zephyr-7b-beta,1.2268151131698941,2679,0.2478331172042425,0.23366927958193356,False
HuggingFaceTB/SmolLM2-360M,-2.434595868718801,2713,0.024478490087192877,0.015481017323995577,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1.3783540135922205,2725,0.2728463605194762,0.3838532110091743,False
Qwen/Qwen1.5-1.8B,-2.860421338993155,2725,0.019677891439746836,0.013944954128440367,True
Qwen/Qwen2.5-1.5B-Instruct,1.2355815833637316,2639,0.2494135555167441,0.246684350132626,False
Qwen/Qwen2.5-3B-Instruct,1.634397842197433,2633,0.31655803316592873,0.38131409039118874,False
Qwen/Qwen2.5-7B,1.582149098141645,2648,0.3051207948093105,0.36027190332326287,False
Qwen/Qwen2.5-Math-7B,1.5481688829271032,2670,0.30013257715753955,0.36779026217228467,False
Qwen/Qwen3-1.7B,2.598580625584051,2694,0.47702172952834343,0.47809948032665184,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,-1.501998975953521,2706,0.04167987075863567,0.028455284552845527,False
allenai/OLMo-1B-hf,-5.189021166922564,2725,0.007464718752404245,0.008073394495412844,False
arcee-ai/raspberry-3B,0.9285856928159926,2725,0.20758655802789597,0.23669724770642203,False
deepseek-ai/deepseek-coder-6.7b-base,-0.3075388820252218,2709,0.0917147502426909,0.07456626061277224,False
google/gemma-2-2b,-0.27766309713095516,2703,0.09483160352719318,0.06733259341472438,False
h2oai/h2o-danube2-1.8b-base,-0.45926735640064076,2711,0.08358940937253588,0.05274806344522316,False
ibm-granite/granite-3.0-2b-base,1.011504232914374,2652,0.21634708587935222,0.194947209653092,False
lmsys/vicuna-7b-v1.5,0.03191092987702117,2665,0.11594451119637915,0.13095684803001875,False
nvidia/AceInstruct-1.5B,1.1164485770015753,2725,0.23321306739576525,0.2594495412844037,False
openlm-research/open_llama_3b,-0.8427577216701514,2725,0.06598544454410288,0.050275229357798164,False
pankajmathur/orca_mini_v9_5_3B-Instruct,0.9509734385252357,2725,0.21050667180185512,0.19779816513761467,False
stabilityai/stablelm-2-zephyr-1_6b,-0.6620192709863306,2706,0.07250937700578912,0.06319290465631928,False
01-ai/Yi-1.5-6B-Chat,1.382670012190894,2761,0.2539386722243063,0.3118435349511047,False
01-ai/Yi-6B,-0.3071516375542626,2732,0.0891341353695854,0.06954612005856516,False
BSC-LT/salamandra-7b,-0.7701282337777909,2761,0.06698816480479826,0.08113002535313292,False
EleutherAI/pythia-6.9b,-1.9043403445920049,2753,0.032237856873757874,0.03450780966218671,False
HuggingFaceTB/SmolLM2-360M-Instruct,-0.5178338916257913,2743,0.07778839190613611,0.054684651841049946,False
Qwen/Qwen2-7B,1.3140948731320519,2703,0.24456668280009083,0.2778394376618572,False
bigscience/bloom-1b1,-3.0969752662186605,2759,0.016142556582832143,0.009061254077564335,False
bigscience/bloom-7b1,-2.3806319459885947,2730,0.023790644902270862,0.023076923076923078,False
deepseek-ai/deepseek-llm-7b-base,-1.9543111620113938,2733,0.031082685830101688,0.034394438346139776,False
ibm/PowerLM-3b,0.8686633091564098,2761,0.1883309083265486,0.17674755523361102,False
meta-llama/Llama-3.2-3B,0.9344429580467535,2742,0.19364383192719725,0.09956236323851203,False
microsoft/Phi-3-mini-4k-instruct,1.053714593562102,2722,0.20899790075882024,0.13409257898603968,False
microsoft/phi-1_5,-0.9608679302786617,2760,0.05820693080858913,0.02826086956521739,False
mistralai/Mistral-7B-v0.1,0.619943628295012,2674,0.16004248999696166,0.17913238593866865,False
mistralai/Mistral-7B-v0.3,0.8782898174707493,2667,0.18870296839287964,0.19122609673790777,False
openbmb/MiniCPM-2B-sft-bf16,-1.9761289636444817,2753,0.03037822931600264,0.02397384671267708,False
stabilityai/stablelm-2-1_6b-chat,-0.13025561294136154,2761,0.10121270656315423,0.08511408909815284,False
stabilityai/stablelm-3b-4e1t,-0.5920031471089233,2738,0.07383606434261428,0.036523009495982466,False
tiiuae/Falcon3-1B-Base,0.9180676326579129,2729,0.1912805284248246,0.13631366801026018,False
tiiuae/Falcon3-1B-Instruct,0.9834663707773406,2761,0.20175987894707129,0.20463600144875047,False
tiiuae/Falcon3-3B-Base,1.2708609848819088,2687,0.23621452315897212,0.2973576479344994,False
tiiuae/Falcon3-3B-Instruct,1.8011133430561272,2760,0.3151407849734131,0.38731884057971017,False
utter-project/EuroLLM-1.7B,-2.5911226864572705,2761,0.021878756881209264,0.02462875769648678,False
