fullname,params_b,average,details_repo
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-1ep_0alp_0lam,0.494,7.682977767911112,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-2ep_0alp_0lam,0.494,7.668495371524835,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.494,7.824147748385339,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_2ep_0alp_0lam,0.494,7.706086604401125,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_3ep_0alp_0lam,0.494,7.813940287125231,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_1ep_0alp_0lam,0.494,7.842463015004548,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_2ep_0alp_0lam,0.494,7.58869267971069,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_3ep_0alp_0lam,0.494,7.82811926779825,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-1ep_1alp_0lam,0.494,7.958391854528215,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-1ep_1alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-2ep_1alp_0lam,0.494,7.678680596214881,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-2ep_1alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-1ep_1alp_0lam,0.494,7.608040308738378,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-1ep_1alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-2ep_1alp_0lam,0.494,7.376023721057838,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-2ep_1alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-1ep_1alp_0lam,0.494,7.830243972560936,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-1ep_1alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,0.494,7.764548314144669,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-1ep_0alp_0lam,0.494,7.491580739378782,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-2ep_0alp_0lam,0.494,7.496575969696766,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.494,7.900913542849916,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_2ep_0alp_0lam,0.494,7.872419066693536,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_1ep_0alp_0lam,0.494,7.613408611706003,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.494,7.688163880198053,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.494,7.510368922283475,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-2ep_0alp_0lam,0.494,7.696957299033557,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-1ep_0alp_0lam,0.494,7.472755907553406,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-2ep_0alp_0lam,0.494,7.491778365975214,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_1ep_0alp_0lam,0.494,7.6637155055011235,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_2ep_0alp_0lam,0.494,7.759729017494784,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7_1ep_0alp_0lam,0.494,7.522450873561554,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7_1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7_2ep_0alp_0lam,0.494,7.658751981428238,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7_2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_1ep,0.494,7.472893784749629,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_1ep-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_2ep,0.494,7.494108519452317,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_2ep-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam_1ep,0.494,7.592452067439491,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam_1ep-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam_2ep,0.494,7.702241458661472,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam_2ep-details
JayHyeon/Qwen2.5-0.5B-SFT-DPO-1epoch_v1,0.494,6.245597623653178,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-DPO-1epoch_v1-details
JayHyeon/Qwen2.5-0.5B-SFT-MDPO-1epoch_v1,0.494,6.644463688191298,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-MDPO-1epoch_v1-details
JayHyeon/Qwen_0.5-DPOP_3e-6-1ep_0alp_5lam,0.494,7.503528444281592,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPOP_3e-6-1ep_0alp_5lam-details
JayHyeon/Qwen_0.5-DPOP_3e-6-2ep_0alp_5lam,0.494,7.695125090795082,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPOP_3e-6-2ep_0alp_5lam-details
JayHyeon/Qwen_0.5-DPOP_3e-7-1ep_0alp_5lam,0.494,7.460153325587554,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPOP_3e-7-1ep_0alp_5lam-details
JayHyeon/Qwen_0.5-DPOP_3e-7-2ep_0alp_5lam,0.494,7.630732587028278,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPOP_3e-7-2ep_0alp_5lam-details
JayHyeon/Qwen_0.5-DPOP_5e-7-1ep_0alp_5lam,0.494,7.493393961856238,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPOP_5e-7-1ep_0alp_5lam-details
JayHyeon/Qwen_0.5-DPOP_5e-7-2ep_0alp_5lam,0.494,7.718986668912689,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPOP_5e-7-2ep_0alp_5lam-details
JayHyeon/Qwen_0.5-DPO_3e-6-1ep_0alp_0lam,0.494,6.91953175659681,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPO_3e-6-1ep_0alp_0lam-details
JayHyeon/Qwen_0.5-DPO_3e-6-2ep_0alp_0lam,0.494,8.075905010851175,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPO_3e-6-2ep_0alp_0lam-details
JayHyeon/Qwen_0.5-DPO_3e-7-1ep_0alp_0lam,0.494,7.97015103471792,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPO_3e-7-1ep_0alp_0lam-details
JayHyeon/Qwen_0.5-DPO_3e-7-2ep_0alp_0lam,0.494,7.9611230480624675,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPO_3e-7-2ep_0alp_0lam-details
JayHyeon/Qwen_0.5-DPO_5e-7-2ep_0alp_0lam,0.494,8.095071949326913,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPO_5e-7-2ep_0alp_0lam-details
JayHyeon/Qwen_0.5-IRPO_3e-6-1ep_1alp_0lam,0.494,7.058958298337019,open-llm-leaderboard/JayHyeon__Qwen_0.5-IRPO_3e-6-1ep_1alp_0lam-details
JayHyeon/Qwen_0.5-IRPO_3e-6-2ep_1alp_0lam,0.494,7.289618635016649,open-llm-leaderboard/JayHyeon__Qwen_0.5-IRPO_3e-6-2ep_1alp_0lam-details
JayHyeon/Qwen_0.5-IRPO_3e-7-1ep_1alp_0lam,0.494,8.061310556795855,open-llm-leaderboard/JayHyeon__Qwen_0.5-IRPO_3e-7-1ep_1alp_0lam-details
JayHyeon/Qwen_0.5-IRPO_5e-7-1ep_1alp_0lam,0.494,8.092380138165963,open-llm-leaderboard/JayHyeon__Qwen_0.5-IRPO_5e-7-1ep_1alp_0lam-details
JayHyeon/Qwen_0.5-IRPO_5e-7-2ep_1alp_0lam,0.494,8.02099509740262,open-llm-leaderboard/JayHyeon__Qwen_0.5-IRPO_5e-7-2ep_1alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,0.494,7.390617436527434,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-2ep_0alp_0lam,0.494,7.7092768708900685,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.5_3e-7-2ep_0alp_0lam-details
KingNish/Qwen2.5-0.5b-Test-ft,0.494,7.865415598812703,open-llm-leaderboard/KingNish__Qwen2.5-0.5b-Test-ft-details
KingNish/Reasoning-0.5b,0.494,7.163893227645488,open-llm-leaderboard/KingNish__Reasoning-0.5b-details
Qwen/Qwen2-0.5B,0.494,7.224121473565234,open-llm-leaderboard/Qwen__Qwen2-0.5B-details
Qwen/Qwen2-0.5B-Instruct,0.494,6.586780633287707,open-llm-leaderboard/Qwen__Qwen2-0.5B-Instruct-details
Qwen/Qwen2.5-0.5B-Instruct,0.494,10.107543850719255,open-llm-leaderboard/Qwen__Qwen2.5-0.5B-Instruct-details
Sakalti/Sailor-japanese,0.494,4.518102124361933,open-llm-leaderboard/Sakalti__Sailor-japanese-details
Youlln/ECE-PRYMMAL-0.5B-FT-V3,0.494,4.392856379585042,open-llm-leaderboard/Youlln__ECE-PRYMMAL-0.5B-FT-V3-details
Youlln/ECE-PRYMMAL-0.5B-FT-V3-MUSR,0.494,5.5387028579477615,open-llm-leaderboard/Youlln__ECE-PRYMMAL-0.5B-FT-V3-MUSR-details
Youlln/ECE-PRYMMAL-0.5B-FT-V4-MUSR,0.494,4.211186680289756,open-llm-leaderboard/Youlln__ECE-PRYMMAL-0.5B-FT-V4-MUSR-details
Youlln/ECE-PRYMMAL-0.5B-SLERP-V2,0.494,4.6271949147226215,open-llm-leaderboard/Youlln__ECE-PRYMMAL-0.5B-SLERP-V2-details
Youlln/ECE-PRYMMAL-0.5B-SLERP-V3,0.494,3.6630142582547953,open-llm-leaderboard/Youlln__ECE-PRYMMAL-0.5B-SLERP-V3-details
Youlln/ECE-PRYMMAL0.5-FT,0.494,5.585741676013818,open-llm-leaderboard/Youlln__ECE-PRYMMAL0.5-FT-details
Youlln/ECE-Qwen0.5B-FT-V2,0.494,7.5746869620543364,open-llm-leaderboard/Youlln__ECE-Qwen0.5B-FT-V2-details
agentlans/Qwen2.5-0.5B-Instruct-CrashCourse-dropout,0.494,8.433362269175692,open-llm-leaderboard/agentlans__Qwen2.5-0.5B-Instruct-CrashCourse-dropout-details
braindao/iq-code-evmind-0.5b,0.494,7.0224136272788416,open-llm-leaderboard/braindao__iq-code-evmind-0.5b-details
cognitivecomputations/Dolphin3.0-Qwen2.5-0.5B,0.494,10.626273337296174,open-llm-leaderboard/cognitivecomputations__Dolphin3.0-Qwen2.5-0.5B-details
ehristoforu/SoRu-0009,0.494,6.300240741893716,open-llm-leaderboard/ehristoforu__SoRu-0009-details
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,0.494,8.066116427700267,open-llm-leaderboard/ewre324__Thinker-Qwen2.5-0.5B-Instruct-Reasoning-details
jebish7/qwen2.5-0.5B-IHA-Hin,0.494,3.251315269739358,open-llm-leaderboard/jebish7__qwen2.5-0.5B-IHA-Hin-details
kz919/QwQ-0.5B-Distilled-SFT,0.494,9.089107211771186,open-llm-leaderboard/kz919__QwQ-0.5B-Distilled-SFT-details
lalainy/ECE-PRYMMAL-0.5B-FT-V5-MUSR,0.494,7.057838460114436,open-llm-leaderboard/lalainy__ECE-PRYMMAL-0.5B-FT-V5-MUSR-details
lalainy/ECE-PRYMMAL-0.5B-SLERP-V4,0.494,4.3809433295396625,open-llm-leaderboard/lalainy__ECE-PRYMMAL-0.5B-SLERP-V4-details
lalainy/ECE-PRYMMAL-YL-0.5B-SLERP-BIS-V1,0.494,3.6107222690519762,open-llm-leaderboard/lalainy__ECE-PRYMMAL-YL-0.5B-SLERP-BIS-V1-details
matouLeLoup/ECE-PRYMMAL-0.5B-FT-EnhancedMUSREnsembleV3,0.494,7.224121473565234,open-llm-leaderboard/matouLeLoup__ECE-PRYMMAL-0.5B-FT-EnhancedMUSREnsembleV3-details
matouLeLoup/ECE-PRYMMAL-0.5B-FT-MUSR-ENSEMBLE-V2Mathis,0.494,7.224121473565234,open-llm-leaderboard/matouLeLoup__ECE-PRYMMAL-0.5B-FT-MUSR-ENSEMBLE-V2Mathis-details
matouLeLoup/ECE-PRYMMAL-0.5B-FT-V4-MUSR-ENSEMBLE-Mathis,0.494,7.224121473565234,open-llm-leaderboard/matouLeLoup__ECE-PRYMMAL-0.5B-FT-V4-MUSR-ENSEMBLE-Mathis-details
matouLeLoup/ECE-PRYMMAL-0.5B-FT-V4-MUSR-Mathis,0.494,7.257344997193762,open-llm-leaderboard/matouLeLoup__ECE-PRYMMAL-0.5B-FT-V4-MUSR-Mathis-details
mlx-community/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1-float32,0.494,9.708088086359409,open-llm-leaderboard/mlx-community__Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1-float32-details
prithivMLmods/FastThink-0.5B-Tiny,0.494,7.516955448134702,open-llm-leaderboard/prithivMLmods__FastThink-0.5B-Tiny-details
ruizhe1217/sft-s1-qwen-0.5b,0.494,9.240285567836873,open-llm-leaderboard/ruizhe1217__sft-s1-qwen-0.5b-details
FlofloB/100k_fineweb_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.5,8.550830451075553,open-llm-leaderboard/FlofloB__100k_fineweb_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit-details
FlofloB/10k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.5,8.363924265648496,open-llm-leaderboard/FlofloB__10k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit-details
FlofloB/40k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.5,8.381580312764262,open-llm-leaderboard/FlofloB__40k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit-details
FlofloB/83k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.5,8.427461121141809,open-llm-leaderboard/FlofloB__83k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit-details
Qwen/Qwen2.5-0.5B,0.5,6.550067614297009,open-llm-leaderboard/Qwen__Qwen2.5-0.5B-details
instruction-pretrain/InstructLM-500M,0.5,2.8543503197666724,open-llm-leaderboard/instruction-pretrain__InstructLM-500M-details
EleutherAI/pythia-410m,0.506,5.227072311484412,open-llm-leaderboard/EleutherAI__pythia-410m-details
appvoid/arco-2,0.514,5.137100838868086,open-llm-leaderboard/appvoid__arco-2-details
appvoid/arco-2-instruct,0.514,5.382510586018164,open-llm-leaderboard/appvoid__arco-2-instruct-details
bfuzzy1/acheron,0.514,4.974672842034184,open-llm-leaderboard/bfuzzy1__acheron-details
