model,params_b,status,error,benchmark_rows
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.3,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/Reasoning-Llama-3.2-3B-Math-Instruct-RE1,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/Reasoning-Llama-3.2-3B-Math-Instruct-RE1-ORPO,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/ReasoningCore-1.0-3B-Instruct-r01-Reflect-Math,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/ReasoningCore-3B-0,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/ReasoningCore-3B-R01,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/ReasoningCore-3B-RE1-V2,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/ReasoningCore-3B-RE1-V2A,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/ReasoningCore-3B-RE1-V2B,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/ReasoningCore-3B-RE1-V2C,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/ReasoningCore-3B-T1-V1,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/ReasoningCore-3B-T1_1,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI2/Athene-codegemma-2-7b-it-alpaca-v1.2,7.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Etherll/Chocolatine-3B-Instruct-DPO-Revised-Ties,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Etherll/Chocolatine-3B-Instruct-DPO-Revised-Ties-v2,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
FINGU-AI/Phi-4-RRStock,6.652,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
FINGU-AI/Q-Small-3B,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
FlofloB/100k_fineweb_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.5,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
FlofloB/10k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.5,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
FlofloB/40k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.5,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
FlofloB/83k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.5,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
FuJhen/mistral_7b_v0.1_structedData_e2e,7.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
FuseAI/FuseChat-Llama-3.2-3B-Instruct,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Goekdeniz-Guelmez/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v1,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v2,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Goekdeniz-Guelmez/j.o.s.i.e.v4o-1.5b-dpo-stage1-v1,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Goekdeniz-Guelmez/josie-3b-v6.0,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
HarbingerX/Zeitgeist-3b-V1,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
HarbingerX/Zeitgeist-3b-V1.2,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Hastagaras/L3.2-JametMini-3B-MK.III,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
HelpingAI/Priya-3B,2.81,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
HuggingFaceTB/SmolLM-1.7B,1.71,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
HuggingFaceTB/SmolLM-1.7B-Instruct,1.71,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
HuggingFaceTB/SmolLM-360M,0.36,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
HuggingFaceTB/SmolLM-360M-Instruct,0.362,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
HuggingFaceTB/SmolLM2-1.7B,1.71,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
HuggingFaceTB/SmolLM2-1.7B-Instruct,1.711,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
HuggingFaceTB/SmolLM2-360M,0.36,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
HuggingFaceTB/SmolLM2-360M-Instruct,0.36,skipped,,"{""ifeval"": null, ""bbh"": null, ""gpqa"": null, ""math"": null, ""musr"": null}"
IlyaGusev/gemma-2-2b-it-abliterated,2.614,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Intel/neural-chat-7b-v3,7.0,no_samples,No samples_*.jsonl files found,{}
Intel/neural-chat-7b-v3-2,7.0,no_samples,No samples_*.jsonl files found,{}
Intel/neural-chat-7b-v3-3,7.0,no_samples,No samples_*.jsonl files found,{}
Invalid-Null/PeiYangMe-0.5,6.061,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Invalid-Null/PeiYangMe-0.7,6.061,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
J-LAB/Thynk_orpo,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen-0.5B-DPO-1epoch,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen-0.5B-DPO-5epoch,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen-0.5B-IRPO-1epoch,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen-0.5B-IRPO-5epoch,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen-0.5B-eDPO-1epoch,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen-0.5B-eDPO-5epoch,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-Instruct-SFT,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-DPO-1epoch_v1,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-IRPO-1epoch_v1,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
