criterion_id,content,diagnosis,scaffolding,diagnosis_class
tb_0078_c17,0,1,0,specific
tb_0079_c01,1,1,0,specific
tb_0079_c02,1,1,0,specific
tb_0079_c03,1,1,1,specific
tb_0079_c04,1,1,0,specific
tb_0079_c05,1,1,0,specific
tb_0079_c06,1,1,0,specific
tb_0079_c07,1,1,0,specific
tb_0079_c08,1,1,0,specific
tb_0079_c09,1,1,0,specific
tb_0079_c10,0,1,0,ack_affect
tb_0081_c01,0,1,0,specific
tb_0081_c02,0,1,0,specific
tb_0081_c03,1,1,0,specific
tb_0081_c05,1,1,0,specific
tb_0081_c07,1,1,0,specific
tb_0081_c08,1,1,0,specific
tb_0083_c04,1,1,0,specific
tb_0083_c07,1,1,0,specific
tb_0083_c08,1,1,0,specific
tb_0084_c02,1,1,0,specific
tb_0085_c02,0,1,0,specific
tb_0085_c05,1,1,0,specific
tb_0085_c08,1,1,0,specific
tb_0085_c09,1,1,0,specific
tb_0086_c01,1,1,0,specific
tb_0086_c02,1,1,0,specific
tb_0086_c05,1,1,0,specific
tb_0087_c02,1,1,0,specific
tb_0088_c01,0,1,0,specific
tb_0088_c02,1,1,0,specific
tb_0088_c03,1,1,0,specific
tb_0089_c01,1,1,0,specific
tb_0090_c01,1,1,0,specific
tb_0090_c02,1,1,0,specific
tb_0090_c03,1,1,0,specific
tb_0090_c04,1,1,0,specific
tb_0090_c05,0,1,0,specific
tb_0090_c07,1,1,0,specific
tb_0091_c02,0,1,0,specific
tb_0091_c03,1,1,0,specific
tb_0091_c05,1,1,0,specific
tb_0092_c02,1,1,0,specific
tb_0092_c05,1,1,0,specific
tb_0092_c09,1,1,0,specific
tb_0093_c07,1,1,0,specific
tb_0093_c09,1,1,0,specific
tb_0095_c01,0,1,0,specific
tb_0095_c02,0,1,0,specific
tb_0095_c03,1,1,0,specific
tb_0095_c04,1,1,0,specific
tb_0095_c05,1,1,0,unclassified
tb_0095_c10,0,1,0,specific
tb_0096_c07,0,1,0,specific
tb_0098_c05,1,1,0,specific
tb_0098_c07,1,1,0,specific
tb_0098_c08,1,1,1,specific
tb_0098_c09,1,1,0,specific
tb_0098_c10,1,1,0,specific
tb_0100_c07,1,1,0,specific
tb_0101_c01,1,1,0,specific
tb_0101_c02,1,1,0,specific
tb_0103_c06,0,1,0,specific
tb_0104_c02,1,1,0,specific
tb_0104_c04,1,1,0,specific
tb_0104_c06,1,1,0,specific
tb_0104_c08,1,1,0,specific
tb_0104_c09,1,1,0,specific
tb_0104_c10,1,1,0,specific
tb_0104_c12,1,1,0,specific
tb_0104_c13,1,1,0,specific
tb_0104_c14,1,1,0,specific
tb_0104_c15,1,1,0,specific
tb_0105_c01,0,1,0,specific
tb_0105_c02,0,1,0,ack_affect
tb_0105_c03,1,1,0,specific
tb_0105_c20,1,1,0,unclassified
tb_0106_c01,0,1,0,specific
tb_0107_c02,1,1,0,specific
tb_0107_c03,1,1,0,specific
tb_0107_c05,1,1,1,specific
tb_0107_c07,1,1,0,specific
tb_0108_c05,0,1,0,specific
tb_0108_c06,1,1,0,specific
tb_0108_c07,1,1,0,specific
tb_0108_c08,1,1,0,specific
tb_0108_c11,0,1,0,specific
tb_0109_c01,1,1,0,specific
tb_0109_c09,1,1,0,specific
tb_0109_c13,0,1,0,specific
tb_0110_c01,1,1,0,unclassified
tb_0110_c04,1,1,0,specific
tb_0110_c05,1,1,0,specific
tb_0110_c08,1,1,0,specific
tb_0110_c09,1,1,0,specific
tb_0111_c04,1,1,0,ack_affect
tb_0111_c07,1,1,0,specific
tb_0112_c01,1,1,0,unclassified
tb_0112_c04,1,1,0,specific
tb_0112_c05,1,1,0,specific
tb_0113_c02,1,1,0,specific
tb_0113_c04,1,1,0,specific
tb_0115_c01,1,1,0,specific
tb_0115_c02,1,1,0,specific
tb_0115_c04,1,1,1,specific
tb_0116_c01,0,1,0,specific
tb_0117_c02,1,1,0,specific
tb_0117_c06,1,1,0,specific
tb_0117_c09,0,1,0,specific
tb_0118_c02,1,1,0,unclassified
tb_0118_c05,1,1,0,specific
tb_0118_c07,1,1,0,specific
tb_0119_c05,0,1,0,specific
tb_0120_c05,1,1,0,specific
tb_0120_c12,1,1,0,specific
tb_0120_c14,1,1,0,specific
tb_0121_c01,0,1,0,specific
tb_0121_c02,1,1,0,specific
tb_0121_c03,1,1,0,ack_affect
tb_0121_c04,1,1,0,specific
tb_0122_c02,1,1,0,specific
tb_0122_c04,1,1,0,specific
tb_0122_c06,1,1,0,specific
tb_0122_c07,1,1,0,specific
tb_0122_c08,0,1,0,specific
tb_0122_c09,0,1,0,specific
tb_0122_c10,1,1,0,specific
tb_0124_c01,0,1,0,specific
tb_0124_c03,1,1,0,specific
tb_0124_c04,1,1,0,specific
tb_0124_c10,1,1,0,unclassified
tb_0124_c15,1,1,1,unclassified
tb_0126_c01,0,1,0,specific
tb_0126_c02,0,1,0,specific
tb_0126_c03,0,1,0,specific
tb_0126_c10,1,1,0,specific
tb_0127_c02,1,1,0,specific
tb_0128_c02,1,1,0,specific
tb_0128_c06,1,1,0,specific
tb_0129_c03,1,1,0,specific
tb_0129_c04,1,1,0,specific
tb_0129_c05,1,1,0,specific
tb_0129_c06,1,1,0,specific
tb_0129_c09,1,1,0,specific
tb_0129_c10,1,1,0,specific
tb_0129_c11,1,1,0,unclassified
tb_0129_c12,1,1,0,specific
tb_0129_c15,1,1,0,specific
tb_0130_c01,1,1,0,unclassified
tb_0130_c03,0,1,0,specific
tb_0131_c01,1,1,0,specific
tb_0131_c02,1,1,0,specific
tb_0131_c03,1,1,0,specific
tb_0131_c05,1,1,0,specific
tb_0131_c08,0,1,0,specific
tb_0132_c01,0,1,0,specific
tb_0132_c06,1,1,0,specific
tb_0132_c08,1,1,0,specific
tb_0132_c09,1,1,0,specific
tb_0132_c10,0,1,0,specific
tb_0133_c03,1,1,0,specific
tb_0133_c04,1,1,0,specific
tb_0133_c05,1,1,0,specific
tb_0133_c06,1,1,0,specific
tb_0133_c07,1,1,0,specific
tb_0133_c08,1,1,0,specific
tb_0133_c11,1,1,0,specific
tb_0134_c01,0,1,0,specific
tb_0134_c03,1,1,0,specific
tb_0134_c06,1,1,0,specific
tb_0135_c02,1,1,0,specific
tb_0135_c03,1,1,0,specific
tb_0135_c04,1,1,0,specific
tb_0135_c05,1,1,0,unclassified
tb_0136_c01,1,1,0,specific
tb_0136_c02,1,1,0,specific
tb_0136_c03,1,1,0,specific
tb_0136_c06,1,1,0,specific
tb_0137_c01,0,1,0,specific
tb_0137_c02,1,1,0,specific
tb_0137_c03,1,1,0,specific
tb_0138_c01,1,1,0,ack_affect
tb_0138_c06,1,1,0,specific
tb_0138_c07,1,1,0,specific
tb_0139_c01,1,1,0,specific
tb_0139_c04,1,1,0,specific
tb_0140_c01,1,1,0,specific
tb_0140_c02,1,1,0,specific
tb_0140_c04,1,1,0,specific
tb_0140_c05,1,1,0,specific
tb_0141_c01,1,1,0,specific
tb_0141_c02,1,1,0,specific
tb_0141_c03,1,1,0,specific
tb_0141_c05,1,1,1,specific
tb_0141_c09,1,1,0,specific
tb_0142_c02,1,1,0,specific
tb_0142_c05,1,1,0,specific
tb_0143_c01,1,1,0,specific
tb_0143_c02,0,1,0,specific
tb_0143_c08,1,1,0,specific
tb_0144_c01,0,1,0,ack_affect
tb_0144_c11,0,1,0,specific
tb_0145_c02,1,1,0,specific
tb_0145_c03,1,1,0,specific
tb_0145_c06,1,1,0,specific
tb_0145_c11,1,1,0,specific
tb_0146_c06,1,1,1,specific
tb_0147_c01,1,1,0,specific
tb_0148_c03,1,1,0,specific
tb_0149_c02,1,1,0,specific
tb_0149_c10,1,1,0,specific
tb_0149_c11,1,1,0,specific
tb_0150_c01,1,1,0,specific
tb_0150_c04,1,1,0,specific
tb_0150_c06,1,1,0,specific
tb_0150_c07,1,1,0,specific
tb_0150_c08,0,1,0,specific
tb_0151_c01,0,1,0,specific
tb_0151_c02,1,1,0,specific
tb_0151_c03,1,1,0,specific
tb_0152_c02,1,1,0,specific
tb_0152_c07,0,1,0,specific
tb_0153_c02,1,1,0,specific
tb_0153_c03,1,1,0,specific
tb_0153_c26,1,1,0,specific
tb_0154_c02,1,1,0,specific
tb_0154_c04,1,1,0,specific
tb_0155_c01,1,1,0,specific
tb_0155_c02,0,1,0,ack_affect
tb_0155_c05,1,1,0,specific
tb_0156_c01,1,1,0,specific
tb_0156_c05,0,1,0,specific
tb_0156_c08,1,1,0,specific
tb_0157_c03,1,1,1,specific
tb_0159_c02,0,1,0,specific
tb_0160_c01,0,1,0,specific
tb_0161_c02,1,1,0,specific
tb_0161_c04,1,1,0,specific
tb_0161_c07,1,1,0,specific
tb_0162_c01,1,1,0,specific
tb_0162_c03,1,1,0,specific
tb_0162_c04,0,1,0,ack_affect
tb_0162_c06,1,1,0,specific
tb_0162_c08,1,1,1,specific
tb_0163_c02,1,1,0,specific
tb_0164_c01,1,1,0,specific
tb_0164_c02,1,1,0,specific
tb_0164_c03,1,1,0,specific
tb_0164_c04,1,1,0,specific
tb_0164_c05,1,1,0,specific
tb_0164_c10,1,1,1,specific
tb_0164_c11,1,1,0,specific
tb_0164_c12,0,1,0,specific
tb_0165_c01,0,1,0,specific
tb_0165_c03,1,1,0,unclassified
tb_0166_c02,1,1,0,specific
tb_0166_c03,1,1,0,specific
tb_0166_c04,1,1,0,specific
tb_0166_c05,1,1,0,specific
tb_0166_c06,1,1,0,specific
tb_0166_c07,1,1,0,specific
tb_0166_c09,1,1,0,specific
tb_0166_c10,1,1,0,specific
tb_0166_c11,0,1,0,specific
tb_0167_c03,1,1,0,specific
tb_0168_c04,1,1,0,specific
tb_0168_c06,1,1,1,specific
tb_0168_c08,1,1,0,specific
tb_0169_c02,1,1,0,specific
tb_0169_c03,1,1,0,specific
tb_0169_c12,1,1,0,specific
tb_0169_c13,0,1,0,specific
tb_0170_c01,0,1,0,specific
tb_0170_c02,1,1,0,specific
tb_0170_c04,1,1,0,specific
tb_0171_c01,1,1,0,specific
tb_0171_c02,1,1,0,specific
tb_0171_c04,1,1,0,specific
tb_0171_c05,1,1,0,specific
tb_0172_c02,0,1,0,specific
tb_0172_c06,1,1,0,specific
tb_0172_c07,1,1,0,specific
tb_0173_c02,1,1,0,specific
tb_0173_c08,1,1,0,specific
tb_0174_c01,1,1,0,specific
tb_0174_c02,1,1,0,specific
tb_0174_c04,1,1,0,specific
tb_0174_c08,0,1,0,specific
tb_0174_c10,1,1,0,specific
tb_0175_c01,0,1,0,specific
tb_0175_c05,1,1,0,specific
tb_0176_c01,1,1,0,specific
tb_0176_c02,1,1,0,specific
tb_0176_c04,1,1,0,specific
tb_0176_c06,1,1,0,specific
tb_0176_c07,1,1,0,specific
tb_0176_c08,1,1,0,specific
tb_0177_c01,0,1,0,specific
tb_0177_c02,1,1,0,specific
tb_0177_c05,1,1,0,specific
tb_0177_c06,1,1,0,specific
tb_0177_c07,0,1,0,specific
tb_0177_c08,1,1,0,specific
tb_0177_c09,1,1,0,specific
tb_0177_c11,1,1,0,specific
tb_0177_c12,1,1,0,specific
tb_0177_c13,1,1,0,specific
tb_0177_c14,1,1,0,specific
tb_0177_c15,1,1,0,specific
tb_0177_c16,1,1,0,specific
tb_0178_c02,1,1,0,specific
tb_0178_c03,1,1,0,specific
tb_0178_c05,0,1,1,specific
tb_0179_c01,0,1,0,specific
tb_0179_c03,1,1,0,specific
tb_0179_c05,1,1,0,specific
tb_0179_c14,1,1,0,specific
tb_0180_c01,1,1,0,specific
tb_0180_c02,1,1,0,specific
tb_0180_c05,0,1,0,specific
tb_0180_c06,1,1,0,specific
tb_0181_c01,0,1,0,ack_affect
tb_0181_c02,1,1,0,specific
tb_0181_c11,1,1,0,specific
tb_0183_c01,1,1,0,specific
tb_0183_c04,1,1,1,specific
tb_0183_c07,1,1,1,specific
tb_0184_c01,1,1,0,specific
tb_0185_c01,1,1,0,specific
tb_0186_c02,1,1,0,specific
tb_0187_c01,0,1,0,specific
tb_0187_c02,1,1,0,specific
tb_0187_c05,1,1,0,specific
tb_0187_c06,1,1,0,specific
tb_0187_c09,1,1,0,specific
tb_0188_c07,1,1,0,specific
tb_0189_c02,0,1,0,specific
tb_0189_c03,1,1,0,specific
tb_0189_c08,1,1,0,specific
tb_0189_c10,0,1,0,specific
tb_0190_c14,1,1,0,specific
tb_0191_c01,0,1,0,specific
tb_0192_c02,1,1,0,specific
tb_0192_c14,1,1,0,specific
tb_0193_c05,1,1,0,specific
tb_0193_c06,0,1,0,specific
tb_0194_c01,0,1,0,specific
tb_0194_c09,0,1,0,ack_affect
tb_0195_c01,0,1,0,specific
tb_0195_c04,1,1,0,specific
tb_0195_c05,1,1,0,specific
tb_0196_c02,0,1,0,specific
tb_0196_c03,1,1,0,specific
tb_0196_c04,1,1,0,specific
tb_0196_c05,1,1,0,specific
tb_0197_c02,1,1,0,specific
tb_0197_c03,1,1,0,specific
tb_0197_c04,1,1,0,unclassified
tb_0197_c06,1,1,0,unclassified
tb_0198_c03,1,1,0,specific
tb_0198_c07,1,1,0,specific
tb_0199_c01,1,1,0,specific
tb_0199_c02,1,1,0,specific
tb_0200_c02,1,1,0,specific
tb_0200_c06,1,1,0,specific
tb_0200_c07,1,1,0,specific
tb_0200_c09,1,1,0,specific
tb_0200_c10,1,1,0,specific
tb_0201_c01,1,1,0,specific
tb_0201_c04,0,1,0,ack_affect
tb_0202_c03,1,1,0,specific
tb_0202_c05,1,1,0,specific
tb_0202_c06,0,1,1,unclassified
tb_0204_c01,1,1,0,specific
tb_0204_c02,0,1,0,specific
tb_0204_c07,1,1,0,unclassified
tb_0205_c02,1,1,0,specific
tb_0205_c04,1,1,0,specific
tb_0206_c01,0,1,0,specific
tb_0206_c03,1,1,0,specific
tb_0206_c04,1,1,0,specific
tb_0206_c05,1,1,1,specific
tb_0206_c06,1,1,0,specific
tb_0206_c07,1,1,1,specific
tb_0207_c02,0,1,0,specific
tb_0208_c01,0,1,0,specific
tb_0208_c02,1,1,0,specific
tb_0208_c05,1,1,0,specific
tb_0209_c02,1,1,0,specific
tb_0209_c03,1,1,0,specific
tb_0209_c04,1,1,0,specific
tb_0209_c05,1,1,0,specific
tb_0209_c06,1,1,0,specific
tb_0211_c01,1,1,0,specific
tb_0211_c02,1,1,1,specific
tb_0211_c04,1,1,0,specific
tb_0211_c05,1,1,0,specific
tb_0212_c01,1,1,0,ack_affect
tb_0212_c02,0,1,0,specific
tb_0213_c02,1,1,0,specific
tb_0213_c04,1,1,0,specific
tb_0213_c05,1,1,0,specific
tb_0213_c06,1,1,0,specific
tb_0213_c07,1,1,0,specific
tb_0213_c09,1,1,0,specific
tb_0214_c02,1,1,0,specific
tb_0214_c06,1,1,0,specific
tb_0214_c07,1,1,0,specific
tb_0215_c11,1,1,0,specific
tb_0216_c02,1,1,0,specific
tb_0216_c03,1,1,0,specific
tb_0216_c04,1,1,0,specific
tb_0218_c01,1,1,0,specific
tb_0218_c04,1,1,0,specific
tb_0218_c07,1,1,0,specific
tb_0218_c09,0,1,0,specific
tb_0219_c01,1,1,0,specific
tb_0219_c03,1,1,0,specific
tb_0220_c01,1,1,0,specific
tb_0220_c02,1,1,0,unclassified
tb_0220_c04,1,1,1,specific
tb_0220_c05,1,1,1,specific
tb_0221_c03,0,1,0,specific
tb_0222_c02,1,1,0,unclassified
tb_0222_c03,1,1,0,specific
tb_0222_c08,1,1,0,unclassified
tb_0224_c01,1,1,0,specific
tb_0224_c02,0,1,0,specific
tb_0224_c03,0,1,0,specific
tb_0224_c04,1,1,0,specific
tb_0224_c05,1,1,0,specific
tb_0225_c02,1,1,0,specific
tb_0225_c03,1,1,0,specific
tb_0225_c04,1,1,0,unclassified
tb_0225_c05,1,1,0,specific
tb_0225_c06,1,1,0,specific
tb_0226_c04,1,1,0,unclassified
tb_0226_c18,1,1,0,specific
tb_0227_c02,1,1,0,specific
tb_0228_c02,1,1,0,specific
tb_0228_c03,1,1,0,specific
tb_0228_c05,1,1,0,specific
tb_0228_c06,1,1,0,specific
tb_0228_c10,1,1,0,specific
tb_0228_c12,1,1,0,specific
tb_0228_c13,1,1,0,specific
tb_0229_c01,1,1,0,specific
tb_0229_c02,0,1,0,specific
tb_0229_c04,1,1,0,specific
tb_0229_c06,1,1,0,specific
tb_0229_c07,1,1,0,specific
tb_0230_c03,1,1,0,specific
tb_0230_c04,0,1,0,specific
tb_0230_c05,1,1,0,specific
tb_0230_c10,1,1,0,specific
tb_0230_c11,1,1,0,specific
tb_0231_c01,0,1,0,specific
tb_0231_c03,1,1,0,specific
tb_0231_c06,1,1,0,specific
tb_0231_c07,1,1,0,specific
tb_0231_c08,1,1,0,specific
tb_0231_c10,1,1,1,specific
tb_0232_c03,1,1,0,specific
tb_0232_c04,1,1,0,specific
tb_0232_c05,1,1,0,specific
tb_0233_c07,1,1,0,specific
tb_0234_c01,0,1,0,specific
tb_0234_c02,1,1,0,specific
tb_0234_c03,0,1,0,specific
tb_0234_c05,1,1,1,unclassified
tb_0234_c06,1,1,0,specific
tb_0234_c07,0,1,0,specific
tb_0235_c01,0,1,0,specific
tb_0236_c01,1,1,0,specific
tb_0236_c05,0,1,0,specific
tb_0236_c07,1,1,0,specific
tb_0236_c10,1,1,0,specific
tb_0237_c02,1,1,0,specific
tb_0239_c02,0,1,0,specific
tb_0239_c04,1,1,0,specific
tb_0240_c10,1,1,0,specific
tb_0241_c01,0,1,0,specific
tb_0241_c02,1,1,0,specific
tb_0241_c03,1,1,0,specific
tb_0241_c04,1,1,0,specific
tb_0241_c05,1,1,0,specific
tb_0241_c06,1,1,0,specific
tb_0241_c08,1,1,0,specific
tb_0241_c09,1,1,0,unclassified
tb_0241_c10,1,1,0,specific
tb_0241_c11,1,1,0,specific
tb_0241_c12,1,1,0,specific
tb_0241_c13,0,1,0,specific
tb_0241_c14,1,1,0,specific
tb_0242_c02,1,1,0,specific
tb_0242_c03,1,1,0,specific
tb_0243_c07,1,1,0,specific
tb_0243_c11,1,1,0,specific
tb_0244_c02,1,1,0,specific
tb_0244_c03,1,1,0,specific
tb_0244_c04,1,1,0,specific
tb_0244_c05,1,1,0,specific
tb_0244_c06,1,1,0,specific
tb_0244_c07,1,1,0,unclassified
tb_0244_c09,1,1,0,ack_affect
tb_0245_c01,0,1,0,specific
tb_0245_c02,1,1,0,specific
tb_0245_c03,1,1,0,specific
tb_0245_c04,0,1,0,specific
tb_0246_c01,1,1,0,specific
tb_0246_c04,1,1,0,specific
tb_0247_c01,1,1,0,unclassified
tb_0248_c01,1,1,0,specific
tb_0248_c03,1,1,0,specific
tb_0248_c04,0,1,0,ack_affect
tb_0249_c01,1,1,0,specific
tb_0249_c03,1,1,0,specific
tb_0249_c05,1,1,0,specific
tb_0251_c06,0,1,0,specific
tb_0252_c03,1,1,0,specific
tb_0252_c04,1,1,0,specific
tb_0254_c02,1,1,0,specific
tb_0254_c03,1,1,0,unclassified
tb_0254_c04,1,1,0,specific
tb_0254_c05,1,1,0,specific
tb_0254_c07,1,1,0,specific
tb_0255_c01,0,1,0,specific
tb_0255_c03,1,1,0,specific
tb_0255_c07,1,1,0,specific
tb_0256_c01,1,1,0,specific
tb_0256_c05,0,1,0,specific
tb_0257_c02,1,1,0,specific
tb_0257_c04,1,1,0,unclassified
tb_0257_c06,1,1,0,specific
tb_0257_c12,1,1,1,specific
tb_0260_c07,0,1,0,specific
tb_0261_c01,0,1,0,specific
tb_0261_c05,1,1,0,specific
tb_0261_c06,1,1,0,specific
tb_0261_c07,1,1,0,specific
tb_0263_c01,1,1,0,specific
tb_0263_c02,1,1,0,specific
tb_0263_c03,1,1,0,specific
tb_0263_c04,0,1,0,specific
tb_0263_c05,1,1,0,specific
tb_0263_c08,1,1,0,specific
tb_0263_c10,1,1,0,specific
tb_0264_c04,1,1,0,specific
tb_0264_c11,0,1,0,specific
tb_0265_c01,0,1,0,specific
tb_0265_c02,1,1,0,specific
tb_0266_c01,1,1,0,specific
tb_0266_c04,0,1,0,specific
tb_0267_c01,0,1,0,specific
tb_0267_c04,1,1,0,specific
tb_0267_c16,1,1,0,specific
tb_0268_c01,1,1,0,specific
tb_0268_c02,1,1,0,specific
