model,model_family,theta_reference_online,theta_mwle_online,honest_target_rate_online,scenarios_mean_online,final_eap_se_mean_online,eval_pass_rate_mae_online,theta_reference_eap,theta_mwle_eap,honest_target_rate_eap,scenarios_mean_eap,final_eap_se_mean_eap,eval_pass_rate_mae_eap,target_rate_difference,scenario_difference,theta_absolute_error_online,theta_absolute_error_eap
allenai/OLMo-2-0425-1B-Instruct,olmo,1.901783589959394,2.037781761449156,0.2,21.6,0.20661649996573456,0.04901545310861981,1.901783589959394,1.9625136245738666,1.0,24.6,0.1952266630277826,0.03938748752084276,0.8,3.0,0.135998171489762,0.06073003461447257
arcee-ai/raspberry-3B,raspberry,2.3129363345426275,2.506949103264276,0.0,22.8,0.2115991777450037,0.012519311171681613,2.3129363345426275,2.6632022353051767,1.0,28.0,0.19956186271539722,0.015163604414233122,1.0,5.199999999999999,0.1940127687216484,0.35026590076254926
google/gemma-2-2b,gemma,-1.519101565414614,-1.4582308282518408,0.0,25.6,0.20795087241492763,0.03779924429783163,-1.519101565414614,-1.5666383889311504,1.0,28.8,0.19807177367818568,0.02860880395086912,1.0,3.1999999999999993,0.06087073716277325,0.04753682351653632
google/gemma-2b,gemma,-2.3969812699173594,-1.9583562154406888,0.0,28.0,0.20803850540687702,0.017375678401146698,-2.3969812699173594,-2.0197389086419095,1.0,32.0,0.19706745803768175,0.009470139833725893,1.0,4.0,0.43862505447667055,0.37724236127544986
h2oai/h2o-danube-1.8b-chat,danube,1.1968695542918504,1.4968441723632364,0.4,18.8,0.19993897071061884,0.10732926262677053,1.1968695542918504,1.5221537795335949,1.0,19.4,0.19672517071283874,0.11094416219511771,0.6,0.5999999999999979,0.29997461807138603,0.3252842252417445
h2oai/h2o-danube2-1.8b-base,danube,-0.6418174405629428,-0.8057527609479745,0.8,21.2,0.19775278492664594,0.02106700881823695,-0.6418174405629428,-0.8137638054511491,1.0,21.4,0.19727022705576372,0.02227823352401957,0.19999999999999996,0.1999999999999993,0.16393532038503178,0.17194636488820636
h2oai/h2o-danube2-1.8b-chat,danube,1.4900303813315743,1.8408612827007986,0.2,19.2,0.20454994390694323,0.03635134702662235,1.4900303813315743,1.850524343798631,1.0,20.8,0.1969167454800027,0.03636575105919777,0.8,1.6000000000000014,0.35083090136922435,0.36049396246705667
ibm-granite/granite-3.0-2b-base,granite,0.8088889687870534,1.114102232830885,0.0,17.4,0.2144459563289831,0.07311991354813654,0.8088889687870534,1.089759486075583,1.0,19.8,0.1966836436566773,0.06888160029555578,1.0,2.400000000000002,0.30521326404383153,0.28087051728852963
ibm-granite/granite-3.1-2b-base,granite,0.7799768115831861,-0.4029330988028964,0.6,18.8,0.19818491163194699,0.18953567018709921,0.7799768115831861,-0.36831319724139167,1.0,19.2,0.19561350724437337,0.1838240967733583,0.4,0.3999999999999986,1.1829099103860825,1.1482900088245778
ibm-granite/granite-3.1-2b-instruct,granite,3.383382676806336,3.6624774807854052,0.0,28.2,0.232095344479414,0.0110854355791149,3.383382676806336,3.5956995893988775,1.0,37.2,0.19843160441271795,0.015819781114466958,1.0,9.000000000000004,0.2790948039790693,0.21231691259254148
ibm-granite/granite-7b-instruct,granite,1.7447740603157254,1.8605214543914497,0.0,20.4,0.21020211629726324,0.05306219751000145,1.7447740603157254,1.7512436990872104,1.0,23.4,0.19227621612665852,0.03850093702659001,1.0,3.0,0.11574739407572432,0.006469638771485098
ibm/PowerLM-3b,powerlm,0.8935995126223386,0.5915091236073524,0.6,18.8,0.20142919993210215,0.13664236217271447,0.8935995126223386,0.5917663389810833,1.0,19.4,0.19767833230779625,0.13638181959551865,0.4,0.5999999999999979,0.3020903890149862,0.3018331736412553
meta-llama/Llama-3.2-1B,llama_3_2,-2.566036967529382,-3.278364487705363,0.0,36.6,0.2276670725899404,0.059380654645589934,-2.566036967529382,-3.0488745321838513,1.0,46.6,0.19806426609864253,0.04974095424111416,1.0,10.0,0.7123275201759811,0.48283756465446936
meta-llama/Llama-3.2-1B-Instruct,llama_3_2,2.008048919839326,2.3871480221947827,0.0,22.6,0.2103405156505857,0.06013973321617814,2.008048919839326,2.3610388168555305,1.0,25.0,0.1973769929602284,0.05738919727559992,1.0,2.3999999999999986,0.37909910235545663,0.3529898970162044
meta-llama/Llama-3.2-3B-Instruct,llama_3_2,3.6264363979149437,3.7466884285813764,0.0,28.2,0.2220015781617108,0.012167498737461679,3.6264363979149437,3.6066476939003507,1.0,35.6,0.19925266371565195,0.006146494657569823,1.0,7.400000000000002,0.12025203066643275,0.019788704014592984
microsoft/phi-1_5,phi,-1.6654487160999931,-1.1783509961897196,0.2,25.0,0.20240813562293533,0.03854916213233015,-1.6654487160999931,-1.1751470945788756,1.0,26.2,0.19716245752412737,0.038996824580120173,0.8,1.1999999999999993,0.4870977199102735,0.49030162152111756
nvidia/AceInstruct-1.5B,ace,2.779806800900982,2.9958936664244136,0.0,25.6,0.21528334491425025,0.023803469249386387,2.779806800900982,3.00947300594236,1.0,30.6,0.19822131608613003,0.025874068727114063,1.0,5.0,0.21608686552343137,0.22966620504137758
openbmb/MiniCPM-1B-sft-bf16,minicpm,-1.2969164302252305,-0.7059383920692686,0.0,19.0,0.20620100137867095,0.1392739409498097,-1.2969164302252305,-0.6901551896147012,1.0,20.2,0.19923957379991825,0.14208462801694982,1.0,1.1999999999999993,0.590978038155962,0.6067612406105293
openbmb/MiniCPM-2B-sft-bf16,minicpm,0.26929438812717377,1.2294629355818718,1.0,21.4,0.19627142298730801,0.20008375715186683,0.26929438812717377,1.219593628943654,1.0,21.2,0.19694877163144928,0.1986049304595568,0.0,-0.1999999999999993,0.960168547454698,0.9502992408164802
openlm-research/open_llama_3b,open_llama,-3.5272414089406596,-3.679970368688759,0.0,34.4,0.25525850802623695,0.007447097546839301,-3.5272414089406596,-3.802442195950044,0.0,50.0,0.23127177109883745,0.010773154732091183,0.0,15.600000000000001,0.1527289597480994,0.2752007870093842
pankajmathur/orca_mini_3b,orca_mini,-0.6286410605026187,-0.7302349425095184,0.0,19.6,0.20700663104971678,0.032935754741243495,-0.6286410605026187,-0.7224613689846414,1.0,21.2,0.19914107879991721,0.033313405267842044,1.0,1.5999999999999979,0.10159388200689967,0.09382030848202272
pankajmathur/orca_mini_v9_5_3B-Instruct,orca_mini,2.8930699369492388,3.0401736809633486,0.0,26.6,0.22153731326857282,0.034910759922930336,2.8930699369492388,3.0648555962590374,1.0,34.0,0.19786205544077612,0.037181631248147926,1.0,7.399999999999999,0.14710374401410986,0.1717856593097986
stabilityai/stablelm-2-1_6b-chat,stablelm,1.790224318794137,2.0223651811438437,0.0,19.0,0.20717386847106672,0.0356691449725844,1.790224318794137,2.0036724643863573,1.0,21.4,0.19869280336281486,0.0331978204091238,1.0,2.3999999999999986,0.23214086234970677,0.21344814559222036
stabilityai/stablelm-2-zephyr-1_6b,stablelm,1.7079696466171796,1.8587747006674964,0.4,19.8,0.2024119243148299,0.020155233146488614,1.7079696466171796,1.8430557627268693,1.0,20.6,0.1979870750319086,0.022211411740008624,0.6,0.8000000000000007,0.15080505405031674,0.13508611610968968
stabilityai/stablelm-zephyr-3b,stablelm,2.127090858857122,2.3701847177969286,0.0,20.2,0.2305555385296461,0.02055775904734991,2.127090858857122,2.2187032825990665,1.0,26.2,0.19707114885866842,0.007520735198656392,1.0,6.0,0.24309385893980684,0.09161242374194467
tiiuae/Falcon3-1B-Instruct,falcon3,1.7312125318921638,2.2020232855692994,0.0,22.2,0.2116817094912662,0.05236959663332304,1.7312125318921638,2.3063341067134266,1.0,26.8,0.1967378048019705,0.06472894172211327,1.0,4.600000000000001,0.47081075367713554,0.5751215748212628
tiiuae/Falcon3-3B-Base,falcon3,0.09533819658417746,-0.15444874935746145,0.8,18.6,0.19870101709252436,0.06485636417315978,0.09533819658417746,-0.1681345263168676,1.0,18.8,0.1977144751720527,0.0669852634803357,0.19999999999999996,0.1999999999999993,0.24978694594163892,0.26347272290104506
tiiuae/Falcon3-3B-Instruct,falcon3,3.306808484661461,3.5487106069270853,0.0,28.2,0.22193364754606099,0.036655561023269126,3.306808484661461,3.542175681822701,1.0,35.0,0.1985717202009533,0.03707524634329573,1.0,6.800000000000001,0.24190212226562435,0.23536719716123988
utter-project/EuroLLM-1.7B,eurollm,-2.7770099869704454,-2.3229213549403256,0.0,28.2,0.21527352610940328,0.05254254372677305,-2.7770099869704454,-2.3862964852892516,1.0,34.8,0.19843370065304658,0.04766263494368228,1.0,6.599999999999998,0.45408863203011984,0.3907135016811938
utter-project/EuroLLM-1.7B-Instruct,eurollm,0.867879227574468,1.0092819433513878,0.4,17.6,0.20293660553248943,0.046358064886591645,0.867879227574468,0.9850938535195304,1.0,18.6,0.19692024481128628,0.04259167160330406,0.6,1.0,0.14140271577691976,0.11721462594506238
