repeat,outer_fold,model,scenario_order_exact,scenario_count_exact,criterion_count_exact,stop_reason_exact,precision_flag_exact,mwle_theta_close,reference_theta_close,all_exact
0,2,meta-llama/Llama-3.2-3B-Instruct,True,True,True,True,True,True,True,True
0,3,Qwen/Qwen1.5-1.8B,True,True,True,True,True,True,True,True
0,3,Qwen/Qwen1.5-1.8B-Chat,True,True,True,True,True,True,True,True
0,3,Qwen/Qwen2-0.5B,True,True,True,True,True,True,True,True
0,3,Qwen/Qwen2.5-0.5B-Instruct,True,True,True,True,True,True,True,True
0,3,microsoft/phi-1_5,True,True,True,True,True,True,True,True
0,3,stabilityai/stablelm-2-1_6b-chat,True,True,True,True,True,True,True,True
0,3,stabilityai/stablelm-2-zephyr-1_6b,True,True,True,True,True,True,True,True
0,3,stabilityai/stablelm-zephyr-3b,True,True,True,True,True,True,True,True
0,3,utter-project/EuroLLM-1.7B,True,True,True,True,True,True,True,True
0,3,utter-project/EuroLLM-1.7B-Instruct,True,True,True,True,True,True,True,True
0,4,ai-forever/mGPT,True,True,True,True,True,True,True,True
0,4,google/gemma-2-2b,True,True,True,True,True,True,True,True
0,4,google/gemma-2b,True,True,True,True,True,True,True,True
0,4,h2oai/h2o-danube-1.8b-chat,True,True,True,True,True,True,True,True
0,4,h2oai/h2o-danube2-1.8b-base,True,True,True,True,True,True,True,True
0,4,h2oai/h2o-danube2-1.8b-chat,True,True,True,True,True,True,True,True
0,4,pankajmathur/orca_mini_3b,True,True,True,True,True,True,True,True
0,4,pankajmathur/orca_mini_v9_5_3B-Instruct,True,True,True,True,True,True,True,True
0,4,tiiuae/Falcon3-1B-Instruct,True,True,True,True,True,True,True,True
0,4,tiiuae/Falcon3-3B-Base,True,True,True,True,True,True,True,True
0,4,tiiuae/Falcon3-3B-Instruct,True,True,True,True,True,True,True,True
1,0,01-ai/Yi-1.5-6B,True,True,True,True,True,True,True,True
1,0,01-ai/Yi-1.5-6B-Chat,True,True,True,True,True,True,True,True
1,0,01-ai/Yi-6B,True,True,True,True,True,True,True,True
1,0,01-ai/Yi-6B-200K,True,True,True,True,True,True,True,True
1,0,01-ai/Yi-6B-Chat,True,True,True,True,True,True,True,True
1,0,ai-forever/mGPT,True,True,True,True,True,True,True,True
1,0,arcee-ai/raspberry-3B,True,True,True,True,True,True,True,True
1,0,meta-llama/Llama-3.2-1B,True,True,True,True,True,True,True,True
1,0,meta-llama/Llama-3.2-1B-Instruct,True,True,True,True,True,True,True,True
1,0,meta-llama/Llama-3.2-3B-Instruct,True,True,True,True,True,True,True,True
1,0,microsoft/phi-1_5,True,True,True,True,True,True,True,True
1,1,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,True,True,True,True,True,True,True,True
1,1,BEE-spoke-data/smol_llama-220M-openhermes,True,True,True,True,True,True,True,True
1,1,BSC-LT/salamandra-2b,True,True,True,True,True,True,True,True
1,1,BSC-LT/salamandra-2b-instruct,True,True,True,True,True,True,True,True
1,1,BSC-LT/salamandra-7b,True,True,True,True,True,True,True,True
1,1,BSC-LT/salamandra-7b-instruct,True,True,True,True,True,True,True,True
1,1,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,True,True,True,True,True,True,True,True
1,1,tiiuae/Falcon3-1B-Instruct,True,True,True,True,True,True,True,True
1,1,tiiuae/Falcon3-3B-Base,True,True,True,True,True,True,True,True
1,1,tiiuae/Falcon3-3B-Instruct,True,True,True,True,True,True,True,True
1,2,HuggingFaceTB/SmolLM2-360M,True,True,True,True,True,True,True,True
1,2,OpenBMB/MiniCPM4-0.5B,True,True,True,True,True,True,True,True
1,2,ibm-granite/granite-3.0-2b-base,True,True,True,True,True,True,True,True
1,2,ibm-granite/granite-3.1-2b-base,True,True,True,True,True,True,True,True
1,2,ibm-granite/granite-3.1-2b-instruct,True,True,True,True,True,True,True,True
1,2,ibm-granite/granite-7b-instruct,True,True,True,True,True,True,True,True
1,2,openbmb/MiniCPM-1B-sft-bf16,True,True,True,True,True,True,True,True
1,2,openbmb/MiniCPM-2B-sft-bf16,True,True,True,True,True,True,True,True
1,2,utter-project/EuroLLM-1.7B,True,True,True,True,True,True,True,True
1,2,utter-project/EuroLLM-1.7B-Instruct,True,True,True,True,True,True,True,True
1,3,allenai/OLMo-1B-hf,True,True,True,True,True,True,True,True
1,3,allenai/OLMo-2-0425-1B,True,True,True,True,True,True,True,True
1,3,allenai/OLMo-2-0425-1B-DPO,True,True,True,True,True,True,True,True
1,3,allenai/OLMo-2-0425-1B-Instruct,True,True,True,True,True,True,True,True
1,3,h2oai/h2o-danube-1.8b-chat,True,True,True,True,True,True,True,True
1,3,h2oai/h2o-danube2-1.8b-base,True,True,True,True,True,True,True,True
1,3,h2oai/h2o-danube2-1.8b-chat,True,True,True,True,True,True,True,True
1,3,ibm/PowerLM-3b,True,True,True,True,True,True,True,True
1,3,nvidia/AceInstruct-1.5B,True,True,True,True,True,True,True,True
1,3,openlm-research/open_llama_3b,True,True,True,True,True,True,True,True
1,4,Qwen/Qwen1.5-1.8B,True,True,True,True,True,True,True,True
1,4,Qwen/Qwen1.5-1.8B-Chat,True,True,True,True,True,True,True,True
1,4,Qwen/Qwen2-0.5B,True,True,True,True,True,True,True,True
1,4,Qwen/Qwen2.5-0.5B-Instruct,True,True,True,True,True,True,True,True
1,4,google/gemma-2-2b,True,True,True,True,True,True,True,True
1,4,google/gemma-2b,True,True,True,True,True,True,True,True
1,4,pankajmathur/orca_mini_3b,True,True,True,True,True,True,True,True
1,4,pankajmathur/orca_mini_v9_5_3B-Instruct,True,True,True,True,True,True,True,True
1,4,stabilityai/stablelm-2-1_6b-chat,True,True,True,True,True,True,True,True
1,4,stabilityai/stablelm-2-zephyr-1_6b,True,True,True,True,True,True,True,True
1,4,stabilityai/stablelm-zephyr-3b,True,True,True,True,True,True,True,True
2,0,OpenBMB/MiniCPM4-0.5B,True,True,True,True,True,True,True,True
2,0,ai-forever/mGPT,True,True,True,True,True,True,True,True
2,0,allenai/OLMo-1B-hf,True,True,True,True,True,True,True,True
2,0,allenai/OLMo-2-0425-1B,True,True,True,True,True,True,True,True
2,0,allenai/OLMo-2-0425-1B-DPO,True,True,True,True,True,True,True,True
2,0,allenai/OLMo-2-0425-1B-Instruct,True,True,True,True,True,True,True,True
2,0,nvidia/AceInstruct-1.5B,True,True,True,True,True,True,True,True
2,0,openbmb/MiniCPM-1B-sft-bf16,True,True,True,True,True,True,True,True
2,0,openbmb/MiniCPM-2B-sft-bf16,True,True,True,True,True,True,True,True
2,0,pankajmathur/orca_mini_3b,True,True,True,True,True,True,True,True
2,0,pankajmathur/orca_mini_v9_5_3B-Instruct,True,True,True,True,True,True,True,True
2,1,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,True,True,True,True,True,True,True,True
2,1,BEE-spoke-data/smol_llama-220M-openhermes,True,True,True,True,True,True,True,True
2,1,Qwen/Qwen1.5-1.8B,True,True,True,True,True,True,True,True
2,1,Qwen/Qwen1.5-1.8B-Chat,True,True,True,True,True,True,True,True
2,1,Qwen/Qwen2-0.5B,True,True,True,True,True,True,True,True
2,1,Qwen/Qwen2.5-0.5B-Instruct,True,True,True,True,True,True,True,True
2,1,ibm/PowerLM-3b,True,True,True,True,True,True,True,True
2,1,stabilityai/stablelm-2-1_6b-chat,True,True,True,True,True,True,True,True
2,1,stabilityai/stablelm-2-zephyr-1_6b,True,True,True,True,True,True,True,True
2,1,stabilityai/stablelm-zephyr-3b,True,True,True,True,True,True,True,True
2,2,h2oai/h2o-danube-1.8b-chat,True,True,True,True,True,True,True,True
2,2,h2oai/h2o-danube2-1.8b-base,True,True,True,True,True,True,True,True
2,2,h2oai/h2o-danube2-1.8b-chat,True,True,True,True,True,True,True,True
2,2,ibm-granite/granite-3.0-2b-base,True,True,True,True,True,True,True,True
2,2,ibm-granite/granite-3.1-2b-base,True,True,True,True,True,True,True,True
2,2,ibm-granite/granite-3.1-2b-instruct,True,True,True,True,True,True,True,True
2,2,ibm-granite/granite-7b-instruct,True,True,True,True,True,True,True,True
2,2,openlm-research/open_llama_3b,True,True,True,True,True,True,True,True
2,2,utter-project/EuroLLM-1.7B,True,True,True,True,True,True,True,True
2,2,utter-project/EuroLLM-1.7B-Instruct,True,True,True,True,True,True,True,True
2,3,BSC-LT/salamandra-2b,True,True,True,True,True,True,True,True
2,3,BSC-LT/salamandra-2b-instruct,True,True,True,True,True,True,True,True
2,3,BSC-LT/salamandra-7b,True,True,True,True,True,True,True,True
2,3,BSC-LT/salamandra-7b-instruct,True,True,True,True,True,True,True,True
2,3,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,True,True,True,True,True,True,True,True
2,3,google/gemma-2-2b,True,True,True,True,True,True,True,True
2,3,google/gemma-2b,True,True,True,True,True,True,True,True
2,3,tiiuae/Falcon3-1B-Instruct,True,True,True,True,True,True,True,True
2,3,tiiuae/Falcon3-3B-Base,True,True,True,True,True,True,True,True
2,3,tiiuae/Falcon3-3B-Instruct,True,True,True,True,True,True,True,True
2,4,01-ai/Yi-1.5-6B,True,True,True,True,True,True,True,True
2,4,01-ai/Yi-1.5-6B-Chat,True,True,True,True,True,True,True,True
2,4,01-ai/Yi-6B,True,True,True,True,True,True,True,True
2,4,01-ai/Yi-6B-200K,True,True,True,True,True,True,True,True
2,4,01-ai/Yi-6B-Chat,True,True,True,True,True,True,True,True
2,4,HuggingFaceTB/SmolLM2-360M,True,True,True,True,True,True,True,True
2,4,arcee-ai/raspberry-3B,True,True,True,True,True,True,True,True
2,4,meta-llama/Llama-3.2-1B,True,True,True,True,True,True,True,True
2,4,meta-llama/Llama-3.2-1B-Instruct,True,True,True,True,True,True,True,True
2,4,meta-llama/Llama-3.2-3B-Instruct,True,True,True,True,True,True,True,True
2,4,microsoft/phi-1_5,True,True,True,True,True,True,True,True
3,0,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,True,True,True,True,True,True,True,True
3,0,BEE-spoke-data/smol_llama-220M-openhermes,True,True,True,True,True,True,True,True
3,0,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,True,True,True,True,True,True,True,True
3,0,Qwen/Qwen1.5-1.8B,True,True,True,True,True,True,True,True
3,0,Qwen/Qwen1.5-1.8B-Chat,True,True,True,True,True,True,True,True
3,0,Qwen/Qwen2-0.5B,True,True,True,True,True,True,True,True
3,0,Qwen/Qwen2.5-0.5B-Instruct,True,True,True,True,True,True,True,True
3,0,meta-llama/Llama-3.2-1B,True,True,True,True,True,True,True,True
3,0,meta-llama/Llama-3.2-1B-Instruct,True,True,True,True,True,True,True,True
3,0,meta-llama/Llama-3.2-3B-Instruct,True,True,True,True,True,True,True,True
3,0,microsoft/phi-1_5,True,True,True,True,True,True,True,True
3,1,BSC-LT/salamandra-2b,True,True,True,True,True,True,True,True
3,1,BSC-LT/salamandra-2b-instruct,True,True,True,True,True,True,True,True
3,1,BSC-LT/salamandra-7b,True,True,True,True,True,True,True,True
3,1,BSC-LT/salamandra-7b-instruct,True,True,True,True,True,True,True,True
3,1,HuggingFaceTB/SmolLM2-360M,True,True,True,True,True,True,True,True
3,1,arcee-ai/raspberry-3B,True,True,True,True,True,True,True,True
3,1,h2oai/h2o-danube-1.8b-chat,True,True,True,True,True,True,True,True
3,1,h2oai/h2o-danube2-1.8b-base,True,True,True,True,True,True,True,True
3,1,h2oai/h2o-danube2-1.8b-chat,True,True,True,True,True,True,True,True
3,1,ibm/PowerLM-3b,True,True,True,True,True,True,True,True
3,2,OpenBMB/MiniCPM4-0.5B,True,True,True,True,True,True,True,True
3,2,ai-forever/mGPT,True,True,True,True,True,True,True,True
3,2,ibm-granite/granite-3.0-2b-base,True,True,True,True,True,True,True,True
3,2,ibm-granite/granite-3.1-2b-base,True,True,True,True,True,True,True,True
3,2,ibm-granite/granite-3.1-2b-instruct,True,True,True,True,True,True,True,True
3,2,ibm-granite/granite-7b-instruct,True,True,True,True,True,True,True,True
3,2,openbmb/MiniCPM-1B-sft-bf16,True,True,True,True,True,True,True,True
3,2,openbmb/MiniCPM-2B-sft-bf16,True,True,True,True,True,True,True,True
3,2,utter-project/EuroLLM-1.7B,True,True,True,True,True,True,True,True
3,2,utter-project/EuroLLM-1.7B-Instruct,True,True,True,True,True,True,True,True
3,3,allenai/OLMo-1B-hf,True,True,True,True,True,True,True,True
3,3,allenai/OLMo-2-0425-1B,True,True,True,True,True,True,True,True
3,3,allenai/OLMo-2-0425-1B-DPO,True,True,True,True,True,True,True,True
3,3,allenai/OLMo-2-0425-1B-Instruct,True,True,True,True,True,True,True,True
3,3,openlm-research/open_llama_3b,True,True,True,True,True,True,True,True
3,3,pankajmathur/orca_mini_3b,True,True,True,True,True,True,True,True
3,3,pankajmathur/orca_mini_v9_5_3B-Instruct,True,True,True,True,True,True,True,True
3,3,stabilityai/stablelm-2-1_6b-chat,True,True,True,True,True,True,True,True
3,3,stabilityai/stablelm-2-zephyr-1_6b,True,True,True,True,True,True,True,True
3,3,stabilityai/stablelm-zephyr-3b,True,True,True,True,True,True,True,True
3,4,01-ai/Yi-1.5-6B,True,True,True,True,True,True,True,True
3,4,01-ai/Yi-1.5-6B-Chat,True,True,True,True,True,True,True,True
3,4,01-ai/Yi-6B,True,True,True,True,True,True,True,True
3,4,01-ai/Yi-6B-200K,True,True,True,True,True,True,True,True
3,4,01-ai/Yi-6B-Chat,True,True,True,True,True,True,True,True
3,4,google/gemma-2-2b,True,True,True,True,True,True,True,True
3,4,google/gemma-2b,True,True,True,True,True,True,True,True
3,4,nvidia/AceInstruct-1.5B,True,True,True,True,True,True,True,True
3,4,tiiuae/Falcon3-1B-Instruct,True,True,True,True,True,True,True,True
3,4,tiiuae/Falcon3-3B-Base,True,True,True,True,True,True,True,True
3,4,tiiuae/Falcon3-3B-Instruct,True,True,True,True,True,True,True,True
4,0,01-ai/Yi-1.5-6B,True,True,True,True,True,True,True,True
4,0,01-ai/Yi-1.5-6B-Chat,True,True,True,True,True,True,True,True
4,0,01-ai/Yi-6B,True,True,True,True,True,True,True,True
4,0,01-ai/Yi-6B-200K,True,True,True,True,True,True,True,True
4,0,01-ai/Yi-6B-Chat,True,True,True,True,True,True,True,True
4,0,HuggingFaceTB/SmolLM2-360M,True,True,True,True,True,True,True,True
4,0,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,True,True,True,True,True,True,True,True
4,0,meta-llama/Llama-3.2-1B,True,True,True,True,True,True,True,True
4,0,meta-llama/Llama-3.2-1B-Instruct,True,True,True,True,True,True,True,True
4,0,meta-llama/Llama-3.2-3B-Instruct,True,True,True,True,True,True,True,True
4,0,microsoft/phi-1_5,True,True,True,True,True,True,True,True
4,1,Qwen/Qwen1.5-1.8B,True,True,True,True,True,True,True,True
4,1,Qwen/Qwen1.5-1.8B-Chat,True,True,True,True,True,True,True,True
4,1,Qwen/Qwen2-0.5B,True,True,True,True,True,True,True,True
4,1,Qwen/Qwen2.5-0.5B-Instruct,True,True,True,True,True,True,True,True
4,1,google/gemma-2-2b,True,True,True,True,True,True,True,True
4,1,google/gemma-2b,True,True,True,True,True,True,True,True
4,1,nvidia/AceInstruct-1.5B,True,True,True,True,True,True,True,True
4,1,tiiuae/Falcon3-1B-Instruct,True,True,True,True,True,True,True,True
4,1,tiiuae/Falcon3-3B-Base,True,True,True,True,True,True,True,True
4,1,tiiuae/Falcon3-3B-Instruct,True,True,True,True,True,True,True,True
4,2,allenai/OLMo-1B-hf,True,True,True,True,True,True,True,True
4,2,allenai/OLMo-2-0425-1B,True,True,True,True,True,True,True,True
4,2,allenai/OLMo-2-0425-1B-DPO,True,True,True,True,True,True,True,True
4,2,allenai/OLMo-2-0425-1B-Instruct,True,True,True,True,True,True,True,True
4,2,openlm-research/open_llama_3b,True,True,True,True,True,True,True,True
4,2,pankajmathur/orca_mini_3b,True,True,True,True,True,True,True,True
4,2,pankajmathur/orca_mini_v9_5_3B-Instruct,True,True,True,True,True,True,True,True
4,2,stabilityai/stablelm-2-1_6b-chat,True,True,True,True,True,True,True,True
4,2,stabilityai/stablelm-2-zephyr-1_6b,True,True,True,True,True,True,True,True
4,2,stabilityai/stablelm-zephyr-3b,True,True,True,True,True,True,True,True
4,3,BSC-LT/salamandra-2b,True,True,True,True,True,True,True,True
4,3,BSC-LT/salamandra-2b-instruct,True,True,True,True,True,True,True,True
4,3,BSC-LT/salamandra-7b,True,True,True,True,True,True,True,True
4,3,BSC-LT/salamandra-7b-instruct,True,True,True,True,True,True,True,True
4,3,OpenBMB/MiniCPM4-0.5B,True,True,True,True,True,True,True,True
4,3,ai-forever/mGPT,True,True,True,True,True,True,True,True
4,3,arcee-ai/raspberry-3B,True,True,True,True,True,True,True,True
4,3,ibm/PowerLM-3b,True,True,True,True,True,True,True,True
4,3,openbmb/MiniCPM-1B-sft-bf16,True,True,True,True,True,True,True,True
4,3,openbmb/MiniCPM-2B-sft-bf16,True,True,True,True,True,True,True,True
4,4,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,True,True,True,True,True,True,True,True
4,4,BEE-spoke-data/smol_llama-220M-openhermes,True,True,True,True,True,True,True,True
4,4,h2oai/h2o-danube-1.8b-chat,True,True,True,True,True,True,True,True
4,4,h2oai/h2o-danube2-1.8b-base,True,True,True,True,True,True,True,True
4,4,h2oai/h2o-danube2-1.8b-chat,True,True,True,True,True,True,True,True
4,4,ibm-granite/granite-3.0-2b-base,True,True,True,True,True,True,True,True
4,4,ibm-granite/granite-3.1-2b-base,True,True,True,True,True,True,True,True
4,4,ibm-granite/granite-3.1-2b-instruct,True,True,True,True,True,True,True,True
4,4,ibm-granite/granite-7b-instruct,True,True,True,True,True,True,True,True
4,4,utter-project/EuroLLM-1.7B,True,True,True,True,True,True,True,True
4,4,utter-project/EuroLLM-1.7B-Instruct,True,True,True,True,True,True,True,True
