model,model_family,arm_id,repeats,theta_reference,theta_mwle,mwle_convergence_rate,honest_target_rate,nominal_precision_rate,scenarios_mean,scenarios_median,final_eap_se_mean,eval_pass_rate_mae
ibm-granite/granite-3.1-2b-base,granite,eap_1601,5,0.7799768115831699,-0.36831319724139167,1.0,1.0,1.0,19.2,19.0,0.19561350724437346,0.1838240967733583
ibm-granite/granite-3.1-2b-instruct,granite,eap_1601,5,3.383382676806291,3.5956995893988775,1.0,1.0,1.0,37.2,38.0,0.1984316044127179,0.015819781114466958
ibm-granite/granite-7b-instruct,granite,eap_1601,5,1.7447740603157065,1.7512436990872104,1.0,1.0,1.0,23.4,23.0,0.19227621612665852,0.03850093702659001
ibm/PowerLM-3b,powerlm,eap_1601,5,0.8935995126223195,0.5917663389810833,1.0,1.0,1.0,19.4,19.0,0.19767833230779644,0.13638181959551865
meta-llama/Llama-3.2-1B,llama_3_2,eap_1601,5,-2.566036967529366,-3.0488745321838513,1.0,1.0,1.0,46.6,47.0,0.19806426609864206,0.04974095424111416
meta-llama/Llama-3.2-1B-Instruct,llama_3_2,eap_1601,5,2.0080489198392897,2.3610388168555305,1.0,1.0,1.0,25.0,24.0,0.1973769929602285,0.05738919727559992
meta-llama/Llama-3.2-3B-Instruct,llama_3_2,eap_1601,5,3.626436397914959,3.6066476939003507,1.0,1.0,1.0,35.6,35.0,0.19925266371565137,0.006146494657569823
microsoft/phi-1_5,phi,eap_1601,5,-1.6654487160999938,-1.1751470945788756,1.0,1.0,1.0,26.2,27.0,0.1971624575241273,0.038996824580120173
nvidia/AceInstruct-1.5B,ace,eap_1601,5,2.7798068009009875,3.00947300594236,1.0,1.0,1.0,30.6,28.0,0.19822131608613017,0.025874068727114063
openbmb/MiniCPM-1B-sft-bf16,minicpm,eap_1601,5,-1.2969164302252643,-0.6901551896147012,1.0,1.0,1.0,20.2,20.0,0.19923957379991802,0.14208462801694982
openbmb/MiniCPM-2B-sft-bf16,minicpm,eap_1601,5,0.2692943881271723,1.219593628943654,1.0,1.0,1.0,21.2,21.0,0.19694877163144903,0.1986049304595568
openlm-research/open_llama_3b,open_llama,eap_1601,5,-3.5272414089406765,-3.802442195950044,1.0,0.0,0.0,50.0,50.0,0.2312717710988374,0.010773154732091183
pankajmathur/orca_mini_3b,orca_mini,eap_1601,5,-0.6286410605026271,-0.7224613689846414,1.0,1.0,1.0,21.2,21.0,0.19914107879991724,0.033313405267842044
pankajmathur/orca_mini_v9_5_3B-Instruct,orca_mini,eap_1601,5,2.8930699369492046,3.0648555962590374,1.0,1.0,1.0,34.0,34.0,0.1978620554407761,0.037181631248147926
stabilityai/stablelm-2-1_6b-chat,stablelm,eap_1601,5,1.7902243187940656,2.0036724643863573,1.0,1.0,1.0,21.4,21.0,0.19869280336281495,0.0331978204091238
stabilityai/stablelm-2-zephyr-1_6b,stablelm,eap_1601,5,1.7079696466171543,1.8430557627268693,1.0,1.0,1.0,20.6,21.0,0.19798707503190854,0.022211411740008624
stabilityai/stablelm-zephyr-3b,stablelm,eap_1601,5,2.127090858857009,2.2187032825990665,1.0,1.0,1.0,26.2,27.0,0.1970711488586685,0.007520735198656392
tiiuae/Falcon3-1B-Instruct,falcon3,eap_1601,5,1.7312125318921665,2.3063341067134266,1.0,1.0,1.0,26.8,27.0,0.19673780480197053,0.06472894172211327
tiiuae/Falcon3-3B-Base,falcon3,eap_1601,5,0.09533819658417775,-0.16813452631686757,1.0,1.0,1.0,18.8,17.0,0.1977144751720526,0.06698526348033569
tiiuae/Falcon3-3B-Instruct,falcon3,eap_1601,5,3.3068084846615564,3.542175681822701,1.0,1.0,1.0,35.0,35.0,0.19857172020095346,0.03707524634329573
utter-project/EuroLLM-1.7B,eurollm,eap_1601,5,-2.777009986970474,-2.3862964852892516,1.0,1.0,1.0,34.8,35.0,0.19843370065304658,0.04766263494368228
utter-project/EuroLLM-1.7B-Instruct,eurollm,eap_1601,5,0.8678792275745101,0.9850938535195304,1.0,1.0,1.0,18.6,19.0,0.19692024481128625,0.04259167160330406
01-ai/Yi-1.5-6B,yi,eap_801,5,-0.9186728971724787,-1.810797380270604,1.0,1.0,1.0,30.4,31.0,0.19758148052762634,0.25523577020290894
01-ai/Yi-1.5-6B-Chat,yi,eap_801,5,2.5706364539652955,3.462183840300001,1.0,1.0,1.0,34.4,35.0,0.1974096589337988,0.05250492689160426
01-ai/Yi-6B,yi,eap_801,5,-1.6684224111879673,-1.5876698938043432,1.0,1.0,1.0,27.6,28.0,0.19859528972200483,0.03301565779193925
01-ai/Yi-6B-200K,yi,eap_801,5,-2.7759393840832596,-3.209289863791482,1.0,0.4,0.4,49.4,50.0,0.20151799728704844,0.03712876949367617
01-ai/Yi-6B-Chat,yi,eap_801,5,2.0238335149796716,1.682033765251577,1.0,1.0,1.0,21.6,22.0,0.1953491787628089,0.03592233215632727
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,eap_801,5,-5.242647005800174,-5.862962360091547,1.0,0.0,0.0,50.0,50.0,0.34687705093267984,0.0077570495428601685
BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,eap_801,5,-3.2102725838300885,-4.059142294093077,1.0,0.0,0.0,50.0,50.0,0.24175047687702275,0.005520406119306494
BSC-LT/salamandra-2b,salamandra,eap_801,5,-2.259444991571338,-1.671607156499824,1.0,1.0,1.0,29.2,28.0,0.19473768727095722,0.06907616736097436
BSC-LT/salamandra-2b-instruct,salamandra,eap_801,5,0.5661025688478047,0.7277925405182908,1.0,1.0,1.0,17.4,18.0,0.19461766655405371,0.07065685855350304
BSC-LT/salamandra-7b,salamandra,eap_801,5,-0.8983482431759263,-0.9831696817713613,1.0,1.0,1.0,22.8,23.0,0.19671397297949805,0.020742403715603243
BSC-LT/salamandra-7b-instruct,salamandra,eap_801,5,1.1980525377460396,1.3685636064868933,1.0,1.0,1.0,20.2,20.0,0.1965361083854355,0.01852075813231231
HuggingFaceTB/SmolLM2-360M,smollm,eap_801,5,-3.7362486651780884,-3.8248727405526424,1.0,0.0,0.0,50.0,50.0,0.23051300928517474,0.02954412679104495
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,eap_801,5,3.749585016057626,3.685071304644571,1.0,1.0,1.0,38.2,38.0,0.19832979191821562,0.03708108213681314
OpenBMB/MiniCPM4-0.5B,minicpm,eap_801,5,0.8769739693043135,1.2232627410997279,1.0,1.0,1.0,21.8,22.0,0.19877508793274873,0.05308173688799715
Qwen/Qwen1.5-1.8B,qwen,eap_801,5,-1.920407693680059,-3.2047953649579894,1.0,0.2,0.2,49.0,50.0,0.20523421099153313,0.04305067400282953
Qwen/Qwen1.5-1.8B-Chat,qwen,eap_801,5,1.2855197261707512,1.8864385651681244,1.0,1.0,1.0,21.8,22.0,0.19761152700332316,0.07613586614696868
Qwen/Qwen2-0.5B,qwen,eap_801,5,-0.899904309574827,-1.458708970198693,1.0,1.0,1.0,27.0,26.0,0.19645447664495305,0.06488991362940515
Qwen/Qwen2.5-0.5B-Instruct,qwen,eap_801,5,0.9925394108264161,1.3638839118041381,1.0,1.0,1.0,18.2,18.0,0.19731033385888458,0.0934221340753569
ai-forever/mGPT,mgpt,eap_801,5,-5.2665439524899345,-5.955164853768942,1.0,0.0,0.0,50.0,50.0,0.3534256162952495,0.0033738347456569507
allenai/OLMo-1B-hf,olmo,eap_801,5,-4.815510767854862,-5.410721182027506,1.0,0.0,0.0,50.0,50.0,0.3215766270422371,0.00595647560218915
allenai/OLMo-2-0425-1B,olmo,eap_801,5,-2.2988741072219634,-2.775109520752035,1.0,1.0,1.0,44.0,43.0,0.19586300175639076,0.022206407622118247
allenai/OLMo-2-0425-1B-DPO,olmo,eap_801,5,1.9075893642829662,2.143529876242181,1.0,1.0,1.0,26.2,24.0,0.19554725716267743,0.07881386148171263
allenai/OLMo-2-0425-1B-Instruct,olmo,eap_801,5,1.901783589959394,1.9625136245738666,1.0,1.0,1.0,24.6,25.0,0.1952266630277826,0.03938748752084276
arcee-ai/raspberry-3B,raspberry,eap_801,5,2.3129363345426275,2.6632022353051767,1.0,1.0,1.0,28.0,29.0,0.19956186271539722,0.015163604414233122
google/gemma-2-2b,gemma,eap_801,5,-1.519101565414614,-1.5666383889311504,1.0,1.0,1.0,28.8,28.0,0.19807177367818568,0.02860880395086912
google/gemma-2b,gemma,eap_801,5,-2.3969812699173594,-2.0197389086419095,1.0,1.0,1.0,32.0,31.0,0.19706745803768175,0.009470139833725893
h2oai/h2o-danube-1.8b-chat,danube,eap_801,5,1.1968695542918504,1.5221537795335949,1.0,1.0,1.0,19.4,19.0,0.19672517071283874,0.11094416219511771
h2oai/h2o-danube2-1.8b-base,danube,eap_801,5,-0.6418174405629428,-0.8137638054511491,1.0,1.0,1.0,21.4,21.0,0.19727022705576372,0.02227823352401957
h2oai/h2o-danube2-1.8b-chat,danube,eap_801,5,1.4900303813315743,1.850524343798631,1.0,1.0,1.0,20.8,21.0,0.1969167454800027,0.03636575105919777
ibm-granite/granite-3.0-2b-base,granite,eap_801,5,0.8088889687870534,1.089759486075583,1.0,1.0,1.0,19.8,19.0,0.1966836436566773,0.06888160029555578
ibm-granite/granite-3.1-2b-base,granite,eap_801,5,0.7799768115831861,-0.36831319724139167,1.0,1.0,1.0,19.2,19.0,0.19561350724437337,0.1838240967733583
ibm-granite/granite-3.1-2b-instruct,granite,eap_801,5,3.383382676806336,3.5956995893988775,1.0,1.0,1.0,37.2,38.0,0.19843160441271795,0.015819781114466958
ibm-granite/granite-7b-instruct,granite,eap_801,5,1.7447740603157254,1.7512436990872104,1.0,1.0,1.0,23.4,23.0,0.19227621612665852,0.03850093702659001
ibm/PowerLM-3b,powerlm,eap_801,5,0.8935995126223386,0.5917663389810833,1.0,1.0,1.0,19.4,19.0,0.19767833230779625,0.13638181959551865
meta-llama/Llama-3.2-1B,llama_3_2,eap_801,5,-2.566036967529382,-3.0488745321838513,1.0,1.0,1.0,46.6,47.0,0.19806426609864253,0.04974095424111416
meta-llama/Llama-3.2-1B-Instruct,llama_3_2,eap_801,5,2.008048919839326,2.3610388168555305,1.0,1.0,1.0,25.0,24.0,0.1973769929602284,0.05738919727559992
meta-llama/Llama-3.2-3B-Instruct,llama_3_2,eap_801,5,3.6264363979149437,3.6066476939003507,1.0,1.0,1.0,35.6,35.0,0.19925266371565195,0.006146494657569823
microsoft/phi-1_5,phi,eap_801,5,-1.6654487160999931,-1.1751470945788756,1.0,1.0,1.0,26.2,27.0,0.19716245752412737,0.038996824580120173
nvidia/AceInstruct-1.5B,ace,eap_801,5,2.779806800900982,3.00947300594236,1.0,1.0,1.0,30.6,28.0,0.19822131608613003,0.025874068727114063
openbmb/MiniCPM-1B-sft-bf16,minicpm,eap_801,5,-1.2969164302252305,-0.6901551896147012,1.0,1.0,1.0,20.2,20.0,0.19923957379991825,0.14208462801694982
openbmb/MiniCPM-2B-sft-bf16,minicpm,eap_801,5,0.26929438812717377,1.219593628943654,1.0,1.0,1.0,21.2,21.0,0.19694877163144928,0.1986049304595568
openlm-research/open_llama_3b,open_llama,eap_801,5,-3.5272414089406596,-3.802442195950044,1.0,0.0,0.0,50.0,50.0,0.23127177109883745,0.010773154732091183
pankajmathur/orca_mini_3b,orca_mini,eap_801,5,-0.6286410605026187,-0.7224613689846414,1.0,1.0,1.0,21.2,21.0,0.19914107879991721,0.033313405267842044
pankajmathur/orca_mini_v9_5_3B-Instruct,orca_mini,eap_801,5,2.8930699369492388,3.0648555962590374,1.0,1.0,1.0,34.0,34.0,0.19786205544077612,0.037181631248147926
stabilityai/stablelm-2-1_6b-chat,stablelm,eap_801,5,1.790224318794137,2.0036724643863573,1.0,1.0,1.0,21.4,21.0,0.19869280336281486,0.0331978204091238
stabilityai/stablelm-2-zephyr-1_6b,stablelm,eap_801,5,1.7079696466171796,1.8430557627268693,1.0,1.0,1.0,20.6,21.0,0.1979870750319086,0.022211411740008624
stabilityai/stablelm-zephyr-3b,stablelm,eap_801,5,2.127090858857122,2.2187032825990665,1.0,1.0,1.0,26.2,27.0,0.19707114885866842,0.007520735198656392
tiiuae/Falcon3-1B-Instruct,falcon3,eap_801,5,1.7312125318921638,2.3063341067134266,1.0,1.0,1.0,26.8,27.0,0.1967378048019705,0.06472894172211327
tiiuae/Falcon3-3B-Base,falcon3,eap_801,5,0.09533819658417746,-0.1681345263168676,1.0,1.0,1.0,18.8,17.0,0.1977144751720527,0.0669852634803357
tiiuae/Falcon3-3B-Instruct,falcon3,eap_801,5,3.306808484661461,3.542175681822701,1.0,1.0,1.0,35.0,35.0,0.1985717202009533,0.03707524634329573
utter-project/EuroLLM-1.7B,eurollm,eap_801,5,-2.7770099869704454,-2.3862964852892516,1.0,1.0,1.0,34.8,35.0,0.19843370065304658,0.04766263494368228
utter-project/EuroLLM-1.7B-Instruct,eurollm,eap_801,5,0.867879227574468,0.9850938535195304,1.0,1.0,1.0,18.6,19.0,0.19692024481128628,0.04259167160330406
01-ai/Yi-1.5-6B,yi,online,5,-0.9186728971724787,-1.889785116668819,1.0,0.0,1.0,24.4,25.0,0.21946643081953474,0.2626857914260108
01-ai/Yi-1.5-6B-Chat,yi,online,5,2.5706364539652955,3.5268152121452303,1.0,0.0,1.0,28.8,29.0,0.21679197706779313,0.05784686201893883
01-ai/Yi-6B,yi,online,5,-1.6684224111879673,-1.5583834010236166,1.0,0.0,1.0,25.0,26.0,0.2055027642168505,0.029796157232969328
01-ai/Yi-6B-200K,yi,online,5,-2.7759393840832596,-3.2618581471034154,1.0,0.0,1.0,39.0,40.0,0.22338794195900452,0.039284649154572304
01-ai/Yi-6B-Chat,yi,online,5,2.0238335149796716,1.7133263800677412,1.0,0.0,1.0,19.0,18.0,0.21078680032121172,0.031522363847685496
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,online,5,-5.242647005800174,-5.862962360091547,1.0,0.0,0.2,50.0,50.0,0.34687705093267984,0.0077570495428601685
BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,online,5,-3.2102725838300885,-3.967803933347092,1.0,0.0,1.0,38.0,39.0,0.2585165823017269,0.007791867978052422
BSC-LT/salamandra-2b,salamandra,online,5,-2.259444991571338,-1.6657369096497328,1.0,0.0,1.0,25.0,25.0,0.20959374215799617,0.06955095577184943
BSC-LT/salamandra-2b-instruct,salamandra,online,5,0.5661025688478047,0.8166500692414541,1.0,0.6,1.0,17.2,17.0,0.19702839440227377,0.0849934360995888
BSC-LT/salamandra-7b,salamandra,online,5,-0.8983482431759263,-1.0118257231604846,1.0,0.0,1.0,20.8,21.0,0.20427688659473672,0.011017093631234686
BSC-LT/salamandra-7b-instruct,salamandra,online,5,1.1980525377460396,1.3968516337224788,1.0,0.6,1.0,19.4,19.0,0.20113383069354457,0.018205235449726388
HuggingFaceTB/SmolLM2-360M,smollm,online,5,-3.7362486651780884,-3.7772862764061808,1.0,0.0,1.0,40.8,42.0,0.24390544206899728,0.028451157474821742
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,online,5,3.749585016057626,3.745547697491704,1.0,0.0,1.0,30.0,31.0,0.22423064836700876,0.041338508302709374
OpenBMB/MiniCPM4-0.5B,minicpm,online,5,0.8769739693043135,1.181828280664715,1.0,0.2,1.0,20.0,21.0,0.20617689932409994,0.04648455136449139
Qwen/Qwen1.5-1.8B,qwen,online,5,-1.920407693680059,-3.278517068080766,1.0,0.0,1.0,35.8,35.0,0.23290466613994526,0.04602423893692292
Qwen/Qwen1.5-1.8B-Chat,qwen,online,5,1.2855197261707512,1.8689116477157353,1.0,0.0,1.0,19.2,20.0,0.20801832304905296,0.07381093350156143
Qwen/Qwen2-0.5B,qwen,online,5,-0.899904309574827,-1.4391327379625216,1.0,0.0,1.0,24.6,25.0,0.20677134215119866,0.06258496396916258
Qwen/Qwen2.5-0.5B-Instruct,qwen,online,5,0.9925394108264161,1.339894472806184,1.0,0.2,1.0,17.4,17.0,0.20114807972362025,0.08967075019120001
ai-forever/mGPT,mgpt,online,5,-5.2665439524899345,-5.995490010533996,1.0,0.0,0.2,49.0,50.0,0.3562981768462189,0.0031905160326284347
allenai/OLMo-1B-hf,olmo,online,5,-4.815510767854862,-5.410721182027506,1.0,0.0,0.0,50.0,50.0,0.3215766270422371,0.00595647560218915
allenai/OLMo-2-0425-1B,olmo,online,5,-2.2988741072219634,-3.013799502551008,1.0,0.0,1.0,30.6,31.0,0.2393982766604949,0.034188464348385954
allenai/OLMo-2-0425-1B-DPO,olmo,online,5,1.9075893642829662,2.193467275534064,1.0,0.0,1.0,23.4,23.0,0.2091400838030472,0.08462130926142593
allenai/OLMo-2-0425-1B-Instruct,olmo,online,5,1.901783589959394,2.037781761449156,1.0,0.2,1.0,21.6,20.0,0.20661649996573456,0.04901545310861981
arcee-ai/raspberry-3B,raspberry,online,5,2.3129363345426275,2.506949103264276,1.0,0.0,1.0,22.8,23.0,0.2115991777450037,0.012519311171681613
google/gemma-2-2b,gemma,online,5,-1.519101565414614,-1.4582308282518408,1.0,0.0,1.0,25.6,26.0,0.20795087241492763,0.03779924429783163
google/gemma-2b,gemma,online,5,-2.3969812699173594,-1.9583562154406888,1.0,0.0,1.0,28.0,29.0,0.20803850540687702,0.017375678401146698
h2oai/h2o-danube-1.8b-chat,danube,online,5,1.1968695542918504,1.4968441723632364,1.0,0.4,1.0,18.8,19.0,0.19993897071061884,0.10732926262677053
h2oai/h2o-danube2-1.8b-base,danube,online,5,-0.6418174405629428,-0.8057527609479745,1.0,0.8,1.0,21.2,21.0,0.19775278492664594,0.02106700881823695
h2oai/h2o-danube2-1.8b-chat,danube,online,5,1.4900303813315743,1.8408612827007986,1.0,0.2,1.0,19.2,19.0,0.20454994390694323,0.03635134702662235
ibm-granite/granite-3.0-2b-base,granite,online,5,0.8088889687870534,1.114102232830885,1.0,0.0,1.0,17.4,16.0,0.2144459563289831,0.07311991354813654
ibm-granite/granite-3.1-2b-base,granite,online,5,0.7799768115831861,-0.4029330988028964,1.0,0.6,1.0,18.8,19.0,0.19818491163194699,0.18953567018709921
ibm-granite/granite-3.1-2b-instruct,granite,online,5,3.383382676806336,3.6624774807854052,1.0,0.0,1.0,28.2,28.0,0.232095344479414,0.0110854355791149
ibm-granite/granite-7b-instruct,granite,online,5,1.7447740603157254,1.8605214543914497,1.0,0.0,1.0,20.4,21.0,0.21020211629726324,0.05306219751000145
ibm/PowerLM-3b,powerlm,online,5,0.8935995126223386,0.5915091236073524,1.0,0.6,1.0,18.8,19.0,0.20142919993210215,0.13664236217271447
meta-llama/Llama-3.2-1B,llama_3_2,online,5,-2.566036967529382,-3.278364487705363,1.0,0.0,1.0,36.6,38.0,0.2276670725899404,0.059380654645589934
meta-llama/Llama-3.2-1B-Instruct,llama_3_2,online,5,2.008048919839326,2.3871480221947827,1.0,0.0,1.0,22.6,23.0,0.2103405156505857,0.06013973321617814
meta-llama/Llama-3.2-3B-Instruct,llama_3_2,online,5,3.6264363979149437,3.7466884285813764,1.0,0.0,1.0,28.2,28.0,0.2220015781617108,0.012167498737461679
microsoft/phi-1_5,phi,online,5,-1.6654487160999931,-1.1783509961897196,1.0,0.2,1.0,25.0,25.0,0.20240813562293533,0.03854916213233015
nvidia/AceInstruct-1.5B,ace,online,5,2.779806800900982,2.9958936664244136,1.0,0.0,1.0,25.6,25.0,0.21528334491425025,0.023803469249386387
openbmb/MiniCPM-1B-sft-bf16,minicpm,online,5,-1.2969164302252305,-0.7059383920692686,1.0,0.0,1.0,19.0,19.0,0.20620100137867095,0.1392739409498097
openbmb/MiniCPM-2B-sft-bf16,minicpm,online,5,0.26929438812717377,1.2294629355818718,1.0,1.0,1.0,21.4,21.0,0.19627142298730801,0.20008375715186683
openlm-research/open_llama_3b,open_llama,online,5,-3.5272414089406596,-3.679970368688759,1.0,0.0,1.0,34.4,34.0,0.25525850802623695,0.007447097546839301
pankajmathur/orca_mini_3b,orca_mini,online,5,-0.6286410605026187,-0.7302349425095184,1.0,0.0,1.0,19.6,19.0,0.20700663104971678,0.032935754741243495
pankajmathur/orca_mini_v9_5_3B-Instruct,orca_mini,online,5,2.8930699369492388,3.0401736809633486,1.0,0.0,1.0,26.6,27.0,0.22153731326857282,0.034910759922930336
stabilityai/stablelm-2-1_6b-chat,stablelm,online,5,1.790224318794137,2.0223651811438437,1.0,0.0,1.0,19.0,19.0,0.20717386847106672,0.0356691449725844
stabilityai/stablelm-2-zephyr-1_6b,stablelm,online,5,1.7079696466171796,1.8587747006674964,1.0,0.4,1.0,19.8,20.0,0.2024119243148299,0.020155233146488614
stabilityai/stablelm-zephyr-3b,stablelm,online,5,2.127090858857122,2.3701847177969286,1.0,0.0,1.0,20.2,20.0,0.2305555385296461,0.02055775904734991
tiiuae/Falcon3-1B-Instruct,falcon3,online,5,1.7312125318921638,2.2020232855692994,1.0,0.0,1.0,22.2,23.0,0.2116817094912662,0.05236959663332304
tiiuae/Falcon3-3B-Base,falcon3,online,5,0.09533819658417746,-0.15444874935746145,1.0,0.8,1.0,18.6,17.0,0.19870101709252436,0.06485636417315978
tiiuae/Falcon3-3B-Instruct,falcon3,online,5,3.306808484661461,3.5487106069270853,1.0,0.0,1.0,28.2,28.0,0.22193364754606099,0.036655561023269126
utter-project/EuroLLM-1.7B,eurollm,online,5,-2.7770099869704454,-2.3229213549403256,1.0,0.0,1.0,28.2,29.0,0.21527352610940328,0.05254254372677305
utter-project/EuroLLM-1.7B-Instruct,eurollm,online,5,0.867879227574468,1.0092819433513878,1.0,0.4,1.0,17.6,17.0,0.20293660553248943,0.046358064886591645
