bank,N,r,mae,n_eval_models
1PL,108,0.8954,0.0887,12
1PL,109,0.9039,0.0885,12
1PL,110,0.8999,0.088,12
1PL,111,0.8947,0.0883,12
1PL,112,0.8914,0.088,12
1PL,113,0.8814,0.0876,12
1PL,114,0.8805,0.0887,12
1PL,115,0.8796,0.0885,12
1PL,116,0.8842,0.0888,12
1PL,117,0.8835,0.0894,12
1PL,118,0.8847,0.0894,12
1PL,119,0.8838,0.0888,12
1PL,120,0.8841,0.0897,12
1PL,121,0.8866,0.0909,12
1PL,122,0.8803,0.0917,12
1PL,123,0.8778,0.0921,12
1PL,124,0.8814,0.0919,12
1PL,125,0.8791,0.091,12
1PL,126,0.8779,0.0914,12
1PL,127,0.8786,0.0917,12
1PL,128,0.8809,0.0914,12
1PL,129,0.8842,0.0913,12
1PL,130,0.8859,0.092,12
1PL,131,0.8794,0.0925,12
1PL,132,0.8797,0.0922,12
1PL,133,0.8822,0.0926,12
1PL,134,0.8785,0.0927,12
1PL,135,0.8688,0.0927,12
1PL,136,0.866,0.0917,12
1PL,137,0.8645,0.0915,12
1PL,138,0.8635,0.0922,12
1PL,139,0.8643,0.0926,12
1PL,140,0.8647,0.0923,12
1PL,141,0.8641,0.0921,12
1PL,142,0.8639,0.0929,12
1PL,143,0.8648,0.0928,12
1PL,144,0.8649,0.0927,12
1PL,145,0.8687,0.0924,12
1PL,146,0.8718,0.0918,12
1PL,147,0.8746,0.0924,12
1PL,148,0.8773,0.0924,12
1PL,149,0.8781,0.0915,12
1PL,150,0.8797,0.0918,12
1PL,151,0.878,0.0916,12
1PL,152,0.8792,0.0909,12
1PL,153,0.878,0.0909,12
1PL,154,0.8782,0.0905,12
1PL,155,0.8707,0.0902,12
1PL,156,0.8711,0.0899,12
1PL,157,0.8708,0.0897,12
1PL,158,0.8737,0.0906,12
1PL,159,0.8717,0.0909,12
1PL,160,0.8712,0.0907,12
1PL,161,0.8755,0.0914,12
1PL,162,0.8768,0.0913,12
1PL,163,0.8699,0.0917,12
1PL,164,0.8684,0.0923,12
1PL,165,0.8657,0.0924,12
1PL,166,0.8627,0.0927,12
1PL,167,0.8612,0.093,12
1PL,168,0.866,0.0933,12
1PL,169,0.8628,0.093,12
1PL,170,0.8639,0.0933,12
1PL,171,0.8648,0.0935,12
1PL,172,0.8652,0.0933,12
1PL,173,0.8705,0.0932,12
1PL,174,0.868,0.0933,12
1PL,175,0.8704,0.0935,12
1PL,176,0.8659,0.0937,12
1PL,177,0.8634,0.0942,12
1PL,178,0.8724,0.0944,12
1PL,179,0.8733,0.0947,12
1PL,180,0.8697,0.0947,12
1PL,181,0.8763,0.0943,12
1PL,182,0.8772,0.0955,12
1PL,183,0.883,0.0957,12
1PL,184,0.8823,0.0959,12
1PL,185,0.8858,0.0964,12
1PL,186,0.8846,0.0961,12
1PL,187,0.8914,0.0962,12
1PL,188,0.8901,0.0961,12
1PL,189,0.8923,0.0963,12
1PL,190,0.8919,0.0964,12
1PL,191,0.8896,0.0958,12
1PL,192,0.884,0.0957,12
1PL,193,0.8862,0.0966,12
1PL,194,0.8852,0.0968,12
1PL,195,0.8868,0.0964,12
1PL,196,0.8817,0.0967,12
1PL,197,0.8841,0.0967,12
1PL,198,0.8834,0.0967,12
1PL,199,0.8823,0.0964,12
1PL,200,0.8827,0.0964,12
1PL,201,0.8796,0.0968,12
1PL,202,0.8806,0.0973,12
1PL,203,0.8826,0.0971,12
1PL,204,0.8836,0.0966,12
1PL,205,0.8888,0.0973,12
1PL,206,0.8908,0.0976,12
1PL,207,0.8899,0.0976,12
1PL,208,0.8924,0.0979,12
1PL,209,0.8917,0.0977,12
1PL,210,0.8925,0.0979,12
1PL,211,0.8932,0.0975,12
1PL,212,0.8935,0.097,12
1PL,213,0.8964,0.0972,12
1PL,214,0.8948,0.0974,12
1PL,215,0.8952,0.0976,12
1PL,216,0.8988,0.0977,12
1PL,217,0.8983,0.0972,12
1PL,218,0.8962,0.0972,12
1PL,219,0.8963,0.0972,12
1PL,220,0.8946,0.0973,12
1PL,221,0.8968,0.097,12
1PL,222,0.9002,0.0971,12
1PL,223,0.8993,0.0975,12
1PL,224,0.9001,0.0979,12
1PL,225,0.8994,0.0982,12
1PL,226,0.9059,0.0979,12
1PL,227,0.9086,0.0974,12
1PL,228,0.9118,0.0974,12
1PL,229,0.9144,0.0973,12
1PL,230,0.9188,0.0973,12
1PL,231,0.9183,0.0972,12
1PL,232,0.917,0.0974,12
1PL,233,0.918,0.097,12
1PL,234,0.9177,0.0969,12
1PL,235,0.9216,0.0969,12
1PL,236,0.922,0.0968,12
1PL,237,0.9245,0.0965,12
1PL,238,0.9265,0.0965,12
1PL,239,0.9237,0.0963,12
1PL,240,0.925,0.0961,12
1PL,241,0.9222,0.0961,12
1PL,242,0.9241,0.0959,12
1PL,243,0.9228,0.0963,12
1PL,244,0.9253,0.0965,12
1PL,245,0.9262,0.0967,12
1PL,246,0.9269,0.0968,12
1PL,247,0.9269,0.0966,12
1PL,248,0.9269,0.0965,12
1PL,249,0.9252,0.0965,12
1PL,250,0.9251,0.0964,12
1PL,251,0.9249,0.0963,12
1PL,252,0.9242,0.0964,12
1PL,253,0.9229,0.0968,12
1PL,254,0.9228,0.0967,12
1PL,255,0.9235,0.0968,12
1PL,256,0.9225,0.0972,12
1PL,257,0.9225,0.0971,12
1PL,258,0.9207,0.0972,12
1PL,259,0.9224,0.0974,12
1PL,260,0.9226,0.0974,12
1PL,261,0.9242,0.0975,12
1PL,262,0.9203,0.0973,12
1PL,263,0.9209,0.0973,12
1PL,264,0.9205,0.0972,12
1PL,265,0.9231,0.0972,12
1PL,266,0.9227,0.0971,12
1PL,267,0.9223,0.0971,12
1PL,268,0.9222,0.097,12
1PL,269,0.9218,0.0974,12
1PL,270,0.9218,0.0973,12
1PL,271,0.9227,0.0974,12
1PL,272,0.9241,0.0978,12
1PL,273,0.9255,0.0982,12
1PL,274,0.9248,0.0983,12
1PL,275,0.9247,0.0982,12
1PL,276,0.9246,0.0981,12
1PL,277,0.9257,0.0985,12
1PL,278,0.9257,0.0984,12
1PL,279,0.9256,0.0983,12
1PL,280,0.9247,0.0984,12
1PL,281,0.925,0.0986,12
1PL,282,0.9244,0.0988,12
1PL,283,0.9217,0.0985,12
1PL,284,0.9222,0.0984,12
1PL,285,0.9218,0.0982,12
1PL,286,0.9231,0.0982,12
1PL,287,0.9231,0.0982,12
1PL,288,0.923,0.0982,12
1PL,289,0.923,0.0982,12
1PL,290,0.9247,0.0982,12
1PL,291,0.9255,0.0984,12
1PL,292,0.9254,0.0983,12
1PL,293,0.9299,0.0983,12
1PL,294,0.9291,0.0985,12
1PL,295,0.9319,0.0986,12
1PL,296,0.932,0.0992,12
1PL,297,0.9329,0.0994,12
1PL,298,0.9313,0.0995,12
1PL,299,0.9334,0.0997,12
1PL,300,0.9333,0.0997,12
1PL,301,0.9333,0.0996,12
1PL,302,0.9332,0.0996,12
1PL,303,0.9332,0.0995,12
1PL,304,0.9323,0.0992,12
1PL,305,0.9323,0.0992,12
1PL,306,0.9348,0.0994,12
1PL,307,0.9372,0.0995,12
1PL,308,0.9367,0.0992,12
1PL,309,0.9368,0.0992,12
1PL,310,0.9369,0.0991,12
1PL,311,0.9369,0.0991,12
1PL,312,0.9392,0.0993,12
1PL,313,0.9376,0.0994,12
1PL,314,0.9375,0.0994,12
1PL,315,0.9396,0.0995,12
1PL,316,0.9396,0.0995,12
1PL,317,0.9396,0.0994,12
1PL,318,0.9415,0.0996,12
1PL,319,0.9414,0.0995,12
1PL,320,0.9415,0.0994,12
1PL,321,0.9415,0.0994,12
1PL,322,0.9433,0.0996,12
1PL,323,0.9434,0.0995,12
1PL,324,0.9435,0.0995,12
1PL,325,0.9404,0.0999,12
1PL,326,0.9405,0.0999,12
1PL,327,0.9407,0.0999,12
1PL,328,0.9407,0.0999,12
1PL,329,0.9397,0.0999,12
1PL,330,0.9397,0.0999,12
1PL,331,0.9404,0.1001,12
1PL,332,0.9403,0.1001,12
1PL,333,0.94,0.1006,12
1PL,334,0.94,0.1005,12
1PL,335,0.94,0.1005,12
1PL,336,0.9404,0.1007,12
1PL,337,0.9404,0.1007,12
1PL,338,0.9404,0.1006,12
1PL,339,0.9404,0.1006,12
1PL,340,0.9403,0.1006,12
1PL,341,0.9412,0.1008,12
1PL,342,0.9426,0.1005,12
1PL,343,0.9426,0.1005,12
1PL,344,0.9426,0.1005,12
1PL,345,0.9425,0.1004,12
1PL,346,0.9425,0.1004,12
1PL,347,0.9425,0.1004,12
1PL,348,0.9425,0.1003,12
1PL,349,0.9408,0.1005,12
1PL,350,0.9427,0.1007,12
1PL,351,0.9427,0.1007,12
1PL,352,0.9428,0.1007,12
1PL,353,0.9428,0.1007,12
1PL,354,0.9428,0.1007,12
1PL,355,0.9433,0.1009,12
1PL,356,0.9433,0.1009,12
1PL,357,0.9433,0.1009,12
1PL,358,0.9433,0.1009,12
1PL,359,0.9433,0.1009,12
1PL,360,0.9433,0.1009,12
1PL,361,0.9432,0.1009,12
1PL,362,0.9432,0.1009,12
1PL,363,0.9432,0.1009,12
1PL,364,0.9436,0.1012,12
1PL,365,0.9435,0.1012,12
1PL,366,0.9435,0.1012,12
2PL,8,0.8557,0.1059,12
2PL,9,0.8716,0.1068,12
2PL,10,0.885,0.1076,12
2PL,11,0.8938,0.1059,12
2PL,12,0.9039,0.105,12
2PL,13,0.9086,0.1053,12
2PL,14,0.8965,0.103,12
2PL,15,0.908,0.1003,12
2PL,16,0.9119,0.1009,12
2PL,17,0.9073,0.101,12
2PL,18,0.9092,0.1032,12
2PL,19,0.9074,0.1029,12
2PL,20,0.9034,0.1026,12
2PL,21,0.9003,0.1034,12
2PL,22,0.9118,0.1042,12
2PL,23,0.9195,0.1046,12
2PL,24,0.929,0.1042,12
2PL,25,0.9287,0.1034,12
2PL,26,0.9234,0.1035,12
2PL,27,0.9173,0.1059,12
2PL,28,0.9179,0.1049,12
2PL,29,0.9211,0.1042,12
2PL,30,0.9173,0.1032,12
2PL,31,0.9091,0.103,12
2PL,32,0.9082,0.1036,12
2PL,33,0.9136,0.1034,12
2PL,34,0.9163,0.1031,12
2PL,35,0.919,0.1052,12
2PL,36,0.9186,0.1051,12
2PL,37,0.9205,0.1063,12
2PL,38,0.9198,0.1056,12
2PL,39,0.9169,0.1051,12
2PL,40,0.9211,0.105,12
2PL,41,0.9241,0.1055,12
2PL,42,0.9275,0.1059,12
2PL,43,0.9193,0.1065,12
2PL,44,0.9181,0.1068,12
2PL,45,0.9191,0.1074,12
2PL,46,0.9188,0.1072,12
2PL,47,0.9217,0.1081,12
2PL,48,0.925,0.1086,12
2PL,49,0.924,0.1075,12
2PL,50,0.9265,0.107,12
2PL,51,0.9321,0.1079,12
2PL,52,0.9303,0.1072,12
2PL,53,0.9348,0.1074,12
2PL,54,0.9331,0.1076,12
2PL,55,0.9353,0.1068,12
2PL,56,0.9363,0.1071,12
2PL,57,0.9363,0.1072,12
2PL,58,0.9382,0.108,12
2PL,59,0.941,0.1083,12
2PL,60,0.9386,0.1085,12
2PL,61,0.9393,0.1086,12
2PL,62,0.9356,0.1085,12
2PL,63,0.9361,0.1085,12
2PL,64,0.9406,0.1092,12
2PL,65,0.942,0.1097,12
2PL,66,0.943,0.1093,12
2PL,67,0.9432,0.109,12
2PL,68,0.9426,0.1097,12
2PL,69,0.9419,0.1098,12
2PL,70,0.9427,0.1103,12
2PL,71,0.9458,0.1103,12
2PL,72,0.945,0.1103,12
2PL,73,0.9482,0.1098,12
2PL,74,0.9485,0.1096,12
2PL,75,0.9486,0.1101,12
2PL,76,0.947,0.1099,12
2PL,77,0.9461,0.1098,12
2PL,78,0.945,0.1093,12
2PL,79,0.9475,0.109,12
2PL,80,0.9466,0.1094,12
2PL,81,0.9427,0.1089,12
2PL,82,0.9431,0.1085,12
2PL,83,0.9427,0.1081,12
2PL,84,0.9445,0.1074,12
2PL,85,0.9478,0.107,12
2PL,86,0.9472,0.1073,12
2PL,87,0.945,0.1073,12
2PL,88,0.9444,0.1072,12
2PL,89,0.943,0.1066,12
2PL,90,0.9428,0.1066,12
2PL,91,0.9429,0.1068,12
2PL,92,0.9415,0.1063,12
2PL,93,0.9442,0.1057,12
2PL,94,0.9431,0.1056,12
2PL,95,0.9443,0.1056,12
2PL,96,0.9438,0.1054,12
2PL,97,0.9442,0.1049,12
2PL,98,0.9449,0.1046,12
2PL,99,0.9439,0.1045,12
2PL,100,0.9443,0.1049,12
2PL,101,0.9444,0.1054,12
2PL,102,0.945,0.1056,12
2PL,103,0.9448,0.1055,12
2PL,104,0.9451,0.1056,12
2PL,105,0.9467,0.1059,12
2PL,106,0.9488,0.1061,12
2PL,107,0.9488,0.106,12
2PL,108,0.9484,0.1057,12
2PL,109,0.9494,0.1058,12
2PL,110,0.9479,0.1064,12
2PL,111,0.9482,0.1065,12
2PL,112,0.948,0.1068,12
2PL,113,0.9469,0.1069,12
2PL,114,0.9485,0.107,12
2PL,115,0.9515,0.1077,12
2PL,116,0.9531,0.1078,12
2PL,117,0.9541,0.1075,12
2PL,118,0.9539,0.1075,12
2PL,119,0.956,0.1078,12
2PL,120,0.9546,0.1078,12
2PL,121,0.9546,0.1084,12
2PL,122,0.9549,0.1081,12
2PL,123,0.954,0.1079,12
2PL,124,0.9539,0.1084,12
2PL,125,0.9523,0.1084,12
2PL,126,0.9522,0.1087,12
2PL,127,0.9522,0.1084,12
2PL,128,0.952,0.1082,12
2PL,129,0.952,0.1082,12
2PL,130,0.9519,0.1078,12
2PL,131,0.9513,0.1078,12
2PL,132,0.9513,0.1078,12
2PL,133,0.9497,0.1083,12
2PL,134,0.948,0.1078,12
2PL,135,0.9473,0.1082,12
2PL,136,0.9446,0.1087,12
2PL,137,0.9449,0.1087,12
2PL,138,0.9436,0.1085,12
2PL,139,0.9435,0.1084,12
2PL,140,0.944,0.1082,12
2PL,141,0.9439,0.1082,12
2PL,142,0.9442,0.1084,12
2PL,143,0.9447,0.1082,12
2PL,144,0.945,0.1081,12
2PL,145,0.9449,0.1084,12
2PL,146,0.9433,0.1082,12
2PL,147,0.9424,0.1076,12
2PL,148,0.9414,0.1076,12
2PL,149,0.9418,0.1073,12
2PL,150,0.943,0.1073,12
2PL,151,0.9436,0.1073,12
2PL,152,0.9445,0.1072,12
2PL,153,0.9447,0.1069,12
2PL,154,0.9437,0.107,12
2PL,155,0.946,0.1067,12
2PL,156,0.9478,0.107,12
2PL,157,0.9475,0.1071,12
2PL,158,0.9464,0.1074,12
2PL,159,0.946,0.1074,12
2PL,160,0.9462,0.1072,12
2PL,161,0.9473,0.1074,12
2PL,162,0.9469,0.1075,12
2PL,163,0.9458,0.1074,12
2PL,164,0.946,0.1077,12
2PL,165,0.9458,0.1078,12
2PL,166,0.9455,0.1077,12
2PL,167,0.9438,0.1076,12
2PL,168,0.9446,0.1078,12
2PL,169,0.9443,0.1076,12
2PL,170,0.9455,0.1077,12
2PL,171,0.9456,0.1077,12
2PL,172,0.9457,0.1073,12
2PL,173,0.9458,0.1073,12
2PL,174,0.9437,0.1069,12
2PL,175,0.9441,0.1068,12
2PL,176,0.9444,0.1067,12
2PL,177,0.944,0.1067,12
2PL,178,0.9443,0.1071,12
2PL,179,0.9438,0.107,12
2PL,180,0.943,0.1068,12
2PL,181,0.9414,0.107,12
2PL,182,0.9397,0.1074,12
2PL,183,0.9407,0.1075,12
2PL,184,0.9399,0.1075,12
2PL,185,0.9406,0.1073,12
2PL,186,0.9392,0.1074,12
2PL,187,0.9408,0.1073,12
2PL,188,0.9413,0.107,12
2PL,189,0.9427,0.1073,12
2PL,190,0.9422,0.1073,12
2PL,191,0.9412,0.1073,12
2PL,192,0.941,0.1071,12
2PL,193,0.9422,0.1069,12
2PL,194,0.9419,0.1067,12
2PL,195,0.9416,0.1065,12
2PL,196,0.9412,0.1065,12
2PL,197,0.9415,0.1063,12
2PL,198,0.9436,0.1066,12
2PL,199,0.9444,0.1064,12
2PL,200,0.9442,0.1064,12
2PL,201,0.944,0.1061,12
2PL,202,0.9439,0.1061,12
2PL,203,0.944,0.1061,12
2PL,204,0.9442,0.1061,12
2PL,205,0.9445,0.1061,12
2PL,206,0.9442,0.1063,12
2PL,207,0.9448,0.1062,12
2PL,208,0.9444,0.1061,12
2PL,209,0.9455,0.1065,12
2PL,210,0.9456,0.1063,12
2PL,211,0.9455,0.1063,12
2PL,212,0.9445,0.1059,12
2PL,213,0.9446,0.1059,12
2PL,214,0.945,0.1059,12
2PL,215,0.9453,0.1059,12
2PL,216,0.9452,0.1059,12
2PL,217,0.9455,0.1058,12
2PL,218,0.9457,0.1056,12
2PL,219,0.9463,0.1055,12
2PL,220,0.9462,0.1055,12
2PL,221,0.946,0.1054,12
2PL,222,0.9452,0.105,12
2PL,223,0.9453,0.1049,12
2PL,224,0.9459,0.1051,12
2PL,225,0.9465,0.1053,12
2PL,226,0.946,0.1054,12
2PL,227,0.9468,0.1053,12
2PL,228,0.9471,0.1052,12
2PL,229,0.9481,0.1052,12
2PL,230,0.9484,0.1051,12
2PL,231,0.9485,0.1053,12
2PL,232,0.9492,0.1054,12
2PL,233,0.9483,0.1053,12
2PL,234,0.9481,0.1053,12
2PL,235,0.9479,0.1053,12
2PL,236,0.948,0.1052,12
2PL,237,0.9475,0.1052,12
2PL,238,0.9477,0.1051,12
2PL,239,0.9485,0.1053,12
2PL,240,0.9494,0.1056,12
2PL,241,0.9505,0.1058,12
2PL,242,0.9511,0.1058,12
2PL,243,0.9506,0.1058,12
2PL,244,0.9509,0.1058,12
2PL,245,0.951,0.1057,12
2PL,246,0.9513,0.1054,12
2PL,247,0.9514,0.1054,12
2PL,248,0.9522,0.1054,12
2PL,249,0.9516,0.1056,12
2PL,250,0.9516,0.1056,12
2PL,251,0.9517,0.1056,12
2PL,252,0.9518,0.1057,12
2PL,253,0.952,0.1056,12
2PL,254,0.9523,0.1055,12
2PL,255,0.9525,0.1057,12
2PL,256,0.9525,0.1056,12
2PL,257,0.9521,0.1055,12
2PL,258,0.952,0.1055,12
2PL,259,0.952,0.1055,12
2PL,260,0.9514,0.1056,12
2PL,261,0.9504,0.1058,12
2PL,262,0.9501,0.1061,12
2PL,263,0.9502,0.106,12
2PL,264,0.9496,0.1061,12
2PL,265,0.9512,0.1063,12
2PL,266,0.9513,0.1063,12
2PL,267,0.9511,0.1061,12
2PL,268,0.95,0.1064,12
2PL,269,0.9498,0.1062,12
2PL,270,0.9499,0.1063,12
2PL,271,0.9473,0.1067,12
2PL,272,0.9477,0.1067,12
2PL,273,0.9482,0.1067,12
2PL,274,0.948,0.1067,12
2PL,275,0.948,0.1066,12
2PL,276,0.9486,0.1067,12
2PL,277,0.9474,0.1062,12
2PL,278,0.9471,0.1063,12
2PL,279,0.9473,0.1062,12
2PL,280,0.9472,0.1061,12
2PL,281,0.9479,0.106,12
2PL,282,0.9488,0.1061,12
2PL,283,0.9486,0.106,12
2PL,284,0.9487,0.106,12
2PL,285,0.9484,0.1058,12
2PL,286,0.9485,0.1058,12
2PL,287,0.9487,0.1058,12
2PL,288,0.9486,0.1059,12
2PL,289,0.9491,0.106,12
2PL,290,0.9492,0.106,12
2PL,291,0.9493,0.1059,12
2PL,292,0.9494,0.1059,12
2PL,293,0.9493,0.1058,12
2PL,294,0.9495,0.1057,12
2PL,295,0.949,0.1058,12
2PL,296,0.9491,0.1058,12
2PL,297,0.9492,0.1057,12
2PL,298,0.9497,0.1058,12
2PL,299,0.9501,0.1059,12
2PL,300,0.9504,0.1059,12
2PL,301,0.9501,0.1059,12
2PL,302,0.9507,0.1059,12
2PL,303,0.9503,0.1059,12
2PL,304,0.9503,0.106,12
2PL,305,0.9505,0.106,12
2PL,306,0.9503,0.1061,12
2PL,307,0.9504,0.106,12
2PL,308,0.9504,0.1061,12
2PL,309,0.9507,0.1061,12
2PL,310,0.9508,0.1061,12
2PL,311,0.951,0.1061,12
2PL,312,0.9507,0.106,12
2PL,313,0.9508,0.106,12
2PL,314,0.9508,0.1059,12
2PL,315,0.951,0.1059,12
2PL,316,0.9512,0.1058,12
2PL,317,0.9515,0.1058,12
2PL,318,0.9513,0.1058,12
2PL,319,0.9515,0.1058,12
2PL,320,0.9518,0.1058,12
2PL,321,0.9517,0.1057,12
2PL,322,0.9522,0.1057,12
2PL,323,0.952,0.1057,12
2PL,324,0.9522,0.1057,12
2PL,325,0.9525,0.1057,12
2PL,326,0.9524,0.1056,12
2PL,327,0.9524,0.1055,12
2PL,328,0.9518,0.1052,12
2PL,329,0.9523,0.1054,12
2PL,330,0.9525,0.1053,12
2PL,331,0.9527,0.1053,12
2PL,332,0.9523,0.1052,12
2PL,333,0.9522,0.1047,12
2PL,334,0.9519,0.1048,12
2PL,335,0.9517,0.1047,12
2PL,336,0.9519,0.1047,12
2PL,337,0.9519,0.1047,12
2PL,338,0.952,0.1047,12
2PL,339,0.9521,0.1047,12
2PL,340,0.9517,0.1048,12
2PL,341,0.9517,0.1047,12
2PL,342,0.9519,0.1046,12
2PL,343,0.952,0.1046,12
2PL,344,0.9523,0.1042,12
2PL,345,0.952,0.1041,12
2PL,346,0.952,0.1041,12
2PL,347,0.9519,0.1042,12
2PL,348,0.9514,0.1042,12
2PL,349,0.9526,0.1047,12
2PL,350,0.9527,0.1048,12
2PL,351,0.9527,0.1048,12
2PL,352,0.9527,0.1048,12
2PL,353,0.9527,0.1048,12
2PL,354,0.9527,0.1048,12
2PL,355,0.9527,0.1048,12
2PL,356,0.9527,0.1048,12
2PL,357,0.9524,0.1053,12
2PL,358,0.9524,0.1053,12
2PL,359,0.9577,0.1043,12
2PL,360,0.9577,0.1043,12
2PL,361,0.9577,0.1043,12
2PL,362,0.9577,0.1043,12
2PL,363,0.9577,0.1043,12
2PL,364,0.9577,0.1043,12
2PL,365,0.9577,0.1043,12
2PL,366,0.9577,0.1043,12
3PL,8,0.2468,0.1806,12
3PL,9,0.2465,0.1803,12
3PL,10,0.2916,0.179,12
3PL,11,0.2888,0.1808,12
3PL,12,0.3895,0.1793,12
3PL,13,0.3498,0.1809,12
3PL,14,0.3713,0.1805,12
3PL,15,0.3931,0.1797,12
3PL,16,0.3738,0.1806,12
3PL,17,0.4557,0.1781,12
3PL,18,0.4758,0.1785,12
3PL,19,0.4665,0.1781,12
3PL,20,0.4832,0.1748,12
3PL,21,0.4803,0.1746,12
3PL,22,0.4799,0.1737,12
3PL,23,0.4781,0.1743,12
3PL,24,0.4802,0.1733,12
3PL,25,0.4713,0.1727,12
3PL,26,0.4849,0.1712,12
3PL,27,0.4879,0.172,12
3PL,28,0.4911,0.1724,12
3PL,29,0.4976,0.1722,12
3PL,30,0.4954,0.1724,12
3PL,31,0.5029,0.1707,12
3PL,32,0.5064,0.171,12
3PL,33,0.5075,0.1707,12
3PL,34,0.5138,0.1705,12
3PL,35,0.5136,0.1704,12
3PL,36,0.5164,0.1705,12
3PL,37,0.5264,0.1707,12
3PL,38,0.5127,0.1701,12
3PL,39,0.5082,0.1706,12
3PL,40,0.5124,0.171,12
3PL,41,0.5206,0.171,12
3PL,42,0.5258,0.1705,12
3PL,43,0.5284,0.1703,12
3PL,44,0.5366,0.17,12
3PL,45,0.5369,0.1697,12
3PL,46,0.5327,0.1699,12
3PL,47,0.5351,0.1696,12
3PL,48,0.5281,0.1701,12
3PL,49,0.5308,0.1702,12
3PL,50,0.5274,0.1702,12
3PL,51,0.532,0.1702,12
3PL,52,0.534,0.1702,12
3PL,53,0.5288,0.17,12
3PL,54,0.5374,0.1698,12
3PL,55,0.544,0.1697,12
3PL,56,0.5696,0.1687,12
3PL,57,0.5741,0.1688,12
3PL,58,0.5734,0.1693,12
3PL,59,0.5767,0.1689,12
3PL,60,0.5966,0.1669,12
3PL,61,0.6066,0.167,12
3PL,62,0.6028,0.1668,12
3PL,63,0.5995,0.1669,12
3PL,64,0.5878,0.1674,12
3PL,65,0.5853,0.1674,12
3PL,66,0.5868,0.1672,12
3PL,67,0.5877,0.1673,12
3PL,68,0.5923,0.1671,12
3PL,69,0.5978,0.1669,12
3PL,70,0.602,0.1666,12
3PL,71,0.6012,0.1666,12
3PL,72,0.614,0.1669,12
