model,cat_scenarios,random_scenarios,cat_minus_random_scenarios,cat_precision_reached,random_precision_reached,cat_minus_random_online_instruction_following,cat_minus_random_eap_instruction_following,cat_minus_random_mwle_instruction_following
google/gemma-2b,6,27,-21,True,True,1.0122970000000002,0.5880857467230456,0.3851685389357793
h2oai/h2o-danube-1.8b-chat,5,26,-21,True,True,0.056468000000000074,0.014770076462859993,0.1279311570864059
h2oai/h2o-danube2-1.8b-base,6,12,-6,True,True,-0.7020529999999999,-0.22360851217922462,-1.1015274746414394
h2oai/h2o-danube2-1.8b-chat,5,7,-2,True,True,0.16248000000000007,0.008317253311629802,0.4269182475484177
ibm-granite/granite-3.0-2b-base,4,15,-11,True,True,0.50717,0.04041779115190113,0.5532571083541167
ibm-granite/granite-3.1-2b-base,6,24,-18,True,True,-1.075895,-1.0138720497586444,-1.078235932765063
ibm-granite/granite-3.1-2b-instruct,7,41,-34,True,True,-1.011739,-0.01362074771150068,1.4397802992000277
ibm-granite/granite-7b-instruct,5,27,-22,True,True,0.41062200000000004,0.007816317318664279,0.8124178522460361
ibm/PowerLM-3b,4,23,-19,True,True,-0.34719999999999995,-1.2019414291720123,-0.4022307920146127
meta-llama/Llama-3.2-1B,6,17,-11,True,True,0.22244200000000003,-0.9983868152964681,-0.3830085621482173
meta-llama/Llama-3.2-1B-Instruct,4,20,-16,True,True,0.12340700000000004,0.11841294274477465,0.6659364926665721
meta-llama/Llama-3.2-3B-Instruct,4,42,-38,True,True,-2.264112,-1.1887991495919334,-1.393656117310683
microsoft/phi-1_5,6,22,-16,True,True,0.2610760000000001,0.7558440682945791,0.45111468345738404
nvidia/AceInstruct-1.5B,5,31,-26,True,True,-0.7788610000000002,-1.32969501077927,-0.4373829616386482
openbmb/MiniCPM-1B-sft-bf16,6,11,-5,True,True,0.5236630000000001,0.00010827140135716284,0.43834124202539226
openbmb/MiniCPM-2B-sft-bf16,3,11,-8,True,True,-0.31423500000000004,-0.0033824821925223843,-0.297840663080268
openlm-research/open_llama_3b,5,30,-25,True,True,1.4372410000000002,1.2306501318451066,1.8310274899864025
pankajmathur/orca_mini_3b,7,12,-5,True,True,-0.6918599999999999,-1.3519026585597957,-0.8955747803239669
pankajmathur/orca_mini_v9_5_3B-Instruct,6,34,-28,True,True,-0.5963769999999999,-0.3232524773183898,0.4510466408686793
stabilityai/stablelm-2-1_6b-chat,5,20,-15,True,True,-0.08640199999999987,0.1696751327364605,0.6338888195734711
stabilityai/stablelm-2-zephyr-1_6b,6,22,-16,True,True,0.11945300000000003,0.0007108593511235828,0.2724502596361815
stabilityai/stablelm-zephyr-3b,5,35,-30,True,True,-0.9023040000000002,-0.18268762010933837,-0.7546937315263247
tiiuae/Falcon3-1B-Instruct,6,20,-14,True,True,0.577555,0.5693306890092726,1.2991763918182797
tiiuae/Falcon3-3B-Base,5,6,-1,True,True,-0.884867,-1.3552553617798575,-0.8553511423868222
tiiuae/Falcon3-3B-Instruct,4,21,-17,True,True,-1.446414,-0.3831900869909144,0.08919202107265711
utter-project/EuroLLM-1.7B,5,29,-24,True,True,0.5966159999999998,0.0495362655342344,0.07060410596551225
utter-project/EuroLLM-1.7B-Instruct,4,14,-10,True,True,-0.40829000000000004,-0.6589315100110694,-0.41385841758287756
