criterion_id,scenario_id,subject,primary_skill,criticality,non_atomic,irrelevant_misscoped,rigid_verbatim,identify_correct,reference_leak,absolute_failure,numeric_no_tolerance,prescribed_wording,reasons,char_len,criterion
tb_0002_c11,tb_0002,,content,not_critical,0,0,0,0,0,0,0,0,,100,"The response must explain that weaker the H-A bond, more easily it can break and give hydrogen ions."
tb_0002_c12,tb_0002,,content,not_critical,0,0,0,0,0,0,0,0,,152,"The response must explain that the greater the difference between the size of the two atoms, the weaker the bond and hence greater the acidic strength."
tb_0002_c13,tb_0002,,content,critical,0,0,0,0,0,0,0,0,,162,"The response must explain that since F has the smallest size and the highest electronegativity, H-F bond is the strongest and does not dissociate easily in water."
tb_0002_c14,tb_0002,,content,not_critical,0,0,0,0,0,0,0,0,,111,The response must explain that I is quite larger in comparison to hydrogen. Therefore H-I bond is the weakest.
tb_0002_c15,tb_0002,,content,not_critical,0,0,1,0,0,0,0,0,demands_specific_wording,102,"The response must state that the bond strength of HF, HCl, and HI increases in the order HI < HCl < HF"
tb_0002_c16,tb_0002,,content,not_critical,0,0,0,0,0,0,0,0,,112,"The response must explain that the higher the stability of the conjugate base, the greater the acidic strength."
tb_0002_c17,tb_0002,,content,critical,0,0,1,0,0,0,0,0,demands_specific_wording,113,The response must state that a conjugate base is an anion formed after an acid donates its hydrogen ion $(H^+)$.
tb_0002_c18,tb_0002,,content,not_critical,0,0,0,0,0,0,0,0,,126,The response must explain that the stability of the conjugate base depends upon its tendency to stabilize the negative charge.
tb_0002_c19,tb_0002,,content,not_critical,0,0,1,0,0,0,0,0,long_ie_anchor,227,"The response must explain that due to its larger size, $I^-$ can accommodate the negative charge over the larger volume, i.e., delocalization of the negative charge is better. Thus, $I^-$ is the most stabilized conjugate base."
tb_0002_c20,tb_0002,,content,not_critical,0,0,1,0,0,0,0,0,long_ie_anchor,214,"The response must explain that due to its smaller size and high charge density, $F^-$ is not able to accommodate the negative charge, i.e., delocalization of the negative charge is much less in comparison to $I^-$."
tb_0002_c21,tb_0002,,content,not_critical,0,0,1,0,0,0,0,0,demands_specific_wording,107,The response must state that the stability of conjugate bases increases in the order $F^-$ < $Cl^-$ < $I^-$
tb_0003_c01,tb_0003,,content,not_critical,1,0,0,0,0,0,0,0,multi_requirement_verb,246,"The response must identify that some methods, like substitution (i.e. let u=x+y), variables separation (i.e. f(y)dy=g(x)dx), and take antiderivative (i.e. \[ \int f(y) \, dy = \int g(x) \, dx \]) should be used to solve the differential equation."
tb_0003_c02,tb_0003,,content,not_critical,0,1,0,0,0,0,1,0,restatement_of_formula_or_answer|numeric_no_tolerance,121,"The response must provide the correct answer to the question, i.e. the correct answer is \[  y = 2\arctan(x + C) - x  \]."
tb_0003_c03,tb_0003,,diagnosis,critical,0,0,1,0,0,0,0,0,verbatim_incorrectness_label,115,"The response must identify that the student's solution [let u=x+y, \(\frac{du}{dx} = \frac{dy}{dx}\)] is incorrect."
tb_0003_c04,tb_0003,,diagnosis,not_critical,0,0,1,0,0,0,0,0,long_ie_anchor,190,"The response must correct the error [let u=x+y, \(\frac{du}{dx} = \frac{dy}{dx}\)], i.e. since u=x+y, take derivative respect to x, \(\frac{du}{dx} = \frac{d(x+y)}{dx} = 1 + \frac{dy}{dx}\)."
tb_0003_c05,tb_0003,,diagnosis,critical,0,0,1,0,0,0,0,0,verbatim_incorrectness_label,104,The response must identify that the antiderivative \[ \int \frac{du}{\cos(u)} = \sin(u) \] is incorrect.
tb_0003_c06,tb_0003,,content,critical,0,0,0,0,0,0,0,0,,228,"The response must correct error of the antiderivative, i.e. \[ \int \frac{du}{\cos(u)} = \ln \left| \sec(u) + \tan(u) \right| + C \], and the student probably got wrong by using \[  \int \cos(u) \, \mathrm{d}u = \sin(u) + C  \]."
tb_0003_c07,tb_0003,,diagnosis,not_critical,0,0,1,0,0,0,0,0,verbatim_incorrectness_label,81,The response must identify that the antiderivative \(\int dx = Cx\) is incorrect.
tb_0003_c08,tb_0003,,content,not_critical,0,0,0,0,0,0,0,0,,93,"The response must correct error of the antiderivative, i.e. \[  \text{int } dx = x + C  \], ."
tb_0003_c09,tb_0003,,diagnosis,critical,1,0,0,0,0,0,0,0,two_action_verbs_and,129,The response must identify and explain the first error in the student's solution: \(\frac{du}{dx} = \frac{dy}{dx}\) is incorrect.
tb_0003_c10,tb_0003,,diagnosis,critical,1,0,0,0,0,0,0,0,two_action_verbs_and,108,The response must identify and explain the second error: \(\int \frac{du}{\cos(u)} = \sin(u)\) is incorrect.
tb_0003_c11,tb_0003,,diagnosis,critical,1,0,0,0,0,0,0,0,two_action_verbs_and|multiple_errors_bundled,187,"The response must identify and explain the third error: \(\int dx = Cx\) is incorrect (which, together with the other errors, leads to the incorrect final answer \(y = \arcsin(Cx) - x\))."
tb_0003_c12,tb_0003,,,not_critical,0,1,0,0,0,0,0,0,surface_format_or_persona_only,269,"The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity; render mathematical expressions in LaTeX. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)"
tb_0004_c01,tb_0004,,content,critical,0,0,1,0,0,0,0,0,demands_specific_wording,164,The response must state and apply Dalton's law correctly by subtracting the water-vapour pressure (24.0 mmHg) from the total (755 mmHg) to obtain P_O_2 = 731 mmHg.
tb_0004_c02,tb_0004,,content,critical,0,0,0,0,0,0,0,0,,113,"The response must convert the given quantities to PV=nRT units (pressure to atm, 950 mL → 0.950 L, 25°C → 298 K)."
tb_0004_c03,tb_0004,,content,critical,0,0,0,0,0,0,0,0,,82,The response must compute n(O₂) ≈ 3.74×10⁻² mol using R = 0.08206 L·atm·mol⁻¹·K⁻¹.
tb_0004_c04,tb_0004,,content,critical,0,0,0,0,0,0,0,0,,140,"The response must explain the 2:3 stoichiometric factor and use n_KCIO_3 = (2/3) n_O_2, explicitly correcting the student's reversal (3/2)."
tb_0004_c05,tb_0004,,content,critical,0,0,0,0,0,0,0,0,,98,The response must multiply n_KCIO_3 by the molar mass (122.55 g mol^-1) to obtain m_pure ≈ 3.05 g.
tb_0004_c06,tb_0004,,content,critical,0,0,0,0,0,0,0,0,,204,The response must compute the percent purity with the given 3.25 g sample and report a value near 94% explicitly noting that purities > 100% are impossible and came from the student's earlier ratio error.
tb_0004_c07,tb_0004,,diagnosis,critical,0,0,0,0,0,0,0,0,,182,The response must address the student's specific misconception (adding rather than subtracting P_H_2O and using 3/2 instead of 2/3) and explain why each leads to an over-100% purity.
tb_0004_c08,tb_0004,,,not_critical,0,0,0,0,0,0,0,0,,121,The response should use a second-person encouraging teacher tone and explicitly invite the student to re-check their work
tb_0004_c09,tb_0004,,,not_critical,0,1,0,0,0,0,0,0,surface_format_or_persona_only,269,"The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity; render mathematical expressions in LaTeX. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)"
tb_0005_c01,tb_0005,,diagnosis,critical,0,0,0,0,0,0,0,0,,151,The response must acknowledge the student's expressed confusion regarding the formula and their curiosity about the physical limitations of the angle.
tb_0005_c02,tb_0005,,content,critical,0,0,1,0,0,0,0,0,demands_specific_wording,150,"The response must explicitly state that the student's proposed formula, T=2π(sqrt(Lsinθ/ganθ)), is a correct alternative form of the derived solution."
tb_0005_c03,tb_0005,,content,critical,0,0,1,0,0,0,0,0,demands_specific_wording,62,The response must state the definition tan(θ) = sin(θ)/cos(θ).
tb_0005_c04,tb_0005,,content,critical,0,0,0,0,0,0,0,0,,95,The response must show the step-by-step simplification proving the two formulas are equivalent.
tb_0005_c05,tb_0005,,content,critical,0,0,0,0,0,0,0,0,,237,"The response must explain the mathematical limitation of the formula by stating that for an angle θ > 90°, the cos(θ) term becomes negative, leading to a negative value under the square root, without mentioning imaginary/complex numbers."
tb_0005_c06,tb_0005,,content,critical,0,0,0,0,0,0,0,0,,223,"The response must explain the physical impossibility by using force components, stating that for θ > 90°, the vertical component of tension (Tcosθ) would be directed downwards, leaving no upward force to counteract gravity."
tb_0005_c07,tb_0005,,,not_critical,0,0,0,0,0,0,0,0,,98,"The response should have an encouraging, positive, and empathetic tone throughout the explanation."
tb_0005_c08,tb_0005,,,not_critical,1,0,0,0,0,0,0,0,multi_requirement_verb,170,"The response should remain focused on the student's questions and should avoid including extensive, unprompted discussions of other edge cases (such as θ = 0° or θ = 90°)"
tb_0006_c01,tb_0006,,,critical,0,0,0,0,0,0,0,0,,176,"The response must explicitly acknowledge the student's stated confusion (I'm really confused) with assurance. (e.g., ""It's okay to be confused,"" or ""I see why you're confused"")"
tb_0006_c02,tb_0006,,diagnosis,critical,1,0,0,0,0,0,0,0,enumerated_substeps,195,"The response must explicitly identify the logical error in the student's Step 2, which is the incorrect assumption that 'the car's average speed goes up by that same amount (v) every 10 seconds'."
tb_0006_c03,tb_0006,,diagnosis,critical,1,0,0,0,0,0,0,0,enumerated_substeps,172,The response must explain why Step 2 is flawed by stating that the student incorrectly assumed the average speed increases by the same amount over each 10-second interval.
tb_0006_c04,tb_0006,,content,critical,0,0,0,0,0,0,0,0,,189,"The response must provide the correct concept by clarifying that for constant acceleration, it is the instantaneous speed (the speed at any given moment) that increases by a steady amount."
tb_0006_c05,tb_0006,,content,critical,0,0,0,0,0,0,0,0,,206,"The response must provide a qualitative explanation for why the average speed is higher in later intervals (e.g., by explaining that the car is ""already moving fast from the start"" of the second interval)."
tb_0006_c06,tb_0006,,scaffolding,critical,0,0,0,0,0,0,0,0,,200,"The response must adhere to the student's negative constraint by prioritizing the conceptual explanation of their flawed logic, rather than primarily using the formula x= (1/2)at^2 as the main answer."
tb_0006_c07,tb_0006,,,not_critical,0,0,0,0,0,0,0,0,,87,The response should use an encouraging and validating tone throughout the explanation.
tb_0006_c08,tb_0006,,scaffolding,not_critical,0,0,0,0,0,0,0,0,,159,The response should use a simple analogy or comparative example to illustrate why more distance is covered in the second 10-second interval than in the first.
tb_0006_c09,tb_0006,,,not_critical,0,0,0,0,0,0,0,0,,130,"The response should conclude by checking for understanding or offering further help (e.g., ""Does that clarification make sense?"")."
tb_0007_c01,tb_0007,,content,critical,0,0,0,0,0,0,0,0,,129,The response must clearly identify that the vertical motion of the equation is quadratic due to the presence of the \(t^2\) term.
tb_0007_c02,tb_0007,,content,critical,0,0,0,0,0,0,0,0,,170,"The response must explain that a quadratic equation can have two real solutions, which represent two different times when the projectile is at the same vertical position."
tb_0007_c03,tb_0007,,content,not_critical,0,0,0,0,0,0,0,0,,197,"The response must accurately rewrite the equation \(y(t) = v_0 \sin\theta \cdot t - \frac{1}{2} g t^2\) as \(t (v_0 \sin\theta - \frac{1}{2} g t) = 0\), demonstrating proper algebraic manipulation."
tb_0007_c04,tb_0007,,content,not_critical,0,0,0,0,0,0,0,0,,136,"The response must derive both solutions as \(t=0\) and \(t=\frac{2v_0 \sin \theta}{g}\), illustrating how to solve a factored quadratic."
tb_0007_c05,tb_0007,,content,critical,1,0,1,0,0,0,0,0,multi_requirement_verb|conjoined_actions|demands_specific_wording,124,"The response must state that if a product of two expressions equals zero, then at least one of the expressions must be zero."
tb_0007_c06,tb_0007,,content,not_critical,0,0,1,0,0,0,0,0,demands_specific_wording,152,The response must state that \(t=0\) is the launch time and that \(t=\frac{2v_0 \sin \theta}{g}\) is the time when the projectile returns to the ground.
tb_0007_c07,tb_0007,,content,not_critical,0,0,0,0,0,0,0,0,,138,"The response must clarify that the second root represents the total time in the air, which is necessary to calculate the horizontal range."
tb_0007_c08,tb_0007,,content,not_critical,0,0,0,0,0,0,0,0,,161,The response must indicate that the time of flight from vertical motion is used in the horizontal equations \(x(t) = v_0 \cos \theta \cdot t\) to find the range.
tb_0007_c09,tb_0007,,scaffolding,not_critical,0,0,0,0,0,0,0,0,,144,"The response should demonstrate the zero product property using a simple example, such as \(ab=0\) which implies that either \(a=0\) or \(b=0\)."
tb_0008_c01,tb_0008,,diagnosis,critical,0,0,0,0,0,0,0,0,,217,"The response must identify that the student misunderstands that the force due to static friction is not directly dependent on the contact surface, it is dependent on the coefficient of friction times the normal force."
tb_0008_c02,tb_0008,,content,critical,0,0,0,0,0,0,0,0,,169,The response must explain that the coefficient of static friction captures the all of the physical effects between the objet and the surface that prevent it from moving.
tb_0008_c03,tb_0008,,content,critical,0,0,0,0,0,0,0,0,,142,The response must explain that using the center of mass radius $r_{cm}$ in part a) is an approximation that assumes a regular geometric shape.
tb_0008_c04,tb_0008,,content,critical,1,0,1,0,0,0,0,0,multi_requirement_verb|very_long_criterion,415,"The response must explain that the torque would accurately be calculated by integrating the pressure and friction forces over the surface, however, without detailed information about the shape/structure of the object, we should use $r_{eff}$, which is a characteristic distance that depends on the specific geometry of the object and its mass distribution. (This could be the center of mass, but isn't necessarily)."
tb_0008_c05,tb_0008,,,critical,0,0,0,0,0,0,0,0,,72,The response must explicitly acknowledge the student's stated confusion.
tb_0008_c06,tb_0008,,,not_critical,0,1,1,0,0,0,0,0,surface_format_or_persona_only|very_long_criterion,340,"The response should follow tutoring presentation conventions: address the student in the second person (conversational tutor voice); use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity; render mathematical expressions in LaTeX. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)"
tb_0009_c01,tb_0009,,content,critical,1,0,0,0,0,0,0,0,multi_requirement_verb,112,The response must correctly identify that the friction torque opposes the applied torque and must be subtracted.
tb_0009_c02,tb_0009,,,critical,0,0,0,0,0,0,0,0,,151,"The response must explicitly acknowledge that its initial explanation contained an error (e.g., ""I made a mistake,"" ""My apologies,"" ""I made an error"")."
tb_0009_c03,tb_0009,,diagnosis,critical,0,0,0,0,0,0,0,0,,187,"The response must explicitly validate the student's correct reasoning of the torque forces by confirming their intuition was right (e.g., ""You are correct,"" ""Your reasoning is spot on!"")."
tb_0009_c04,tb_0009,,content,critical,0,0,0,0,0,0,1,0,numeric_no_tolerance,96,The response must provide the correct final value for the angular acceleration (16.8 rad/(s^2)).
tb_0009_c05,tb_0009,,,not_critical,0,0,0,0,0,0,0,0,,198,"The response's tone should be explicitly encouraging by praising the student's insight or critical thinking, not just the question itself (e.g., ""Excellent thinking,"" ""Your intuition was spot on!"")."
tb_0009_c06,tb_0009,,,not_critical,0,0,0,0,0,0,0,0,,131,"The response should personalize the correction and validation using personal pronouns (e.g., ""You were right,"" ""I made a mistake"")."
tb_0009_c07,tb_0009,,scaffolding,not_critical,0,0,0,0,0,0,0,0,,135,"The response should use a step-by-step breakdown (e.g., using bullet points or a numbered list) to explain the direction of the forces."
tb_0009_c08,tb_0009,,,critical,0,0,0,0,0,0,0,0,,66,The response must explicitly acknowledge the student's confusion.
tb_0010_c01,tb_0010,,content,critical,0,0,0,0,0,0,0,0,,115,The response must identify the addition rule for mutually exclusive events as the key missing background knowledge.
tb_0010_c02,tb_0010,,content,critical,1,0,1,0,0,0,0,0,enumerated_substeps|demands_specific_wording,102,The response must state the rule: P(A or B) = P(A) + P(B) when the events cannot occur simultaneously.
tb_0010_c03,tb_0010,,diagnosis,critical,0,0,0,0,0,0,0,0,,148,The response must explain that the table only provides probabilities for exact/specific values and that P(X≥$10) is not directly given in the table.
tb_0010_c04,tb_0010,,content,critical,0,0,0,0,0,0,0,0,,177,"The response must explicitly define what ""at least $10"" means by stating it includes $10 or $20 or $50 or $100 (use ""or"" or equivalent language to show it is a compound event)."
tb_0010_c05,tb_0010,,diagnosis,critical,0,0,0,0,0,0,0,0,,158,"The response must explicitly validate that the student correctly understand the division formula with phrases like ""You are right about the division formula."""
tb_0010_c06,tb_0010,,scaffolding,not_critical,0,0,0,0,0,0,0,0,,125,"The response should provide an example (dice, marble, etc.) that illustrates the addition rule for mutually exclusive events."
tb_0010_c07,tb_0010,,content,not_critical,0,0,0,0,0,0,0,0,,93,The response should show the complete calculation: P(X≥$10) = 0.09 + 0.05 + 0.03 +0.01 = 0.18
tb_0010_c08,tb_0010,,,not_critical,0,0,0,0,0,0,0,0,,171,"The response should follow tutoring presentation conventions: be clearly and readably presented. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)"
tb_0011_c01,tb_0011,,diagnosis,critical,0,0,0,0,0,0,0,0,,121,The response must identify the core conceptual distinction between an 'experimental unit' and a 'matching/blocking unit'.
tb_0011_c02,tb_0011,,diagnosis,critical,0,0,0,0,0,0,0,0,,87,The response must explain that this distinction is the root of the student's confusion.
tb_0011_c03,tb_0011,,scaffolding,critical,0,0,0,0,0,0,0,0,,246,"The response must use language that is exceptionally clear, simple, and provides information in a highly digestible manner, employing a conversational and approachable tone to gradually build the student's understanding without overwhelming them."
tb_0011_c04,tb_0011,,content,critical,0,0,0,0,0,0,0,0,,114,The response must define 'experimental unit' as the smallest entity to which a treatment is independently applied.
tb_0011_c05,tb_0011,,content,critical,0,0,0,0,0,0,0,0,,123,The response must explain why each of the 72 individuals is an experimental unit (treatment applied independently to each).
tb_0011_c06,tb_0011,,content,critical,0,0,0,0,0,0,0,0,,237,"The response must clearly explain the purpose and role of the twin pair by explicitly using the term ""matching unit"" or ""block,"" detailing how it helps control for specific confounding variables (e.g., genetic factors, initial severity)."
tb_0011_c07,tb_0011,,diagnosis,critical,0,0,1,0,0,0,0,0,long_ie_anchor,255,"The response must explicitly acknowledge and frame the student's specific misunderstanding (i.e., confusing experimental units with matching units/blocks or believing the pair is the experimental unit), rather than just proceeding with the correct answer."
tb_0011_c08,tb_0011,,diagnosis,critical,0,0,0,0,0,0,0,0,,269,"The response must explicitly and comprehensively correct the student's error by clearly explaining why the pair is not the experimental unit, directly refuting the student's stated premise (e.g., by explaining that two different treatments are applied within the pair)."
tb_0011_c09,tb_0011,,scaffolding,critical,0,0,0,0,0,0,0,0,,238,"The response must provide a new and distinct scenario-based example or analogy (e.g., plant halves, not just re-framing the current experiment) that is relevant and relatable, and effectively integrated to further clarify the distinction."
tb_0011_c10,tb_0011,,scaffolding,critical,1,0,0,0,0,0,0,0,conjoined_actions|enumerated_substeps,276,"The response must present the explanation in a pedagogically effective logical order that gradually builds understanding for a confused student (e.g., clarify the distinction first, then define/explain the roles, then refute the misconception with an example, then summarize)."
tb_0011_c11,tb_0011,,,not_critical,0,0,0,0,0,0,0,0,,247,"The response must consistently maintain an explicitly empathetic and validating tone throughout (e.g., starting with an explicit acknowledgement of the question's merit and the student's effort), fostering a highly supportive learning environment."
tb_0011_c12,tb_0011,,,not_critical,0,1,0,0,0,0,0,0,surface_format_or_persona_only,227,"The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)"
tb_0012_c01,tb_0012,,,critical,0,0,0,0,0,0,0,0,,128,The response must explicitly acknowledge the student's stated confusion and respond empathetically before giving the explanation
tb_0012_c02,tb_0012,,content,critical,0,0,1,0,0,0,0,0,demands_specific_wording,168,The response must clearly state that autosomal recessive inheritance is highly improbable (very unlikely) in this pedigree compared with X-linked recessive inheritance.
tb_0012_c03,tb_0012,,content,critical,0,0,0,0,0,0,0,0,,263,"The response must explain, step-by-step, why AR is highly improbable, citing at least one key distinguishing pattern (e.g., 100 % affected sons of an affected female, absence of affected daughters in that cross, or the need for two independent carrier marriages)."
tb_0012_c04,tb_0012,,diagnosis,critical,0,0,0,0,0,0,0,0,,153,The response must positively reinforce what the student already got right (that an unaffected female carrier could have affected sons in an AR scenario).
tb_0012_c05,tb_0012,,content,critical,0,0,0,0,0,0,0,0,,171,The response must supply the missing background contrast in transmission probabilities between AR (50 % risk per child) and XLR (100 % risk to sons of an affected female).
tb_0012_c06,tb_0012,,,not_critical,0,0,0,0,0,0,0,0,,81,"The response should use clear, student-friendly language and an encouraging tone."
tb_0012_c07,tb_0012,,,not_critical,0,1,0,0,0,0,0,0,surface_format_or_persona_only,227,"The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)"
tb_0013_c01,tb_0013,,diagnosis,critical,0,0,0,0,0,0,0,0,,229,"The response must identify the main missing background knowledge by explicitly stating that the independent in the general population (e.g., ""if someone tests positive on Test A, they are more likely to test positive on Test B"")"
tb_0013_c02,tb_0013,,content,critical,1,0,0,0,0,0,0,0,conjoined_actions,224,"The response must explain conditional independence by stating that if we already know for certain whether the person has the disorder or not, then learning one test's result tells us nothing new about the other test's result"
tb_0013_c03,tb_0013,,content,critical,0,0,1,0,0,0,0,0,demands_specific_wording,115,The response must state the multiplication rule for conditional independence: P(A and B | C) = P(A | C) × P(B | C).
tb_0013_c04,tb_0013,,content,critical,0,0,0,0,0,0,0,0,,71,The response must provide the calculation showing 0.92 × 0.88 = 0.8096.
tb_0013_c05,tb_0013,,content,critical,0,0,0,0,0,0,0,0,,219,"The response must explicitly emphasize that we can only multiply probabilities within each health status group (not across the entire population), using phrases like ""only within"", ""critical point"", or similar emphasis."
tb_0013_c06,tb_0013,,content,critical,0,0,0,0,0,0,0,0,,133,"The response must show or explain the distinction between P(B+ | A+) [dependent] and P(B+ | A+, D) = P(B+ | D) [independent given D]."
tb_0013_c07,tb_0013,,,critical,0,0,0,0,0,0,0,0,,134,"The response must acknowledge the student's confusion using empathetic language like ""I understand your confusion"" or similar phrases."
tb_0013_c08,tb_0013,,scaffolding,not_critical,0,0,0,0,0,0,0,0,,167,"The response should provide a concrete medical example showing two different test types (e.g., blood vs. DNA) to illustrate why conditional independence is reasonable."
tb_0013_c09,tb_0013,,content,not_critical,0,0,0,0,0,0,0,0,,145,"The response should explain when conditional independence would not hold (e.g., contamination, same biomarker, one test using another's results)."
tb_0013_c10,tb_0013,,content,not_critical,0,0,0,0,0,0,0,0,,175,"The response should provide a real-world analogy (beyond medical examples) to illustrate conditional independence, such as weather/rain causing multiple effects independently."
tb_0013_c11,tb_0013,,content,critical,0,0,0,0,0,0,0,0,,130,The response must show the calculation for people without the disorder: P(both test positive | no disorder) = 0.04 x 0.05 = 0.002.
tb_0014_c01,tb_0014,,content,critical,0,0,0,0,0,0,0,0,,198,The response must name the two distinct structural motifs on Protein Y (an N-terminal SH2 domain that docks to phospho-RTK-1 and a central proline-rich region that binds the SH3 groove of Kinase Z).
tb_0014_c02,tb_0014,,content,critical,0,0,0,0,0,0,0,0,,113,The response must describe step (a): allosteric release of the autoinhibitory tail when Kinase Z binds Protein Y.
tb_0014_c03,tb_0014,,content,critical,0,0,0,0,0,0,0,0,,113,The response must describe step (b): phosphorylation of Thr 183 in Z's activation loop by the helper kinase CK-α.
tb_0014_c04,tb_0014,,content,critical,0,0,0,0,0,0,0,0,,177,"The response must explain why RTK-1 cannot substitute for Protein Y, citing both the tyrosine vs Ser/Thr residue mismatch and lack of a compatible docking interface on Kinase Z."
tb_0014_c05,tb_0014,,content,critical,0,0,1,0,0,0,0,0,demands_specific_wording,138,"The response must state that Protein Y itself becomes phosphorylated at Tyr 927, which recruits CK-α, thereby linking Y to Z's activation."
tb_0014_c06,tb_0014,,content,critical,0,0,0,0,0,0,0,0,,175,The response must outline the spatial (lipid-raft membrane complex vs cytosol/nucleus) and temporal order of events (RTK-1 ms -> Y s -> Z 10 s -> TF-T min -> Gene X ≈ 15 min).
tb_0014_c07,tb_0014,,content,critical,0,0,0,0,0,0,0,0,,115,"The response must include a single, concise one-sentence takeaway that contrasts the intact vs Y-deficient pathway."
tb_0014_c08,tb_0014,,content,critical,0,0,0,0,0,0,0,0,,148,"The response must present at least one real-world relevance fact (e.g., Y->F927 cancer mutation or therapeutic inhibitor) to ground the explanation."
tb_0014_c09,tb_0014,,,critical,0,0,0,0,0,0,0,0,,160,"The response must open with an empathetic acknowledgement of the student's expressed confusion (e.g., ""Great question, this adapter step is easy to overlook!"")."
