model,regime,n_admin_criteria,theta,SE_posterior,SE_post_ci_lo,SE_post_ci_hi,SE_param,SE_total,SE_total_ci_lo,SE_total_ci_hi
meta-llama/Llama-3.2-1B,full_bank,8345,-2.485510113453514,0.04087,0.03987,0.04187,0.06934,0.08049,0.0743,0.08668
meta-llama/Llama-3.2-1B-Instruct,full_bank,8345,0.8090713250543944,0.00926,0.00739,0.01113,0.01635,0.01879,0.01426,0.02333
meta-llama/Llama-3.2-3B-Instruct,full_bank,8345,2.2931224821381613,0.01339,0.01121,0.01556,0.03932,0.04154,0.03862,0.04445
microsoft/phi-1_5,full_bank,8344,-1.6975323520432024,0.03197,0.03027,0.03367,0.04225,0.05299,0.0497,0.05628
nvidia/AceInstruct-1.5B,full_bank,8344,1.4727980500548203,0.00658,0.00499,0.00818,0.01224,0.0139,0.00936,0.01845
openbmb/MiniCPM-1B-sft-bf16,full_bank,8345,-2.888631980504001,0.04422,0.04347,0.04497,0.07591,0.08785,0.08043,0.09527
openbmb/MiniCPM-2B-sft-bf16,full_bank,8345,-0.2673993258604797,0.00385,0.00276,0.00494,0.00671,0.00773,0.00392,0.01155
openlm-research/open_llama_3b,full_bank,8340,-2.8028841805451883,0.0436,0.04279,0.04441,0.06954,0.08208,0.07595,0.08821
pankajmathur/orca_mini_3b,full_bank,8345,-0.9062267355330296,0.018,0.01618,0.01983,0.02532,0.03107,0.02663,0.03551
pankajmathur/orca_mini_v9_5_3B-Instruct,full_bank,8345,1.408198313044954,0.02447,0.02205,0.02689,0.03406,0.04194,0.03956,0.04431
stabilityai/stablelm-2-1_6b-chat,full_bank,8345,0.851326904146011,0.02253,0.02012,0.02495,0.03826,0.0444,0.04251,0.04629
stabilityai/stablelm-2-zephyr-1_6b,full_bank,8345,0.4434159332027339,0.01835,0.01615,0.02055,0.03402,0.03866,0.03528,0.04203
stabilityai/stablelm-zephyr-3b,full_bank,8344,1.1038450541428355,0.00332,0.00248,0.00417,0.00206,0.00391,0.00272,0.0051
tiiuae/Falcon3-1B-Instruct,full_bank,8345,0.8694407830372572,0.01221,0.01014,0.01428,0.02262,0.02571,0.02129,0.03012
tiiuae/Falcon3-3B-Base,full_bank,8344,0.2382914773004529,0.02025,0.01797,0.02252,0.03963,0.0445,0.04252,0.04649
tiiuae/Falcon3-3B-Instruct,full_bank,8345,2.199625150167277,0.00298,0.00193,0.00403,0.01221,0.01256,0.00632,0.0188
utter-project/EuroLLM-1.7B,full_bank,8345,-2.40246492657918,0.0403,0.03931,0.04128,0.06197,0.07392,0.06872,0.07912
utter-project/EuroLLM-1.7B-Instruct,full_bank,8343,-0.1996095988293836,0.02278,0.02049,0.02507,0.03875,0.04495,0.04313,0.04676
01-ai/Yi-1.5-6B,deployed_cat_8_0.12,84,-0.3770184116256566,0.11936,0.11723,0.12149,0.10054,0.15606,0.14984,0.16228
01-ai/Yi-1.5-6B-Chat,deployed_cat_8_0.12,61,2.0955135343204754,0.08673,0.08498,0.08847,0.08049,0.11832,0.11336,0.12328
01-ai/Yi-6B,deployed_cat_8_0.12,116,-1.339212544141711,0.11857,0.1171,0.12004,0.0812,0.14371,0.13936,0.14805
01-ai/Yi-6B-200K,deployed_cat_8_0.12,86,-2.1667106211211324,0.27482,0.26972,0.27993,0.18148,0.32934,0.31911,0.33957
01-ai/Yi-6B-Chat,deployed_cat_8_0.12,85,0.8474371662549505,0.09821,0.09752,0.09889,0.04992,0.11016,0.10703,0.1133
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,deployed_cat_8_0.12,81,-5.322923288621569,0.40245,0.39207,0.41282,0.29837,0.50099,0.48701,0.51497
BEE-spoke-data/smol_llama-220M-openhermes,deployed_cat_8_0.12,82,-4.643318777198033,0.35149,0.34504,0.35794,0.21956,0.41443,0.40288,0.42598
BSC-LT/salamandra-2b,deployed_cat_8_0.12,119,-2.1907692694210983,0.12801,0.12614,0.12988,0.06655,0.14427,0.13985,0.1487
BSC-LT/salamandra-2b-instruct,deployed_cat_8_0.12,81,-0.8234981964506087,0.11213,0.11149,0.11277,0.04301,0.1201,0.11841,0.12179
BSC-LT/salamandra-7b,deployed_cat_8_0.12,87,-1.2247051998194851,0.14851,0.14563,0.1514,0.11598,0.18843,0.17869,0.19818
BSC-LT/salamandra-7b-instruct,deployed_cat_8_0.12,83,0.3433358880778636,0.06479,0.06392,0.06566,0.0398,0.07604,0.07331,0.07877
HuggingFaceTB/SmolLM2-360M,deployed_cat_8_0.12,85,-2.840028764630483,0.40059,0.39166,0.40953,0.28058,0.48908,0.47733,0.50083
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,deployed_cat_8_0.12,50,2.699102908228435,0.0871,0.08518,0.08902,0.07867,0.11737,0.11018,0.12457
OpenBMB/MiniCPM4-0.5B,deployed_cat_8_0.12,85,-0.3475602547860545,0.0652,0.06439,0.066,0.04815,0.08105,0.0782,0.0839
Qwen/Qwen1.5-1.8B,deployed_cat_8_0.12,135,-2.31901997633977,0.1209,0.11857,0.12323,0.08091,0.14548,0.14007,0.15089
Qwen/Qwen1.5-1.8B-Chat,deployed_cat_8_0.12,86,0.2702534726036077,0.06832,0.06734,0.06929,0.05147,0.08554,0.08197,0.0891
Qwen/Qwen2-0.5B,deployed_cat_8_0.12,85,-2.308928293133601,0.14373,0.14273,0.14473,0.06324,0.15703,0.15401,0.16005
Qwen/Qwen2.5-0.5B-Instruct,deployed_cat_8_0.12,92,-0.1122656765899096,0.06342,0.06271,0.06413,0.03775,0.0738,0.07119,0.07641
ai-forever/mGPT,deployed_cat_8_0.12,83,-6.2223011432363045,0.4072,0.39932,0.41509,0.23779,0.47155,0.46257,0.48053
allenai/OLMo-1B-hf,deployed_cat_8_0.12,78,-6.751778593273681,0.39278,0.38414,0.40142,0.26107,0.47163,0.4613,0.48195
allenai/OLMo-2-0425-1B,deployed_cat_8_0.12,125,-2.4068937699077093,0.13053,0.12875,0.13231,0.10954,0.1704,0.16449,0.17631
allenai/OLMo-2-0425-1B-DPO,deployed_cat_8_0.12,74,1.3935076799838957,0.10541,0.10312,0.1077,0.09975,0.14513,0.13805,0.1522
allenai/OLMo-2-0425-1B-Instruct,deployed_cat_8_0.12,77,1.320488939492724,0.07709,0.07598,0.0782,0.05734,0.09608,0.09242,0.09973
arcee-ai/raspberry-3B,deployed_cat_8_0.12,80,1.1711867245601306,0.07959,0.07838,0.08081,0.0608,0.10016,0.09537,0.10495
google/gemma-2-2b,deployed_cat_8_0.12,127,-1.589168818710511,0.13499,0.13371,0.13628,0.06204,0.14857,0.14557,0.15157
google/gemma-2b,deployed_cat_8_0.12,112,-2.190391050520444,0.14617,0.14273,0.14962,0.10605,0.18059,0.17137,0.18982
h2oai/h2o-danube-1.8b-chat,deployed_cat_8_0.12,83,0.0527687145810085,0.07119,0.07027,0.07212,0.04229,0.08281,0.08055,0.08506
h2oai/h2o-danube2-1.8b-base,deployed_cat_8_0.12,87,-1.2469577010932211,0.16243,0.16084,0.16402,0.07432,0.17863,0.17509,0.18216
h2oai/h2o-danube2-1.8b-chat,deployed_cat_8_0.12,78,-0.253747600382373,0.09022,0.0891,0.09135,0.05752,0.10699,0.10362,0.11037
ibm-granite/granite-3.0-2b-base,deployed_cat_8_0.12,86,0.3148750597046377,0.06616,0.06514,0.06717,0.04674,0.081,0.07808,0.08393
ibm-granite/granite-3.1-2b-base,deployed_cat_8_0.12,81,0.2790624903827156,0.06899,0.06811,0.06988,0.04624,0.08305,0.0803,0.08581
ibm-granite/granite-3.1-2b-instruct,deployed_cat_8_0.12,60,2.399632503035693,0.11947,0.11604,0.1229,0.1115,0.16341,0.15445,0.17238
ibm-granite/granite-7b-instruct,deployed_cat_8_0.12,82,0.2523250723166519,0.09489,0.09349,0.09629,0.07576,0.12143,0.11664,0.12621
ibm/PowerLM-3b,deployed_cat_8_0.12,84,0.1000491379585188,0.06874,0.06769,0.06979,0.04273,0.08094,0.07802,0.08386
meta-llama/Llama-3.2-1B,deployed_cat_8_0.12,163,-2.485510113453514,0.1146,0.11256,0.11664,0.06692,0.13271,0.12898,0.13643
meta-llama/Llama-3.2-1B-Instruct,deployed_cat_8_0.12,75,0.8090713250543944,0.08276,0.08149,0.08403,0.0538,0.09871,0.09518,0.10223
meta-llama/Llama-3.2-3B-Instruct,deployed_cat_8_0.12,81,2.2931224821381613,0.12318,0.12198,0.12437,0.08854,0.1517,0.14661,0.15678
microsoft/phi-1_5,deployed_cat_8_0.12,133,-1.6975323520432024,0.11316,0.11246,0.11386,0.04816,0.12298,0.1209,0.12506
nvidia/AceInstruct-1.5B,deployed_cat_8_0.12,65,1.4727980500548203,0.08807,0.08665,0.0895,0.06736,0.11088,0.1063,0.11545
openbmb/MiniCPM-1B-sft-bf16,deployed_cat_8_0.12,108,-2.888631980504001,0.126,0.12351,0.12849,0.08299,0.15088,0.14504,0.15672
openbmb/MiniCPM-2B-sft-bf16,deployed_cat_8_0.12,86,-0.2673993258604797,0.06909,0.06815,0.07002,0.04979,0.08516,0.08112,0.08919
openlm-research/open_llama_3b,deployed_cat_8_0.12,104,-2.8028841805451883,0.14646,0.14303,0.14989,0.10892,0.18252,0.17614,0.18891
pankajmathur/orca_mini_3b,deployed_cat_8_0.12,82,-0.9062267355330296,0.11314,0.1121,0.11417,0.05304,0.12495,0.12259,0.12731
pankajmathur/orca_mini_v9_5_3B-Instruct,deployed_cat_8_0.12,80,1.408198313044954,0.08158,0.08037,0.08279,0.06255,0.1028,0.09897,0.10663
stabilityai/stablelm-2-1_6b-chat,deployed_cat_8_0.12,78,0.851326904146011,0.10613,0.10491,0.10735,0.06241,0.12312,0.1199,0.12634
stabilityai/stablelm-2-zephyr-1_6b,deployed_cat_8_0.12,73,0.4434159332027339,0.11195,0.11097,0.11294,0.05612,0.12523,0.122,0.12846
stabilityai/stablelm-zephyr-3b,deployed_cat_8_0.12,73,1.1038450541428355,0.08955,0.08809,0.091,0.06008,0.10783,0.10373,0.11194
tiiuae/Falcon3-1B-Instruct,deployed_cat_8_0.12,72,0.8694407830372572,0.10463,0.10312,0.10614,0.05862,0.11993,0.11631,0.12355
tiiuae/Falcon3-3B-Base,deployed_cat_8_0.12,86,0.2382914773004529,0.07059,0.06954,0.07163,0.04628,0.08441,0.08111,0.08771
tiiuae/Falcon3-3B-Instruct,deployed_cat_8_0.12,79,2.199625150167277,0.11043,0.10847,0.11239,0.09758,0.14736,0.14097,0.15375
utter-project/EuroLLM-1.7B,deployed_cat_8_0.12,80,-2.40246492657918,0.31257,0.30703,0.3181,0.18303,0.36221,0.35381,0.37061
utter-project/EuroLLM-1.7B-Instruct,deployed_cat_8_0.12,87,-0.1996095988293836,0.0678,0.06695,0.06865,0.04526,0.08152,0.0787,0.08435
