model,params_b
AGI-0/Magistral-7B-v0.1,7.0
ozayezerceli/Threnystril-2x7B-moe,14.0
NeuralNovel/Tanuki-7B-v0.1,7.0
ibivibiv/llama3-8b-ultrafeedback-dpo,8.0
Changgil/K2S3-v0.1,
uukuguy/Mistral-7B-OpenOrca-lora,7.0
allknowingroger/Limmy-phi2-slerp,
NotAiLOL/Boundary-Coder-Yi-2x6B-MoE,12.0
microsoft/phi-2,
grimjim/Mistral-Starling-merge-trial3-7B,7.0
Eric111/Mayo,
nbeerbower/strange_3236-7B,7.0
DUAL-GPO/phi-2-gpo-renew2-b0.001-0.5ultrafeedback-lowLr-i1,
RaduGabriel/MUZD,
huangyt/Mistral-7B-v0.1-Open-Platypus_2.5w-r16-gate_up_down,7.0
VAGOsolutions/SauerkrautLM-SOLAR-Instruct,
shahzebnaveed/StarlingHermes-2.5-Mistral-7B-slerp,7.0
MisterRid/wendigo-14b-alpha2,14.0
deepseek-ai/deepseek-math-7b-rl,7.0
hiyouga/Qwen-14B-Chat-LLaMAfied,14.0
TwT-6/open_llm_leaderboard_demo,
chanwit/flux-base-optimized,
sethuiyer/Dr_Samantha_7b_mistral,7.0
allknowingroger/M7-8B-passthrough,8.0
kno10/ende-chat-0.0.4,
llmixer/BigWeave-v20-110b,110.0
ShenaoZ/0.001_ablation_5iters_bs256_iter_5,
XuanXuanXuanXuan/Llama-2-7b-hf-llama2-raw-80k,7.0
core-3/kuno-royale-v2-7b,7.0
robinsmits/Qwen1.5-7B-Dutch-Chat-Dpo,7.0
ericpolewski/ASTS-PFAF,
Manolo26/metis-chat-instruct-7b,7.0
TencentARC/LLaMA-Pro-8B-Instruct,8.0
osanseviero/mistral-instruct-moe-experimental,
TwT-6/cr-model,
grimpep/MythoMax-L2-33b,33.0
bunnycore/Maverick-8B,8.0
DreadPoor/RoyalNoroichi-7B-slerp,7.0
AA051610/A11P,
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,7.0
migtissera/Tess-7B-v2.0,7.0
pandego/my-first-blend,
unsloth/Phi-3-mini-4k-instruct,
xxyyy123/20k_v1_lora_qkvo_rank14_v2,
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.3,8.0
YeungNLP/firefly-gemma-7b,7.0
itsliupeng/llama2_7b_zh,7.0
TeeZee/GALAXY-XB-v.02,
allknowingroger/StarlingMaxLimmy-7B-slerp,7.0
Nexusflow/Starling-LM-7B-beta,7.0
Tijmen2/cosmosage_v2,
bhavinjawade/SOLAR-10B-Nector-DPO-Jawade,10.0
lemon-mint/gemma-ko-7b-instruct-v0.71,7.0
nbeerbower/flammen13X-mistral-7B,7.0
liminerity/e.star.7.b,
FallenMerick/Smart-Lemon-Cookie-7B,7.0
mlabonne/Chimera-8B,8.0
jambroz/FNCARLplus-7b,7.0
chihoonlee10/T3Q-Mistral-Orca-Math-DPO,
Azure99/blossom-v4-qwen1_5-7b,7.0
jisukim8873/falcon-7B-case-8,7.0
quantumaikr/quantum-v0.01,
maldv/winter-garden-7b-delta,7.0
gagan3012/MetaModel_moe_multilingualv1,
rwitz/experiment26-truthy-iter-2,
AA051610/A0127,
FoxEngineAi/Mega-Destroyer-8x7B,56.0
Weyaxi/MetaMath-Tulpar-7b-v2-Slerp,7.0
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.4,70.0
mvpmaster/Einstein-4D-Marcoro14-7b-full-slerp,7.0
AIJUUD/juud-Mistral-7B-dpo,7.0
abacusai/Giraffe-beta-13b-32k,13.0
CorticalStack/neurotic-crown-clown-7b-ties,7.0
Kiddyz/testlm-3,
bartowski/internlm2-math-20b-llama,20.0
smelborp/MixtralOrochi8x7B,56.0
mistralai/Mixtral-8x7B-v0.1,56.0
Weyaxi/OpenHermes-2.5-neural-chat-v3-3-openchat-3.5-1210-Slerp,
yeontaek/llama-2-13B-ensemble-v5,13.0
Kukedlc/NeuralExperiment-7b-MagicCoder-v7.5,7.0
grimjim/madwind-wizard-7B,7.0
joowon99/SOLAR-10.7B-ko_alpaca,10.7
cognitivecomputations/dolphin-2.6-mistral-7b-dpo,7.0
twodgirl/Nimue-7B,7.0
abacusai/Liberated-Qwen1.5-72B,72.0
shyamieee/JARVIS-v2.0,
jeonsworld/CarbonVillain-en-10.7B-v5,10.7
rufjdk5480/llama-7b-ludwig-alpaca,7.0
fzzhang/toten_gsm8k_merged_s,
PeanutJar/LLaMa-2-PeanutButter_v19_R8-7B,7.0
chujiezheng/tulu-2-dpo-7b-ExPO,7.0
upstage/SOLAR-10.7B-v1.0,10.7
HenryJJ/llama3-8B-lima,8.0
Weyaxi/Newton-OpenHermes-2.5-neural-chat-v3-3-Slerp,
sophosympatheia/Midnight-Rose-70B-v2.0.3,70.0
ResplendentAI/Sinerva_7B,7.0
KatyTheCutie/LemonadeRP-4.5.3,
NLUHOPOE/test-case-2,
superlazycoder/NeuralPipe-7B-slerp,7.0
cloudyu/mistral_18B_instruct_v0.1,18.0
flammenai/flammen22-mistral-7B,7.0
touqir/Cyrax-7B,7.0
Vasanth/Beast-Soul,
yam-peleg/gemma-7b-experiment,7.0
DUAL-GPO/phi-2-gpo-renew2-b0.001-extra-i1,
perlthoughts/openchat-3.5-1210-32k,
shadowml/Marcoro14-7B-ties,7.0
saltlux/luxia-21.4b-alignment-v1.0,21.4
eduagarcia/mistral-orpo-capybara-3k,
YouKnowMee/Mistral-7b-instruct-v0.2-summ-dpo-ed3,7.0
BlueNipples/SnowLotus-v2-10.7B,10.7
Replete-AI/Llama-3-13B,13.0
Chickaboo/Chicka-Mistral-3x7b,21.0
andysalerno/openchat-nectar-0.11,
sfairXC/FsfairX-Zephyr-Chat-v0.1,
BFauber/lora_llama2-13b_10e5_r2_a4,13.0
Nitral-AI/Prima-LelantaclesV7-experimentalv2-7b,7.0
CallComply/SOLAR-10.7B-Instruct-v1.0-128k,10.7
Kquant03/FrankenDPO-4x7B-bf16,28.0
Azazelle/Maylin-7b,7.0
kimdeokgi/dpo_model_test1,
saltlux/luxia-21.4b-alignment-v0.1,21.4
aaditya/Llama3-OpenBioLLM-8B,8.0
Brillibits/Instruct_Llama3_8B,8.0
Deci/DeciLM-7B-instruct,7.0
AbacusResearch/jaLLAbi2-7b,7.0
mlabonne/NeuralPipe-7B-ties,7.0
JaeyeonKang/CCK_gony,
saishf/SOVLish-Maid-L3-8B,8.0
DreadPoor/EveryNight-7B-slerp,7.0
FuseAI/FuseChat-7B-VaRM,7.0
andysalerno/openchat-nectar-0.7,
LDCC/LDCC-SOLAR-10.7B,10.7
Ba2han/Llama-Phi-3_DoRA,
Undi95/Miqu-70B-Alpaca-DPO,70.0
ajibawa-2023/Code-290k-13B,13.0
Hastagaras/Halu-8B-Llama3-v0.3,8.0
dfurman/Llama-2-13B-Instruct-v0.2,13.0
TokenBender/pic_7B_mistral_Full_v0.2,7.0
FuseAI/OpenChat-3.5-7B-Mixtral,7.0
silvercoder45/Mistral-7b-instruct-v0.2-summ-sft-dpo-e1,7.0
ChaoticNeutrals/Eris_7B,7.0
nbeerbower/SuperBruphin-3x7B,21.0
Alsebay/L3-krai-test-2,
Nitral-AI/Stanta-Lelemon-Maid-7B,7.0
wannaphong/openthaigpt-0.1.0-beta-full-model_for_open_llm_leaderboard,
saltlux/luxia-21.4b-alignment-v0.2,21.4
saishf/Llama4Some-SOVL-4x8B-L3-V1,32.0
Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled,56.0
perlthoughts/Chupacabra-8x7B-MoE,56.0
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2901,34.0
hfl/chinese-mixtral,
perlthoughts/Chupacabra-7B-v2.04,7.0
Azure99/blossom-v4-qwen1_5-14b,14.0
allknowingroger/AutoLimmy-7B-slerp,7.0
Kukedlc/NeuralKuke-4-All-7b,7.0
Kquant03/Medusa-7B-bf16,7.0
alnrg2arg/test3_sft_16bit_dpo2,
raincandy-u/phillama-3.8b-v0.1,3.8
Gille/StrangeMerges_12-7B-slerp,7.0
MaziyarPanahi/WizardLM-Math-70B-TIES-v0.1,70.0
FelixChao/ExtremeDolphin-MoE,
Walmart-the-bag/Solar-10.7B-Cato,10.7
eric111/CatunaMayo,
DreadPoor/ToppyEvil-7B-slerp,7.0
dominguesm/canarim-7b,7.0
allknowingroger/FrankenLimmy-10B-passthrough,10.0
allknowingroger/QuantumBruins-7B-slerp,7.0
ArianAskari/SOLID-SFT-DPO-MixQV3-SOLIDRejected-SFTChosen-Zephyr-7b-beta,7.0
Qwen/Qwen1.5-32B-Chat,32.0
JaeyeonKang/CCK_Gony_v3.3,
RubielLabarta/LogoS-7Bx2-MoE-13B-v0.1,13.0
diffnamehard/Psyfighter2-Noromaid-ties-Capybara-13B,13.0
shenzhi-wang/Llama3-8B-Chinese-Chat,8.0
TeeZee/DarkSapling-7B-v2.0,7.0
CultriX/MistralTrix-SLERP,
fhai50032/xLakeChat,
ycros/BagelMIsteryTour-8x7B,56.0
maywell/Synatra-7B-v0.3-dpo,7.0
tourist800/Marcoro14-7B-slerp,7.0
Walmart-the-bag/WordWoven-13B,13.0
ArtMindia/artmindia3k,
PocketDoc/Dans-AdventurousWinds-Mk2-7b,7.0
CoolWP/llama-2-13b-guanaco-fp16,13.0
Weyaxi/MetaMath-neural-chat-7b-v3-2-Ties,7.0
raincandy-u/Rain-7B-v0.1,7.0
openthaigpt/openthaigpt-1.0.0-beta-13b-chat-hf,13.0
dfurman/llama-2-13b-guanaco-peft,13.0
flammenai/Mahou-1.2-mistral-7B,7.0
juhwanlee/gemma-7B-alpaca-case-1-2,7.0
ichigoberry/pandafish-7b,7.0
ignos/LeoScorpius-GreenNode-Platypus-7B-v1,7.0
sonthenguyen/NeuralHermes-2.5-Mistral-7B,7.0
brucethemoose/Yi-34B-200K-DARE-merge-v7,34.0
freeCS-dot-org/OpenAGI-testing-intelDPO-2,
abacusai/MM-Orc-Vic-bagel-34b-c1000,34.0
KKare/Misgit-7B-slerp,7.0
mayacinka/chatty-djinn-14B,14.0
Radu1999/Mistral-Instruct-Ukrainian-SFT-DPO,
MaziyarPanahi/TheTop-5x7B-Instruct-S3-v0.1,35.0
TeeZee/BigMaid-20B-v1.0,20.0
Sao10K/Franziska-Mixtral-v1,
chanwit/flux-7b-v0.1,7.0
flammenai/Mahou-1.1-mistral-7B,7.0
Kukedlc/Jupiter-k-7B-slerp,7.0
openlynn/Llama-3-Soliloquy-8B,8.0
BuckeyBarnes/TriFusionNexus-7b,7.0
macadeliccc/Opus-Samantha-Llama-3-8B,8.0
Isaak-Carter/J.O.S.I.E.3-Beta12-7B-slerp,7.0
ab24g21/llama-2-new,
NeverSleep/CausalLM-RP-34B,34.0
Weyaxi/MetaMath-NeuralHermes-2.5-Mistral-7B-Ties,7.0
rmdhirr/Anthesis_7B,7.0
mncai/yi-34B-v2,34.0
giraffe176/WestLake_Noromaid_OpenHermes_neural-chatv0.1,
Evillain/StarDust_20B_v0.2,20.0
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.1,
liminerity/Blurstral-7b-slerp,7.0
SC56/Mistral-7B-sumz-dpo-3h,7.0
222gate/BrurryDog-7b-v0.1,7.0
lex-hue/Delexa-V0.1-7b,7.0
bofenghuang/vigostral-7b-chat,7.0
allknowingroger/WestLakeMultiverse-12B-MoE,12.0
MoxoffSpA/Volare,
ResplendentAI/Paradigm_7B,7.0
MaziyarPanahi/YamshadowStrangemerges_32_Experiment24Ognoexperiment27,
vicgalle/test-merge-3,
codellama/CodeLlama-34b-Instruct-hf,34.0
Qwen/Qwen1.5-14B,14.0
lcw99/llama-3-10b-it-ko-2024-0527,10.0
AurelPx/Meliodas-7b-dare,7.0
tlphams/zoyllm-7b-slimorca,7.0
Ppoyaa/LuminRP-7B-128k-v0.2,7.0
mlabonne/NeuralDarewin-7B,7.0
localfultonextractor/Erosumika-7B-v3,7.0
chatty123/mistral_rank8_packing,
martyn/mistral-megamerge-dare-7b,7.0
hfl/llama-3-chinese-8b,8.0
netcat420/MFANN3bv0.3,
LeroyDyer/Mixtral_AI_Cyber_5.0,
nnethercott/llava-v1.5-7b-hf-vicuna,7.0
CobraMamba/mamba-gpt-7b-v2,7.0
nbeerbower/flammen12-mistral-7B,7.0
martyn/llama2-megamerge-dare-13b-v2,13.0
cgato/Thespis-Krangled-7b-v2,7.0
abideen/MonarchCoder-7B,7.0
tenyx/TenyxChat-7B-v1,7.0
Steelskull/Umbra-v3-MoE-4x11b,44.0
chujiezheng/zephyr_0.2,
AIDC-ai-business/Marcoroni-7B-v2,7.0
BarryFutureman/NeuralLake-Variant1-7B,7.0
BlueNipples/TimeCrystal-l2-13B,13.0
DeepKarkhanis/Mistral-Passthrough-8L-10B,10.0
ewqr2130/llama_ppo_1e6_new_tokenizerstep_8000,
NLPinas/yi-bagel-2x34b-moe,68.0
OEvortex/HelpingAI-8B,8.0
yam-peleg/Hebrew-Mistral-7B,7.0
Mihaiii/Pallas-0.5-LASER-0.5,
leveldevai/TurdusBeagle-7B,7.0
SJ-Donald/llama3-passthrough,
pharaouk/fusedyi,
BFauber/lora_llama2-13b_10e5_r8_a256,13.0
rmdhirr/Pulsar_7B,7.0
APMIC/caigun-lora-model-34B-v3,34.0
wang7776/Mistral-7B-Instruct-v0.2-sparsity-20-v0.1,7.0
kyujinpy/PlatYi-34B-200K-Q,34.0
shyamieee/J4RVIZ-v6.0,
Changgil/K2S3-Mistral-7b-v1.4,7.0
lodrick-the-lafted/Hermes-Instruct-7B-v0.2,7.0
jsfs11/RandomMergeNoNormWEIGHTED-7B-DARETIES,7.0
rwitz2/grindin,
saltlux/luxia-21.4b-alignment-v0.3,21.4
TitleOS/EinsteinBagel-8B,8.0
TomGrc/FusionNet_SOLAR,
JCX-kcuf/Mistral-7B-v0.1-gpt-4-60k,7.0
ChuckMcSneed/WinterGoddess-1.4x-70b-32k,70.0
zhengr/MixTAO-7Bx2-MoE-Instruct-v5.0,
AGI-0/llamaster-8B-v0.1,8.0
Kukedlc/NeuralSynthesis-7B-v0.1,7.0
smelborp/MixtralOrochi8x7B-Alt,56.0
Walmart-the-bag/openchat-3.5-Infinity,
cloudyu/Mixtral_13Bx2_MOE_22B,22.0
Noodlz/DolphinStar-12.5B,12.5
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.1,8.0
DBCMLAB/Llama-3-instruction-constructionsafety-layertuning,
AI-B/UTENA-7B-V3,7.0
Neuronovo/neuronovo-7B-v0.3,7.0
ChavyvAkvar/habib-DPO-v3,
CorticalStack/mistral-7b-openhermes-sft,7.0
Yash21/OpenMistral-MoE,
jan-hq/trinity-v1,
ConvexAI/Luminex-34B-v0.1,34.0
kyujinpy/PlatYi-34B-Llama-Q-v2,34.0
nbeerbower/flammen9-mistral-7B,7.0
Chickaboo/Chicka-Mixtral-3x7b,21.0
perlthoughts/Chupacabra-7B-v2.01,7.0
l3utterfly/mistral-7b-v0.1-layla-v4-chatml,7.0
kaitchup/Maixtchup-4x7b-QLoRA-SFT-UltraChat,28.0
ShenaoZhang/0.001_zephyr_5551_4iters_bs256_iter_1,
openthaigpt/openthaigpt-1.0.0-13b-chat,13.0
TeeZee/Xwin-LM-70B-V0.1_Jannie,70.0
Nitral-AI/Mika-Lelantacles-7b-Longtext,7.0
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.2,8.0
NurtureAI/Orca-2-7B-16k,7.0
