model,online_eap_mean,online_scenarios,online_criteria,online_SE_ability,online_reached,online_engine_se,eap_scenarios,eap_criteria,eap_SE_ability,eap_reached,eap_hit_cap,online_SE_param,eap_SE_param,online_SE_total,eap_SE_total
Qwen/Qwen2-0.5B,-0.5937,8,35,0.1277,False,0.1171,10,44,0.1147,True,False,0.0653,0.0583,0.1435,0.1286
Qwen/Qwen2.5-0.5B-Instruct,-0.0291,8,33,0.1092,True,0.1089,8,33,0.1092,True,False,0.0633,0.0605,0.1263,0.1249
ai-forever/mGPT,-3.6357,17,67,0.3716,False,0.1195,40,156,0.3257,False,True,0.1827,0.1727,0.414,0.3687
allenai/OLMo-1B-hf,-4.6072,38,140,0.4111,False,0.12,40,149,0.4104,False,True,0.1935,0.1675,0.4544,0.4433
allenai/OLMo-2-0425-1B,-0.9881,10,42,0.102,True,0.1052,10,42,0.102,True,False,0.066,0.0746,0.1215,0.1264
allenai/OLMo-2-0425-1B-DPO,1.1328,11,47,0.1419,False,0.1193,16,68,0.1184,True,False,0.0748,0.0638,0.1604,0.1345
allenai/OLMo-2-0425-1B-Instruct,1.0578,13,49,0.133,False,0.1195,16,63,0.1182,True,False,0.0694,0.0676,0.15,0.1362
arcee-ai/raspberry-3B,1.1115,12,54,0.1251,False,0.1197,14,60,0.1188,True,False,0.0624,0.0674,0.1398,0.1366
google/gemma-2-2b,-1.5244,10,43,0.1438,False,0.1193,19,78,0.1185,True,False,0.0969,0.0754,0.1734,0.1405
google/gemma-2b,-1.3202,8,33,0.1523,False,0.1099,15,61,0.1154,True,False,0.1278,0.0755,0.1989,0.1379
h2oai/h2o-danube-1.8b-chat,0.4551,12,47,0.1358,False,0.1183,15,59,0.1196,True,False,0.0819,0.0683,0.1585,0.1377
h2oai/h2o-danube2-1.8b-base,-1.1332,9,34,0.1296,False,0.1158,11,43,0.1012,True,False,0.076,0.0591,0.1503,0.1172
h2oai/h2o-danube2-1.8b-chat,0.0224,8,32,0.1311,False,0.12,9,37,0.1112,True,False,0.0812,0.0736,0.1542,0.1334
ibm-granite/granite-3.0-2b-base,0.6006,14,64,0.1229,False,0.12,15,68,0.1199,True,False,0.0501,0.0479,0.1327,0.1291
ibm-granite/granite-3.1-2b-base,0.5124,14,60,0.1262,False,0.117,18,72,0.1173,True,False,0.051,0.0543,0.1361,0.1293
ibm-granite/granite-3.1-2b-instruct,2.3885,19,72,0.1493,False,0.1168,28,96,0.1174,True,False,0.0837,0.0791,0.1712,0.1416
ibm-granite/granite-7b-instruct,1.3203,13,57,0.1327,False,0.1178,16,72,0.119,True,False,0.0692,0.0537,0.1497,0.1306
ibm/PowerLM-3b,0.248,14,54,0.1099,True,0.1194,14,54,0.1099,True,False,0.0491,0.0509,0.1204,0.1212
meta-llama/Llama-3.2-1B,-2.3745,8,30,0.4662,False,0.116,30,116,0.1175,True,False,0.2367,0.056,0.5229,0.1302
meta-llama/Llama-3.2-1B-Instruct,0.9616,12,50,0.1401,False,0.118,17,69,0.1188,True,False,0.0757,0.06,0.1593,0.133
meta-llama/Llama-3.2-3B-Instruct,2.2617,16,62,0.1806,False,0.1183,30,104,0.1159,True,False,0.1011,0.0661,0.207,0.1334
microsoft/phi-1_5,-1.0379,8,31,0.1211,False,0.1149,9,34,0.1135,True,False,0.0877,0.0721,0.1496,0.1345
nvidia/AceInstruct-1.5B,1.5285,11,53,0.1705,False,0.119,30,122,0.1189,True,False,0.125,0.0713,0.2114,0.1386
openbmb/MiniCPM-1B-sft-bf16,-1.6029,16,63,0.1292,False,0.117,19,76,0.1159,True,False,0.0526,0.0435,0.1395,0.1238
openbmb/MiniCPM-2B-sft-bf16,-0.2005,8,34,0.1058,True,0.1181,8,34,0.1058,True,False,0.0783,0.0802,0.1317,0.1328
openlm-research/open_llama_3b,-2.4936,31,121,0.1393,False,0.1189,40,158,0.1187,True,False,0.0694,0.0518,0.1556,0.1296
pankajmathur/orca_mini_3b,-0.2605,8,36,0.1137,True,0.1103,8,36,0.1137,True,False,0.0675,0.0691,0.1322,0.133
pankajmathur/orca_mini_v9_5_3B-Instruct,1.8386,12,59,0.1984,False,0.1177,27,109,0.1146,True,False,0.0947,0.0412,0.2199,0.1218
stabilityai/stablelm-2-1_6b-chat,1.3071,12,56,0.1352,False,0.1163,17,73,0.1184,True,False,0.0794,0.0555,0.1568,0.1308
stabilityai/stablelm-2-zephyr-1_6b,1.1529,12,53,0.1315,False,0.1197,15,67,0.1182,True,False,0.0641,0.0561,0.1463,0.1308
stabilityai/stablelm-zephyr-3b,1.3795,14,60,0.1358,False,0.1191,20,82,0.1182,True,False,0.0752,0.0646,0.1552,0.1347
tiiuae/Falcon3-1B-Instruct,1.2419,11,50,0.1407,False,0.1191,16,69,0.118,True,False,0.0663,0.0535,0.1555,0.1295
tiiuae/Falcon3-3B-Base,0.1445,8,35,0.1174,True,0.1063,8,35,0.1174,True,False,0.0637,0.072,0.1336,0.1378
tiiuae/Falcon3-3B-Instruct,2.0459,11,49,0.2669,False,0.1183,34,141,0.12,True,False,0.1395,0.062,0.3011,0.1351
utter-project/EuroLLM-1.7B,-1.4363,8,29,0.1774,False,0.1154,16,62,0.0929,True,False,0.1175,0.064,0.2128,0.1128
utter-project/EuroLLM-1.7B-Instruct,0.1641,14,58,0.1064,True,0.118,12,50,0.1189,True,False,0.0549,0.0589,0.1197,0.1327
