model,fold,criteria_administered,scenarios_administered,theta_ref_correctness,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,theta_ref_scaffolding,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,theta_ref_presentation,theta_online_presentation,theta_batch_presentation,theta_mwle_presentation
EleutherAI/pythia-6.9b,4,200,37,-1.7195380668549118,-1.493167,-1.6464734083046424,-1.774439362038725,0.5702778405235752,0.260158,0.3005393680206268,0.3157570106634201,-1.0107000262604147,-0.794222,-0.8295888377414161,-0.8679974421339733
EleutherAI/pythia-70m,3,278,50,-5.098581102201574,-2.129292,-3.0312106084674575,-7.46122289036846,0.8182810780909948,0.668168,0.6929400651802505,0.7401992653862991,-4.403864539095057,-2.377573,-3.0591077372554953,-5.055980358006907
HuggingFaceH4/zephyr-7b-beta,3,156,27,1.1999997523417785,1.029193,1.0013921725328732,1.0698689019404013,0.4018107452989883,-0.056351,-0.14887603406246816,-0.09682564568602647,0.6166459547750697,0.385869,0.34041401904984436,0.3718590711237098
HuggingFaceTB/SmolLM2-1.7B,0,203,35,-0.8092891006104439,-0.793788,-0.8826876609172694,-0.9151228007030491,-0.025461033062431224,-0.480625,-0.5279722458038119,-0.5491393779194398,0.3783279360351877,0.269383,0.2449653149227203,0.30020581202045393
HuggingFaceTB/SmolLM2-1.7B-Instruct,0,171,29,0.0008335264808864896,0.353763,0.32220161257992747,0.3769334647221815,-0.5248809171545584,-0.612459,-0.5558893930052424,-0.5872415977374501,0.9926655301018674,0.871036,0.8401338648993558,0.958166986433701
HuggingFaceTB/SmolLM2-135M,1,299,50,-3.703500211096798,-2.608198,-2.960442665195395,-3.471859842920067,0.3889261654773571,0.34357,0.40127554691384704,0.4494326658994833,-1.3070361633430392,-1.598166,-1.666248555085878,-1.7996168248504043
HuggingFaceTB/SmolLM2-360M,3,170,31,-2.671797339213633,-1.31376,-1.5997995952398434,-1.7406130083557312,0.5582482208534045,0.372853,0.38199347294874797,0.426668236701072,-1.3167626861631494,-0.225503,-0.25705849204744147,-0.25118720041575826
HuggingFaceTB/SmolLM2-360M-Instruct,4,189,34,-0.9765757725964572,-1.001676,-1.0978129204016611,-1.1329684184357884,-0.5905074746378295,-0.549514,-0.2719128692342632,-0.3588850508416459,-0.21918664006425725,0.10916,0.09500818993457048,0.12299534042706464
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,3,140,21,1.8000581496248163,2.011313,2.0563171675774674,2.145000369127576,-0.6310276057479909,-0.56298,-0.7095497090603708,-0.8192697137410775,0.6579384937590964,-0.452209,-0.502719596618626,-0.48305134090680873
LLM360/Amber,1,281,50,-4.458134530113966,-2.558784,-3.542711689260421,-6.328843553143657,0.5808423833236438,0.511692,0.5425211162428837,0.5713995032607677,-3.9516013585739747,-2.554312,-3.156278366524133,-5.430468947340382
OpenBMB/MiniCPM4-0.5B,1,183,37,-0.7430629695249135,-1.031784,-1.116709516375979,-1.1788958391520667,-0.26118370666914414,-0.418427,-0.4870350469826441,-0.49766269378109373,-0.9135995353788939,-0.513179,-0.5642838777627875,-0.5823266013930927
Qwen/Qwen1.5-1.8B,3,272,50,-3.1029677270853004,-2.76401,-3.3629277773861834,-4.629405057999032,-0.1930498846440388,-0.480786,-0.324823444972656,-0.20962990770219064,-2.2647176280825403,-1.760438,-2.0705215126415544,-2.398474522168868
Qwen/Qwen1.5-1.8B-Chat,0,228,41,-1.908883844673138,-1.552579,-1.7518889828271484,-1.8986833662791722,-0.5394031547427467,-0.288691,-0.313546526932089,-0.3101181130358392,-1.4774406345813014,-1.027659,-1.0847674728810401,-1.1610463971416973
Qwen/Qwen2-0.5B,0,181,29,-2.582156358668036,-1.829341,-2.2582357800049992,-2.5680693655666746,0.0005469300447077895,0.532634,0.4439015512596581,0.6706844738020233,-1.0933907894848716,-0.129375,-0.16893674348106075,-0.1369089635674593
Qwen/Qwen2-1.5B,2,190,35,-0.4271050735852763,-0.280794,-0.32073693241520396,-0.2768396533368948,-0.6967908214883465,-0.818245,-0.946599824916983,-1.0717641758125471,0.4423221957342619,0.26367,0.24600666349786007,0.29981770135164604
Qwen/Qwen2-7B,4,119,17,1.5999999010782036,0.811532,0.7701255585278958,0.8888142820712805,-0.22557304240426485,0.578151,0.41615408128756187,0.6204738355505703,1.161979129638523,0.79662,0.7171422879528231,0.8941246984104801
Qwen/Qwen2.5-0.5B,2,169,33,-1.1717687460985764,-1.442046,-1.6796021958529612,-1.8163741350543638,-0.8934805848547417,-0.807774,-0.8502958216087084,-0.947174838741438,0.9946990808351432,1.055729,1.0080669073039588,1.1341476453173247
Qwen/Qwen2.5-0.5B-Instruct,0,148,26,-0.8446323275933452,-0.528243,-0.6276416445947379,-0.6276126121874903,-0.7264240974514901,-1.009501,-0.9802840944708249,-1.113020941762069,1.4805471055870494,1.138448,1.0962937781979107,1.2226646634243303
Qwen/Qwen2.5-1.5B,1,173,34,0.7841862829277253,1.093205,0.7337612109630262,0.7806827346296341,-0.9658896153049116,-1.702089,-1.479303144815097,-1.5700455635182247,1.7761896593893756,1.783316,1.9113044086502597,1.8677356041515278
Qwen/Qwen2.5-1.5B-Instruct,3,98,17,1.2000002041855349,1.772163,1.6630630013139627,1.8143691668543844,-1.0320060066401018,0.301372,0.18299362992704798,0.4524622107519866,2.2945725247641704,2.525864,2.5370988529131737,2.676847244216793
Qwen/Qwen2.5-3B,1,119,24,1.5992505026889685,1.599854,1.5511377501911396,1.678908949529754,-0.6896849833282716,-0.436036,-0.5804773371282707,-0.5885947458073999,2.23490348069072,1.157053,1.1519772896536742,1.2763563040425372
Qwen/Qwen2.5-3B-Instruct,3,109,19,1.9993389451994836,1.394163,1.3008474429983181,1.3532461306700967,0.3333567540034935,0.570685,0.20025174994310335,0.25751340821437785,2.594648460288401,2.447853,2.6767439347959616,2.809582861966705
Qwen/Qwen2.5-7B,3,122,18,1.8364979132014099,2.239223,2.2688469435061185,2.3683107402598162,0.5910838471486913,0.059811,0.012758549660937658,-0.021385725353939657,2.0219762729861532,1.669924,1.8749040776055654,1.9736896179766779
Qwen/Qwen2.5-7B-Instruct,1,122,21,2.490999663785558,2.359874,2.3714671552743094,2.4192802445976826,0.19986036644506108,0.249206,0.33048509215585353,0.3386192795875481,2.6610088731167805,2.20704,2.7504669644946826,2.865136910406816
Qwen/Qwen2.5-Coder-7B,2,159,30,1.9999407672176706,1.705227,1.6037181826390843,1.7336460029458496,-0.4500484424827141,-0.40549,-0.2822869289295762,-0.28092968182260014,2.3894192987789817,2.068098,2.0673639928894763,2.1540009516645036
Qwen/Qwen2.5-Math-7B,3,153,24,1.9994439395800396,2.262647,2.157894659687636,2.2317474832045305,-0.8404485589522842,-1.328286,-1.3981626617797265,-1.4952237045260042,2.3582631794976234,2.360563,2.4404105367778737,2.626629761505914
Qwen/Qwen3-0.6B,1,157,30,1.041211596512255,2.202679,2.093402960617039,2.204369765676111,-0.7738440870409643,-0.939496,-0.7829403556568969,-0.8272313166562413,0.5956100825578927,0.408005,0.37300647664504044,0.4263511018503578
Qwen/Qwen3-1.7B,3,151,24,2.5919877084248943,2.394608,2.3850045851063437,2.4376535105964,-0.7677562727609611,-0.693353,-0.6240074278370706,-0.6519419367946797,2.158538781683569,1.902469,2.0160855451307587,2.1091928902445427
Qwen/Qwen3-4B,1,115,19,2.8000000000500327,2.739835,2.8249249124820954,2.8806903048141455,-0.7500544994851028,-0.260938,-0.5077270187814463,-0.4095826175527052,2.1283906142178357,1.860136,1.8469664779468993,1.8593828759147797
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,202,42,-1.8457485954274437,-1.173308,-1.324800320838363,-1.424753151101612,-0.7031691691723956,-1.030118,-0.8723095632802337,-1.0392088276075513,-1.2291932974853326,-0.144104,-0.18464578147361077,-0.15157919430315764
ai-forever/mGPT,0,321,50,-4.877811726638912,-2.467739,-3.589114301214552,-5.122176463698921,2.268454896346179,1.936186,2.1952862703396128,2.536975532066341,-3.354939909274983,-2.447812,-2.7879736673356383,-3.5005746379092963
allenai/OLMo-1B-hf,3,214,38,-4.3984075281416946,-2.470808,-3.1297677826858887,-4.271814179186686,2.249394016084239,2.046144,2.233840978685099,2.9862749103110287,-2.126298635811509,-1.423178,-1.752476375565679,-1.9524921811119818
allenai/OLMo-2-0425-1B,2,190,36,-0.5548973713754164,-0.070113,-0.1408407928187731,-0.10154053199579278,-0.12291371028407728,-0.494079,-0.515427404727631,-0.5461831658611526,0.19396185061173182,0.342479,0.30370802493992427,0.3611318056807541
allenai/OLMo-2-0425-1B-DPO,1,147,29,0.20969914786889474,0.099413,-0.04075567116554743,0.017156905354358747,-0.508584586664973,-0.615827,-0.5229340708008022,-0.562012277856086,-0.10054317300482654,-0.125165,-0.18657196627676872,-0.15852062279588683
allenai/OLMo-2-0425-1B-Instruct,2,205,36,0.30662503511330197,-0.09357,-0.14525145623090102,-0.1191910220752545,-0.8019222840748258,-0.956456,-0.9239808174100574,-1.0708599550119655,-0.38944988654465545,-0.636219,-0.7079502648359984,-0.7318209740442717
allenai/OLMo-2-1124-7B,0,141,22,0.7864048856851877,0.403584,0.3556577156746748,0.43020259409352324,-0.33581761248805625,-0.265319,-0.3139176099724623,-0.2949557944304912,0.9073625052903681,0.868851,0.8361819352550813,0.9474096049385707
arcee-ai/raspberry-3B,3,161,28,1.0046047368608857,1.217603,1.134993242498477,1.1886901145689628,-0.21632004216357703,0.478579,-0.1907450225389294,-0.12298174711986487,-0.11399343640684204,-0.628861,-0.6534712239202461,-0.6687174434220762
bigscience/bloom-1b1,4,284,50,-3.6970720229259784,-2.054432,-2.5623624015130297,-3.1577890007150375,0.62727286548142,0.43051,0.43581747176228364,0.4940384588875975,-3.2074278991305847,-1.954502,-2.3010983080236795,-2.6358293711758156
bigscience/bloom-1b7,0,298,50,-4.6199365329761015,-2.332746,-3.4440819249295798,-5.5885351983232745,0.5036451201373379,0.053097,0.1161016625498431,0.14877542607866837,-3.2448681225997738,-2.00427,-2.4396288057464797,-2.8967997593026134
bigscience/bloom-3b,2,286,50,-3.356433630685644,-2.520494,-3.3583623592125433,-6.225411498558803,0.2268824457551457,-0.043277,-0.033494695397466336,-0.03871349724411965,-1.9732408026960593,-1.781765,-1.996667880621746,-2.233131081005359
bigscience/bloom-560m,0,310,50,-5.0874130286280295,-2.602702,-3.6915636056145447,-6.30394186116166,0.8969975031844437,0.729428,0.7586763420132292,0.8982214095451985,-4.541902735083023,-2.360186,-3.1375358639046294,-5.202887502547128
bigscience/bloom-7b1,4,255,45,-2.155595137467342,-1.547021,-1.8699730495930056,-2.0584394266311348,0.030723593296738173,-0.167513,-0.14384076156012865,-0.1491434295225864,-1.384851283918692,-1.137505,-1.1765283157148367,-1.247391219344207
bigscience/bloomz-1b7,0,319,50,-5.097626443202237,-2.618999,-3.7120438983100614,-6.050199051824128,1.8198583066348857,1.589399,1.7653074838500709,1.886483949624764,-4.166025308334826,-2.33294,-2.9414158931610945,-3.988421955880039
bigscience/bloomz-3b,1,293,50,-4.738596647936898,-2.970556,-3.691694408908196,-5.719532840768818,1.1968824069468431,1.158414,1.2372942831504286,1.3363162028458133,-3.952154150986492,-2.328956,-3.1155267342046344,-5.261725790069206
bigscience/bloomz-7b1,0,313,50,-4.8775916394319605,-2.604138,-3.6219261357926524,-5.330794580034581,2.6794926183522603,2.162867,2.2391908623507657,2.5494749634286022,-4.00403655527139,-2.393923,-3.172309994916365,-5.242607559628176
deepseek-ai/deepseek-coder-6.7b-base,3,103,18,-0.34288183126969357,0.384383,0.2734591077495401,0.35612550589934727,-0.070357940106318,0.763816,0.47459403756415186,0.7827816932102667,-0.049361773757920675,0.458305,0.4606290121797203,0.49517180696476304
deepseek-ai/deepseek-llm-7b-base,4,286,50,-1.5682224415142423,-1.552209,-1.8911932863573009,-2.0730409554782225,0.0923056100763345,-0.335744,-0.38392993693338984,-0.4179920984059425,-3.037645736626295,-2.423565,-3.0557665977459028,-4.922070877507194
deepseek-ai/deepseek-math-7b-base,2,298,50,-3.9218936705638097,-2.309203,-2.931017870639834,-3.7215120130550012,0.7945875696802781,1.110347,1.1419654984085235,1.2357725346445898,-4.2977652442920355,-2.353592,-3.04882550360621,-4.90886901547145
facebook/opt-1.3b,1,189,36,-1.9089926265189519,-1.661185,-1.831107469364084,-2.005382541623307,0.9151924864556613,1.155041,1.1070683898544071,1.215317190311115,-1.6123684530439346,-1.103565,-1.3059390165251177,-1.4057079652070812
facebook/opt-2.7b,2,298,48,-1.7034773302049,-1.31296,-1.4509177934863449,-1.5345413909384058,1.0879586712536162,1.239496,0.9180585478106673,0.9964638518552541,-1.1600497148108113,-1.189509,-1.2309578039877132,-1.2992242705738803
facebook/opt-6.7b,0,211,34,-2.343252534526324,-2.131313,-2.7640551339172754,-3.455214928001099,1.0608073709049417,1.203118,1.1908845351992559,1.2408309700913982,-2.1782593990957633,-1.575869,-1.819251243565492,-2.0130700759331313
google/gemma-2-2b,3,157,31,-0.5404267558646414,-0.095041,-0.15359334476918693,-0.10814099396860212,-0.05170522636225212,-0.252559,-0.27895139155103643,-0.2850377038082257,0.09065423396490346,0.020665,-0.0028546256538931965,0.030220002306215375
google/gemma-2b,0,249,40,-1.610022342628463,-1.54851,-1.7662400106451714,-1.9001262530936016,0.7704842260947738,0.894365,0.8325178979462754,1.0012840155028513,-1.812900958916995,-1.576607,-1.6759813304415367,-1.8136397925888126
h2oai/h2o-danube-1.8b-chat,2,236,41,-1.6176302345551847,-1.313831,-1.5142705755893198,-1.640730722115328,-0.07578177027475942,-0.617995,-0.6567434925464682,-0.7216824916028337,-1.39398823484112,-0.881559,-0.9148197309770604,-0.9740355918482257
h2oai/h2o-danube2-1.8b-base,3,172,34,-0.8396305202543626,-0.102717,-0.14813507807299506,-0.09382941492047815,-0.30617562702488627,-0.324323,-0.2729011388453109,-0.29063122430873933,-0.40165388894361065,-0.122129,-0.14977553755799716,-0.12948057751540512
h2oai/h2o-danube2-1.8b-chat,0,209,36,-1.536111714958767,-1.34012,-1.560962344506439,-1.6606275782108102,-0.22947392592122853,-0.162719,-0.16911832068293253,-0.1795566131692636,-1.332112722177547,-1.095693,-1.1934644802028753,-1.2820267729628487
h2oai/h2o-danube3-4b-base,1,126,27,0.1891930672779131,0.250919,0.10808974823229256,0.18607358136675733,-0.5413051639374511,-0.486967,-0.43969490415569373,-0.4576207243102331,0.5818667243148257,0.953944,0.7659607638561744,1.0179957856274786
ibm-granite/granite-3.0-2b-base,3,140,28,0.8108582278519608,1.089592,0.9339908671384114,1.00067504509116,0.13858216862990025,0.193929,0.17631820981657162,0.217662469798541,0.924373856361691,1.053325,1.0338041156142472,1.1442210588583457
ibm-granite/granite-3.1-2b-base,1,139,29,0.7950663048134303,0.668463,0.5317154521251716,0.6173793181110478,-0.39063509475481606,-0.189085,-0.20663338800197398,-0.19963167374750518,0.9816745376005407,0.98296,0.9170617401611553,1.11956980423658
ibm-granite/granite-3.1-2b-instruct,2,129,23,1.401153149276843,1.577111,1.477626989349121,1.6272842903682696,-0.31178866674420286,-0.193615,-0.22031297829730326,-0.18802276044264024,1.6267808848701708,1.952568,1.9726746029694269,2.072291865094783
ibm-granite/granite-7b-instruct,0,217,34,-0.8954856770232498,-0.533445,-0.5481686409435401,-0.5674366848287045,0.722738782625467,1.01011,0.9932635360974362,1.160248814031445,-1.3500493683179184,-1.003722,-1.0216172072459586,-1.081671977967258
ibm/PowerLM-3b,4,193,35,0.6941621752073347,0.48721,0.40128889698318293,0.44353513064769146,-0.3971041436528036,-0.1926,-0.2531682289788906,-0.2621374447796737,-0.370836356897913,-0.679802,-0.7110652410060191,-0.740911129356413
lmsys/vicuna-7b-v1.5,3,139,28,0.23688345585629253,0.042528,-0.008392007037343848,0.03484255574771464,0.18052733788590736,0.244485,0.19489983779157077,0.2297333912176888,0.49941217127998594,0.159993,0.14469785752704314,0.1677516009108602
meta-llama/Llama-3.2-1B,0,202,32,-2.828281816851303,-1.697865,-2.062685081272565,-2.292049683356309,0.5823694566839136,0.790782,0.6321667720978376,0.9163805266200974,-1.3659999764424997,-1.183354,-1.2706743193132137,-1.3628728377275028
meta-llama/Llama-3.2-1B-Instruct,2,187,35,-0.26992787840082055,0.506046,0.38020916443122815,0.44189754813777804,-0.7751788094114221,-0.613292,-0.484409775959245,-0.5435780416595903,1.0375808716296064,0.856837,0.8387751389101146,0.9399548564079936
meta-llama/Llama-3.2-3B,4,183,33,0.07500966688289709,-0.289107,-0.31906019906136684,-0.28160614489904806,-0.23256813082001648,0.186431,0.11870383950014973,0.12154149783301152,0.12109921670997181,-0.296974,-0.30193190288442373,-0.2999040346906974
meta-llama/Llama-3.2-3B-Instruct,2,118,20,1.2206458814468535,0.990123,0.9367281000329047,1.0098526934250691,0.6121577488217036,0.979821,0.9271843279407858,0.9986883630944734,1.756934231260262,1.407914,1.387490349182851,1.5561778799519161
microsoft/Phi-3-mini-4k-instruct,4,170,26,0.8004363077678968,1.246813,1.2443429268945516,1.3182514607297104,0.14990803683658335,0.341844,-0.2314022196371314,-0.32677400814788704,-0.14270736037046908,-0.192545,-0.21313166677920292,-0.20406950483951292
microsoft/Phi-3.5-mini-instruct,2,139,26,1.402614897550115,1.287223,1.1989952658961014,1.2452167484751433,-0.8191011416091396,-1.014826,-0.8449865019702408,-0.9533178029746151,1.1690786683651764,0.890805,0.8536694781119831,0.9913099075728077
microsoft/phi-1_5,4,266,48,-1.6832632397851428,-1.265939,-1.358220384306799,-1.4118506933348072,0.17787523209222902,-0.502287,-0.4735692243364424,-0.4916837145463362,-1.4535815709107271,-1.248467,-1.3372561525378452,-1.4374490549129837
microsoft/phi-2,0,170,26,-0.10319990693462244,1.4e-05,-0.006871944769574644,0.0479544626668823,0.5012030165090356,0.666943,0.3310152067264255,0.4276137058766011,0.22429956572582857,-0.013282,-0.04247662898234593,0.0016109505357413427
mistralai/Mistral-7B-Instruct-v0.3,2,118,20,1.2000398964976204,0.812851,0.7657284564055558,0.8601513570145971,0.34844157933335435,0.661612,0.6120755812931915,0.7044913991611087,0.6743795964563041,0.943942,0.8807908360828857,1.0260730886644112
mistralai/Mistral-7B-v0.1,4,145,24,0.8328768979698221,1.138066,0.8915464087424305,0.9567392286361932,0.09636487934241618,-0.287558,-0.24701064267289752,-0.2796416943563213,0.8174708209990681,0.683699,0.6620018268100629,0.7651024700427463
mistralai/Mistral-7B-v0.3,4,166,27,1.0000288571463665,0.680262,0.5971355526941069,0.6585274741070888,0.12764099983633775,0.197132,0.10444093192466768,0.17107194383389993,0.9527781960897845,0.516397,0.5202361378782536,0.5877066110122987
nvidia/AceInstruct-1.5B,3,199,35,1.2000005203889852,1.090543,0.9928694382370484,1.0207170249084578,-0.8294839498810718,-0.691476,-0.47734221332563903,-0.4655451568637524,0.29167176025491204,-0.488668,-0.5154508520827206,-0.520209223919236
nvidia/Nemotron-Mini-4B-Instruct,0,166,31,-0.29054347879883846,-0.00866,-0.10565459248368789,-0.05999546174758897,-0.07935177891664977,-0.611553,-0.6467276812010945,-0.6743930481666157,0.7033300274320408,0.985852,0.9560957920271912,1.0939652170567364
openai-community/gpt2,2,298,50,-4.798523810470678,-2.229459,-3.1097519757042917,-4.625423094868789,1.4072737039818004,0.974156,1.0647792303996626,1.1516896631934677,-4.30577482863104,-2.456187,-3.08073144261794,-5.14111714864669
openai-community/gpt2-large,1,297,50,-3.479365149975612,-2.659584,-3.4551000696513174,-5.014468055000803,0.9870319252954718,1.034352,1.063894857901556,1.1403011344053753,-3.1491639622468597,-2.469101,-3.1695620921677685,-5.542751450873381
openai-community/gpt2-medium,1,290,50,-5.006952029699034,-2.572768,-3.4934682482687665,-5.5686674472801565,0.9614692430035842,1.101099,1.2294093055407875,1.3043596998083138,-4.4050334848407084,-2.377484,-3.105210898181746,-5.181956261676017
openai-community/gpt2-xl,0,322,50,-3.4755354990364014,-2.413753,-3.3661282390104295,-4.377527758222015,1.2954509034435853,0.853837,0.890885727235081,1.0264552225348997,-2.854941491390507,-2.139177,-2.5032920290036595,-2.962124627977735
openbmb/MiniCPM-1B-sft-bf16,0,324,50,-4.04893171974665,-2.652303,-3.291463369282511,-4.311177345450025,1.6492203147773927,1.672443,1.527846813263612,1.5762964377843438,-2.902932728235781,-2.437708,-2.8436691942107855,-3.6328874226815273
openbmb/MiniCPM-2B-sft-bf16,4,174,29,-1.821664535846406,-1.122792,-1.3413563868427505,-1.4185304835619117,0.39282501788700214,0.327304,0.369088351060452,0.3955348788958318,-1.754933620700902,-0.950385,-1.0729395481284096,-1.142273600688925
openlm-research/open_llama_3b,3,217,37,-1.415883438830856,-0.648284,-0.6715355431974621,-0.677485351343008,1.342336767142642,0.861309,0.8953005804664446,0.9891322300871027,-1.9983479649044396,-1.641538,-2.076829289448317,-2.4153316366906306
pankajmathur/orca_mini_3b,1,286,50,-1.9519827259135494,-1.467348,-1.6852253867084832,-1.80409274204427,0.5384666018572096,0.381542,0.3632489151787519,0.3864929600097416,-2.1853970205427293,-1.684266,-1.825424652360052,-1.994282035809437
pankajmathur/orca_mini_v9_5_3B-Instruct,3,191,33,0.8000809476064111,0.804924,0.6931903389682894,0.7360558574099942,0.13817640568375916,0.027618,-0.0011333473954370282,0.019583613349375476,-0.3088102878268518,-0.5827,-0.5838783611806065,-0.5925432663080151
stabilityai/stablelm-2-1_6b,2,202,36,-1.6344809489961813,-2.032944,-2.1310270563316704,-2.3333221758549456,0.4312608604847883,0.444434,0.4529680730291198,0.5121674793104012,-0.705421858235143,0.2514,0.2173393099878759,0.2796550042522763
stabilityai/stablelm-2-1_6b-chat,4,238,41,-0.4090918932317824,0.141557,0.02841912240098659,0.053781981421120964,-0.672449098491224,-0.694254,-0.688539058483997,-0.7365979262592431,-1.3831204089626,-1.066523,-1.1201369080532126,-1.1874705865620128
stabilityai/stablelm-2-zephyr-1_6b,3,162,33,-0.793670354578184,-0.409983,-0.47203730333477484,-0.450700603227632,-0.7405951429250465,-0.544094,-0.5295838679667725,-0.545594135257397,-0.0014020608514321458,0.214065,0.20432821786084976,0.23493593458721423
stabilityai/stablelm-3b-4e1t,4,178,35,-1.4024003998961672,-1.177678,-1.3610632568961114,-1.4432179913082432,-0.17371344297963892,-0.198199,-0.15114760506003497,-0.15766892200090366,-0.8228241802176831,-0.612556,-0.8314641397854441,-0.8652043997834513
stabilityai/stablelm-zephyr-3b,2,192,33,-0.680355054718819,-0.551501,-0.6172347300109124,-0.5984147340488915,-0.7327953216463015,-0.842781,-0.7909786721564669,-0.9098372303121793,0.3634957355336547,0.313006,0.284874321035869,0.35892121013270734
tiiuae/Falcon3-1B-Base,4,169,30,0.578293325983168,0.013134,-0.15899183159745492,-0.11723575555697018,-0.7520512753642011,-1.23757,-1.1305681659928082,-1.2773372388707585,1.0773697569288172,0.431444,0.4281584375947641,0.47623914891690367
tiiuae/Falcon3-1B-Instruct,4,195,34,0.8554683331773525,0.750777,0.6784686963631442,0.7558398474459244,-0.9741507592480274,-0.899039,-0.7820336367800484,-0.9418433051911911,0.09257758656127867,-0.476342,-0.49021100202051143,-0.5093712002225887
tiiuae/Falcon3-3B-Base,4,121,19,1.622915864399565,1.952112,1.9974058951081302,2.128803506857723,-0.8957690728549321,-0.671456,-0.7136496494402726,-0.7721430983213273,1.8237495242110242,1.274121,1.3661531398177824,1.438401403116462
