model,fold,n_admin,mwle_converged,theta_ref_correctness,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,se_correctness,theta_ref_scaffolding,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,se_scaffolding
bigscience/bloomz-3b,2,53,True,-4.65417037592154,-2.1143967441492335,-2.8352112485085095,-3.6670341300401295,0.2991209338294183,1.3318471165019925,1.2215609245882548,1.1759691416668978,1.2292509510772651,0.15980462467786333
deepseek-ai/deepseek-coder-6.7b-base,2,32,True,-0.39213703650916615,-0.5152522294561657,-0.6845770343076386,-0.6079298602351064,0.296205745894239,-0.06539079339178738,0.010056167091958857,0.030305563271358332,0.06049408464897466,0.2136749173863662
facebook/opt-2.7b,2,16,True,-1.5773674947470377,0.05311080015740783,-0.45679619940073785,-0.13569208583894754,0.21212186271314426,0.8882255076504877,-0.2845419196087623,0.20987473868204898,0.02616899460668733,0.28653440018175924
meta-llama/Llama-3.2-1B-Instruct,2,25,True,-0.05769312746446737,-0.7642798521392629,-1.0299221881609504,-1.0898435412305718,0.299819373975015,-0.8450113589626342,-0.3874731515390599,-0.49875587150653833,-0.5293434575817293,0.2547582705613073
meta-llama/Llama-3.2-3B-Instruct,2,12,True,1.349664484581771,0.2768196877985799,-0.2380978118359268,-0.4872074405057494,0.29809630684093597,0.4664689449375947,0.7683105809633672,1.0163098283743293,1.175239729286446,0.18668186843031892
microsoft/Phi-3.5-mini-instruct,2,12,True,1.4368890601254027,0.6447797747412205,0.5967857534560143,0.7185135076783139,0.2806832340868944,0.004002251693954043,0.8117787740392285,0.8582452117054756,0.8068368370416705,0.16413041102303583
microsoft/phi-2,2,21,True,0.3980081970384913,-0.3745421706700176,-0.5216454027794124,-0.39599578606410996,0.29738542753566194,0.3742035515495503,-0.15060852450724055,-0.1869905655494971,-0.1663253177869715,0.2659303153882667
mistralai/Mistral-7B-Instruct-v0.3,2,14,True,1.2000006233521288,0.9844002951063362,0.9544766789079716,0.9969397626666108,0.28923986693354947,0.23765466468313698,0.31691892912591413,0.21949068923783122,0.24153851881876426,0.16695168413119302
nvidia/Nemotron-Mini-4B-Instruct,2,15,True,0.19902251196935872,0.1143782752033003,0.09794126499117493,0.17009267554207316,0.299782587799718,-0.39740775324717487,0.5244631290747949,-0.18592586665227165,0.2742274163466723,0.19872674954121072
tiiuae/Falcon3-7B-Base,2,14,True,2.1999873059886252,1.3355454680244951,1.6029130467396326,1.3795413182817495,0.23457549414143958,-0.08567263973843607,0.3923070354380388,0.28547354189717267,0.39000279219873457,0.14068123695145224
01-ai/Yi-6B,3,15,True,-0.7630151448179179,-0.2208260841989274,-0.23402620853267148,-0.23846940443147968,0.23680630901959618,-0.1893726008068831,-0.3731231155338456,-0.39442771541582156,-0.3987667318409829,0.2859513042677762
EleutherAI/pythia-1.4b,3,54,True,-1.774389330358486,-1.805927378861901,-2.177228441969581,-2.6138297445840295,0.2993272765179599,0.7738886434596401,0.858561282544591,0.9116717555938395,0.9498701022855632,0.14919220535141572
EleutherAI/pythia-2.8b,3,10,True,-2.015326494414482,-0.464452448118763,-0.397904913058975,-0.35774783689663503,0.29735956110553796,0.6076944205461362,0.5065892104616965,0.5261202524840906,0.47791638742585296,0.25688184342693726
HuggingFaceH4/zephyr-7b-beta,3,7,True,1.185483213478146,0.35612605854436047,0.3941064070079799,0.5882440956749502,0.2859347632380363,0.3112245129847665,0.3521218741561405,0.34611898662819707,0.34893955477025596,0.2762061452592023
HuggingFaceTB/SmolLM2-1.7B,3,45,True,-0.4061258442237089,-1.0066746363903174,-0.8610845747187671,-0.839738171222956,0.2979103028561873,-0.3802949485105969,-0.2361752788839487,-0.25449029231337505,-0.2378476372316392,0.17253902508460192
HuggingFaceTB/SmolLM2-135M,3,98,True,-3.102485632992015,-2.338422918224849,-3.0644930365129266,-4.31538783540251,0.29691677400666494,0.22705827277792134,-0.03347429243636361,-0.04859231818146928,-0.05679742578615925,0.13637866467002002
HuggingFaceTB/SmolLM2-360M,3,72,True,-2.8113839852043414,-1.926050315443443,-2.215944915900576,-2.545095757671906,0.2976008394890012,0.343918279351783,0.1453109629539688,0.14120059819138958,0.13658276551592846,0.1580030792525333
Qwen/Qwen2.5-1.5B,3,17,True,0.645537756399861,0.10679542637876407,-0.06808877902878742,-0.2220076191916236,0.29033974087625786,-1.0372075838369825,-1.2330148555467673,-1.4388793610381458,-1.6203442204987728,0.2840863528674697
Qwen/Qwen2.5-7B,3,6,True,1.8004456600826422,1.1731049386192987,1.6917447150301241,1.2632233097955814,0.2702645838924755,0.46863342351909754,1.0017061950655866,0.9015483694793569,0.9746066103346258,0.1930198886633743
Qwen/Qwen2.5-Math-7B,3,9,True,1.8371739083090524,1.2904835229047993,1.4059715845409462,1.4392435862840185,0.16238020183826551,-1.146020314693118,-0.5484862618604577,-1.078345049460434,-0.2970504803135326,0.29263852470878216
Qwen/Qwen3-0.6B,3,10,True,1.0001236083098957,1.2671580883768352,1.3680692377315813,1.3881316861697302,0.16152016880079986,-1.3032717505636624,-0.23953558913794443,-0.14242678012665144,-0.0005078576032718487,0.2960605759295309
bigscience/bloomz-1b7,3,46,True,-5.16583577584423,-2.0043539394875762,-2.6752839191822124,-3.6969589979192885,0.29536099728203447,1.448805728132943,1.2582465267005591,1.3712893783501525,1.4225320959229792,0.15667064363487426
deepseek-ai/deepseek-llm-7b-base,3,67,True,-1.8237862030222969,-1.9585586618398305,-2.267048483418539,-2.6113015520970215,0.29660353087189856,-0.06272472593650537,-0.13354217534268709,-0.15228469014757848,-0.1523401804457343,0.15310516155603304
facebook/opt-6.7b,3,69,True,-1.735679668128142,-1.6936313994934156,-1.8301842262362238,-2.073050296872814,0.2964449315985314,0.5431967883748072,0.5952923410304901,0.6196544274782863,0.6266219359188414,0.14365977392764726
tiiuae/Falcon3-1B-Base,3,11,True,0.3798972132902027,0.41055885069502385,0.22953231488294254,0.2747733847344828,0.24963951917850927,-0.8834200067658157,-0.5327467663909491,-0.851574757813776,-0.9369137786751272,0.2910960838703149
togethercomputer/RedPajama-INCITE-7B-Base,3,79,True,-3.008590461531471,-1.9889273842100985,-2.3680079279779536,-2.789072135841915,0.29872052384751857,0.12108663624484563,0.043549850214914664,0.02885729291135694,0.026447957708225528,0.1460964514846595
EleutherAI/pythia-160m,4,61,True,-5.251103448843667,-2.6004390477891937,-2.735982589442955,-3.4973091836514625,0.29900713963951225,1.3735906129977793,1.3166113620738134,1.2840672476314778,1.3628041048738568,0.14186310606168065
HuggingFaceTB/SmolLM2-1.7B-Instruct,4,8,True,0.3939816615993752,0.9243130977020467,0.9932054470682379,0.9623729146398319,0.24238512905166434,-0.5727443025264133,-0.9611261893498821,-1.1194317349011798,-0.9761790515889792,0.2828453919300972
Qwen/Qwen2-0.5B,4,10,True,-2.356531853079508,-1.4807193749850227,-1.6099130216167363,-1.5923623864566085,0.2964266414449141,-0.2571501535550801,0.4270446546289828,-0.2150526980187365,-0.17493946554637832,0.2905299319771863
Qwen/Qwen2.5-3B,4,5,True,1.3999810867417035,1.159364684390753,1.3225852399478852,1.1533230774716006,0.19361629568871302,-0.6187955923057673,-0.6894286227129173,-0.053418332943729385,-0.8763367670865934,0.29450142673911917
Qwen/Qwen2.5-3B-Instruct,4,5,True,1.8003873935275474,1.159364684390753,1.3225852399478852,1.1533230774716006,0.19361629568871302,0.122672586418967,-0.6894286227129173,-0.053418332943729385,-0.8763367670865934,0.29450142673911917
Qwen/Qwen2.5-7B-Instruct,4,5,True,2.200495644236423,1.3487229117027129,1.8781877249406052,1.4395363972292496,0.19361629568871302,0.40216778845751916,-0.815351617227743,-0.0877895266692339,-1.0902744601162067,0.29450142673911917
TinyLlama/TinyLlama-1.1B-Chat-v1.0,4,9,True,-2.1091602179436593,-0.11372763870805755,-0.8544670611936032,-0.35709804325277217,0.2871837447219508,-0.7016638437332319,-0.5379460488887909,-1.1247967792061886,-1.142043875214429,0.2859284860694413
allenai/OLMo-2-1124-7B,4,9,True,1.00068383946041,0.9447220516398421,0.8647515555313012,0.8735641349264407,0.27020216558481225,-0.47622367336118365,-0.845914599939552,-0.8190334525762416,-0.8262510509461559,0.29355312794474986
bigscience/bloom-1b1,4,10,True,-4.016992952403721,-1.7311051383610032,-2.049635648480031,-2.037234823385284,0.2994383191438173,0.46808566410046787,0.5620189439356438,-0.19667794701365673,-0.17217683092656133,0.2897429643438006
bigscience/bloomz-7b1,4,83,True,-4.948062776024287,-3.0219170899170082,-3.248700613124179,-5.001313820005384,0.2984380943921214,1.9954548175623716,1.684054268141319,1.6652805159398387,1.7896882309707065,0.13402440406829413
deepseek-ai/deepseek-math-7b-base,4,15,True,-3.691399948968149,-1.511699812415378,-1.456285379036712,-1.4501233723473805,0.29490682065817153,0.669924676455937,0.6584952294759301,0.5293069464661065,0.7591581795257423,0.2439478142509986
facebook/opt-1.3b,4,35,True,-1.5979051628466685,-2.311384427718852,-2.4494816124883485,-2.991096755274573,0.29534365869001983,0.9131439879008086,1.062874645254112,0.9786573656070913,1.057579740200051,0.171483193808574
ibm-granite/granite-3.1-2b-instruct,4,5,True,1.2110586587907384,0.8640217204207221,0.8911197278041715,0.8834602146734096,0.19030447991020288,-0.21835411339446523,-0.43374550240978776,0.39095175773886465,-0.6442544593564723,0.2982750128395634
meta-llama/Llama-3.2-3B,4,10,True,-0.25715169426043083,0.4506807361396086,0.3389843494096013,0.5507798424291931,0.2765554962470017,-0.23500298930411928,-0.7188949917455432,-0.8438218550645643,-0.7161050804519031,0.28460055489115477
openbmb/MiniCPM-2B-sft-bf16,4,10,True,-2.1697714349045434,-1.3572278028613047,-1.3679773581832473,-1.3799591221534058,0.29727110928583683,0.42596608481430764,0.5127571445806793,0.2684428150399795,0.6999230495213973,0.2932589727664752
stabilityai/stablelm-2-1_6b,4,21,True,-1.6464690784184377,-2.0241993156559763,-2.409185641151359,-3.0278623625523777,0.29702822153636643,0.22078650384945717,0.6235573766337609,0.20480664309959937,0.2853157467428093,0.21059871862903878
