model,pirt,actual,items,fold,n_bank
ngxson/MiniThinky-1B-Llama-3.2,0.3574817318721707,0.2361111111111111,8,0,432
mergekit-community/SuperQwen-2.5-1.5B,0.4150801453542024,0.3078703703703703,8,0,432
RESMPDEV/Qwen2-Wukong-0.5B,0.2816326500203525,0.2754629629629629,8,0,432
DavieLion/Llama-3.2-1B-SPIN-iter3,0.4366496013451895,0.3125,8,0,432
saishshinde15/TethysAI_Vortex_Reasoning,0.5019494547195407,0.3194444444444444,8,0,432
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.3228539342978041,0.1898148148148148,8,0,432
Nexesenex/Llama_3.2_3b_Kermes_v2,0.4150801453542024,0.3587962962962963,8,0,432
tangledgroup/tangled-llama-pints-1.5b-v0.2-instruct,0.160784461847848,0.2708333333333333,26,0,432
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.1334023386809254,0.0856481481481481,40,0,432
SicariusSicariiStuff/2B_or_not_2B,0.6286399266200152,0.3333333333333333,8,0,432
godlikehhd/qwen_ins_ans_2500,0.3926090226232592,0.2754629629629629,8,0,432
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,0.4342308300603245,0.3310185185185185,8,0,432
EpistemeAI/Athena-gemma-2-2b-it,0.3595125974274958,0.4513888888888889,8,0,432
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.4098600975981887,0.3819444444444444,8,0,432
prithivMLmods/Triangulum-5B,0.3303619330046743,0.2638888888888889,8,0,432
01-ai/Yi-1.5-6B,0.5574484024702138,0.3981481481481481,8,0,432
zake7749/gemma-2-2b-it-chinese-kyara-dpo,0.5897472697377545,0.4629629629629629,8,0,432
BramVanroy/fietje-2-chat,0.3607940398012795,0.2916666666666667,8,0,432
LilRg/10PRYMMAL-3B-slerp,0.5517694967618056,0.4791666666666667,8,0,432
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-5ep,0.3228539342978041,0.1921296296296296,8,0,432
godlikehhd/alpaca_data_score_max_0.3_2600,0.5897472697377545,0.3819444444444444,8,0,432
openbmb/MiniCPM-S-1B-sft-llama-format,0.379670494267118,0.2361111111111111,8,0,432
NYTK/PULI-LlumiX-32K,0.3867172897887192,0.3032407407407407,8,0,432
NikolaSigmoid/DeepSeek-R1-Distill-Qwen-1.5B-500,0.4366496013451895,0.2824074074074074,8,0,432
mrdayl/OpenThink,0.1350032628698299,0.1828703703703703,39,0,432
Sakalti/Anemoi-3B,0.5418814108181437,0.3611111111111111,8,0,432
jpacifico/Lucie-7B-Instruct-DPO-v1.1,0.4070392108055811,0.3055555555555556,8,0,432
euclaise/ReMask-3B,0.3595125974274958,0.2893518518518518,8,0,432
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.4345684808636261,0.3773148148148148,8,0,432
Mxode/NanoLM-1B-Instruct-v1.1,0.3446785643982546,0.1921296296296296,8,0,432
V3N0M/Jenna-Tiny-2.0,0.3700505565297712,0.2152777777777778,8,0,432
Qwen/Qwen2.5-Math-7B-Instruct,0.3595125974274958,0.3055555555555556,8,0,432
LenguajeNaturalAI/leniachat-qwen2-1.5B-v0,0.3460329660916095,0.3064133016627078,8,1,421
JayHyeon/Qwen-0.5B-DPO-5epoch,0.3547625776789208,0.2612826603325415,8,1,421
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,0.3488205605773466,0.2232779097387173,8,1,421
jpacifico/Lucie-7B-Instruct-Merged-Model_Stock-v1.0,0.4786410007511735,0.3064133016627078,8,1,421
DreadPoor/Asymmetric_Linearity-8B-Model_Stock,0.5941358064527823,0.4750593824228028,8,1,421
bamec66557/VICIOUS_MESH-12B-0.X.ver,0.5941358064527823,0.4584323040380047,8,1,421
nbeerbower/EVA-abliterated-TIES-Qwen2.5-1.5B,0.4374627100635091,0.339667458432304,8,1,421
T145/ZEUS-8B-V15,0.4215596506698225,0.3871733966745843,8,1,421
arcee-ai/raspberry-3B,0.3913478639101806,0.3657957244655582,8,1,421
ibm/PowerLM-3b,0.4490947116511238,0.3064133016627078,8,1,421
llnYou/ECE-PRYMMAL-YL-3B-SLERP-V2,0.4379689106312968,0.4346793349168646,8,1,421
google/mt5-xl,0.1990232874551065,0.3135391923990498,13,1,421
LEESM/llama-2-7b-hf-lora-oki100p,0.3488205605773466,0.3040380047505938,8,1,421
allenai/OLMoE-1B-7B-0924,0.38168601878126,0.2874109263657957,8,1,421
EpistemeAI/Llama-3.2-3B-Agent007-Coder,0.4917639853150155,0.4275534441805225,10,1,421
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,0.2411424734510971,0.1211401425178147,18,1,421
allknowingroger/Gemma2Slerp1-2.6B,0.4131777835412221,0.4750593824228028,8,1,421
Sakalti/SJT-2B-V1.1,0.3701772411108336,0.3919239904988123,8,1,421
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-v2-epoch5,0.2685864376623165,0.3040380047505938,8,1,421
Marsouuu/general3B-ECE-PRYMMAL-Martial,0.5666935915449892,0.5415676959619953,9,1,421
lunahr/thea-3b-50r-u1,0.4462390713339245,0.33729216152019,8,1,421
VAGOsolutions/SauerkrautLM-Gemma-2b,0.3620180171330416,0.2541567695961995,8,1,421
DavieLion/Llama-3.2-1B-SPIN-iter2,0.4490947116511238,0.3135391923990498,8,1,421
mosama/Qwen2.5-1.5B-Instruct-CoT-Reflection,0.2685864376623165,0.2612826603325415,8,1,421
ontocord/wide_3b-stage1_shuf_sample1_jsonl-pretrained,0.328119183135623,0.2541567695961995,8,1,421
Daemontatox/NemoR,0.510221447353837,0.3919239904988123,8,1,421
JayHyeon/Qwen_0.5-cDPO_5e-7-3ep_0vpo_const_0.3,0.2411424734510971,0.1187648456057007,18,1,421
MEscriva/ECE-PRYMMAL-0.5B-FT-V5-MUSR-Mathis,0.3913478639101806,0.3254156769596199,8,1,421
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.2411424734510971,0.1306413301662707,18,1,421
Qwen/Qwen2.5-0.5B-Instruct,0.3316140900275975,0.178147268408551,8,1,421
meditsolutions/Llama-3.2-SUN-1B-chat,0.2685864376623165,0.2731591448931116,8,1,421
EpistemeAI/ReasoningCore-3B-RE1-V2C,0.4374627100635091,0.3515439429928741,8,1,421
mrdayl/OpenCogito,0.5666935915449892,0.3681710213776722,9,1,421
allknowingroger/Gemma2Slerp2-2.6B,0.6958361508608855,0.4940617577197149,8,1,421
thirdeyeai/elevate360m,0.3855038963589142,0.2517814726840855,8,1,421
NotASI/FineTome-Llama3.2-1B-0929,0.3855038963589142,0.2945368171021377,8,1,421
rasyosef/Phi-1_5-Instruct-v0.1,0.4462390713339245,0.2684085510688836,8,1,421
MaziyarPanahi/calme-2.1-phi3-4b,0.5269354878434167,0.4299287410926365,8,1,421
FlofloB/40k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.3316140900275975,0.2280285035629453,8,1,421
Columbia-NLP/LION-Gemma-2b-dpo-v1.0,0.3800115108067559,0.3752969121140142,8,1,421
silma-ai/SILMA-Kashif-2B-Instruct-v1.0,0.4131777835412221,0.4655581947743468,8,1,421
fblgit/miniclaus-qw1.5B-UNAMGS-GRPO,0.7546893831428827,0.5273159144893111,8,1,421
MaziyarPanahi/calme-2.2-phi3-4b,0.4736279044220803,0.4346793349168646,8,1,421
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_math.no_issue,0.2616479386566668,0.2470308788598574,9,1,421
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,0.2411424734510971,0.1258907363420427,18,1,421
Alepach/notHumpback-M1,0.1908551719970702,0.2494061757719715,9,1,421
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.2401172830735329,0.1472684085510688,17,1,421
ontocord/wide_3b_sft_stage1.2-ss1-expert_news,0.3419967294651215,0.2660332541567696,8,1,421
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,0.3050320568261068,0.2921615201900237,8,1,421
jpacifico/Distilucie-7B-Math-Instruct-DPO-v0.1,0.4786410007511735,0.2826603325415677,8,1,421
Etherll/Chocolatine-3B-Instruct-DPO-Revised-Ties-v2,0.5666935915449892,0.5201900237529691,9,1,421
Invalid-Null/PeiYangMe-0.5,0.5941358064527823,0.3586698337292161,8,1,421
FINGU-AI/Q-Small-3B,0.4131777835412221,0.332541567695962,8,1,421
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.2411424734510971,0.1211401425178147,18,1,421
anakin87/gemma-2b-orpo,0.4453119846701233,0.3301662707838479,8,1,421
lalainy/ECE-PRYMMAL-YL-1B-SLERP-V4,0.7546893831428827,0.5106888361045131,8,1,421
Triangle104/Dolphin3-Llama3.2-Smart,0.4379689106312968,0.3871733966745843,8,1,421
Youlln/ECE-PRYMMAL-0.5B-SLERP-V3,0.453044010744401,0.3135391923990498,8,1,421
internlm/internlm2_5-1_8b-chat,0.2685864376623165,0.2589073634204275,8,1,421
jaspionjader/test-13,0.5941358064527823,0.4964370546318289,8,1,421
hotmailuser/QwenStock-1.7B,0.7546893831428827,0.5439429928741093,8,1,421
ai4bharat/Airavata,0.3431891979728096,0.2945368171021377,8,1,421
awnr/Mistral-7B-v0.1-signtensors-1-over-4,0.3701772411108336,0.2541567695961995,8,1,421
oopere/pruned20-llama-1b,0.2878505532576969,0.2589073634204275,8,1,421
DreadPoor/Elusive_Dragon_Heart-8B-LINEAR,0.5941358064527823,0.4679334916864608,8,1,421
Lyte/Llama-3.2-3B-Overthinker,0.4453119846701233,0.3610451306413301,8,1,421
EpistemeAI/OpenReasoner-Llama-3.2-3B-rs1.0,0.4369001084419023,0.4133016627078384,8,1,421
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.2411424734510971,0.1353919239904988,18,1,421
skymizer/Llama2-7b-sft-chat-custom-template-dpo,0.4107132677876687,0.4655581947743468,8,1,421
sci-m-wang/deepseek-llm-7b-chat-sa-v0.1,0.4319046773419542,0.3729216152019002,8,1,421
bfuzzy1/acheron-m1a-llama,0.365574852680277,0.2731591448931116,8,1,421
Mxode/NanoLM-1B-Instruct-v2,0.2347035520014571,0.2256532066508313,11,1,421
godlikehhd/alpaca_data_score_max_0.1_2600,0.7089048202591296,0.4061757719714964,8,1,421
hotmailuser/QwenSlerp-3B,0.5815679713658403,0.3776722090261282,8,1,421
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,0.4462390713339245,0.3824228028503563,8,1,421
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct,0.3987101237418289,0.3681710213776722,8,1,421
Nexesenex/Llama_3.2_1b_SunOrca_V1,0.2685864376623165,0.2945368171021377,8,1,421
SicariusSicariiStuff/Eximius_Persona_5B,0.4374627100635091,0.4323040380047506,8,1,421
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_math_stories.no_issue,0.2685864376623165,0.2399049881235154,8,1,421
jaspionjader/test-16,0.5941358064527823,0.4916864608076009,8,1,421
ontocord/wide_3b_sft_stage1.2-ss1-expert_math,0.3987101237418289,0.3111638954869358,8,1,421
JayHyeon/Qwen_0.5-DPO_1e-7-3ep_0alp_0lam,0.2411424734510971,0.1092636579572446,18,1,421
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.2411424734510971,0.1140142517814726,18,1,421
ibm-granite/granite-7b-instruct,0.4137638842452869,0.3942992874109263,8,1,421
carsenk/phi3.5_mini_exp_825_uncensored,0.4462390713339245,0.342042755344418,8,1,421
meta-llama/Llama-3.2-3B-Instruct,0.3054923417795975,0.3824228028503563,8,1,421
netcat420/MFANN-phigments-slerp-V3.3,0.6958361508608855,0.4418052256532066,8,1,421
ministral/Ministral-3b-instruct,0.2347035520014571,0.2351543942992874,11,1,421
Lil-R/2_PRYMMAL-ECE-2B-SLERP-V1,0.6958361508608855,0.4964370546318289,8,1,421
Sakalti/qwen2.5-2.3B,0.6958361508608855,0.3895486935866983,8,1,421
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,0.2685864376623165,0.2731591448931116,8,1,421
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_2ep,0.2464652469176279,0.1638954869358669,19,1,421
Youlln/3PRYMMAL-PHI3-3B-SLERP,0.5666935915449892,0.517814726840855,9,1,421
aloobun/d-SmolLM2-360M,0.3701772411108336,0.33729216152019,8,1,421
nbeerbower/Dumpling-Qwen2.5-1.5B,0.4075080780094196,0.3871733966745843,8,1,421
allenai/OLMo-7B-Instruct-hf,0.38168601878126,0.3847980997624703,8,1,421
iFaz/llama32_1B_en_emo_v1,0.2685864376623165,0.2874109263657957,8,1,421
nidum/Nidum-Limitless-Gemma-2B,0.2115336184639246,0.3040380047505938,11,1,421
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.2411424734510971,0.1211401425178147,18,1,421
Lil-R/2_PRYMMAL-ECE-2B-SLERP-V2,0.6958361508608855,0.503562945368171,8,1,421
bfuzzy1/Gunny,0.3054923417795975,0.344418052256532,8,1,421
lalainy/ECE-PRYMMAL-YL-1B-SLERP-V3,0.67727308458552,0.5225653206650831,8,1,421
lesubra/ECE-EIFFEL-3B,0.5547394314303509,0.4584323040380047,8,1,421
godlikehhd/alpaca_data_score_max_2600_3B,0.6632550154048216,0.4014251781472684,8,1,421
Qwen/Qwen2.5-3B-Instruct,0.3847446737233709,0.3111638954869358,8,1,421
tiiuae/Falcon3-3B-Base,0.3460329660916095,0.2826603325415677,8,1,421
bunnycore/Qwen2.5-3B-Model-Stock-v3.1,0.3847446737233709,0.3064133016627078,8,1,421
fblgit/miniclaus-qw1.5B-UNAMGS,0.7546893831428827,0.5368171021377672,8,1,421
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch2,0.4917639853150155,0.4275534441805225,10,1,421
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-7-2ep_0alp_0lam,0.2411424734510971,0.1211401425178147,18,1,421
RezVortex/Jajuka-3b,0.4288956474746866,0.3990498812351544,8,2,421
netcat420/MFANN3bv1.2,0.3952083016280117,0.2375296912114014,8,2,421
lalainy/ECE-PRYMMAL-YL-6B-SLERP-V2,0.48539475857501563,0.48693586698337293,8,2,421
pankajmathur/orca_mini_v2_7b,0.4716457964839405,0.28978622327790976,8,2,421
prithivMLmods/Bellatrix-1.5B-xElite,0.14718455981845716,0.23990498812351543,30,2,421
ymcki/gemma-2-2b-jpn-it-abliterated-17-18-24,0.29671401093662114,0.31116389548693585,8,2,421
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,0.3285946564606461,0.20665083135391923,8,2,421
SultanR/SmolTulu-1.7b-Instruct,0.35608691618009036,0.2755344418052256,8,2,421
godlikehhd/alpaca_data_ins_min_2600,0.6183947551145396,0.40380047505938244,8,2,421
bunnycore/Llama-3.2-3B-Deep-Test,0.2921453358414458,0.32304038004750596,8,2,421
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-2ep_0alp_0lam,0.13662107233097237,0.09263657957244656,45,2,421
AI4free/Dhanishtha,0.29671401093662114,0.27315914489311166,8,2,421
ontocord/RedPajama3b_v1-autoredteam_helpfulness-train,0.33992344825685616,0.23040380047505937,8,2,421
Youlln/ECE-PRYMMAL-YL-1B-SLERP-V1,0.6689632228197356,0.503562945368171,8,2,421
google/flan-t5-xl,0.29671401093662114,0.38004750593824227,8,2,421
Marsouuu/lareneg3B-ECE-PRYMMAL-Martial,0.5346486923144761,0.5415676959619953,8,2,421
prithivMLmods/GWQ2b,0.3406154802976917,0.42042755344418054,8,2,421
SultanR/SmolTulu-1.7b-it-v0,0.35608691618009036,0.2755344418052256,8,2,421
tinycompany/SigmaBoi-bge-m3,0.6161969193009109,0.3919239904988123,8,2,421
OpenLLM-France/Lucie-7B,0.43632956614714,0.31353919239904987,8,2,421
NousResearch/Hermes-3-Llama-3.2-3B,0.4288956474746866,0.4014251781472684,8,2,421
KingNish/qwen-1b-continued-v2.1,0.2907561999810795,0.29453681710213775,8,2,421
JayHyeon/Qwen_0.5-IRPO_3e-7-3ep_1alp_0lam,0.1464892666723152,0.0997624703087886,29,2,421
Sakalti/SJT-1.5B-Alpha,0.6689632228197356,0.49406175771971494,8,2,421
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch3,0.4626314354221101,0.40380047505938244,8,2,421
kms7530/chemeng_phi-3-mini-4k-instruct-bnb-4bit_16_4_100_1_nonmath,0.4093579817188162,0.3681710213776722,8,2,421
zelk12/Test01012025155054,0.39939213694265363,0.3182897862232779,8,2,421
bunnycore/Llama-3.2-3B-All-Mix,0.37973509290900814,0.3159144893111639,8,2,421
bunnycore/Qwen2.5-3B-Model-Stock-v3.2,0.35608691618009036,0.2850356294536817,8,2,421
Triangle104/RomboHermes3-R1-Llama3.2-3b,0.43632956614714,0.36342042755344417,8,2,421
allenai/OLMo-7B-hf,0.43632956614714,0.3087885985748218,8,2,421
qingy2024/Qwen2.5-4B,0.6183947551145396,0.42280285035629456,8,2,421
google/flan-t5-large,0.29671401093662114,0.3515439429928741,8,2,421
vhab10/Llama-3.2-Instruct-3B-TIES,0.4601430877539305,0.38717339667458434,8,2,421
JayHyeon/Qwen_0.5-DPOP_5e-7-3ep_0alp_5lam,0.13662107233097237,0.0831353919239905,45,2,421
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-3ep_0alp_0lam,0.13703304043446835,0.10688836104513064,51,2,421
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_1vpo_const,0.1464892666723152,0.08788598574821853,29,2,421
tinycompany/ShawtyIsBad-nomic-moe,0.6183947551145396,0.32304038004750596,8,2,421
JayHyeon/Qwen_0.5-IRPO_3e-6-2ep_1alp_0lam,0.1464892666723152,0.12589073634204276,29,2,421
akhadangi/Llama3.2.1B.0.1-Last,0.1385600406899133,0.20190023752969122,29,2,421
EpistemeAI/ReasoningCore-3B-T1_1,0.411166259818971,0.39429928741092635,8,2,421
Xiaojian9992024/Reflection-L3.2-JametMiniMix-3B,0.4626314354221101,0.4085510688836104,8,2,421
JayHyeon/Qwen_0.5-DPO_1e-6-3ep_0alp_0lam,0.1464892666723152,0.1187648456057007,29,2,421
HuggingFaceTB/SmolLM-1.7B,0.35030354808564634,0.20902612826603326,8,2,421
bunnycore/Llama-3.2-3B-ToxicKod,0.2921453358414458,0.30641330166270786,8,2,421
weathermanj/Menda-3B-500,0.35608691618009036,0.29453681710213775,8,2,421
yuchenxie/ArlowGPT-3B-Multilingual,0.411166259818971,0.3681710213776722,8,2,421
Mxode/NanoLM-0.3B-Instruct-v2,0.27719699538840337,0.2755344418052256,8,2,421
bunnycore/Qwen2.5-3B-RP-Mix,0.57477729799621,0.3159144893111639,8,2,421
TinyLlama/TinyLlama-1.1B-Chat-v0.6,0.15638756095824524,0.17577197149643706,23,2,421
Sakalti/tara-3.8B,0.57477729799621,0.5581947743467933,8,2,421
rombodawg/Rombos-LLM-V2.5-Qwen-3b,0.4664734665244645,0.30641330166270786,8,2,421
DeepMount00/Lexora-Lite-3B_v2,0.29226827826300605,0.2494061757719715,8,2,421
realtreetune/rho-1b-sft-MATH,0.4113099661744253,0.22565320665083136,8,2,421
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1.1,0.29671401093662114,0.25653206650831356,8,2,421
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7-3ep_0alp_0lam,0.13662107233097237,0.09026128266033254,45,2,421
