rank,model,theta_mwle,sd,se_param,se_total,n_scenarios,n_criteria,stop_reason,weak
17,allenai/OLMo-2-0425-1B-DPO,0.0892279490732855,0.185079173831629,0.1053822778857903,0.2129782267711803,15,24,precision,False
18,stabilityai/stablelm-2-1_6b-chat,0.0646368197149578,0.1530938186838125,0.1062740324711488,0.1863649304372227,15,20,precision,False
19,BSC-LT/salamandra-7b-instruct,-0.0325827246568621,0.1662784959806686,0.1226408620546852,0.2066139377464878,15,22,precision,False
20,OpenBMB/MiniCPM4-0.5B,-0.1261991746456605,0.2008730228151091,0.1180603906599853,0.2329983414912383,15,22,precision,False
21,ibm/PowerLM-3b,-0.1640014786034528,0.1467974911028592,0.104738474593734,0.1803320588645188,15,22,precision,False
22,meta-llama/Llama-3.2-1B-Instruct,-0.2088392841341589,0.1658252702906398,0.0762405804529456,0.1825120444649224,15,23,precision,False
23,stabilityai/stablelm-zephyr-3b,-0.2104676117437125,0.1802063619282185,0.0652286628164768,0.1916484055040107,15,23,precision,False
24,stabilityai/stablelm-2-zephyr-1_6b,-0.2392592441562761,0.1555319127528548,0.0739396069148076,0.1722127793030409,15,25,precision,False
25,Qwen/Qwen1.5-1.8B-Chat,-0.314892562272597,0.1680575380267948,0.0803420649394792,0.1862744842601022,15,24,precision,False
26,h2oai/h2o-danube-1.8b-chat,-0.5118327452863265,0.1882411447864004,0.1288029253149457,0.2280897239249985,15,23,precision,False
27,BSC-LT/salamandra-7b,-0.5194147253020188,0.197599611363094,0.1355837592154491,0.2396425717059443,15,21,precision,False
28,Qwen/Qwen2.5-0.5B-Instruct,-0.5614028903739013,0.211374442809094,0.0785675724659015,0.2255039212875014,15,24,precision,False
29,h2oai/h2o-danube2-1.8b-chat,-0.734860075025528,0.1885706314057487,0.0778229719076322,0.2039982793684762,15,26,precision,False
30,openbmb/MiniCPM-2B-sft-bf16,-0.7350332051626768,0.1716599189537155,0.1052167099348394,0.201339722421355,15,25,precision,False
31,allenai/OLMo-2-0425-1B,-0.7421465613205946,0.2086561176865244,0.1406673965973035,0.2516439784963586,15,24,precision,False
32,pankajmathur/orca_mini_3b,-0.7685074351024057,0.1668795971105013,0.1821377221679124,0.2470282367833258,15,27,precision,False
33,BSC-LT/salamandra-2b-instruct,-0.8266079047836707,0.1701252684471097,0.1293904848476793,0.2137393378237115,15,25,precision,False
34,01-ai/Yi-6B,-0.8697859954850861,0.2018795245419442,0.1152861052000399,0.2324784473482996,15,25,precision,False
35,meta-llama/Llama-3.2-1B,-0.9355226304800676,0.168079449026955,0.1335706344783475,0.2146900453680913,15,24,precision,False
36,utter-project/EuroLLM-1.7B-Instruct,-0.9739551844041602,0.1652435651996059,0.0841386669825299,0.1854312571317832,15,27,precision,False
37,microsoft/phi-1_5,-1.1256157757692096,0.2010507408062098,0.0879931088649304,0.2194634083086318,15,26,precision,False
38,h2oai/h2o-danube2-1.8b-base,-1.1447168627350992,0.2047975211559716,0.1372898652334966,0.2465573599945098,15,27,precision,False
39,openbmb/MiniCPM-1B-sft-bf16,-1.2101798428725303,0.2058032989750522,0.1371979044293911,0.2473424000223801,15,23,precision,False
40,01-ai/Yi-6B-200K,-1.2121980533861358,0.1858258346800524,0.1253417642495788,0.2241468239786929,15,25,precision,False
41,Qwen/Qwen1.5-1.8B,-1.3086229479766642,0.1800328913777938,0.1567920431627091,0.2387374850688206,15,24,precision,False
42,utter-project/EuroLLM-1.7B,-1.4530124270615907,0.2127777999115308,0.1104872577860881,0.2397536783206484,19,28,precision,False
43,HuggingFaceTB/SmolLM2-360M,-1.5347494316515096,0.2050837165703818,0.1196160865427353,0.2374180678931573,15,27,precision,False
44,google/gemma-2b,-1.5532015981857117,0.2072752873567379,0.1185685901422363,0.2387918661033828,15,26,precision,False
45,google/gemma-2-2b,-1.765590012937052,0.2105341782376008,0.0919453903292443,0.229735924506767,21,35,precision,False
46,Qwen/Qwen2-0.5B,-1.9018610299727496,0.217582139557649,0.1461174189171502,0.2620921356422092,21,40,precision,False
47,openlm-research/open_llama_3b,-2.043831909369724,0.2191650535314335,0.1537848457465943,0.2677369968284919,21,35,precision,False
48,BSC-LT/salamandra-2b,-2.356695220078519,0.2000030321352599,0.1773384631985849,0.2673015963157228,15,26,precision,False
49,BEE-spoke-data/smol_llama-220M-openhermes,-2.984308762089024,0.2506990795741758,0.1049430879310372,0.2717776300651699,22,38,plateau,False
50,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-3.83523295872696,0.3901252070753174,0.1520886996513258,0.4187226406073482,15,27,plateau,True
51,allenai/OLMo-1B-hf,-3.8429656385802247,0.409610389527539,0.1910865967503157,0.4519897771703692,29,46,plateau,True
52,ai-forever/mGPT,-4.394862552006786,0.416497996389793,0.133420406746009,0.437346071130155,17,27,plateau,True
