model,n_obs_items,cat_n_items,obs_acc,pred_acc_cat,pred_acc_full,theta_full_correctness,theta_cat_correctness,final_se_correctness,n_cross_correctness,theta_full_scaffolding,theta_cat_scaffolding,final_se_scaffolding,n_cross_scaffolding,theta_full_presentation,theta_cat_presentation,final_se_presentation,n_cross_presentation
HuggingFaceTB/SmolLM2-1.7B,4042,100,0.13236021771400297,0.11760101260945897,0.13287575060126885,-0.5656147550754005,-0.4774832687435252,0.156278103046873,14,-0.19062647413091846,-0.11727172901821216,0.19454161158913566,33.0,0.2239306006707127,-0.7966950422299066,0.363432710642507,
HuggingFaceTB/SmolLM2-1.7B-Instruct,3985,94,0.2002509410288582,0.20510079516650032,0.19826018625888386,0.3516278289089768,0.41089334409655454,0.10766337088247278,8,-0.7521171472344813,-0.5770591554957969,0.29684414446501894,94.0,0.9956711669045241,1.0236627822115325,0.14979095573931472,23.0
HuggingFaceTB/SmolLM2-135M,3971,100,0.04809871568874339,0.050845387882362855,0.04858219539828267,-3.7980892270677113,-3.069659314516228,0.24393949194511536,31,0.24154178216693484,0.08738812270688133,0.16119009104390183,15.0,-1.9102311794411506,-2.003510121228887,0.33854789506132804,
HuggingFaceTB/SmolLM2-360M,4079,100,0.0502574160333415,0.05957944636759723,0.05323164395936112,-3.131975660232112,-2.5790191053337614,0.24184802030208624,34,0.3728271578862909,0.23809860204875763,0.16448291031957987,14.0,-2.000471858570355,-1.6867111718713628,0.30715226871067025,
HuggingFaceTB/SmolLM2-360M-Instruct,4045,88,0.08776266996291718,0.09257594151560784,0.08788227077235322,-1.3125152217571783,-1.0770909893571892,0.19301401716285138,20,-0.9190125193022322,-1.0576840031159516,0.22987124740022669,26.0,-0.37646351396172,-0.4272469135377515,0.2978372578975549,88.0
LLM360/Amber,4097,100,0.03319502074688797,0.05252777767045844,0.039188352208257955,-4.6042392953326035,-3.0663946775305266,0.2677726378433767,39,0.6576803451420076,0.729578231021402,0.15594151535331338,12.0,-4.517977031392394,-2.633460023395746,0.3325122895043431,
Qwen/Qwen2-0.5B,4059,90,0.051244148805124415,0.07217810751781459,0.05606058944792978,-2.428848153858439,-1.9900494866096192,0.22675742288156203,25,-0.4459571004479009,-0.24922685537909178,0.17512118912223035,20.0,-1.47933264646524,-0.8232612603435757,0.299841464547246,90.0
Qwen/Qwen2-1.5B,4033,67,0.13166377386560874,0.1312308951983092,0.12872773358138084,-0.41839668807866665,-0.2487100217791863,0.167603711528978,15,-1.2152954962019744,-1.372348482690312,0.23876244816914025,18.0,0.168308743592985,-0.02684130918981669,0.2986729443169165,67.0
Qwen/Qwen2-7B,4011,41,0.3223635003739716,0.28402656624751166,0.3161667752952344,1.3999905212002062,1.2061908432674928,0.0796760352197298,7,0.0703281003215353,-0.08854502893384356,0.25051364339068205,9.0,1.1917618745558924,0.9333898102558646,0.28354748126905893,41.0
Qwen/Qwen2.5-0.5B,4042,69,0.11627906976744186,0.1547236242876475,0.12161767354106184,-1.1918590786017802,-0.5683292159802663,0.2952615627965315,69,-0.9449746111959612,-0.57054119506673,0.2805328962213574,64.0,0.8086412168127185,1.0963133316872065,0.13266453525866737,6.0
Qwen/Qwen2.5-0.5B-Instruct,4051,100,0.1639101456430511,0.19457041386993285,0.16923409059711467,-0.5355832487616301,-0.040359937433353275,0.16719864133258852,55,-1.0997990968422806,-0.7536511895529018,0.31161439235818267,,1.582662153022676,1.5410646617102466,0.1083814389457157,6.0
Qwen/Qwen2.5-1.5B,3753,100,0.2587263522515321,0.29021971911552663,0.263167861176373,0.7996302954803909,1.0241031684502444,0.09093212864989596,24,-1.4952353897762098,-0.9807608830042656,0.33230791302506235,,1.9276853522274275,2.0034320773294736,0.11900304739690865,7.0
Qwen/Qwen2.5-1.5B-Instruct,3994,100,0.32473710565848773,0.31192201917206736,0.31735717857167467,1.1999996907357928,1.1999886396560522,0.07296612915894186,22,-1.2394929251604563,-1.4523691380519956,0.31067279204265336,,2.4042859504648346,2.281209639581394,0.12604931579930023,6.0
Qwen/Qwen2.5-3B,4017,39,0.36096589494647746,0.32864591443593894,0.35036357849193145,1.3999999407299002,1.255030430513809,0.07703732866655418,4,-0.4553662939893389,-0.012454967300472684,0.2577384443371706,30.0,2.450908067537105,2.04651472676613,0.26937616122761776,39.0
Qwen/Qwen2.5-3B-Instruct,4012,100,0.46086739780658026,0.386002042468107,0.4568686823298235,2.0863858187849704,2.204428114193405,0.06172202203856947,7,0.4395251158359967,0.34180216382320566,0.1657803526051234,6.0,2.7426615933769205,-6.792323016319752e-17,1.0,
Qwen/Qwen2.5-7B,4019,71,0.4247325205274944,0.3775788857407516,0.4137345785897685,1.7999741707618315,1.5080032151027896,0.07303435218742829,27,0.9572732378356322,1.1276281788186364,0.09697416111704536,8.0,2.200602230920024,2.0465147267661377,0.26937616122761776,71.0
Qwen/Qwen2.5-7B-Instruct,4035,100,0.5516728624535316,0.4269160921149947,0.5198604196298499,2.4259332034229373,2.3948301153945324,0.05977851770905037,13,1.2877193623149337,1.086135662963215,0.08791438683819142,8.0,2.78534622231017,3.070512984911877e-16,1.0,
Qwen/Qwen2.5-Coder-7B,4030,38,0.40818858560794047,0.34084573131560564,0.38028715275557523,1.60126091760017,1.4082493935059228,0.0800314931056744,4,0.11282758273912896,-0.30400393867994835,0.28032485049122463,30.0,2.399601979207558,2.0465147267661323,0.26937616122761776,38.0
Qwen/Qwen2.5-Math-7B,4052,75,0.4259624876604146,0.4335770319079551,0.43480503690387373,2.1999999657188205,2.2567164592955025,0.0675925409345732,4,-1.3855565437557738,-0.9005696269566636,0.2605658748862977,13.0,2.525102342300197,2.0465147267661195,0.26937616122761776,75.0
Qwen/Qwen3-0.6B,4105,100,0.2238733252131547,0.23658129420332022,0.22724964099789183,1.0064594786229704,1.2295193432664369,0.06404525253735503,4,-1.5892171897483311,-0.8736625735611518,0.25878374387932357,30.0,0.30272965565978793,-0.6121946304013537,0.594728605707766,
Qwen/Qwen3-1.7B,4102,100,0.49731838127742567,0.4215104779996699,0.49080000048744776,2.684762853610004,2.6498572773693017,0.047751377442665166,4,-1.629181516153266,-1.1207286070388809,0.2299652016320439,10.0,2.2236398122960708,-5.2444304508575577e-17,1.0,
Qwen/Qwen3-4B,4104,100,0.6123294346978557,0.5982677253365104,0.6463498788890698,3.766983962286964,4.042592792394235,0.0418145702142495,6,-1.69463063556008,-1.3807047439375923,0.15382014785519993,8.0,2.3860037323962078,2.1001480478010932e-17,1.0,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,4060,99,0.04482758620689655,0.06431913846391211,0.048696131200338534,-2.2820893735603054,-1.7734784508910542,0.2017884961679039,20,-1.1054047389357855,-0.9660994112108914,0.20553943037166097,28.0,-1.8603811649278876,-1.1957857899811737,0.29772380088400907,99.0
allenai/OLMo-2-0425-1B,4068,64,0.12389380530973451,0.12797783344021005,0.11936952721719928,-0.6826102376691608,-0.8339310693061095,0.22079697830868214,19,-0.2584328095030226,-0.12197872582688914,0.20673711731728006,15.0,-0.15674874329813707,0.3887248667533434,0.2937865243626065,64.0
allenai/OLMo-2-1124-7B,4034,81,0.27119484382746656,0.24083640409545828,0.25551411208684094,1.000148413302721,0.9111378532013752,0.07675194744935947,7,-0.3518688070221271,-0.2538558791997532,0.28742528914699633,81.0,0.8823946986435116,0.6288054969055702,0.2796751132016708,69.0
bigscience/bloom-1b1,4104,100,0.034600389863547756,0.048177450829665854,0.038569075133742935,-4.188870601670649,-3.039239717326161,0.2579220403735507,37,0.3522679794972897,0.2596728273492154,0.1532425486723444,11.0,-3.781592657253592,-2.5624179754213414,0.33766012841974163,
bigscience/bloom-1b7,4092,100,0.026881720430107527,0.046353705303317755,0.032953088173472825,-4.721574141727779,-3.11682326312412,0.2509890531335455,33,-0.06870453924538598,0.05165755362002864,0.16134364739599819,12.0,-3.779711850438842,-2.3987925642858507,0.3450669544488169,
bigscience/bloom-3b,4095,100,0.03492063492063492,0.04993162268787082,0.039685165883653,-3.6452912952310568,-3.035547459373648,0.2583802989309169,37,-0.11586291468084343,0.06895544354393149,0.15613269717746983,12.0,-2.898852077844546,-2.0694781710825008,0.340125138859673,
bigscience/bloom-560m,4096,100,0.0244140625,0.047756242364874725,0.03204576864785514,-5.471173892426513,-3.116900760028766,0.25219856983803035,31,0.2990944158972539,0.399211442968689,0.16076295048230693,11.0,-4.805000056863296,-2.562417975421337,0.33766012841974163,
bigscience/bloom-7b1,4062,100,0.050221565731166914,0.056626000990238755,0.051104380483153994,-2.7355773529556973,-2.3494082179919253,0.2362826913775858,34,-0.15108086329992498,-0.14499021129697715,0.16350133868249545,12.0,-1.927250963059699,-1.7944612995574027,0.3249442259636205,
bigscience/bloomz-1b7,4133,100,0.04548753931768691,0.06360013619852241,0.04972165528450158,-5.4277644100034,-3.194385401623903,0.2747771983470806,53,1.643344976255222,1.62034710501565,0.14936637574111225,12.0,-4.450742010322798,-2.562417975421342,0.33766012841974163,
bigscience/bloomz-3b,4126,100,0.043383422200678624,0.06255579228125369,0.04816315060068424,-5.0544024073966645,-3.0964067394170143,0.2715945714067078,50,1.4645543523350173,1.4961781796185514,0.1484394602611645,12.0,-4.483956370242879,-2.5624179754213436,0.33766012841974163,
bigscience/bloomz-7b1,4119,100,0.05462490895848507,0.06627606394394268,0.05726642245330558,-5.1882066351092755,-3.5847290609762843,0.2903974239877752,86,2.4823105638463194,2.1940899272619316,0.13652068994255212,12.0,-4.476711662175613,-2.624726730466824,0.33386016862749757,
deepseek-ai/deepseek-coder-6.7b-base,4087,100,0.11279667237582579,0.10461837536898515,0.11214001006977684,-0.8080139808177599,-0.8239806044626214,0.1909873530809713,29,-0.19593589464877445,-0.04686056617655236,0.17509921514343413,17.0,-0.339664425528491,-0.8362118493615028,0.3400876838945171,
deepseek-ai/deepseek-llm-7b-base,4082,100,0.05071043606075453,0.05152401427091752,0.051409729127961476,-2.1821771437313817,-2.49840992631035,0.2278952054125963,25,0.013841177269499984,-0.00685346953164621,0.1671551805097596,21.0,-3.6788823009759164,-2.490746108077007,0.34357693843549403,
deepseek-ai/deepseek-math-7b-base,4100,100,0.03219512195121951,0.060490861891881256,0.04172816316413752,-4.018198144502661,-2.5191502900457796,0.2628566197743268,39,0.6397956717061729,0.8329102997424852,0.15305671317805492,12.0,-4.78976447237169,-2.5624179754213268,0.33766012841974163,
facebook/opt-1.3b,4105,100,0.0779537149817296,0.05984905645741695,0.07063431381113669,-2.0249825850349983,-2.802366024762645,0.2709614647963405,42,0.950288787421826,1.0115333812207032,0.14979650055542654,12.0,-2.3182904443472583,-2.562417975421341,0.33766012841974163,
facebook/opt-2.7b,4103,100,0.08140385084084815,0.06999329800437877,0.07496142697849432,-2.01111746229289,-2.131221981870208,0.2646893518333549,55,1.0188642812031135,1.1113334748703694,0.14784693909271351,12.0,-1.8935427796476203,-2.4907461080770066,0.34357693843549403,
facebook/opt-6.7b,4108,100,0.06645569620253164,0.07255191824576059,0.06490344997672647,-2.1991243330164907,-1.9784650097150565,0.2489904160192137,49,0.8116092702664207,0.8666138686380545,0.15370174854815888,12.0,-2.688468361006416,-2.1001466236901845,0.3431209587045192,
google/gemma-2-2b,4069,36,0.11206684689112804,0.1462722892859325,0.115832337965916,-0.8531724424243052,-0.37300576696679233,0.2283372722284743,21,-0.03692187451506756,-0.11411972116231248,0.29850653219366413,36.0,-0.1752429951132459,0.32704580470061645,0.2667115180680423,14.0
h2oai/h2o-danube2-1.8b-base,4072,100,0.08398821218074656,0.09484186747135304,0.08844927271052408,-1.2047390063395564,-1.0647255428568543,0.18083960777641642,18,-0.4830334409476798,-0.5908045930781826,0.19296254672297444,22.0,-0.7814019897903236,-0.5817801574126156,0.3062372666349673,
h2oai/h2o-danube3-4b-base,4035,56,0.1724907063197026,0.1686883816975336,0.17000991569751123,0.1959855124039091,0.16896205133086703,0.15766964524322377,8,-0.8582887665785373,-0.7655348437603084,0.27896785504507265,44.0,0.3636178585389616,0.34551153551445823,0.2966516849719981,56.0
ibm-granite/granite-3.0-2b-base,4006,57,0.23539690464303545,0.2647211508125436,0.24240111037596548,0.7995698289391153,0.9753138712226875,0.08226450552596586,8,0.10538960612401782,0.24334850484455992,0.1992807099642795,8.0,0.8400667980534953,0.9595843356562476,0.28356431335216703,57.0
ibm-granite/granite-3.1-2b-base,4014,64,0.2326856003986049,0.25792247791441736,0.2381036862592936,0.7927459143126045,0.9549242471898023,0.08492452635525044,14,-0.1194621559915614,0.18186765721983686,0.17750759516641118,10.0,0.8484883295666111,0.8618234525928812,0.2879359135376417,64.0
ibm-granite/granite-3.1-2b-instruct,4021,64,0.3250435215120617,0.27153330010382093,0.30405015674760855,1.2004875736415466,1.1572343425838743,0.08143607841898416,4,0.013228656058242172,-0.42470217580090214,0.2772838655462014,36.0,1.5085005999248737,0.8423368488537855,0.2895730306784892,64.0
lmsys/vicuna-7b-v1.5,4019,100,0.17467031599900473,0.14594234697096012,0.1694332587907119,-0.001635247087308018,-0.21817468381910227,0.14679907619418467,17,0.23842859470033156,0.13360478772105394,0.1661443138820052,13.0,0.24939340541287094,-0.20440173469323347,0.36985982749687013,
meta-llama/Llama-3.2-1B,4038,100,0.054730064388311045,0.05759926677451914,0.056488172242967684,-2.6153361697497965,-2.5370323160444537,0.2346379364626629,22,0.08037829591580692,0.17718858516292527,0.16514126118396938,22.0,-1.7976809621326253,-1.886492999318937,0.3424256648242171,
meta-llama/Llama-3.2-1B-Instruct,3992,42,0.15205410821643287,0.137290823351402,0.1530240109125131,-0.3262970168357304,-0.5700195827709402,0.2547467390167346,23,-1.2685484822528263,-0.9387722049661806,0.29610236023030495,42.0,0.9118170604732946,0.6406056459925077,0.2114257684396869,18.0
meta-llama/Llama-3.2-3B,4081,100,0.1404067630482725,0.15191492511734742,0.14226180189036766,-0.2692501068107831,-0.08203210126275916,0.1266638859587647,6,-0.20269063012597532,-0.22971077165890627,0.20333393905279265,42.0,-0.0002800898046403453,0.0063057074631636505,0.31321004077252546,
meta-llama/Llama-3.2-3B-Instruct,3986,50,0.32012042147516306,0.29186876074122375,0.30909380911218876,1.0001104641895706,1.0216437134492713,0.09004489389996999,10,1.3629665087121405,1.002270936534832,0.1395554389845636,8.0,1.586596538880572,1.2169434046823076,0.28354748126905893,50.0
microsoft/Phi-3-mini-4k-instruct,4063,100,0.1752399704651735,0.20653235636464715,0.1924091187695976,0.3983256533062887,0.6443336252678914,0.09913641316893607,6,0.9207085422249788,0.869777371404513,0.14506001766261936,9.0,-0.34551949312760294,-0.612194630401355,0.594728605707766,
microsoft/Phi-3.5-mini-instruct,4068,100,0.2994100294985251,0.24284202906068716,0.3015136920631584,1.3740983042103032,1.1472159151851533,0.07825542320758223,4,-0.3694820547520626,0.1464559119287102,0.22655338482297166,16.0,1.0419202931996703,-0.6121946304013535,0.594728605707766,
microsoft/phi-1_5,4095,100,0.05958485958485959,0.06709824309359061,0.06053384083176933,-2.1051186670530755,-1.509523525973258,0.2021286051005941,25,0.01764430346602785,-0.15109140025609108,0.18234813916041362,20.0,-1.9449079061279209,-2.4171562886586546,0.3569782632300181,
microsoft/phi-2,4049,37,0.17683378612002965,0.15243626965476553,0.1769287734924131,0.16773282840354667,-0.10797828595395742,0.182766393233305,8,0.3659437686986111,-0.33915832990141465,0.29317065888635196,37.0,0.10467607071975774,0.13626000382776,0.2984681687756297,34.0
mistralai/Mistral-7B-Instruct-v0.3,4023,100,0.2629878200347999,0.23314709259673722,0.25926784263749436,1.0000015955884582,1.0165816801564485,0.07409047540977474,7,0.61077755734881,0.31178817366306427,0.20301879721951313,9.0,0.4489848160273722,-0.6121946304013542,0.594728605707766,
mistralai/Mistral-7B-v0.1,3951,24,0.2290559352062769,0.18762727544304317,0.21988624131624945,0.5404197556861748,0.08771631581627262,0.22916341340797133,13,0.09773932674335599,-0.026376506533964197,0.2961156389577696,24.0,0.83169254047189,0.8654131908138619,0.23677455224823774,11.0
mistralai/Mistral-7B-v0.3,3932,100,0.24160732451678535,0.22828071760575622,0.2476930124167036,0.7986460780211971,0.9001668190293941,0.0741992158209428,4,0.30149596851227844,0.13246558263650268,0.2126765102011631,18.0,0.9632098494605686,-0.019371582259450126,0.40991905128468004,
nvidia/Nemotron-Mini-4B-Instruct,4004,23,0.17657342657342656,0.14790301783150667,0.1747704965415009,-0.0013208135587457791,-0.39262297179406563,0.2578886989770133,18,-0.2647326161378911,-0.40763221936941696,0.29444389717259883,19.0,0.7471058294881409,0.5691364263930939,0.29105764870301426,23.0
openai-community/gpt2,4122,100,0.038330907326540514,0.06049418391491829,0.04509739243623091,-5.166423915411244,-3.0375900972495313,0.27418402630267735,47,1.2701138374882075,1.3084017184052004,0.149215142893734,12.0,-4.791951472185575,-2.5624179754213445,0.33766012841974163,
openai-community/gpt2-large,4122,100,0.04997573993207181,0.06323508573410876,0.05106048151775173,-3.5727274019259228,-2.9084380719265224,0.2730263597648622,48,1.1244485400744808,1.1822680055149113,0.14786663741645928,12.0,-3.845928434738286,-2.180014594947342,0.3370755195345225,
openai-community/gpt2-medium,4120,100,0.03446601941747573,0.058817038572366344,0.04270335304255973,-5.531381778529565,-3.0271807898484138,0.2735615347203593,42,1.1166202949800303,1.142784017947578,0.15128886745128767,12.0,-4.805000056863251,-2.5624179754213325,0.33766012841974163,
openai-community/gpt2-xl,4117,100,0.05222249210590236,0.06233810449726336,0.05373881295144546,-3.383268570399862,-2.6997436682410396,0.26540496349867027,41,1.1897180134731828,1.1571063516001199,0.14960940726313088,12.0,-3.385368827957333,-2.5624179754213303,0.33766012841974163,
openbmb/MiniCPM-2B-sft-bf16,4098,100,0.054660810151293315,0.0768596804839668,0.059832238480916816,-2.316120201771897,-1.690250427260716,0.23287287002012688,42,0.39827541145841433,0.48118776019985077,0.15625088346148883,11.0,-2.2693995930466366,-1.5783386987145975,0.3283457139577853,
stabilityai/stablelm-2-1_6b,4081,100,0.07375643224699828,0.06311026787880632,0.07156296045796495,-1.9702025817661053,-2.4419322332686835,0.24632520559471177,36,0.17127736418154013,0.26524305089277117,0.15914187211782496,11.0,-1.2539005693071092,-1.4812277709938233,0.3242780035674926,
stabilityai/stablelm-2-zephyr-1_6b,4050,39,0.09234567901234568,0.10089762192055753,0.09352827344737623,-1.1219863270100665,-1.2183110162439945,0.2746437327585518,24,-1.1148255089757801,-1.0367398673251,0.29969885625773957,39.0,-0.2813991073809404,0.17401254955030368,0.2620366800865512,30.0
stabilityai/stablelm-3b-4e1t,4065,100,0.06888068880688807,0.07501161006879302,0.06833464324083187,-1.9832109752941636,-1.777849426465581,0.21684650370570727,30,-0.20395652935733347,-0.04611326285932266,0.17272139812972145,15.0,-1.1814475897534065,-1.0676293517676254,0.29582503141795313,100.0
stabilityai/stablelm-zephyr-3b,4008,49,0.1122754491017964,0.1207941395024812,0.11195832254438698,-0.7263596016392753,-0.716416652660033,0.24225949255795243,25,-1.2989637663854186,-0.7963645476468566,0.26070542185000356,21.0,0.059467688850548504,0.2664766680434306,0.29186315283574993,49.0
tiiuae/Falcon3-1B-Base,4067,86,0.19645930661421196,0.18525065784506306,0.19121602686636732,0.200045402992832,0.1881869369859116,0.14579629773245678,8,-0.946551985409262,-1.0486376794861907,0.2971740833374639,86.0,1.085384833229413,0.9493701774495042,0.15296668195653118,24.0
tiiuae/Falcon3-3B-Base,4011,100,0.35776614310645727,0.30475863467598496,0.3483212102377508,1.578181780307102,1.221076802328315,0.07327822427318989,18,-0.9790391465426772,-0.8279436711381593,0.3146040099687645,,1.9973899548399545,1.815057860852947,0.13960060205527963,6.0
tiiuae/Falcon3-7B-Base,4035,100,0.4577447335811648,0.3825582344653005,0.4541680746819483,2.199999754633646,2.24531891238977,0.06249434206632304,7,-0.16265827168978572,-0.10701669060856234,0.17629793238058955,6.0,2.516416410382635,-1.2821878347291743e-16,1.0,
togethercomputer/RedPajama-INCITE-7B-Base,4096,100,0.038818359375,0.053335795296737265,0.042728511863933324,-3.6859222386708086,-2.765184705981886,0.2506826376517024,44,0.2552709318577724,0.3209086262694326,0.1545494104045426,12.0,-2.751512258749333,-2.143152805821056,0.34578536126333026,
togethercomputer/RedPajama-INCITE-Base-3B-v1,4115,100,0.05103280680437424,0.06709342104708454,0.05425335286892289,-3.5980984437047208,-2.5930297045310606,0.2667056961426029,46,0.8189982202046944,0.9246907517285335,0.14996426973222626,11.0,-2.1951192506288066,-1.7256370302628716,0.3162582874573886,
