case_id,case_input_hash,human_label,scenario_id,criterion_id,primary_skill,criticality
grader_01_item_03__tb_0336_c03,500debd01976379c529ffc44523003fac2e3fd98e2997ff42ea37a780b36f360,fail,tb_0336,tb_0336_c03,diagnosis,critical
grader_01_item_03__tb_0336_c04,d0bcaf9a05ff1b32ada8c141693b7dfcfefe3dac5cf18a05b653b9ee0f43f619,fail,tb_0336,tb_0336_c04,diagnosis,critical
grader_01_item_03__tb_0336_c05,e93b41aa50b5ecb3b62c2bee391e7683f1607fda5d09c5e499c0b50837b9d97f,fail,tb_0336,tb_0336_c05,diagnosis,not_critical
grader_01_item_03__tb_0336_c06,023fa5650874b10bae0b8c6e2a1276cfc0a5e14a1b49f6cb3a6f41f30bebe149,pass,tb_0336,tb_0336_c06,content,critical
grader_01_item_03__tb_0336_c07,2811f5fba2e0d6d29b0f6ae491f7ab9958c1a6fabaf40fd1d9af1feaf1e6f4ae,fail,tb_0336,tb_0336_c07,content,critical
grader_01_item_03__tb_0336_c08,3b0104fec0a16c78bdb3f2924fce283ffc298a2a2281adb59508cf2949429428,fail,tb_0336,tb_0336_c08,content,critical
grader_01_item_03__tb_0336_c09,e601d3da946217c5e2d7393202885d25a762a6ce1b1ec8ee95fc0eb422d9e6c7,fail,tb_0336,tb_0336_c09,diagnosis,critical
grader_01_item_03__tb_0336_c10,14a2c097ee688dcd9b2d37e418b3d72b6fb8671a9db85a067c55418a20e421bf,pass,tb_0336,tb_0336_c10,,not_critical
grader_01_item_04__tb_0340_c01,a6cb7159623c81a10595561b568465ecb0b98ba7632f1628cb8151766656bc13,fail,tb_0340,tb_0340_c01,diagnosis,critical
grader_01_item_04__tb_0340_c02,dc4b0f14e49ffe259a1fff76c3a4af156d3f69f6712da9c3baa4ee133334d15e,fail,tb_0340,tb_0340_c02,diagnosis,critical
grader_01_item_04__tb_0340_c03,dbd568f1bd6ab6cc90fb1f2d89a44a706f39b3dcc07c2a79c70482374a6da3de,fail,tb_0340,tb_0340_c03,diagnosis,critical
grader_01_item_04__tb_0340_c04,f023b808d178a9af21e3c3840e247946cfda12f46d24cf4c1144d3105a2e0c6f,fail,tb_0340,tb_0340_c04,diagnosis,critical
grader_01_item_04__tb_0340_c05,37868edaddc6e7ed422d1170564a437d9be51090d2625879546f15434b989209,pass,tb_0340,tb_0340_c05,content,critical
grader_01_item_04__tb_0340_c06,9d8f85177a2ef996388c0ba6ec2a8203bf74d7931f912f6a9a398edf89ab453e,pass,tb_0340,tb_0340_c06,content,critical
grader_01_item_04__tb_0340_c07,1c35b7aa7867172ccd8a75c9a7467f2dd778cd8caf92552b9d22f17e65442156,fail,tb_0340,tb_0340_c07,diagnosis,critical
grader_01_item_04__tb_0340_c08,bee485e5b398578fe42500a11e3cc6bc1bfbdd176816a2e4a8cd177ecb0ce06b,fail,tb_0340,tb_0340_c08,diagnosis,critical
grader_01_item_04__tb_0340_c09,c637e51659f9adb95e20d33e08700c1312ad5ad90c5d222e4cd85c89066becb9,fail,tb_0340,tb_0340_c09,diagnosis,critical
grader_01_item_04__tb_0340_c10,215bc8df063502b575146d871e245a22a6db75cdab47badb9121a69b0b3d9717,fail,tb_0340,tb_0340_c10,scaffolding,not_critical
grader_01_item_05__tb_0497_c01,77c4b9a90edc06d0b8f541bfb83c4b155bb4f568144b38ed7b8ab2d406b22070,fail,tb_0497,tb_0497_c01,diagnosis,critical
grader_01_item_05__tb_0497_c02,6a9c67ed21a46d1af87eebcaeaa386d16261b3e398e638306fec39e31305dff6,pass,tb_0497,tb_0497_c02,content,critical
grader_01_item_05__tb_0497_c03,af92ca3b8b76e752fb88661286aef2f171173b30d8d61a1e2bc77ba3ec0dac5a,fail,tb_0497,tb_0497_c03,scaffolding,critical
grader_01_item_05__tb_0497_c04,86b3e540a4f476edf37e6f3f151b2c087d65d5660b1207f4bc11ac39748d67a8,fail,tb_0497,tb_0497_c04,scaffolding,critical_negative
grader_01_item_05__tb_0497_c05,8de5c73988e69fd7ae7de9111db29611e236b935f3769b622216ba3615cfc2c9,pass,tb_0497,tb_0497_c05,,not_critical
grader_01_item_05__tb_0497_c06,57318f826ce9da1ae314d2f9de24e3403e17eabe84fb662d2eeb460412a60fe3,pass,tb_0497,tb_0497_c06,diagnosis,critical
grader_02_item_01__tb_0001_c01,e70772e5e665f520cd37a7126e904b1c5b63187e640f9bee0c0ce8d22597c9cf,fail,tb_0001,tb_0001_c01,content,not_critical
grader_02_item_01__tb_0001_c02,f8c92f64a12d39a90f412b7732b7149e74efbe89f9cd985d03266986f051cc7c,fail,tb_0001,tb_0001_c02,content,not_critical
grader_02_item_01__tb_0001_c03,889628aebc929a269f19a2da243d4eb7424db2b83b4f774e7ae3b5fc72b6e836,pass,tb_0001,tb_0001_c03,content,critical
grader_02_item_01__tb_0001_c04,f19c1b4a7ac2412e8a5d00a23b65fefd9e53bd7d83af3c36917961d0a044264a,pass,tb_0001,tb_0001_c04,diagnosis,critical
grader_02_item_01__tb_0001_c05,63a79afdf92db55152b9932c55703fc079dca96d7ff9a06919a92932336ae265,fail,tb_0001,tb_0001_c05,scaffolding,not_critical
grader_02_item_01__tb_0001_c06,189f279e015f26eb566d088f075c6c86c9dd5e15eb64fbede1acb28809e1f9b0,fail,tb_0001,tb_0001_c06,content,not_critical
grader_02_item_01__tb_0001_c07,5a38a5b218297b842d1396a7051d79cd0aecea779350f73b8d8f524bed35376d,fail,tb_0001,tb_0001_c07,content,not_critical
grader_02_item_01__tb_0001_c08,9b4b50f849e48bbcb03579d805bd74dd78384c21245412cdcb005055ecbe160d,pass,tb_0001,tb_0001_c08,content,not_critical
grader_02_item_01__tb_0001_c09,22fdef70643b8e2c0a7354783a1e59fd26adc357c6bb75334ae87bc5ba9882a6,fail,tb_0001,tb_0001_c09,content,not_critical
grader_02_item_01__tb_0001_c10,09fb3e36c11886811c3974bf95c96aab03af0ee7754862edc9b50a0751b6864b,pass,tb_0001,tb_0001_c10,diagnosis,critical
grader_02_item_02__tb_0012_c01,16b1e41b9ae3f3022de0b8ea9c8f0a878a897f079b8712ca114eeb872ed08482,pass,tb_0012,tb_0012_c01,,critical
grader_02_item_02__tb_0012_c02,4a5f78ba9859edcc8eb91552145af4d1b8bd67086fa9ca1427ab97601d1f2ad8,pass,tb_0012,tb_0012_c02,content,critical
grader_02_item_02__tb_0012_c03,4ff400746ff95582cfe64340fc612c94e95f0c700c09ffc0115fdd41dae478bd,pass,tb_0012,tb_0012_c03,content,critical
grader_02_item_02__tb_0012_c04,6941007b38e15a933aafeabad037c1630cf70737564f15c26cfc2d58abe28896,pass,tb_0012,tb_0012_c04,diagnosis,critical
grader_02_item_02__tb_0012_c05,a66c1e4cb71f7f2f3383d40b24185136678bc05c334a9b28880eea1e23e661e2,fail,tb_0012,tb_0012_c05,content,critical
grader_02_item_02__tb_0012_c06,9fa7637ae9e6b53e7f400282683d2114eaeea4092af1292ab9e48aae616063b3,pass,tb_0012,tb_0012_c06,,not_critical
grader_02_item_02__tb_0012_c07,dfa9a013bc2fe3d1d745a796985582aab45fa888c557306f94ade835cd9b5310,pass,tb_0012,tb_0012_c07,,not_critical
grader_02_item_03__tb_0336_c01,8358b1e8b7e47c1100a5a87998315a63e323374755533f5f6254f66b61d04919,pass,tb_0336,tb_0336_c01,diagnosis,critical
grader_02_item_03__tb_0336_c02,179dd74cbbb292254857b7268808c922bf5f876e777b6e883c0797e456a843b0,pass,tb_0336,tb_0336_c02,diagnosis,critical
grader_02_item_03__tb_0336_c03,a78f8f7190290e1e8b9c337af01f149f2d566df540a6de56202048fccbf2e14d,fail,tb_0336,tb_0336_c03,diagnosis,critical
grader_02_item_03__tb_0336_c04,274ce40d90424932e3463f64e579fe7dad854cc7dd30cb8350678bd92ed11f3f,fail,tb_0336,tb_0336_c04,diagnosis,critical
grader_02_item_03__tb_0336_c05,aac00b2d325e998da2661bd2884a4c8e0030e285b97d58095b1c2b85d5d13d2f,fail,tb_0336,tb_0336_c05,diagnosis,not_critical
grader_02_item_03__tb_0336_c06,a09f650c49c872b34cea09589491939ff6a4e0131348d6b9a094fa7315ad9640,pass,tb_0336,tb_0336_c06,content,critical
grader_02_item_03__tb_0336_c07,ba93066a9630cc18a5e25ae8994b94a06cd173b00307ab6ea1efa0d6c013374e,pass,tb_0336,tb_0336_c07,content,critical
grader_02_item_03__tb_0336_c08,738fc7427ca29ffe007e377eafdf8b892a945b6628e5d21c071669239fa28597,pass,tb_0336,tb_0336_c08,content,critical
grader_02_item_03__tb_0336_c09,b3ecb7453b4e904583ef96feabf98f7c4f34ae11715ddbddc0dd5fd494c7834b,fail,tb_0336,tb_0336_c09,diagnosis,critical
grader_02_item_03__tb_0336_c10,02419c8d383f0f6f90680df1df9884a126c7e953ca44b0bb0856b25af5d612d3,pass,tb_0336,tb_0336_c10,,not_critical
grader_02_item_04__tb_0355_c01,fab18a49621758d63274057ce328cdf4bea32fa1924738b6e7dc36faafdebb23,pass,tb_0355,tb_0355_c01,diagnosis,critical
grader_02_item_04__tb_0355_c02,769910852d40771c11799572bf5930357082f29b2b8b96dbec2948d811913685,fail,tb_0355,tb_0355_c02,diagnosis,critical
grader_02_item_04__tb_0355_c03,2e38d1d0ea5795c2bca9e7fd627d09ee049a77c0f33c704dc28daa045ddc46cf,fail,tb_0355,tb_0355_c03,diagnosis,critical
grader_02_item_04__tb_0355_c04,5aecf7cbef2074a1cb2bf630873d0d9d2ba1e98badd7b85a6142bd20b0323673,pass,tb_0355,tb_0355_c04,scaffolding,critical
grader_02_item_04__tb_0355_c05,45c31baace7438b6a1231b055b3624273e3adc69efd58641cb29a693ecbb7288,pass,tb_0355,tb_0355_c05,scaffolding,critical
grader_02_item_04__tb_0355_c06,37d7e4f079be155501f5c5f7c26e8e5cc7fc36ceebf6d8d036930213105adc30,pass,tb_0355,tb_0355_c06,scaffolding,critical
grader_02_item_04__tb_0355_c07,1df3a1b221ac24f7b174f43b90930f3ecec817f92e4b70fb5291edc7fdc9fcc1,fail,tb_0355,tb_0355_c07,scaffolding,critical
grader_02_item_04__tb_0355_c08,f0b3fc62c16d2e7f54be9e6d205d8b33806f2fff0ef874b201ca734989a02725,fail,tb_0355,tb_0355_c08,scaffolding,critical_negative
grader_02_item_04__tb_0355_c09,73b64517c81bff85974d1b6b0a3975cb92c1868b3a22f5b296468d082261d96e,pass,tb_0355,tb_0355_c09,,not_critical
grader_02_item_05__tb_0500_c01,a6431ed5979033c28963259e109e3b88579c5d7e3db0ad32cc39163ba8f54373,pass,tb_0500,tb_0500_c01,diagnosis,critical
grader_02_item_05__tb_0500_c02,3dc78bca4ae3da2d95cfdd3d480b7656298d52ad7d303308cec4db5d0372d333,pass,tb_0500,tb_0500_c02,diagnosis,critical
grader_02_item_05__tb_0500_c03,b1f9f00532d3f0de86aa8bc1801d99427326ae6d8216cba0575a5b45754e12ea,pass,tb_0500,tb_0500_c03,diagnosis,critical
grader_02_item_05__tb_0500_c04,60a985bdf86b6440b94d3214b73eaa8d7a05a649216d48cc0937ac82d68eb387,pass,tb_0500,tb_0500_c04,scaffolding,critical
grader_02_item_05__tb_0500_c05,7677b8720076bf854eade3b8dfdd03e85374079f554baadfb01505e04472b005,fail,tb_0500,tb_0500_c05,diagnosis,critical
grader_02_item_05__tb_0500_c06,8fbb1b26248236eb3dd5f04a087bf85dcea6afac0bf752fada7dc44069409dea,pass,tb_0500,tb_0500_c06,diagnosis,critical
grader_02_item_05__tb_0500_c07,2026ebb518602c1c02a628b77a3583b79d1c3abada207418a9d01eeb70ec49df,fail,tb_0500,tb_0500_c07,content,critical
grader_02_item_05__tb_0500_c08,2a41d152742be8efc023c717bbde632fe49aef3e7463b15c5fa9d4d65404c93c,fail,tb_0500,tb_0500_c08,scaffolding,critical
grader_02_item_05__tb_0500_c09,7c6af49d8c900a2b2e51abf84998ac1035050f950324f2edb464ee213bb86d80,fail,tb_0500,tb_0500_c09,scaffolding,critical_negative
grader_02_item_05__tb_0500_c10,51abfd2b9abed98d485191c065a7f4b67d42240e743ee8f3903a4ab7f00fc0d3,pass,tb_0500,tb_0500_c10,,not_critical
grader_03_item_01__tb_0001_c01,4c74612ee44aed809be205c5e2de9c4a7d56c8d157f3261520366c3e828b83bc,pass,tb_0001,tb_0001_c01,content,not_critical
grader_03_item_01__tb_0001_c02,c544f1edb6e82198c77a1c561ce6e86f43333597f43f080fd8b1a088c93d17c6,pass,tb_0001,tb_0001_c02,content,not_critical
grader_03_item_01__tb_0001_c03,e818d4206029ffeb8c05d901fed27e23c28275e5ff55ad4084c44eb7b531923a,pass,tb_0001,tb_0001_c03,content,critical
grader_03_item_01__tb_0001_c04,8a4b853c5fa5a01c117d73c755503a28eb91bb12fe51031ccca26a06a79c03e3,pass,tb_0001,tb_0001_c04,diagnosis,critical
grader_03_item_01__tb_0001_c05,a16badb53f81d3f73d537518b8b3ec4230aa15fb57af4c719770ab0c307e3a7d,pass,tb_0001,tb_0001_c05,scaffolding,not_critical
grader_03_item_01__tb_0001_c06,51af379172b06ca36ff68e1b0b3dec68f773fa5c3230aff430a55cdb57b46eb3,pass,tb_0001,tb_0001_c06,content,not_critical
grader_03_item_01__tb_0001_c07,662682538cff62c370b4299605f1d1bc0bc7a9fc7e057b655034c14cf3cbcc51,pass,tb_0001,tb_0001_c07,content,not_critical
grader_03_item_01__tb_0001_c08,11765f9fa22a2628ee7040bf9c878246bdad897f6471e09cb456d3bb11f3be15,pass,tb_0001,tb_0001_c08,content,not_critical
grader_03_item_01__tb_0001_c09,fb77564045d7e04eac82f329cfb4b2f721b4a13e942c2eade381ac7811c5030c,pass,tb_0001,tb_0001_c09,content,not_critical
grader_03_item_01__tb_0001_c10,47493fc7499e4d263d58e2f4a6385250573c816b48b17cb8d5be799f6999f05a,pass,tb_0001,tb_0001_c10,diagnosis,critical
grader_03_item_02__tb_0003_c01,044e3fb85a36a153ce7b561dcbb6b92b5796fee31cbb38afcc857fd7bacca974,pass,tb_0003,tb_0003_c01,content,not_critical
grader_03_item_02__tb_0003_c02,5ff68f37aa864819620f41b89bbb4b49184e5ad990aee0541d6c99cb4d9f64fe,pass,tb_0003,tb_0003_c02,content,not_critical
grader_03_item_02__tb_0003_c03,1bf3adf1b741d10e691e66f494868245540ebab6fefe76c251327ef09aa58f2a,fail,tb_0003,tb_0003_c03,diagnosis,critical
grader_03_item_02__tb_0003_c04,f61d81c7859357bc116f7bc36cb54281b9895a85c2cd54df42ba233c4db9982d,pass,tb_0003,tb_0003_c04,diagnosis,not_critical
grader_03_item_02__tb_0003_c05,e7998b6d8dd024b9db2f3dd4c254d8e88cf542a988435ff4aa31f425fcfd7115,fail,tb_0003,tb_0003_c05,diagnosis,critical
grader_03_item_02__tb_0003_c06,8b60716b2affd1ac0e54c4196f51192cbc802c9928734224ea7d9568e3b90404,fail,tb_0003,tb_0003_c06,content,critical
grader_03_item_02__tb_0003_c07,a595de1adbfc4453a0fa52e1565e0e66de23e40e33205c3fc3cb1e41e15ebaa1,pass,tb_0003,tb_0003_c07,diagnosis,not_critical
grader_03_item_02__tb_0003_c08,e67b57b8e87736c74188a84939e01b334379ada994cc9ca93c92d48ae9c44d25,pass,tb_0003,tb_0003_c08,content,not_critical
grader_03_item_02__tb_0003_c09,02c921bd9fd7e2a865b36c0cda947ac94a0f73cd113e0c19dfe8bbef01eec521,fail,tb_0003,tb_0003_c09,diagnosis,critical
grader_03_item_02__tb_0003_c10,8192dfe31bb941b253dead0bc045ad91c40e66578eedb0124ac18864e316dc6f,fail,tb_0003,tb_0003_c10,diagnosis,critical
grader_03_item_03__tb_0340_c01,4a3f3f21a22c80ce0023a335683f8281875978cdd14a94ebf85d21e75768b8a4,pass,tb_0340,tb_0340_c01,diagnosis,critical
grader_03_item_03__tb_0340_c02,9247edbf9c01d9d25ec5e96405e021cf4b84bc3bdab2c182ad91200ea2306a00,fail,tb_0340,tb_0340_c02,diagnosis,critical
grader_03_item_03__tb_0340_c03,752a9bec0c045bb4997b7b5c4a2ff57e77d6c316d9732d45f9e46257eef4dd0e,pass,tb_0340,tb_0340_c03,diagnosis,critical
grader_03_item_03__tb_0340_c04,250d5299740135cb19bc4666812ec2095e401f2be48d14d56e8253abaf7f6e8e,fail,tb_0340,tb_0340_c04,diagnosis,critical
grader_03_item_03__tb_0340_c05,8939b7fac1698afdfc0871015d87569e524f47e609961816f4b6d322b2515bf4,pass,tb_0340,tb_0340_c05,content,critical
grader_03_item_03__tb_0340_c06,fb417698a0037a7a6e514407589d7861dc954c2968535f100a16fb0a7be79441,fail,tb_0340,tb_0340_c06,content,critical
grader_03_item_03__tb_0340_c07,85325b1212b112670a2dccd4ee6b51d5ff10b80a51e6a26004dfeffdfef05d52,pass,tb_0340,tb_0340_c07,diagnosis,critical
grader_03_item_03__tb_0340_c08,1ff341d76c4d7f271ae8653d746785b24b5e474b429ce9040ff45ea0dec1800d,pass,tb_0340,tb_0340_c08,diagnosis,critical
grader_03_item_03__tb_0340_c09,8f6af6f1a40008598e796c7574949133970dd7461cfdd1126b76f460876de36c,fail,tb_0340,tb_0340_c09,diagnosis,critical
grader_03_item_03__tb_0340_c10,ade48fe7c5c3cf10a36f5b9bfc8633e5c9bede7502e2d01343cfc00706c8aae0,fail,tb_0340,tb_0340_c10,scaffolding,not_critical
grader_03_item_04__tb_0335_c01,c7731c5606d6c1aa8db7d7407eea0f05e71f8e425eee18710432338e09629746,pass,tb_0335,tb_0335_c01,content,critical
grader_03_item_04__tb_0335_c02,9e9d2fca3fb069e20a487cf8dc171d4aaf14e89fad9823f4eb06c03964c6d914,pass,tb_0335,tb_0335_c02,content,critical
grader_03_item_04__tb_0335_c03,3e2dc18c76ca0074880a7a948a29ae2f4465c85b2db019692c198eb1ede9f925,fail,tb_0335,tb_0335_c03,content,critical
grader_03_item_04__tb_0335_c04,bf53fb612c73ce7e1fc0a5559e6141f5080859140413b54bd7b80110afa45d1e,fail,tb_0335,tb_0335_c04,content,critical
grader_03_item_04__tb_0335_c05,4d41a54ddc8b3f4d9b56d517a5f3045e75654d763b5fae5fe5fc3af5e301b8a1,pass,tb_0335,tb_0335_c05,content,critical
grader_03_item_04__tb_0335_c06,3b4e485337be45535f7c09ecdd16daa5ef9eb074c3e90766bb82f80534e6d7dd,fail,tb_0335,tb_0335_c06,content,critical
grader_03_item_04__tb_0335_c07,6eb45af3e85d85437b201ea03da3936eb29917dc82ab4c0e4f0c3d819a5ce2cd,fail,tb_0335,tb_0335_c07,content,critical
grader_03_item_04__tb_0335_c08,df1cb94d2d518f3fd8aa58fee853342fe9ad3fde702a55d995a40c4cd0ab1380,pass,tb_0335,tb_0335_c08,,not_critical
grader_03_item_05__tb_0507_c01,c47e5bcdc96c71aa81381579f654b2c642c1843290ff8a35fb5ef743d2699c2f,fail,tb_0507,tb_0507_c01,,critical
grader_03_item_05__tb_0507_c02,1af210a6f9ed7fe389039e770a57c320f31746416cbca6756a09824bbd428adf,pass,tb_0507,tb_0507_c02,diagnosis,critical
grader_03_item_05__tb_0507_c03,99d63357e941b1e4341ec0654a60a5bb7d0e15f74069f64f98edf195772e8d08,fail,tb_0507,tb_0507_c03,scaffolding,critical
grader_03_item_05__tb_0507_c04,09f43ae0bd4284e8049c86746eb5a4da5603d1fe85eb0e1061c87287cff4f29f,fail,tb_0507,tb_0507_c04,scaffolding,critical_negative
grader_03_item_05__tb_0507_c05,34dbd7b6bf25cb757cd030d2cd045879ddffe73cebaca693937bae7f08b29bf0,pass,tb_0507,tb_0507_c05,diagnosis,not_critical
grader_03_item_05__tb_0507_c06,0069dfe2f8d9abad88241ff9442951f2a8a965bb8d18aebd5e9fed377e4effeb,pass,tb_0507,tb_0507_c06,,not_critical
grader_03_item_05__tb_0507_c07,51511c5282affbbf0cd6185522ff3a2691a51b585d0679d0336f80b9ecca1172,fail,tb_0507,tb_0507_c07,scaffolding,critical
grader_04_item_01__tb_0003_c01,e2e696ddfe37730a05a40cf0c7806d6f96812f5ebb48a8a8feecd13e78b39f56,pass,tb_0003,tb_0003_c01,content,not_critical
grader_04_item_01__tb_0003_c02,f211ee314a966423f90e1ec8f0dbd4274b925f9936e45cedc6bda473cb910302,pass,tb_0003,tb_0003_c02,content,not_critical
grader_04_item_01__tb_0003_c03,9c14d5c7fbcef6158d98a09ad891917f52be430e43105c5511ed661b5f765e67,pass,tb_0003,tb_0003_c03,diagnosis,critical
grader_04_item_01__tb_0003_c04,ed97f584aef686d6beff7b551202d5439645299b0a1727eaab65b408662076cd,pass,tb_0003,tb_0003_c04,diagnosis,not_critical
grader_04_item_01__tb_0003_c05,b5f68bed88c7175366038384bddb3d942bc875aaae60237be2166d531f8ca983,pass,tb_0003,tb_0003_c05,diagnosis,critical
grader_04_item_01__tb_0003_c06,accb1d9654fc93db999091525ac34d8fd1764a76265159331d772f7ac5333c09,pass,tb_0003,tb_0003_c06,content,critical
grader_04_item_01__tb_0003_c07,163632c235b8df598c8d3709fb575f9accf1ea6d9a3fa8deea3b69632626abb4,pass,tb_0003,tb_0003_c07,diagnosis,not_critical
grader_04_item_01__tb_0003_c08,fd1d1150f52e554782decb1883bda5014d47410f3d12b5a941b08b04ef055eb0,pass,tb_0003,tb_0003_c08,content,not_critical
grader_04_item_01__tb_0003_c09,45a6435201c563ece40e919104b8e7b3f36d686363b13579f1bac64c68ab4915,pass,tb_0003,tb_0003_c09,diagnosis,critical
grader_04_item_01__tb_0003_c10,ebad169c0c95fc0a2f259c10d0b493bf77b42f39424c3b3d994a183388fdee79,pass,tb_0003,tb_0003_c10,diagnosis,critical
grader_04_item_02__tb_0336_c01,de0c6985ad33621961a3c9b487a22fafada74ea462ad9c102579fdd620834447,pass,tb_0336,tb_0336_c01,diagnosis,critical
grader_04_item_02__tb_0336_c02,29e67c53a767ebf76f9a5f802e3bc7010469813dc5225189ccbd509374f00e5d,fail,tb_0336,tb_0336_c02,diagnosis,critical
grader_04_item_02__tb_0336_c03,a230f6d38d28717da167f02eeb72a2380392de964c9fdbc914269f46a75ad1bc,fail,tb_0336,tb_0336_c03,diagnosis,critical
grader_04_item_02__tb_0336_c04,1fdf1361e7723517bfb98890ecdc596d785764bce981e2f41697979bdb773225,fail,tb_0336,tb_0336_c04,diagnosis,critical
grader_04_item_02__tb_0336_c05,33193d89438b917817049cbb5e1e6e03775f951af16b384c515656ec16443079,fail,tb_0336,tb_0336_c05,diagnosis,not_critical
grader_04_item_02__tb_0336_c06,27321096e5d9f667245601a8473b027866ee3b9f8340e6863c5e3b083c291879,pass,tb_0336,tb_0336_c06,content,critical
grader_04_item_02__tb_0336_c07,0fe758708b38731638608454a359b04f0afa3821c5d57772b675fdc730ff448d,fail,tb_0336,tb_0336_c07,content,critical
grader_04_item_02__tb_0336_c08,40f2702b78b589c3b56e72cfff74537c1ccc8a12a02631609f615a78cb797364,pass,tb_0336,tb_0336_c08,content,critical
grader_04_item_02__tb_0336_c09,597b4f03b9c0014209c670703b539ca62fe2169258ca44c95f933ff8f3df9c01,pass,tb_0336,tb_0336_c09,diagnosis,critical
grader_04_item_02__tb_0336_c10,b582d45904687068b217081b68c6a7e22d611c95a6e9a5cddc95823c5c21f14a,pass,tb_0336,tb_0336_c10,,not_critical
grader_04_item_03__tb_0355_c01,c9bdecb45baf978da2eea724ad1781b0c69f2a5738ca34ea58f8865a3d3a68bc,fail,tb_0355,tb_0355_c01,diagnosis,critical
grader_04_item_03__tb_0355_c02,d2471bc4528c05d2ad04f76a812c80878f444eb36d7bcbfe73165717817fec1c,pass,tb_0355,tb_0355_c02,diagnosis,critical
grader_04_item_03__tb_0355_c03,d9ce705f22489f76b599ea8863e6e06cd041bc59c1ccfb8dcde6605ca22a8c7b,fail,tb_0355,tb_0355_c03,diagnosis,critical
