model,len_online,len_eap,honestSD_online_correctness,honestSD_online_scaffolding,honestSD_eap_correctness,honestSD_eap_scaffolding,online_honest_ok,eap_reached,theta_online_correctness,theta_online_scaffolding,theta_eap_correctness,theta_eap_scaffolding,theta_ref_correctness,theta_ref_scaffolding
OpenBMB/MiniCPM4-0.5B,15,28,0.4521814109252154,0.3388549234858024,0.2990544610978676,0.25666633711863757,False,True,-1.5366828444524978,-1.154786605160091,-1.599288324114678,-0.9338654735383313,-0.6094605763536889,-0.57670720461901
Qwen/Qwen1.5-1.8B,14,50,0.5459433599791652,0.3457042987187613,0.41064355172145256,0.2530312107809371,False,False,-1.4766803042273342,-0.5441252937198606,-2.3600874768539017,-0.18174531730005591,-2.865184816542186,-0.3956715018743432
Qwen/Qwen1.5-1.8B-Chat,17,33,0.34876055504903036,0.2875043680400577,0.2990967933652351,0.223442033702356,False,True,-1.0573110409866295,-0.5142177817010255,-1.3306386287786367,-0.5806663037164183,-1.3118385393060576,-0.6080986841316114
ai-forever/mGPT,17,50,0.49134247490545285,0.3510230011979321,0.44727676296411073,0.2563495230048825,False,False,-2.472517987869569,1.2111685209961343,-2.9373014733159692,1.3804100449063321,-3.508180822990273,1.6750828807063873
allenai/OLMo-1B-hf,13,50,0.4795005275046801,0.39251076280657693,0.4418289692297127,0.23348484338377024,False,False,-1.833035709234652,1.3207875795850645,-2.6918261722469,1.4235582587155426,-3.6345158047289026,1.7978495065538147
allenai/OLMo-2-0425-1B-DPO,15,21,0.30698184015220426,0.3576928768752993,0.2727501020289615,0.2715699881343339,False,True,-0.3473347733274361,-0.951185366711951,-0.19725435381932052,-0.9169694663373278,0.2998754379265923,-0.806339774291118
allenai/OLMo-2-0425-1B-Instruct,12,12,0.1928704674985731,0.28986267162874685,0.1928704674985731,0.28986267162874685,True,True,1.0439485176626784,-0.8231140277727484,1.0439485176626784,-0.8231140277727484,0.30000193837842076,-0.6386874786109638
arcee-ai/raspberry-3B,12,12,0.253183739666105,0.22514275928874297,0.253183739666105,0.22514275928874297,True,True,0.6148907546403855,-0.08124786650336062,0.6148907546403855,-0.08124786650336062,1.1999730814997474,-0.01052379971229272
google/gemma-2b,15,26,0.37223727152439495,0.3191266430081354,0.29815076408874813,0.23536822726624357,False,True,-1.393690317466398,0.014527336546356504,-1.5600195033834523,0.05848364934170286,-1.1635686837576698,0.6736800871764012
h2oai/h2o-danube-1.8b-chat,20,25,0.34210722257340365,0.29944017963127045,0.28845829369861764,0.2993298398178679,False,True,-1.4322053911375214,-0.4384517202900399,-1.3815036839062222,-0.43891023018907394,-1.412950130606881,-0.32805563745294747
h2oai/h2o-danube2-1.8b-chat,13,17,0.31187324650544956,0.3171915516983353,0.2991065224543067,0.2697520709765723,False,True,-0.3033388970429345,-0.16431058630695675,-0.5019259260669175,0.011467145624630387,-1.01166821491,-0.07450394833300042
ibm-granite/granite-7b-instruct,14,14,0.2898052927238028,0.29463488354896317,0.2898052927238028,0.29463488354896317,True,True,-0.4909310408422764,0.05173379179698258,-0.4909310408422764,0.05173379179698258,-0.5855236111765396,0.6469925219441579
ibm/PowerLM-3b,12,14,0.2478765585418417,0.34115883262451624,0.20741629295746075,0.2924438989839911,False,True,0.4204982992295497,-0.016573545439048952,0.4401969774159408,-0.06989960656602622,0.5881103481503278,-0.2943617849663251
nvidia/AceInstruct-1.5B,12,12,0.27842607819086146,0.2843744139439941,0.27842607819086146,0.2843744139439941,True,True,1.435450451027551,-0.8323017881643271,1.435450451027551,-0.8323017881643271,1.2000068077619295,-0.1392237169353785
openbmb/MiniCPM-1B-sft-bf16,13,50,0.5307848510154023,0.3373479976392021,0.31740455943104245,0.1685197012528851,False,False,-1.8039978820555003,0.9129836440388457,-2.371447081693062,1.0229998907429996,-2.9660763340560212,1.2853705159379383
openlm-research/open_llama_3b,15,24,0.4224288512145553,0.34583244299536264,0.2753444777074982,0.2525103921315905,False,True,-1.6022402717762247,0.5105870707915035,-1.173525303967594,0.5543857099684375,-1.6282883731568765,0.990663769125962
pankajmathur/orca_mini_3b,14,26,0.4073504604049444,0.3426488971205173,0.29166225982761224,0.26214780755886075,False,True,-1.5586763379077895,0.5324807042916924,-1.6251656648274675,0.41203521347514493,-1.664888480593973,0.2528245700079036
pankajmathur/orca_mini_v9_5_3B-Instruct,15,13,0.2703692586943944,0.28759919216249397,0.28058744241569405,0.2985653281333456,True,True,0.3878991109244087,-0.22954209045710855,0.20075587277724238,-0.13457727552250373,0.8992444176539126,0.13784226927214877
stabilityai/stablelm-2-1_6b-chat,18,23,0.3358152204311411,0.2944864979009626,0.29519021311418336,0.29094515111820074,False,True,-1.0049874673202928,-0.7372865684710668,-1.001204477389943,-0.8447413511203776,-0.601677919468427,-0.7957458490999274
tiiuae/Falcon3-1B-Instruct,12,12,0.2072023527669589,0.2865238890343834,0.2072023527669589,0.2865238890343834,True,True,0.6182452729108834,-1.0266810396613069,0.6182452729108834,-1.0266810396613069,0.8999994936391302,-0.7720132621093314
tiiuae/Falcon3-3B-Instruct,12,12,0.24773061932238793,0.28939069384615,0.24773061932238793,0.28939069384615,True,True,1.19724384061057,-0.788838610951742,1.19724384061057,-0.788838610951742,2.099999926562037,-0.43961321635568446
utter-project/EuroLLM-1.7B,18,50,0.4307743843425054,0.3353637424274489,0.35776161050447586,0.2638624292786949,False,False,-2.152150605797499,0.8662211667543079,-2.6728431743243686,0.8697982646570587,-2.5211731849292702,0.986383543353376
utter-project/EuroLLM-1.7B-Instruct,15,35,0.377117291366411,0.3338314200654664,0.28739940993588203,0.23560112063382987,False,True,-1.2674686670712905,0.049801867772981324,-1.6385774661564179,-0.23808479054252835,-2.135098346597622,-0.21418267917970285
