bank,N,r,mae,n_eval_models
1PL,131,0.9896,0.0628,13
1PL,132,0.9908,0.0618,13
1PL,133,0.9899,0.0614,13
1PL,134,0.9901,0.0612,13
1PL,135,0.9905,0.0617,13
1PL,136,0.9908,0.0612,13
1PL,137,0.9915,0.0606,13
1PL,138,0.9909,0.0605,13
1PL,139,0.9898,0.0608,13
1PL,140,0.9889,0.0601,13
1PL,141,0.9893,0.0597,13
1PL,142,0.9896,0.0604,13
1PL,143,0.9888,0.0605,13
1PL,144,0.9883,0.0602,13
1PL,145,0.987,0.0605,13
1PL,146,0.9883,0.0605,13
1PL,147,0.9877,0.0604,13
1PL,148,0.9877,0.0599,13
1PL,149,0.9875,0.0606,13
1PL,150,0.9881,0.0605,13
1PL,151,0.988,0.0598,13
1PL,152,0.9873,0.059,13
1PL,153,0.986,0.0588,13
1PL,154,0.9864,0.0592,13
1PL,155,0.9875,0.0591,13
1PL,156,0.9868,0.0589,13
1PL,157,0.9863,0.0592,13
1PL,158,0.9849,0.0585,13
1PL,159,0.9862,0.0582,13
1PL,160,0.987,0.0587,13
1PL,161,0.9886,0.059,13
1PL,162,0.9893,0.0589,13
1PL,163,0.9888,0.0588,13
1PL,164,0.9873,0.0586,13
1PL,165,0.9876,0.0587,13
1PL,166,0.9879,0.0595,13
1PL,167,0.9866,0.0601,13
1PL,168,0.9873,0.0594,13
1PL,169,0.9864,0.0597,13
1PL,170,0.9862,0.0603,13
1PL,171,0.9868,0.0609,13
1PL,172,0.9857,0.0606,13
1PL,173,0.9866,0.0607,13
1PL,174,0.9865,0.0605,13
1PL,175,0.9856,0.0594,13
1PL,176,0.9858,0.0603,13
1PL,177,0.9865,0.0606,13
1PL,178,0.9865,0.0608,13
1PL,179,0.9866,0.0599,13
1PL,180,0.9872,0.0599,13
1PL,181,0.9877,0.0594,13
1PL,182,0.9871,0.0594,13
1PL,183,0.9872,0.0591,13
1PL,184,0.9869,0.06,13
1PL,185,0.9877,0.0603,13
1PL,186,0.9881,0.0611,13
1PL,187,0.9885,0.0613,13
1PL,188,0.9898,0.0611,13
1PL,189,0.9899,0.061,13
1PL,190,0.9908,0.0614,13
1PL,191,0.9905,0.0612,13
1PL,192,0.9909,0.0619,13
1PL,193,0.9905,0.0619,13
1PL,194,0.9905,0.0623,13
1PL,195,0.9901,0.0625,13
1PL,196,0.989,0.0628,13
1PL,197,0.9897,0.0629,13
1PL,198,0.9898,0.0632,13
1PL,199,0.991,0.0632,13
1PL,200,0.9905,0.0627,13
1PL,201,0.9912,0.0624,13
1PL,202,0.9905,0.0621,13
1PL,203,0.9903,0.0629,13
1PL,204,0.9899,0.0627,13
1PL,205,0.9901,0.063,13
1PL,206,0.991,0.0626,13
1PL,207,0.9908,0.0629,13
1PL,208,0.9906,0.063,13
1PL,209,0.9904,0.0626,13
1PL,210,0.9903,0.0624,13
1PL,211,0.9895,0.062,13
1PL,212,0.9895,0.0621,13
1PL,213,0.9903,0.062,13
1PL,214,0.9898,0.0619,13
1PL,215,0.9898,0.0617,13
1PL,216,0.9906,0.0617,13
1PL,217,0.9905,0.0611,13
1PL,218,0.9902,0.0615,13
1PL,219,0.9898,0.0613,13
1PL,220,0.9894,0.0617,13
1PL,221,0.9891,0.0616,13
1PL,222,0.9895,0.0611,13
1PL,223,0.9897,0.0612,13
1PL,224,0.9898,0.061,13
1PL,225,0.9894,0.0611,13
1PL,226,0.9898,0.0617,13
1PL,227,0.9895,0.0618,13
1PL,228,0.9891,0.0613,13
1PL,229,0.9889,0.0613,13
1PL,230,0.9891,0.0621,13
1PL,231,0.9891,0.0623,13
1PL,232,0.9885,0.0626,13
1PL,233,0.9883,0.0632,13
1PL,234,0.9878,0.0634,13
1PL,235,0.9874,0.0638,13
1PL,236,0.9873,0.0643,13
1PL,237,0.9872,0.0646,13
1PL,238,0.9876,0.065,13
1PL,239,0.9864,0.0651,13
1PL,240,0.9861,0.0651,13
1PL,241,0.9861,0.0651,13
1PL,242,0.9854,0.0655,13
1PL,243,0.9848,0.0654,13
1PL,244,0.9846,0.0655,13
1PL,245,0.9847,0.0661,13
1PL,246,0.9845,0.0663,13
1PL,247,0.9845,0.0659,13
1PL,248,0.9854,0.0668,13
1PL,249,0.9851,0.0668,13
1PL,250,0.985,0.0666,13
1PL,251,0.9843,0.0667,13
1PL,252,0.9852,0.0668,13
1PL,253,0.9845,0.0673,13
1PL,254,0.9844,0.0678,13
1PL,255,0.9845,0.0676,13
1PL,256,0.9843,0.0674,13
1PL,257,0.9835,0.0675,13
1PL,258,0.9837,0.0677,13
1PL,259,0.9844,0.068,13
1PL,260,0.9839,0.068,13
1PL,261,0.984,0.0678,13
1PL,262,0.9844,0.0679,13
1PL,263,0.9843,0.0681,13
1PL,264,0.9848,0.0689,13
1PL,265,0.985,0.0688,13
1PL,266,0.9848,0.0686,13
1PL,267,0.9842,0.0685,13
1PL,268,0.9837,0.0688,13
1PL,269,0.984,0.0689,13
1PL,270,0.9841,0.0687,13
1PL,271,0.984,0.0693,13
1PL,272,0.9841,0.0691,13
1PL,273,0.9842,0.0693,13
1PL,274,0.9844,0.0693,13
1PL,275,0.9843,0.0696,13
1PL,276,0.9843,0.0695,13
1PL,277,0.9836,0.0692,13
1PL,278,0.9846,0.0695,13
1PL,279,0.9847,0.0691,13
1PL,280,0.9848,0.0689,13
1PL,281,0.9846,0.0691,13
1PL,282,0.9847,0.069,13
1PL,283,0.9846,0.0688,13
1PL,284,0.9843,0.0687,13
1PL,285,0.9838,0.0685,13
1PL,286,0.9838,0.0683,13
1PL,287,0.9835,0.0687,13
1PL,288,0.9834,0.0689,13
1PL,289,0.9836,0.0689,13
1PL,290,0.9842,0.0683,13
1PL,291,0.9842,0.0682,13
1PL,292,0.9845,0.0682,13
1PL,293,0.9853,0.0688,13
1PL,294,0.9852,0.0689,13
1PL,295,0.9851,0.0686,13
1PL,296,0.9857,0.069,13
1PL,297,0.9858,0.0687,13
1PL,298,0.9859,0.0687,13
1PL,299,0.985,0.069,13
1PL,300,0.9847,0.0688,13
1PL,301,0.9849,0.0682,13
1PL,302,0.9844,0.0683,13
1PL,303,0.9846,0.068,13
1PL,304,0.9848,0.0679,13
1PL,305,0.9852,0.0678,13
1PL,306,0.9849,0.0681,13
1PL,307,0.9848,0.0681,13
1PL,308,0.9853,0.0678,13
1PL,309,0.9852,0.068,13
1PL,310,0.9853,0.0682,13
1PL,311,0.985,0.0681,13
1PL,312,0.9848,0.0681,13
1PL,313,0.9849,0.0677,13
1PL,314,0.9851,0.0677,13
1PL,315,0.9848,0.0676,13
1PL,316,0.9847,0.0678,13
1PL,317,0.9844,0.0678,13
1PL,318,0.9839,0.0676,13
1PL,319,0.9838,0.0675,13
1PL,320,0.9838,0.0679,13
1PL,321,0.9838,0.0679,13
1PL,322,0.9839,0.0684,13
1PL,323,0.984,0.0683,13
1PL,324,0.9834,0.0684,13
1PL,325,0.9835,0.0685,13
1PL,326,0.9838,0.0687,13
1PL,327,0.9838,0.0691,13
1PL,328,0.9839,0.0689,13
1PL,329,0.9831,0.069,13
1PL,330,0.9828,0.0687,13
1PL,331,0.9831,0.0687,13
1PL,332,0.983,0.0686,13
1PL,333,0.9833,0.0687,13
1PL,334,0.9835,0.0691,13
1PL,335,0.9843,0.0691,13
1PL,336,0.9843,0.0692,13
1PL,337,0.9844,0.0694,13
1PL,338,0.9852,0.0697,13
1PL,339,0.9851,0.0699,13
1PL,340,0.9849,0.0698,13
1PL,341,0.9847,0.0696,13
1PL,342,0.9845,0.0694,13
1PL,343,0.9846,0.0697,13
1PL,344,0.9844,0.0698,13
1PL,345,0.9839,0.0699,13
1PL,346,0.9843,0.07,13
1PL,347,0.9848,0.07,13
1PL,348,0.9853,0.0697,13
1PL,349,0.9855,0.07,13
1PL,350,0.9856,0.0702,13
1PL,351,0.9859,0.0701,13
1PL,352,0.9858,0.0702,13
1PL,353,0.9864,0.0701,13
1PL,354,0.9866,0.0697,13
1PL,355,0.9864,0.0698,13
1PL,356,0.9867,0.0695,13
1PL,357,0.9869,0.0696,13
1PL,358,0.9874,0.0697,13
1PL,359,0.9872,0.0694,13
1PL,360,0.987,0.0694,13
1PL,361,0.9869,0.0696,13
1PL,362,0.9866,0.0697,13
1PL,363,0.9868,0.0694,13
1PL,364,0.9872,0.0695,13
1PL,365,0.9872,0.0697,13
1PL,366,0.9872,0.0697,13
1PL,367,0.9868,0.0694,13
1PL,368,0.9869,0.0695,13
1PL,369,0.9866,0.0698,13
1PL,370,0.9869,0.0697,13
1PL,371,0.9871,0.0698,13
1PL,372,0.9869,0.0696,13
1PL,373,0.9864,0.0695,13
1PL,374,0.9862,0.0696,13
1PL,375,0.9868,0.0693,13
1PL,376,0.9864,0.069,13
1PL,377,0.9863,0.0691,13
1PL,378,0.9869,0.0688,13
1PL,379,0.9868,0.0688,13
1PL,380,0.9867,0.069,13
1PL,381,0.9864,0.0693,13
1PL,382,0.987,0.0695,13
1PL,383,0.987,0.0695,13
1PL,384,0.9868,0.0695,13
1PL,385,0.9873,0.0694,13
1PL,386,0.9873,0.0697,13
1PL,387,0.9871,0.0696,13
1PL,388,0.9875,0.0696,13
1PL,389,0.9873,0.0696,13
1PL,390,0.9876,0.0699,13
1PL,391,0.9882,0.0695,13
1PL,392,0.9884,0.07,13
1PL,393,0.9881,0.07,13
1PL,394,0.9879,0.0702,13
1PL,395,0.9881,0.0702,13
1PL,396,0.9879,0.0703,13
1PL,397,0.9877,0.0703,13
1PL,398,0.9876,0.0701,13
1PL,399,0.9877,0.0705,13
1PL,400,0.9877,0.0705,13
1PL,401,0.9873,0.0705,13
1PL,402,0.987,0.0707,13
1PL,403,0.9874,0.0708,13
1PL,404,0.9871,0.0706,13
1PL,405,0.9867,0.0708,13
1PL,406,0.9871,0.0711,13
1PL,407,0.9875,0.0716,13
1PL,408,0.9878,0.0717,13
1PL,409,0.9881,0.0718,13
1PL,410,0.9882,0.0716,13
1PL,411,0.9879,0.0717,13
1PL,412,0.9877,0.072,13
1PL,413,0.9878,0.072,13
1PL,414,0.9875,0.0723,13
1PL,415,0.9876,0.0724,13
1PL,416,0.9874,0.0721,13
1PL,417,0.9878,0.0725,13
1PL,418,0.988,0.0727,13
1PL,419,0.9881,0.0727,13
1PL,420,0.9882,0.0726,13
1PL,421,0.9881,0.0722,13
1PL,422,0.988,0.0725,13
1PL,423,0.9885,0.0726,13
1PL,424,0.9884,0.0726,13
1PL,425,0.9888,0.0724,13
1PL,426,0.9887,0.0724,13
1PL,427,0.9887,0.0726,13
1PL,428,0.9886,0.0726,13
1PL,429,0.9885,0.0725,13
1PL,430,0.9885,0.0726,13
1PL,431,0.9891,0.0724,13
1PL,432,0.9894,0.0722,13
1PL,433,0.9893,0.0721,13
1PL,434,0.9893,0.0722,13
1PL,435,0.9894,0.0722,13
1PL,436,0.9899,0.0722,13
1PL,437,0.9897,0.0721,13
1PL,438,0.99,0.0719,13
1PL,439,0.9899,0.072,13
1PL,440,0.9903,0.072,13
1PL,441,0.9908,0.0721,13
1PL,442,0.9907,0.0723,13
1PL,443,0.9909,0.0724,13
1PL,444,0.991,0.0728,13
1PL,445,0.9913,0.0728,13
1PL,446,0.9914,0.0728,13
1PL,447,0.9915,0.0728,13
1PL,448,0.9914,0.073,13
1PL,449,0.9916,0.0729,13
1PL,450,0.9916,0.0729,13
1PL,451,0.9916,0.0729,13
1PL,452,0.9919,0.073,13
1PL,453,0.9918,0.0729,13
1PL,454,0.9919,0.0731,13
1PL,455,0.9917,0.073,13
1PL,456,0.9916,0.0729,13
1PL,457,0.9921,0.0731,13
1PL,458,0.992,0.0731,13
1PL,459,0.9921,0.073,13
1PL,460,0.9918,0.0729,13
1PL,461,0.9918,0.073,13
1PL,462,0.9915,0.073,13
1PL,463,0.9913,0.0732,13
1PL,464,0.9912,0.0732,13
1PL,465,0.9915,0.073,13
1PL,466,0.9914,0.0731,13
1PL,467,0.9913,0.0729,13
1PL,468,0.9911,0.0729,13
1PL,469,0.9911,0.0728,13
1PL,470,0.9912,0.0727,13
1PL,471,0.9914,0.0729,13
1PL,472,0.9913,0.0726,13
1PL,473,0.9916,0.0724,13
1PL,474,0.9916,0.0725,13
1PL,475,0.9915,0.0724,13
1PL,476,0.9916,0.0724,13
1PL,477,0.9919,0.0724,13
1PL,478,0.9919,0.0726,13
1PL,479,0.992,0.0727,13
1PL,480,0.9922,0.0724,13
1PL,481,0.9924,0.0725,13
1PL,482,0.9926,0.0726,13
1PL,483,0.9927,0.0727,13
1PL,484,0.9926,0.0729,13
1PL,485,0.9927,0.0729,13
1PL,486,0.9924,0.0731,13
1PL,487,0.992,0.0729,13
1PL,488,0.9921,0.073,13
1PL,489,0.9923,0.0731,13
1PL,490,0.9919,0.0731,13
1PL,491,0.9918,0.0731,13
1PL,492,0.9919,0.073,13
1PL,493,0.9919,0.0729,13
1PL,494,0.9923,0.0729,13
1PL,495,0.9923,0.0729,13
1PL,496,0.9923,0.0729,13
1PL,497,0.9926,0.0728,13
1PL,498,0.9924,0.0729,13
1PL,499,0.9924,0.073,13
1PL,500,0.9927,0.0727,13
1PL,501,0.9931,0.0728,13
1PL,502,0.9931,0.0729,13
1PL,503,0.9933,0.0726,13
1PL,504,0.9931,0.0726,13
1PL,505,0.993,0.0727,13
1PL,506,0.9928,0.0727,13
1PL,507,0.9931,0.0724,13
1PL,508,0.9933,0.0724,13
1PL,509,0.9935,0.0727,13
1PL,510,0.9934,0.0728,13
1PL,511,0.9934,0.073,13
1PL,512,0.9933,0.0729,13
1PL,513,0.9932,0.0732,13
1PL,514,0.9932,0.0733,13
1PL,515,0.9933,0.0733,13
1PL,516,0.9937,0.0734,13
1PL,517,0.9939,0.0734,13
1PL,518,0.994,0.0733,13
1PL,519,0.9938,0.0735,13
1PL,520,0.9938,0.0735,13
1PL,521,0.9938,0.0735,13
1PL,522,0.994,0.0737,13
1PL,523,0.9943,0.0736,13
1PL,524,0.9941,0.0736,13
1PL,525,0.9941,0.0736,13
1PL,526,0.9942,0.0736,13
1PL,527,0.9941,0.0734,13
1PL,528,0.9939,0.0734,13
1PL,529,0.9939,0.0735,13
1PL,530,0.9941,0.0734,13
1PL,531,0.9939,0.0733,13
1PL,532,0.9939,0.0735,13
1PL,533,0.9941,0.0732,13
1PL,534,0.9939,0.0733,13
1PL,535,0.9942,0.0732,13
1PL,536,0.9944,0.0734,13
1PL,537,0.9943,0.0733,13
1PL,538,0.9944,0.0733,13
1PL,539,0.9944,0.0733,13
1PL,540,0.9946,0.0729,13
1PL,541,0.9945,0.0728,13
1PL,542,0.9946,0.073,13
1PL,543,0.9946,0.0731,13
1PL,544,0.9946,0.073,13
1PL,545,0.9949,0.0731,13
1PL,546,0.9949,0.0731,13
1PL,547,0.9949,0.0731,13
1PL,548,0.9949,0.0731,13
1PL,549,0.9948,0.0733,13
1PL,550,0.995,0.0734,13
1PL,551,0.995,0.0733,13
1PL,552,0.9948,0.0734,13
1PL,553,0.9949,0.0734,13
1PL,554,0.9952,0.0736,13
1PL,555,0.9952,0.0734,13
1PL,556,0.9952,0.0735,13
1PL,557,0.9952,0.0734,13
1PL,558,0.9953,0.0733,13
1PL,559,0.9952,0.0734,13
1PL,560,0.9952,0.0735,13
1PL,561,0.9949,0.0737,13
1PL,562,0.995,0.0737,13
1PL,563,0.995,0.0735,13
1PL,564,0.995,0.0735,13
1PL,565,0.9949,0.0736,13
1PL,566,0.995,0.0736,13
1PL,567,0.9949,0.0736,13
1PL,568,0.9947,0.0734,13
1PL,569,0.9947,0.0734,13
1PL,570,0.9946,0.0733,13
1PL,571,0.9946,0.0734,13
1PL,572,0.9947,0.0733,13
1PL,573,0.9947,0.0735,13
1PL,574,0.9947,0.0734,13
1PL,575,0.9949,0.0734,13
1PL,576,0.9952,0.0733,13
1PL,577,0.9951,0.0733,13
1PL,578,0.9953,0.0733,13
1PL,579,0.9955,0.0734,13
1PL,580,0.9955,0.0735,13
1PL,581,0.9955,0.0735,13
1PL,582,0.9956,0.0737,13
1PL,583,0.9956,0.0736,13
1PL,584,0.9956,0.0738,13
1PL,585,0.9956,0.0738,13
1PL,586,0.9955,0.0737,13
1PL,587,0.9955,0.0737,13
1PL,588,0.9955,0.0737,13
1PL,589,0.9955,0.0737,13
1PL,590,0.9955,0.0737,13
1PL,591,0.9955,0.0737,13
1PL,592,0.9957,0.0736,13
1PL,593,0.9958,0.0735,13
1PL,594,0.9958,0.0736,13
1PL,595,0.9958,0.0737,13
1PL,596,0.9957,0.0738,13
1PL,597,0.9957,0.0737,13
1PL,598,0.9956,0.0737,13
1PL,599,0.9956,0.0738,13
1PL,600,0.9956,0.0738,13
1PL,601,0.9956,0.0738,13
1PL,602,0.9957,0.0742,13
1PL,603,0.9957,0.0741,13
1PL,604,0.9959,0.0743,13
1PL,605,0.996,0.0744,13
1PL,606,0.9962,0.0744,13
1PL,607,0.9963,0.0745,13
1PL,608,0.9963,0.0745,13
1PL,609,0.9962,0.0746,13
1PL,610,0.9962,0.0745,13
1PL,611,0.9962,0.0745,13
1PL,612,0.9962,0.0745,13
1PL,613,0.9961,0.0745,13
1PL,614,0.9962,0.0746,13
1PL,615,0.9963,0.0747,13
1PL,616,0.9963,0.0746,13
1PL,617,0.9963,0.0746,13
1PL,618,0.9963,0.0746,13
1PL,619,0.9963,0.0746,13
1PL,620,0.9963,0.0746,13
1PL,621,0.9964,0.0746,13
1PL,622,0.9964,0.0745,13
1PL,623,0.9964,0.0746,13
1PL,624,0.9962,0.0748,13
1PL,625,0.9962,0.0748,13
1PL,626,0.9962,0.0748,13
1PL,627,0.9962,0.0748,13
1PL,628,0.9963,0.0748,13
1PL,629,0.9963,0.0747,13
1PL,630,0.9963,0.0747,13
1PL,631,0.9963,0.0748,13
1PL,632,0.9966,0.0748,13
1PL,633,0.9966,0.0748,13
1PL,634,0.9966,0.0749,13
1PL,635,0.9967,0.0749,13
1PL,636,0.9967,0.075,13
1PL,637,0.9969,0.0749,13
1PL,638,0.997,0.0749,13
1PL,639,0.9971,0.0748,13
1PL,640,0.9971,0.0748,13
1PL,641,0.9971,0.0749,13
1PL,642,0.9971,0.075,13
1PL,643,0.9971,0.075,13
1PL,644,0.9974,0.0748,13
1PL,645,0.9974,0.0747,13
1PL,646,0.9974,0.0747,13
1PL,647,0.9975,0.0749,13
1PL,648,0.9976,0.0748,13
1PL,649,0.9977,0.075,13
1PL,650,0.9976,0.075,13
1PL,651,0.9976,0.075,13
1PL,652,0.9976,0.0751,13
1PL,653,0.9976,0.0751,13
1PL,654,0.9976,0.0751,13
1PL,655,0.9975,0.0749,13
1PL,656,0.9977,0.0747,13
1PL,657,0.9979,0.0745,13
1PL,658,0.9979,0.0746,13
1PL,659,0.9979,0.0746,13
1PL,660,0.998,0.0746,13
1PL,661,0.998,0.0746,13
1PL,662,0.9979,0.0748,13
1PL,663,0.9981,0.0747,13
1PL,664,0.9981,0.0747,13
1PL,665,0.9981,0.0747,13
1PL,666,0.9981,0.0747,13
1PL,667,0.9981,0.0748,13
1PL,668,0.9982,0.0747,13
1PL,669,0.9982,0.0747,13
1PL,670,0.9982,0.0747,13
1PL,671,0.9983,0.0747,13
1PL,672,0.9982,0.0746,13
1PL,673,0.9982,0.0747,13
1PL,674,0.9982,0.0747,13
1PL,675,0.9982,0.0747,13
1PL,676,0.9982,0.0747,13
1PL,677,0.9981,0.0747,13
1PL,678,0.9981,0.0746,13
1PL,679,0.9982,0.0745,13
1PL,680,0.9982,0.0745,13
1PL,681,0.9982,0.0745,13
1PL,682,0.9982,0.0745,13
1PL,683,0.9982,0.0744,13
1PL,684,0.9982,0.0744,13
1PL,685,0.9982,0.0744,13
1PL,686,0.9981,0.0745,13
1PL,687,0.9981,0.0745,13
1PL,688,0.9981,0.0745,13
1PL,689,0.998,0.0746,13
1PL,690,0.9978,0.0747,13
1PL,691,0.9979,0.0747,13
1PL,692,0.9979,0.0748,13
1PL,693,0.9979,0.0748,13
1PL,694,0.9979,0.0749,13
1PL,695,0.9979,0.0749,13
1PL,696,0.9979,0.0749,13
1PL,697,0.9979,0.0749,13
1PL,698,0.9979,0.0749,13
1PL,699,0.9979,0.0749,13
1PL,700,0.998,0.0748,13
1PL,701,0.9981,0.0747,13
1PL,702,0.9982,0.0746,13
1PL,703,0.9982,0.0746,13
1PL,704,0.9982,0.0746,13
1PL,705,0.9982,0.0746,13
1PL,706,0.9982,0.0746,13
1PL,707,0.9982,0.0746,13
1PL,708,0.9982,0.0746,13
1PL,709,0.9982,0.0746,13
1PL,710,0.9983,0.0745,13
1PL,711,0.9983,0.0745,13
1PL,712,0.9984,0.0746,13
1PL,713,0.9984,0.0745,13
1PL,714,0.9984,0.0745,13
1PL,715,0.9984,0.0745,13
1PL,716,0.9984,0.0744,13
1PL,717,0.9984,0.0744,13
1PL,718,0.9984,0.0744,13
1PL,719,0.9984,0.0744,13
1PL,720,0.9984,0.0744,13
1PL,721,0.9984,0.0744,13
1PL,722,0.9984,0.0744,13
1PL,723,0.9984,0.0744,13
1PL,724,0.9984,0.0744,13
1PL,725,0.9984,0.0744,13
1PL,726,0.9984,0.0744,13
1PL,727,0.9984,0.0744,13
1PL,728,0.9984,0.0744,13
1PL,729,0.9984,0.0744,13
1PL,730,0.9984,0.0744,13
1PL,731,0.9984,0.0744,13
1PL,732,0.9984,0.0744,13
1PL,733,0.9984,0.0745,13
1PL,734,0.9984,0.0745,13
1PL,735,0.9984,0.0745,13
1PL,736,0.9984,0.0744,13
1PL,737,0.9984,0.0744,13
1PL,738,0.9984,0.0744,13
1PL,739,0.9984,0.0744,13
1PL,740,0.9984,0.0745,13
1PL,741,0.9984,0.0745,13
1PL,742,0.9984,0.0745,13
1PL,743,0.9984,0.0745,13
1PL,744,0.9984,0.0745,13
1PL,745,0.9984,0.0745,13
1PL,746,0.9983,0.0744,13
1PL,747,0.9983,0.0744,13
1PL,748,0.9983,0.0744,13
1PL,749,0.9983,0.0744,13
1PL,750,0.9983,0.0744,13
1PL,751,0.9983,0.0744,13
1PL,752,0.9983,0.0744,13
1PL,753,0.9983,0.0743,13
1PL,754,0.9983,0.0743,13
1PL,755,0.9983,0.0743,13
1PL,756,0.9983,0.0743,13
1PL,757,0.9983,0.0743,13
1PL,758,0.9983,0.0743,13
1PL,759,0.9983,0.0742,13
2PL,8,0.8615,0.0825,13
2PL,9,0.8149,0.0822,13
2PL,10,0.8069,0.0841,13
2PL,11,0.8143,0.0829,13
2PL,12,0.8257,0.0832,13
2PL,13,0.8272,0.0839,13
2PL,14,0.8273,0.0857,13
2PL,15,0.8525,0.0838,13
2PL,16,0.8647,0.0801,13
2PL,17,0.8794,0.0793,13
2PL,18,0.8734,0.0796,13
2PL,19,0.8811,0.0808,13
2PL,20,0.8944,0.0792,13
2PL,21,0.8913,0.0795,13
2PL,22,0.8938,0.0788,13
2PL,23,0.8984,0.0784,13
2PL,24,0.9022,0.0792,13
2PL,25,0.9062,0.0788,13
2PL,26,0.9078,0.077,13
2PL,27,0.9134,0.077,13
2PL,28,0.92,0.0758,13
2PL,29,0.9246,0.0738,13
2PL,30,0.9276,0.0739,13
2PL,31,0.9239,0.0731,13
2PL,32,0.9293,0.0733,13
2PL,33,0.9307,0.0728,13
2PL,34,0.9332,0.0729,13
2PL,35,0.9384,0.0733,13
2PL,36,0.9412,0.0734,13
2PL,37,0.9409,0.0721,13
