op_point,min_scenarios,se_target,scenarios_mean_deployed,scenarios_median_deployed,scenarios_max_deployed,criteria_mean_deployed,convergence_rate_deployed,capped_frac_deployed,recovery_r,recovery_r_lo,recovery_r_hi,recovery_slope,theta_mae,pass_r,pass_mae,ability_se_median_deployed,se_param_median_deployed,se_total_median_deployed
f4_se0.25,4,0.25,5.06,4,19,90.1,1.0,0.0,0.8781,0.8082,0.9274,0.7692,0.4512,0.8452,0.065,0.1734,0.0765,0.1884
f4_se0.30,4,0.3,4.63,4,16,82.5,1.0,0.0,0.8676,0.8018,0.9175,0.7509,0.467,0.8427,0.0655,0.1734,0.0741,0.1923
f6_se0.08,6,0.08,31.49,19,60,554.9,0.745,0.255,0.9729,0.9478,0.9873,0.9191,0.2267,0.9352,0.0444,0.0829,0.0473,0.0997
f6_se0.10,6,0.1,21.08,10,60,372.0,0.961,0.039,0.9498,0.9105,0.9727,0.854,0.3067,0.9061,0.0556,0.1011,0.0486,0.1127
f6_se0.12,6,0.12,14.08,8,60,248.8,0.961,0.039,0.9361,0.8893,0.9657,0.8338,0.3455,0.8927,0.0584,0.1159,0.0554,0.1302
f6_se0.15,6,0.15,9.98,6,47,176.8,1.0,0.0,0.9245,0.8756,0.9575,0.8267,0.3758,0.8906,0.0585,0.1308,0.0584,0.1465
f6_se0.20,6,0.2,7.55,6,29,134.0,1.0,0.0,0.9178,0.865,0.955,0.8163,0.4021,0.8886,0.0602,0.1363,0.0639,0.1456
f6_se0.25,6,0.25,6.61,6,19,117.8,1.0,0.0,0.9124,0.8607,0.9508,0.8101,0.4163,0.8872,0.0612,0.1363,0.0637,0.1496
f6_se0.30,6,0.3,6.35,6,16,113.4,1.0,0.0,0.9116,0.8603,0.9501,0.8074,0.4177,0.887,0.0613,0.1363,0.0648,0.1501
f8_se0.08,8,0.08,31.49,19,60,554.9,0.745,0.255,0.9728,0.9476,0.9873,0.9188,0.2274,0.9349,0.0445,0.0829,0.0475,0.0986
f8_se0.10,8,0.1,21.08,10,60,372.0,0.961,0.039,0.9559,0.924,0.9759,0.8655,0.2916,0.918,0.0533,0.1011,0.0452,0.1126
f8_se0.12,8,0.12,14.75,8,60,260.9,0.961,0.039,0.946,0.9103,0.9696,0.8468,0.3247,0.9136,0.0556,0.1142,0.0551,0.1273
f8_se0.15,8,0.15,11.25,8,47,199.5,1.0,0.0,0.9388,0.9025,0.9651,0.8397,0.3378,0.9132,0.0552,0.1154,0.0554,0.1311
f8_se0.20,8,0.2,9.0,8,29,159.9,1.0,0.0,0.9393,0.9029,0.9673,0.8451,0.3411,0.9139,0.0549,0.1154,0.0602,0.1313
f8_se0.25,8,0.25,8.41,8,19,149.7,1.0,0.0,0.9374,0.9017,0.9666,0.8371,0.3453,0.9138,0.0552,0.1154,0.0597,0.1311
f8_se0.30,8,0.3,8.25,8,16,147.0,1.0,0.0,0.9374,0.9017,0.9666,0.8371,0.3453,0.9138,0.0552,0.1154,0.0593,0.1309
f12_se0.08,12,0.08,31.49,19,60,554.9,0.745,0.255,0.9758,0.9555,0.9879,0.9292,0.2131,0.9435,0.0424,0.0829,0.0466,0.0995
f12_se0.10,12,0.1,22.59,12,60,398.3,0.961,0.039,0.9639,0.9367,0.9801,0.9012,0.2505,0.9363,0.0461,0.096,0.048,0.1078
f12_se0.12,12,0.12,17.08,12,60,301.8,0.961,0.039,0.9579,0.9291,0.9764,0.8829,0.273,0.9357,0.0469,0.1062,0.053,0.1154
f12_se0.15,12,0.15,14.06,12,47,248.7,1.0,0.0,0.9515,0.9236,0.9734,0.8828,0.2859,0.9346,0.047,0.1062,0.0534,0.1164
f12_se0.20,12,0.2,12.57,12,29,222.6,1.0,0.0,0.9517,0.9234,0.9738,0.8766,0.2845,0.9349,0.047,0.1062,0.0525,0.1163
f12_se0.25,12,0.25,12.24,12,19,216.8,1.0,0.0,0.9517,0.9234,0.9738,0.8766,0.2845,0.9349,0.047,0.1062,0.0524,0.1161
f12_se0.30,12,0.3,12.1,12,16,214.5,1.0,0.0,0.9517,0.9234,0.9738,0.8766,0.2845,0.9349,0.047,0.1062,0.053,0.1168
f15_se0.08,15,0.08,31.63,19,60,557.3,0.745,0.255,0.9807,0.9663,0.99,0.9392,0.1914,0.9525,0.0393,0.0837,0.0471,0.0996
f15_se0.10,15,0.1,24.25,15,60,427.0,0.961,0.039,0.9698,0.9462,0.9838,0.9102,0.2246,0.9472,0.0426,0.0926,0.0457,0.1042
f15_se0.12,15,0.12,19.12,15,60,337.1,0.961,0.039,0.9634,0.9398,0.9805,0.891,0.247,0.9463,0.0435,0.0952,0.0492,0.108
f15_se0.15,15,0.15,16.43,15,47,289.9,1.0,0.0,0.96,0.9356,0.9782,0.8952,0.2551,0.9455,0.0436,0.0952,0.0482,0.1076
f15_se0.20,15,0.2,15.41,15,29,272.0,1.0,0.0,0.9595,0.9351,0.9779,0.8921,0.2568,0.9455,0.0437,0.0952,0.0483,0.1081
f15_se0.25,15,0.25,15.12,15,19,266.9,1.0,0.0,0.9595,0.9351,0.9779,0.8921,0.2568,0.9455,0.0437,0.0952,0.0489,0.1066
f15_se0.30,15,0.3,15.02,15,16,265.1,1.0,0.0,0.9595,0.9351,0.9779,0.8921,0.2568,0.9455,0.0437,0.0952,0.0496,0.1068
f20_se0.08,20,0.08,33.8,20,60,595.5,0.745,0.255,0.9822,0.9701,0.9898,0.9523,0.1839,0.9547,0.0382,0.0829,0.0483,0.0972
f20_se0.10,20,0.1,27.35,20,60,481.4,0.961,0.039,0.9742,0.9581,0.9847,0.9239,0.2124,0.9512,0.0411,0.0931,0.05,0.1056
f20_se0.12,20,0.12,22.84,20,60,402.4,0.961,0.039,0.9684,0.9504,0.9823,0.9067,0.2311,0.9499,0.0422,0.0968,0.0491,0.1083
f20_se0.15,20,0.15,21.02,20,47,370.5,1.0,0.0,0.9677,0.9495,0.9817,0.9011,0.2349,0.9499,0.0423,0.0968,0.0509,0.1076
f20_se0.20,20,0.2,20.22,20,29,356.4,1.0,0.0,0.9679,0.9497,0.982,0.9026,0.2341,0.9499,0.0423,0.0968,0.0509,0.1076
f20_se0.25,20,0.25,20.0,20,20,352.6,1.0,0.0,0.9679,0.9497,0.982,0.9026,0.2341,0.9499,0.0423,0.0968,0.0493,0.1076
f20_se0.30,20,0.3,20.0,20,20,352.6,1.0,0.0,0.9679,0.9497,0.982,0.9026,0.2341,0.9499,0.0423,0.0968,0.0503,0.107
