model,fold,absolute_theta_full_shift,absolute_theta_heldout_shift,posterior_tail_mass_full_lower,posterior_tail_mass_heldout_lower,posterior_tail_mass_full_upper,posterior_tail_mass_heldout_upper
meta-llama/Llama-3.2-1B-Instruct,2,5.10702591327572e-15,1.0880185641326534e-14,0.0,0.0,0.0,0.0
meta-llama/Llama-3.2-3B-Instruct,2,1.6431300764452317e-14,7.105427357601002e-15,1.637362873e-315,1.1141063307238584e-262,1.637362873e-315,1.1141063307237972e-262
Qwen/Qwen1.5-1.8B,3,7.105427357601002e-15,1.851852005074761e-13,0.0,0.0,0.0,0.0
Qwen/Qwen1.5-1.8B-Chat,3,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2-0.5B,3,3.963496197911809e-14,6.905587213168474e-14,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,3,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0
microsoft/phi-1_5,3,2.90878432451791e-14,3.8191672047105385e-14,0.0,0.0,0.0,0.0
stabilityai/stablelm-2-1_6b-chat,3,0.0,0.0,0.0,0.0,0.0,0.0
stabilityai/stablelm-2-zephyr-1_6b,3,0.0,0.0,0.0,0.0,0.0,0.0
stabilityai/stablelm-zephyr-3b,3,1.6919798895287386e-13,2.220446049250313e-15,0.0,0.0,0.0,0.0
utter-project/EuroLLM-1.7B,3,1.3322676295501878e-14,1.3322676295501878e-15,4.508438467685689e-267,8.414120648470806e-229,4.508438467685695e-267,8.414120648470806e-229
utter-project/EuroLLM-1.7B-Instruct,3,1.4432899320127035e-14,1.6653345369377348e-16,0.0,0.0,0.0,0.0
ai-forever/mGPT,4,2.622915218353228e-10,9.730882766234572e-12,1.0851310429676227e-07,4.6576162630124174e-09,1.0862284985835518e-07,4.6612863817503276e-09
google/gemma-2-2b,4,7.460698725481052e-14,2.6645352591003757e-14,0.0,0.0,0.0,0.0
google/gemma-2b,4,1.3322676295501878e-14,8.881784197001252e-16,0.0,0.0,0.0,0.0
h2oai/h2o-danube-1.8b-chat,4,0.0,0.0,0.0,0.0,0.0,0.0
h2oai/h2o-danube2-1.8b-base,4,2.5757174171303632e-14,1.1102230246251565e-14,0.0,0.0,0.0,0.0
h2oai/h2o-danube2-1.8b-chat,4,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0
pankajmathur/orca_mini_3b,4,1.0436096431476471e-14,4.629630012686903e-14,0.0,0.0,0.0,0.0
pankajmathur/orca_mini_v9_5_3B-Instruct,4,4.440892098500626e-16,5.773159728050814e-15,0.0,0.0,0.0,0.0
tiiuae/Falcon3-1B-Instruct,4,0.0,9.992007221626409e-15,0.0,0.0,0.0,0.0
tiiuae/Falcon3-3B-Base,4,2.6922908347160046e-15,1.1407541578023483e-14,0.0,0.0,0.0,0.0
tiiuae/Falcon3-3B-Instruct,4,0.0,3.1086244689504383e-15,0.0,0.0,0.0,0.0
