model,latent_group,theta
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_3vpo_const,2,0.3874
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,2,0.3926
Amu/t1-1.5B,2,0.3934
noname0202/llama-math-1b-r8-512tokens-test,2,0.4739
tinycompany/SigmaBoi-ib,3,0.5457
FINGU-AI/Q-Small-3B,3,0.5565
ValiantLabs/Llama3.2-3B-ShiningValiant2,3,0.5848
RESMPDEV/EVA-Qwen2.5-1.5B-FRFR,3,0.5869
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_10vpo_const,3,0.6167
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_10vpo_const,3,0.626
arcee-ai/raspberry-3B,3,0.6441
ibm-granite/granite-3.0-2b-instruct,3,0.6683
godlikehhd/alpaca_data_score_max_5200,3,0.6748
Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,3,0.6814
AtAndDev/Qwen2.5-1.5B-continuous-learnt,3,0.6847
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,3,0.6883
godlikehhd/ifd_2500_qwen,3,0.6998
rombodawg/Rombos-LLM-V2.5.1-Qwen-3b,3,0.7339
Triangle104/Minerva-1.5b,3,0.7585
theprint/ReWiz-Llama-3.2-3B,3,0.7981
bunnycore/Llama-3.2-3B-ProdigyPlus,3,0.8128
llnYou/ECE-PRYMMAL-YL-3B-SLERP-V3,3,0.8468
DeepMount00/Qwen2-1.5B-Ita,3,0.8865
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,3,0.889
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-3B,3,0.8922
prithivMLmods/Codepy-Deepthink-3B,3,0.8983
bamec66557/mergekit-model_stock-zdaysvi,4,0.9046
lalainy/ECE-PRYMMAL-YL-6B-SLERP-V1,4,0.958
bunnycore/Llama-3.2-3B-Bespoke-Thought,4,1.0066
MultivexAI/Gladiator-Mini-Exp-1221-3B-Instruct-V2,4,1.0094
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch2,4,1.0427
Etherll/Chocolatine-3B-Instruct-DPO-Revised-Ties,4,1.073
ibm-granite/granite-3.2-2b-instruct,4,1.095
EpistemeAI/ReasoningCore-3B-RE1-V2,4,1.1031
bfuzzy1/Gunny,4,1.1319
EpistemeAI/ReasoningCore-3B-0,4,1.1324
MaziyarPanahi/calme-2.1-phi3.5-4b,4,1.1626
jpacifico/Chocolatine-3B-Instruct-DPO-v1.0,4,1.191
ehristoforu/rufalcon3-3b-it,4,1.2119
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,4,1.2603
hotmailuser/QwenSlerp-3B,4,1.3269
saishshinde15/TethysAI_Base_Reasoning,4,1.8006
bunnycore/Qwen2.5-3B-Model-Stock-v3.2,4,2.1017
