model,latent_group,theta
JayHyeon/Qwen_0.5-DPO_5e-7-3ep_0alp_0lam,2,-0.0454
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_1vpo_const,2,-0.0338
JayHyeon/Qwen_0.5-MDPO_0.7_3e-6-3ep_0alp_0lam,2,-0.0232
tinycompany/ShawtyIsBad-ib,2,-0.0123
JayHyeon/Qwen_0.5-IRPO_3e-7-1ep_1alp_0lam,2,-0.0062
JayHyeon/Qwen_0.5-DPO_5e-7-1ep_0alp_0lam,2,0.0407
JayHyeon/Qwen_0.5-IRPO_3e-7-3ep_1alp_0lam,2,0.0544
OliveiraJLT/Sagui-7B-Instruct-v0.1,2,0.1601
Sakalti/SJT-2.4B,2,0.1822
allura-org/MoE-Girl-1BA-7BT,2,0.2053
yasserrmd/Text2SQL-1.5B,2,0.2403
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_3vpo_const,2,0.2728
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_1vpo_const,2,0.2749
Columbia-NLP/LION-Gemma-2b-dpo-v1.0,2,0.3237
Triangle104/Minerva-1.5b_V0.2,2,0.324
jpacifico/Lucie-7B-Instruct-DPO-v1.1.3,2,0.3553
fblgit/miniclaus-qw1.5B-UNAMGS,2,0.399
godlikehhd/alpaca_data_score_max_0.1_2600,2,0.4019
Youlln/ECE-PRYMMAL-YL-1B-SLERP-V2,2,0.4101
Artples/L-MChat-Small,3,0.431
godlikehhd/ifd_new_correct_all_sample_2500_qwen,3,0.4321
ibm-granite/granite-3.0-1b-a400m-instruct,3,0.476
godlikehhd/ifd_2500_qwen,3,0.4902
Amu/t1-1.5B,3,0.4963
ehristoforu/fd-lora-merged-16x32,3,0.508
Triangle104/Q2.5-R1-3B,3,0.6976
jaspionjader/test-12,3,0.7603
prithivMLmods/GWQ2b,3,0.7679
SaisExperiments/RightSheep-Llama3.2-3B,3,0.7872
mkurman/llama-3.2-MEDIT-3B-o1,3,0.8208
Xiaojian9992024/Reflection-L3.2-JametMiniMix-3B,3,0.8808
allenai/OLMoE-1B-7B-0924-Instruct,3,0.8848
SaisExperiments/Gemma-2-2B-Opus-Instruct,3,0.8998
Ba2han/Llama-Phi-3_DoRA,4,0.9959
Lil-R/2_PRYMMAL-ECE-2B-SLERP-V2,4,0.9988
brgx53/3Bgeneralv2-ECE-PRYMMAL-Martial,4,0.9998
DeepMount00/Qwen2-1.5B-Ita,4,0.9999
Nexesenex/Llama_3.2_3b_Kermes_v2,4,1.0232
nvidia/Hymba-1.5B-Instruct,4,1.1
Goekdeniz-Guelmez/josie-3b-v6.0,4,1.1
pankajmathur/orca_mini_v9_0_3B-Instruct,4,1.1009
EpistemeAI/ReasoningCore-1.0-3B-Instruct-r01-Reflect-Math,4,1.1185
AicoresSecurity/Cybernet-Sec-3B-R1-V1,4,1.1998
bunnycore/Qwen2.5-3B-Model-Stock,4,1.1999
Hastagaras/L3.2-JametMini-3B-MK.III,4,1.2
DreadPoor/Again-8B-Model_Stock,4,1.2009
piotr25691/thea-rp-3b-25r,4,1.2294
T145/ZEUS-8B-V15,4,1.2997
bfuzzy1/Gunny,4,1.3984
pankajmathur/orca_mini_v9_5_3B-Instruct,4,1.3997
iFaz/llama32_3B_en_emo_300_stp,4,1.4636
iFaz/llama32_3B_en_emo_1000_stp,4,1.4645
MaziyarPanahi/calme-3.1-llamaloi-3b,4,1.4922
xMaulana/FinMatcha-3B-Instruct,4,1.4959
PJMixers-Dev/LLaMa-3.1-RomboTiesTest-8B,4,1.6061
