benchmark,condition,se_target,seed,corr,mae,mean_items,median_items,pct_items,n_calib,n_test,n_bank_items,low_max_b,high_min_b
ifeval,LOW->HIGH,0.2,0,0.9263,0.084,126.8,13.0,25.88,194,30,490,2.0,3.5
ifeval,LOW->HIGH,0.2,1,0.9292,0.0594,147.37,21.5,30.07,194,30,490,2.0,3.5
ifeval,LOW->HIGH,0.2,2,0.9505,0.0636,102.4,12.5,20.94,194,30,489,2.0,3.5
ifeval,LOW->HIGH,0.3,0,0.9166,0.0919,31.0,8.0,6.33,194,30,490,2.0,3.5
ifeval,LOW->HIGH,0.3,1,0.891,0.0674,46.6,8.0,9.51,194,30,490,2.0,3.5
ifeval,LOW->HIGH,0.3,2,0.9445,0.0667,73.83,8.0,15.1,194,30,489,2.0,3.5
ifeval,LOW->LOW,0.2,0,0.9386,0.0252,73.83,24.5,15.07,194,30,490,2.0,3.5
ifeval,LOW->LOW,0.2,1,0.9446,0.0315,85.43,21.5,17.44,194,30,490,2.0,3.5
ifeval,LOW->LOW,0.2,2,0.9147,0.0375,32.07,10.5,6.56,194,30,489,2.0,3.5
ifeval,LOW->LOW,0.3,0,0.9152,0.0301,57.6,8.0,11.76,194,30,490,2.0,3.5
ifeval,LOW->LOW,0.3,1,0.9124,0.0421,43.63,8.0,8.9,194,30,490,2.0,3.5
ifeval,LOW->LOW,0.3,2,0.9024,0.0439,11.63,8.0,2.38,194,30,489,2.0,3.5
math,HIGH->HIGH,0.2,0,0.966,0.017,188.17,10.5,22.16,169,30,849,2.0,3.5
math,HIGH->HIGH,0.2,1,0.9206,0.0165,328.97,9.0,37.3,169,30,882,2.0,3.5
math,HIGH->HIGH,0.2,2,0.8344,0.0308,186.03,8.0,22.44,169,30,829,2.0,3.5
math,HIGH->HIGH,0.3,0,0.9663,0.0173,122.93,8.0,14.48,169,30,849,2.0,3.5
math,HIGH->HIGH,0.3,1,0.9211,0.0171,185.7,8.0,21.05,169,30,882,2.0,3.5
math,HIGH->HIGH,0.3,2,0.8336,0.0313,107.9,8.0,13.02,169,30,829,2.0,3.5
math,HIGH->LOW,0.2,0,0.9497,0.0214,457.43,849.0,53.88,169,30,849,2.0,3.5
math,HIGH->LOW,0.2,1,0.9224,0.0245,275.27,11.5,31.21,169,30,882,2.0,3.5
math,HIGH->LOW,0.2,2,0.7134,0.0348,352.03,15.0,42.46,169,30,829,2.0,3.5
math,HIGH->LOW,0.3,0,0.9402,0.0226,434.63,518.5,51.19,169,30,849,2.0,3.5
math,HIGH->LOW,0.3,1,0.9242,0.0251,273.1,8.0,30.96,169,30,882,2.0,3.5
math,HIGH->LOW,0.3,2,0.7118,0.0366,169.67,8.0,20.47,169,30,829,2.0,3.5
math,LOW->HIGH,0.2,0,0.8589,0.036,208.67,15.5,24.1,169,30,866,2.0,3.5
math,LOW->HIGH,0.2,1,0.8425,0.0227,248.83,13.0,27.83,169,30,894,2.0,3.5
math,LOW->HIGH,0.2,2,0.6877,0.0418,173.33,8.5,19.35,169,30,896,2.0,3.5
math,LOW->HIGH,0.3,0,0.8459,0.0376,84.67,8.0,9.78,169,30,866,2.0,3.5
math,LOW->HIGH,0.3,1,0.8438,0.0235,94.27,8.0,10.54,169,30,894,2.0,3.5
math,LOW->HIGH,0.3,2,0.6774,0.0435,81.57,8.0,9.1,169,30,896,2.0,3.5
math,LOW->LOW,0.2,0,0.9373,0.0206,466.93,866.0,53.92,169,30,866,2.0,3.5
math,LOW->LOW,0.2,1,0.9008,0.0231,279.47,12.0,31.26,169,30,894,2.0,3.5
math,LOW->LOW,0.2,2,0.8605,0.0225,307.97,25.0,34.37,169,30,896,2.0,3.5
math,LOW->LOW,0.3,0,0.9346,0.0216,399.77,169.0,46.16,169,30,866,2.0,3.5
math,LOW->LOW,0.3,1,0.8924,0.0259,246.57,8.0,27.58,169,30,894,2.0,3.5
math,LOW->LOW,0.3,2,0.8454,0.0252,173.77,9.0,19.39,169,30,896,2.0,3.5
