model,n_admin,theta_correctness,se_posterior_correctness,se_param_correctness,se_total_correctness,bar_inflation_correctness
Qwen/Qwen2-0.5B,60,-2.4041622121555575,0.4310985994040586,0.11256641278534789,0.44555269014506277,1.0335285031335875
Qwen/Qwen2-1.5B,42,-0.6520101235208778,0.32409679604755254,0.0685159656843107,0.3312599745848305,1.0221019726965364
Qwen/Qwen2-7B,12,1.030311433882661,0.32527337597408196,0.14168069706097208,0.35479034518608227,1.0907451128565537
Qwen/Qwen2.5-0.5B,67,-1.735482408344846,0.3266350365442598,0.10619438129261416,0.3434642539135493,1.0515230011677241
Qwen/Qwen2.5-0.5B-Instruct,56,-1.357052608377153,0.3399962691980648,0.11294988857254376,0.3582668564033701,1.053737610852023
Qwen/Qwen2.5-1.5B,25,0.5392269361695723,0.26861941592748145,0.08799398237808867,0.2826646980929466,1.0522869209471326
Qwen/Qwen2.5-1.5B-Instruct,32,0.4592023561519632,0.257765997870985,0.06198341205989959,0.2651136605854401,1.02850516660515
Qwen/Qwen2.5-3B,16,1.18786751095635,0.26772679261706067,0.11777158801808636,0.2924855251620505,1.0924776048858253
Qwen/Qwen2.5-3B-Instruct,12,2.149007731944419,0.2876109141356893,0.12726839623090905,0.3145111804199566,1.0935300607944811
Qwen/Qwen2.5-7B,17,2.206465878505032,0.24754158117036798,0.2091831815757877,0.32409016933948315,1.3092352719377331
Qwen/Qwen2.5-7B-Instruct,15,2.4164024033044575,0.21782414204162182,0.15023690294982256,0.2646100600206331,1.2147875691853818
Qwen/Qwen2.5-Coder-7B,14,2.1505663612326993,0.24128007971002693,0.1977718284310485,0.3119771994646997,1.2930085228736552
Qwen/Qwen2.5-Math-7B,13,2.287733532538822,0.23035849771516861,0.15957511497263288,0.2802307170674163,1.2164982835315814
Qwen/Qwen3-0.6B,27,0.46013010484903427,0.26138294627333614,0.11444987119650504,0.2853415806002103,1.0916610462482885
Qwen/Qwen3-1.7B,12,2.962909188941714,0.27480178955690193,0.25229407669874504,0.3730527103251604,1.357533773439689
Qwen/Qwen3-4B,12,3.6833882865602106,0.2682100497073245,0.32167923347705973,0.41882473663143893,1.5615549718903816
TinyLlama/TinyLlama-1.1B-Chat-v1.0,80,-2.371365334741321,0.3548533869137998,0.10243344336104467,0.36934203189319686,1.040829946997002
allenai/OLMo-2-0425-1B,49,-1.1408857810958395,0.3296097103972455,0.09002151949020756,0.34168177469610794,1.0366253296491574
allenai/OLMo-2-1124-7B,16,1.1011580923409854,0.27797020515935444,0.08270547604019403,0.29001315612118134,1.043324610833463
bigscience/bloom-1b1,87,-3.2408582406425888,0.4417029123443184,0.12049154805790606,0.45784241385747926,1.0365392689568225
bigscience/bloom-1b7,98,-3.502097420452884,0.46657096921593394,0.1331481749444143,0.48519780070206864,1.0399228257116744
bigscience/bloom-3b,83,-3.1679159540426656,0.44602190254761626,0.18119932484081072,0.4814236521765013,1.0793722223654827
bigscience/bloom-560m,77,-3.4390748754670244,0.4966593256668206,0.14615478238635668,0.5177177862370813,1.042400211738675
bigscience/bloom-7b1,69,-2.225076820654577,0.366073350494323,0.09645619153428543,0.3785676885676301,1.034130695546222
bigscience/bloomz-1b7,72,-3.4358363480946292,0.50080257689003,0.14017664445455008,0.520050682789891,1.0384345184870876
bigscience/bloomz-3b,79,-3.4429956303805667,0.497728795893476,0.18384967861558646,0.5305983967075513,1.0660391785351113
bigscience/bloomz-7b1,78,-3.495773330577748,0.5021861873591541,0.1792541948355733,0.5332194980873008,1.0617964243328586
deepseek-ai/deepseek-coder-6.7b-base,55,-0.91551836296959,0.3019607740615828,0.09050742830608337,0.3152330941548667,1.043953788814229
deepseek-ai/deepseek-llm-7b-base,82,-1.831773854764799,0.3110887397247923,0.08128098336533976,0.32153196146012636,1.0335699123811835
deepseek-ai/deepseek-math-7b-base,85,-2.8262422515404104,0.39071429368748767,0.08946760171337206,0.40082678434462804,1.0258820596546407
facebook/opt-1.3b,63,-2.1902209282469247,0.38388340053203834,0.1545759477241045,0.4138359443292069,1.078025108029303
facebook/opt-2.7b,35,-1.4830528397192357,0.45738602112727145,0.08758499319916008,0.4656963639071425,1.0181692102425637
facebook/opt-6.7b,70,-2.278196010349821,0.37765551256425,0.10067475794138721,0.39084407767896817,1.0349222099928288
google/gemma-2-2b,38,-0.4387236637079191,0.3108432019452527,0.09601934235000485,0.3253355349495419,1.0466226474106441
h2oai/h2o-danube2-1.8b-base,44,-0.8230185181764069,0.335447093624781,0.0731988798808669,0.34334068887495134,1.0235315654843617
h2oai/h2o-danube3-4b-base,27,0.2586355059838693,0.28110012107741134,0.09962984125274976,0.29823377296641546,1.0609521327252853
ibm-granite/granite-3.0-2b-base,20,0.8694890634046275,0.2582199775200896,0.09828845696108411,0.2762936437239671,1.06999329167888
ibm-granite/granite-3.1-2b-base,13,1.2956413865688032,0.31825992484092314,0.08508697657706016,0.32943766230164884,1.0351214104833109
ibm-granite/granite-3.1-2b-instruct,15,1.1019068552100115,0.295493915461143,0.11922377589214168,0.31863923614730305,1.0783275711448739
lmsys/vicuna-7b-v1.5,47,-0.3832429577956241,0.28273922273541324,0.09128859758939697,0.2971112184399379,1.0508312768404755
meta-llama/Llama-3.2-1B,74,-2.5139171382576686,0.3826685812246973,0.1284107792646183,0.40363915975518194,1.0548008892273573
meta-llama/Llama-3.2-1B-Instruct,49,-0.9740938085402939,0.3211606637311064,0.0848474778343408,0.33217956954492817,1.034309637070147
meta-llama/Llama-3.2-3B,41,0.24651458729933973,0.2480975470319812,0.07719172110767453,0.25982870251542867,1.0472844476851488
meta-llama/Llama-3.2-3B-Instruct,28,1.199753843913165,0.24017322529446256,0.09088247811572592,0.2567933078894387,1.0692003972324526
microsoft/Phi-3-mini-4k-instruct,17,0.8148009550017531,0.28831727015829023,0.1189769237638989,0.3119011969516134,1.0817985227883686
microsoft/Phi-3.5-mini-instruct,16,0.9503024868752404,0.2632127477766152,0.08762136967452298,0.27741386954468494,1.0539530166681823
microsoft/phi-1_5,62,-1.437492905314526,0.32578573493986523,0.05349111060633615,0.33014791231235646,1.0133897126382665
microsoft/phi-2,17,0.41928180325862047,0.31289513703524635,0.08281525660063302,0.32366917293145836,1.0344333759811626
mistralai/Mistral-7B-Instruct-v0.3,13,1.8308102989503174,0.29347753037521657,0.11084568922266626,0.3137129701723919,1.0689505590813169
mistralai/Mistral-7B-v0.1,19,0.8535011240592976,0.26980395222812886,0.07309213995345643,0.2795293071591852,1.0360460061861259
mistralai/Mistral-7B-v0.3,16,0.14771968716959688,0.3774962402642408,0.1246291268759472,0.39753720666058207,1.0530891814506893
nvidia/Nemotron-Mini-4B-Instruct,35,-0.2973348475831591,0.3114418536912986,0.057024047343998824,0.31661928274532314,1.0166240631843797
openai-community/gpt2,79,-3.2943924911439773,0.4785968771674903,0.16767417126016979,0.5071189195270263,1.0595951284269545
openai-community/gpt2-large,86,-3.556055672878078,0.4970590058340642,0.18669297053095824,0.5309632007271516,1.0682095978448198
openai-community/gpt2-medium,70,-3.3683841247841384,0.5009151931867165,0.1590493223802832,0.5255594330947859,1.0491984276845108
openai-community/gpt2-xl,63,-2.8967374712469383,0.45881112895874676,0.12875394148291097,0.4765346047285387,1.0386291322314143
openbmb/MiniCPM-2B-sft-bf16,56,-1.8906137483585876,0.3884805268825769,0.11999242192469821,0.40658984380616214,1.04661576493655
stabilityai/stablelm-2-1_6b,72,-2.181186587522813,0.3576429898198611,0.13631300142683458,0.3827397843513024,1.070172756759701
stabilityai/stablelm-2-zephyr-1_6b,53,-0.594498612561333,0.2850027455831618,0.10525402174199802,0.30381733670547084,1.0660154732327625
stabilityai/stablelm-3b-4e1t,51,-0.8947492676307458,0.3038843298527568,0.10299542410390254,0.320864057376955,1.0558756271915222
stabilityai/stablelm-zephyr-3b,43,-0.22387328034432136,0.2898932669046572,0.1014547461769557,0.3071338010028941,1.059472005963861
tiiuae/Falcon3-1B-Base,17,0.6933159972174422,0.29802732670750987,0.07931964568352977,0.3084021622099714,1.0348116919917334
tiiuae/Falcon3-3B-Base,15,1.0552953013660442,0.2995639392486068,0.09680280706059026,0.3148163546465667,1.050915392006853
tiiuae/Falcon3-7B-Base,13,2.3214508901214947,0.2714403911584139,0.1920393657895703,0.3325041412751022,1.224961914680749
togethercomputer/RedPajama-INCITE-7B-Base,69,-2.9931462208957633,0.45798190395059263,0.07947354593480127,0.4648262781401895,1.0149446389269023
togethercomputer/RedPajama-INCITE-Base-3B-v1,73,-2.541427342193794,0.3824466192856534,0.1505730835715776,0.41102027942581953,1.0747128061781197
01-ai/Yi-1.5-6B,19,1.037759038214634,0.2648785773159195,0.07849682098286712,0.2762651111257479,1.042987749047926
01-ai/Yi-1.5-6B-Chat,15,1.0385806929592856,0.28392591738555006,0.12049749704930351,0.3084373086356012,1.086330235280235
01-ai/Yi-6B-200K,57,-2.2473378049538235,0.4187075334509542,0.1620173618500775,0.4489606041841988,1.072253466480293
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,128,-3.567989861832171,0.4418175032182977,0.16605609292722903,0.47199293654493074,1.0682984107846076
BEE-spoke-data/smol_llama-220M-openhermes,99,-3.370745670224432,0.44484313433327416,0.1313951065488132,0.46384274079522403,1.042710800719508
BSC-LT/salamandra-2b,76,-2.4062038664894194,0.3649898315169661,0.13940848612353057,0.3907074392867865,1.0704611623368605
BSC-LT/salamandra-2b-instruct,65,-2.2372420348026245,0.37327602446489416,0.16050853505465676,0.40632250770257394,1.0885309558390557
BSC-LT/salamandra-7b,59,-1.0282995934847796,0.2970375096723773,0.08485093430736639,0.3089190237023299,1.0400000459304197
BSC-LT/salamandra-7b-instruct,40,-0.7266630993342862,0.33011916110948514,0.060682560952224913,0.3356501657013604,1.0167545699961382
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,12,2.2749572871058112,0.305512813198828,0.20747258442201302,0.36930062593422625,1.2087893207080813
OpenBMB/MiniCPM4-0.5B,55,-1.1672697252684074,0.31779968015421795,0.09851407858728908,0.33271859038236173,1.0469443840248804
Qwen/Qwen1.5-1.8B,70,-2.9565894315522874,0.43769942174946724,0.14424301072020965,0.46085445635411676,1.0529016796780306
Qwen/Qwen1.5-1.8B-Chat,50,-1.192736069739182,0.3410980998004629,0.08830298097306886,0.35234263173254626,1.0329656832995002
ai-forever/mGPT,93,-3.661174864158637,0.49588819224846464,0.16751503319762182,0.5234179836026371,1.0555161259826462
allenai/OLMo-1B-hf,139,-3.9602060583810434,0.4886820431400352,0.25437255062510233,0.5509224390048381,1.127363787432982
allenai/OLMo-2-0425-1B-DPO,31,-0.08264563904679245,0.30579305396227857,0.06479610703145988,0.31258267280514673,1.0222033128447243
allenai/OLMo-2-0425-1B-Instruct,34,-0.03180068237189162,0.29554731231131864,0.06494971610120984,0.3025998668804596,1.0238626922843137
arcee-ai/raspberry-3B,14,0.6249187139527538,0.3414798352979834,0.0877694409135299,0.3525790020313341,1.0325031395299382
google/gemma-2b,54,-1.369382382722734,0.34427074638568383,0.1261904020343257,0.3666692847547236,1.0650608237969394
h2oai/h2o-danube-1.8b-chat,61,-1.2844479898257752,0.317588989188072,0.11472489869515065,0.33767524107360003,1.0632460588034847
h2oai/h2o-danube2-1.8b-chat,49,-0.9197880685869759,0.32183910282154127,0.0644487134919323,0.32822864709793353,1.019853225479364
ibm-granite/granite-7b-instruct,42,-0.20670409984646088,0.278643655497659,0.06270569849138705,0.2856121344978025,1.0250085686957333
ibm/PowerLM-3b,32,0.2219942416143667,0.27228584588329874,0.08814834892203577,0.28619873040610166,1.051096613111377
nvidia/AceInstruct-1.5B,14,1.3403675427498594,0.3028571344610072,0.13152310744993756,0.3301829366990675,1.0902267080043924
openbmb/MiniCPM-1B-sft-bf16,67,-2.919145840778609,0.4416855673240308,0.14801880191345912,0.46582797908911266,1.0546597252687009
openlm-research/open_llama_3b,61,-1.544720569084631,0.3379684555047694,0.09779901580312249,0.3518342285911629,1.0410268262038966
pankajmathur/orca_mini_3b,60,-1.633613141971055,0.343435948016134,0.09161419633711922,0.35544537043016455,1.0349684489448565
pankajmathur/orca_mini_v9_5_3B-Instruct,29,0.6984801477405302,0.24663508640113968,0.08918142785150707,0.26226359434304103,1.06336692872839
stabilityai/stablelm-2-1_6b-chat,36,-0.19327918113966955,0.30114740561882636,0.09117668941645982,0.3146473400553316,1.0448283272066194
tiiuae/Falcon3-1B-Instruct,18,1.0621303928763297,0.2557065816969089,0.08833739137610362,0.27053530386670954,1.0579911634319106
tiiuae/Falcon3-3B-Instruct,16,2.332345864143953,0.29675454337664603,0.2205689471067377,0.36974845428000985,1.2459740298254462
utter-project/EuroLLM-1.7B,81,-2.799144914749551,0.39079835841693317,0.13629333704331115,0.4138831123200986,1.0590707545361204
utter-project/EuroLLM-1.7B-Instruct,53,-1.8271454688033018,0.39356315052272645,0.1384863409951186,0.41721747337760257,1.0601029919174565
