model,theta_stop_correctness,theta_stop_scaffolding,sd_correctness,sd_scaffolding,se_total_correctness,se_total_scaffolding,length,stop_reason,reached,weak_calibrated
deepseek-ai/deepseek-coder-6.7b-base,0.3459444879702746,-0.3097436118993176,0.2741058809968337,0.2612300502719087,0.35055070285672,0.3280541916656374,26,info_plateau,False,False
HuggingFaceTB/SmolLM2-1.7B-Instruct,0.2934030813096468,-0.4569070589442761,0.2219438891679591,0.2560711316827446,0.2791303330142764,0.3208290905802968,26,precision_reached,True,False
h2oai/h2o-danube3-4b-base,0.2174930539032917,-0.4957544420461616,0.2684275078797604,0.2956580601694875,0.2848407256864378,0.3166416503899811,21,info_plateau,False,False
mistralai/Mistral-7B-v0.3,0.2170691199516381,0.3012662332688498,0.2642011807352949,0.2672187506031694,0.295071340473883,0.2882116572228549,20,precision_reached,True,False
Qwen/Qwen2.5-0.5B,0.1847762262069968,-0.9498637946300345,0.2789055199687325,0.3049712055270479,0.3202106228477748,0.3626679968704419,21,info_plateau,False,False
allenai/OLMo-2-0425-1B-Instruct,0.1468776713770022,-1.0760705580050474,0.2732044454150376,0.2813251294286279,0.3003002277315408,0.3643724069428597,25,info_plateau,False,False
mistralai/Mistral-7B-v0.1,-0.0234053375085761,0.5994708456228013,0.2692149005966776,0.2603671572606391,0.3052818587675555,0.289131389707094,22,precision_reached,True,False
nvidia/Nemotron-Mini-4B-Instruct,-0.1189671266934669,-0.6500159438059612,0.2640533368130643,0.3290814311619774,0.6091888114843297,0.6840146781686394,20,info_plateau,False,False
meta-llama/Llama-3.2-3B,-0.2010684269855319,0.0916769076400736,0.2623429260826718,0.2675061689428362,0.2873552898883122,0.3246382295164087,25,precision_reached,True,False
google/gemma-2-2b,-0.220182296831819,-0.2675564374969974,0.27947783858923,0.2663794808123345,0.3268294061277964,0.3033218099702987,31,info_plateau,False,False
allenai/OLMo-2-0425-1B-DPO,-0.23198124008096,-0.5748442804731986,0.2616638441958282,0.2939325489262339,0.3320052087608628,0.3286240613325644,23,info_plateau,False,False
stabilityai/stablelm-2-1_6b-chat,-0.328751938245653,-0.9477364970401176,0.3259155954003564,0.2644498821876198,0.3834182870365292,0.3191309516907181,24,info_plateau,False,False
lmsys/vicuna-7b-v1.5,-0.3494501765984713,0.4402124883204861,0.2680920003400712,0.2655758990706212,0.3230259007995263,0.3286188899102262,27,precision_reached,True,False
stabilityai/stablelm-zephyr-3b,-0.394335957865656,-0.7424496174089804,0.2431950628837826,0.2674537870545157,0.3016657625765237,0.3397898535647425,37,precision_reached,True,False
openlm-research/open_llama_3b,-0.4053665078222884,0.9259316318145084,0.2578702172955462,0.2654349097110283,0.2954944819970743,0.2896555285339675,22,precision_reached,True,False
01-ai/Yi-6B,-0.4155548296844795,-0.0960316464987501,0.2831199465411854,0.2568092977167521,0.3192420989174281,0.2986644726024112,27,info_plateau,False,False
stabilityai/stablelm-2-zephyr-1_6b,-0.4283775055816043,-0.6771124031432217,0.2658393271799847,0.3159168243720646,0.9330271301868092,0.6624878736753335,28,info_plateau,False,False
Qwen/Qwen2-1.5B,-0.4605737720953413,-1.1310693177094588,0.2518375718850317,0.2965634820986766,0.6409227898362759,0.6444733278923457,26,info_plateau,False,False
meta-llama/Llama-3.2-1B-Instruct,-0.5074697627783078,-1.0440646912993763,0.2702095608238229,0.2649122523963146,1.0549656065841844,0.6004237010452488,36,info_plateau,False,False
HuggingFaceTB/SmolLM2-1.7B,-0.674229060691751,-0.2409648084412508,0.3175730666995444,0.2692367411170071,0.351288395078614,0.3000960795608726,27,info_plateau,False,False
microsoft/phi-1_5,-0.6938628973393731,-0.2081022990326195,0.2681494192423357,0.2629508760946276,0.3612519033725024,0.3585722954322605,32,precision_reached,True,False
ibm-granite/granite-7b-instruct,-0.8118547760080842,0.9934971714836104,0.2212688192250662,0.2603536975914711,0.3359258783004278,0.3340904857628421,20,precision_reached,True,False
BSC-LT/salamandra-7b,-0.8146699366428501,0.1938346387643109,0.272133978338501,0.2500505199119884,0.3538031474124744,0.3162747189733054,33,info_plateau,False,False
h2oai/h2o-danube2-1.8b-base,-0.893022989372801,-0.3538174331082924,0.3164552006418506,0.2687166416313871,0.3823110813816117,0.3344523174433953,34,info_plateau,False,False
01-ai/Yi-6B-Chat,-0.9444674804809762,-0.4171245689699132,0.2907396273754488,0.2588031611604816,0.3186746397868429,0.2928038591266922,31,info_plateau,False,False
BSC-LT/salamandra-7b-instruct,-0.947518068807058,-0.2834804870348477,0.2735273048987244,0.2577227289622184,0.585628821947806,0.7714581113359159,32,info_plateau,False,True
Qwen/Qwen2.5-0.5B-Instruct,-0.9699648817385176,-0.8910544406753745,0.2874821302337491,0.2693869846342048,0.3137345646785901,0.3004085799132094,29,info_plateau,False,False
allenai/OLMo-2-0425-1B,-1.0297620541369934,-0.3174100979381801,0.2881055217795072,0.2698878942713876,0.6857706208470156,0.6603037657149581,36,info_plateau,False,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,-1.0390966226691738,-1.1449465345219358,0.3380578539297719,0.2991105609641085,0.4367573356998808,0.3882098667890515,35,info_plateau,False,False
stabilityai/stablelm-3b-4e1t,-1.1421274416688951,0.1417374439896331,0.3530608909814418,0.2956842245469758,0.4057171869370508,0.3457855371254595,23,info_plateau,False,False
HuggingFaceTB/SmolLM2-360M-Instruct,-1.2503782694891064,-0.344596027694205,0.2951955593400284,0.2867668892379598,0.3727527804603486,0.3396319073770764,30,info_plateau,False,False
OpenBMB/MiniCPM4-0.5B,-1.3218325709260497,-0.2596675885448481,0.2973012030783771,0.2504329427158164,0.3649604893416546,0.3054489093359664,33,info_plateau,False,False
h2oai/h2o-danube2-1.8b-chat,-1.6482196078153244,0.0830520957445534,0.2795590466654322,0.2470493082881687,0.3716464661815595,0.286773502122896,35,info_plateau,False,False
bigscience/bloom-7b1,-1.6733131796361376,-0.3230243233124462,0.3210713677773763,0.2606359250446025,0.4501892383052436,0.3373411484521478,37,info_plateau,False,False
deepseek-ai/deepseek-llm-7b-base,-1.7509638690196436,-0.1169865536414591,0.3106802050963996,0.2670062085649409,0.3913250382187664,0.3251808135528463,37,info_plateau,False,False
openbmb/MiniCPM-2B-sft-bf16,-1.7762529307826946,0.4907499809762212,0.3215706023850295,0.2619351348431423,0.3711315422087264,0.3201546606950469,31,info_plateau,False,False
h2oai/h2o-danube-1.8b-chat,-1.810256192620381,-0.664619385345578,0.312349432055183,0.2704906676180442,0.3749257810457594,0.312064916810883,39,info_plateau,False,False
utter-project/EuroLLM-1.7B-Instruct,-1.8968695385909815,0.2873798754476034,0.3428517188673719,0.2659181374586973,0.4090683308196868,0.3172274731116773,25,info_plateau,False,False
Qwen/Qwen1.5-1.8B-Chat,-1.9398527523796525,-0.5364786866432573,0.4150307012775303,0.3171518693827045,0.4743928851076783,0.3744124362128655,22,info_plateau,False,False
EleutherAI/pythia-6.9b,-1.95072577894897,0.7942331148641295,0.3040563365381351,0.2613334324177643,0.3721912639620298,0.2847272331129148,38,info_plateau,False,False
pankajmathur/orca_mini_3b,-2.0100224588850906,0.6616553280917681,0.279979497067947,0.2347675562648426,0.4341185336588602,0.3192718661807215,34,info_plateau,False,False
facebook/opt-1.3b,-2.0186041658205247,0.7666338101772594,0.3378532874777131,0.2672597576765724,0.4223525815371983,0.3022060010177964,32,info_plateau,False,False
stabilityai/stablelm-2-1_6b,-2.1350837637773044,0.4040790082757786,0.3555354905398556,0.2607389698086268,0.5322918729669175,0.4077766285422849,30,info_plateau,False,False
Qwen/Qwen2-0.5B,-2.155710628575372,0.1389626573343213,0.3997978434381401,0.3127282705584758,0.4627859862394326,0.3639208379525612,20,info_plateau,False,False
HuggingFaceTB/SmolLM2-360M,-2.158076443574263,0.5883037485327177,0.4050759111997972,0.2671127904237015,0.4518571951159485,0.2893148960282121,27,info_plateau,False,False
google/gemma-2b,-2.162847099255715,0.8303594979991086,0.269826594599841,0.229372126604342,0.4026225383507564,0.3002879649414381,33,precision_reached,True,False
01-ai/Yi-6B-200K,-2.329979317897521,0.9104562764878028,0.2891228522486966,0.2397844700349442,0.3382544393528614,0.2667471710368095,33,info_plateau,False,False
facebook/opt-6.7b,-2.372685956039754,1.254476918569754,0.3240132458229549,0.2405018736155025,0.3640622261517273,0.2895911031949377,23,info_plateau,False,False
BSC-LT/salamandra-2b-instruct,-2.4420674290262268,0.3663124861043298,0.3627839603507059,0.2631629272213837,0.4657429895528666,0.3194640219678762,29,info_plateau,False,False
facebook/opt-2.7b,-2.5624903293159096,1.3900813405528578,0.3385847925613548,0.2583835808549191,0.3614840098016622,0.2833158938847698,26,info_plateau,False,False
utter-project/EuroLLM-1.7B,-2.5740917059379638,0.7321473185390778,0.3994241016384598,0.3186478288414112,0.4436751413413336,0.3512620096859196,28,info_plateau,False,False
BEE-spoke-data/smol_llama-220M-openhermes,-2.611060652493057,1.3845029728683185,0.3570110142866858,0.2687641301186063,0.4482081525920577,0.2940769846734543,24,info_plateau,False,False
meta-llama/Llama-3.2-1B,-3.0271818739272174,1.0712734550332927,0.346212128725332,0.2796069708790582,0.4114802774626258,0.3220435270809917,24,info_plateau,False,False
togethercomputer/RedPajama-INCITE-7B-Base,-3.108402679426493,1.1941880923159618,0.4132369900765127,0.2957882086456716,0.4791753199231637,0.3280088930273075,22,info_plateau,False,False
EleutherAI/pythia-1.4b,-3.24780775645819,1.0679740758782617,0.4490642928578935,0.2759344563702732,0.5838135855673737,0.3195590757885208,25,info_plateau,False,False
deepseek-ai/deepseek-math-7b-base,-3.288785058866852,1.2103250674152937,0.3721568080688665,0.2744687410599055,0.4259953949349828,0.2889686194361042,31,info_plateau,False,False
Qwen/Qwen1.5-1.8B,-3.312731131284782,-0.6363204829292354,0.4417461674571469,0.3103562243639671,1.132468038994754,0.7378178976611254,34,info_plateau,False,True
BSC-LT/salamandra-2b,-3.3507962804178018,1.3454968853382336,0.4202516255456791,0.2511011428564948,0.5040911413115561,0.3220429617423798,20,info_plateau,False,False
bigscience/bloom-1b1,-3.427655139788813,0.456080740260585,0.4447547910857281,0.2983990711751371,0.5595018345978331,0.3434100901443762,34,info_plateau,False,False
openai-community/gpt2-xl,-3.5045065971452978,1.100339674757386,0.4057220716293692,0.2379606111492516,0.4594098055094474,0.258341292259917,24,info_plateau,False,False
togethercomputer/RedPajama-INCITE-Base-3B-v1,-3.552961453197287,1.4863019852869714,0.4241149681200603,0.2694065479495006,0.4646433972559294,0.3040063075120278,28,info_plateau,False,False
EleutherAI/pythia-2.8b,-3.605536754545757,0.7489740998356869,0.4160379782850713,0.2766874503580259,0.4952497194151457,0.3073368829537325,29,info_plateau,False,False
EleutherAI/pythia-1b,-4.006438926575903,0.92397027246922,0.4392625898437539,0.2638509333323789,0.512289495036115,0.307899645891846,28,info_plateau,False,False
openbmb/MiniCPM-1B-sft-bf16,-4.010021311496299,1.580719177830447,0.4099371289983936,0.2467786947901026,0.4694947017587427,0.2620620442218786,30,info_plateau,False,False
LLM360/Amber,-4.0815377013571394,0.9239015835828208,0.4359893478399574,0.2720802755379966,0.5067148607403512,0.3010412305220572,28,info_plateau,False,False
bigscience/bloom-1b7,-4.391629691814076,0.4590828626002541,0.4646032228393786,0.2390623591206331,0.470899125419141,0.2566447656357449,34,info_plateau,False,False
bigscience/bloom-3b,-4.454993624859493,0.0310284882737003,0.4561164608874172,0.2693896890944908,0.6647088203188249,0.3597972821216218,43,info_plateau,False,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-4.487873615262928,2.6727116099207637,0.4596395318034206,0.3656402578437723,0.4857510776883734,0.4035347607308782,25,info_plateau,False,False
EleutherAI/pythia-410m,-4.517470842259611,0.4937618220218768,0.4489262644468842,0.2549385075668783,0.4969808656963743,0.2691899257558806,34,info_plateau,False,False
bigscience/bloom-560m,-4.945445095030836,1.0996737681297468,0.4937890225491875,0.2625548174697643,0.5887241889659823,0.3058781725364379,23,info_plateau,False,False
bigscience/bloomz-7b1,-5.041275084516535,2.325799770144407,0.4625747462136333,0.2799364601329782,0.60114391639294,0.352465541693268,28,info_plateau,False,False
allenai/OLMo-1B-hf,-5.248426769576026,2.784461498828908,0.5065000699467925,0.3496709472745306,0.5324916192758069,0.3792032773982247,30,info_plateau,False,False
EleutherAI/pythia-160m,-5.3450855789099,1.2810576593562846,0.4874941631983922,0.2297992864450918,0.582967911776981,0.2577870178942832,24,info_plateau,False,False
bigscience/bloomz-1b7,-5.373535098178932,1.832808742537261,0.4998343291378435,0.276632229023598,0.5736755356405362,0.368871164681184,24,info_plateau,False,False
bigscience/bloomz-3b,-5.478984737593601,0.9829135127299,0.4902521873722346,0.3661734022652789,0.5415940191434423,0.4107088419944824,21,info_plateau,False,False
openai-community/gpt2,-5.502336042031671,1.305309366003546,0.4948509195548513,0.2565768105395085,0.5441651162277255,0.3031782563257258,28,info_plateau,False,False
openai-community/gpt2-medium,-5.779733309142897,0.8198153337994576,0.4858226599336145,0.2995378308150274,0.631913578672521,0.3428721985697022,32,info_plateau,False,False
EleutherAI/pythia-70m,-5.935145511970908,0.0960249965719095,0.5114687971371165,0.2903378082673291,0.5953844324910651,0.3284225941418692,39,info_plateau,False,False
ai-forever/mGPT,-5.950993927732352,1.914977589009489,0.4753037160619463,0.2480219142248419,0.6039205297635483,0.3267581975664184,29,info_plateau,False,False
HuggingFaceTB/SmolLM2-135M,-6.131886644135289,0.5568847879445203,0.4830113723655748,0.2751989591979114,0.6512520979060616,0.3558593686384295,33,info_plateau,False,False
openai-community/gpt2-large,-6.174713223149253,0.9053763961334732,0.4825223444927787,0.2617168599531695,0.6076421173455578,0.3259551260673695,33,info_plateau,False,False
