model,scenarios,criteria,precision_reached,mwle_ok,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_full_correctness,theta_full_scaffolding
Qwen/Qwen2.5-3B,14,57,True,True,1.39553,1.3989595221318687,1.4086181310291828,0.120765,48,-0.487572,-0.43886756507737557,-0.4807245367738185,0.290032,19,1.400399130449382,-0.7637485935505463
Qwen/Qwen2.5-3B-Instruct,12,51,True,True,1.823527,1.9313051883627028,1.9252660059649689,0.145547,37,0.036623,0.02900049554981887,-0.053022444604378015,0.223898,24,2.1999967083102914,0.43929731658706417
Qwen/Qwen2.5-7B,11,44,True,True,1.919061,2.1939645051813863,2.3046502091207315,0.166642,37,0.189628,0.5214849896876185,0.4131588019779062,0.24617,16,2.0010729980160478,1.0364979165136339
Qwen/Qwen2.5-7B-Instruct,8,30,True,True,1.923312,2.0651742883132376,1.9760681927309582,0.204507,20,1.649097,2.0010023210216543,1.9612772217913923,0.245059,15,2.5999998341535764,1.3817210578355201
Qwen/Qwen2.5-Coder-7B,12,52,True,True,1.487991,1.4773632316705834,1.491245560964623,0.108431,45,-0.307934,-0.6818057027046359,-0.4215266580074038,0.23532,15,1.7991927467298447,-0.023858743345807634
Qwen/Qwen2.5-Math-7B,10,46,True,True,1.938335,2.101288550744644,2.242203286434205,0.147332,39,-0.869929,-0.9480257528609064,-1.0449879483281095,0.283755,15,2.2000011814180405,-1.5720505155777764
Qwen/Qwen3-0.6B,12,49,True,True,1.38667,1.332557596724875,1.373500432324507,0.144047,40,-1.391989,-1.3933502031119716,-1.4804041915186232,0.296511,20,1.035719842485933,-1.7173866553953046
Qwen/Qwen3-1.7B,13,58,True,True,2.601696,2.580045915694487,2.605741287748152,0.114999,45,-1.736424,-1.9215702145180136,-1.9240410011003155,0.276856,23,2.799885342810815,-2.0085599376066776
Qwen/Qwen3-4B,14,49,True,True,4.385829,3.8432172642657805,3.9541088420515895,0.299459,35,-1.306856,-1.4503302636330002,-1.5450428179465103,0.226831,27,3.7986221505725055,-2.020403062111904
TinyLlama/TinyLlama-1.1B-Chat-v1.0,25,98,True,True,-1.900405,-1.9605084246411115,-2.1243287006563794,0.286934,81,-1.151282,-1.141234711900445,-1.2774622977868206,0.256595,33,-2.3782315757497305,-1.1447663025940686
allenai/OLMo-2-0425-1B,12,46,True,True,-0.195944,-0.32331581361834816,-0.24954385333724008,0.251067,37,-0.014248,-0.013566177042935734,0.013431246220044607,0.2965,20,-0.7801299558495199,-0.2878586642668355
allenai/OLMo-2-1124-7B,13,57,True,True,1.071978,1.055031455013765,1.0894527659391018,0.131899,48,-0.595876,-0.6011273308654003,-0.6991502489126676,0.270197,19,1.0027208706124802,-0.40076695252252204
bigscience/bloom-1b1,25,112,True,True,-2.445655,-3.168652296549856,-4.750259990433322,0.299287,88,0.25207,0.18344713404664253,0.1917487212041562,0.219987,50,-4.300247150046682,0.3047488819679463
bigscience/bloom-1b7,14,75,True,True,-1.975447,-2.74058198701475,-3.976882595387554,0.292557,64,0.386967,0.1601997535910191,0.22562104916653233,0.264438,34,-4.837792574754747,-0.1042670576205143
bigscience/bloom-3b,18,70,True,True,-1.854001,-2.7413805852312016,-3.6446333167718064,0.298532,57,0.211388,-0.052810076523360096,-0.03981396724506157,0.273859,29,-3.7908170458231325,-0.16656659102712243
bigscience/bloom-560m,17,77,True,True,-2.180714,-2.8833486233201393,-4.0240938158293815,0.298974,62,0.820853,0.7453818955655452,0.8420597946355473,0.267941,34,-5.534320119098933,0.25340797131454307
bigscience/bloom-7b1,17,72,True,True,-1.633192,-1.9844759562794327,-2.255210999030686,0.298418,59,0.376975,0.24158541438243925,0.283073527227025,0.255761,29,-2.8147714747026265,-0.1887778808013607
bigscience/bloomz-1b7,20,95,True,True,-2.325334,-2.9792875771874736,-4.351389035772277,0.29718,72,1.213462,1.3551103618011004,1.4973432950883223,0.215495,48,-5.487803665256936,1.576575204000265
bigscience/bloomz-3b,21,90,True,True,-2.211672,-2.695594257260425,-3.2449228803406664,0.2995,69,1.116205,1.1741734886287316,1.2975880749686572,0.205565,42,-5.113775872057188,1.40240303820811
bigscience/bloomz-7b1,20,93,True,True,-2.556718,-3.23225600790214,-4.13629824806219,0.290521,74,1.905541,2.0067492870623838,2.13888433522734,0.167618,39,-5.209397223199747,2.4515861929424725
deepseek-ai/deepseek-coder-6.7b-base,11,41,True,True,-0.158793,-0.6217944859766444,-0.4670584964060018,0.243738,33,-0.310898,-0.29260890291283437,-0.26603390332769283,0.27603,16,-0.8906736670702504,-0.2788144169129667
deepseek-ai/deepseek-llm-7b-base,24,108,True,True,-2.070422,-2.2353236512593737,-2.4545423824031936,0.299863,85,-0.254207,-0.26988021489406916,-0.26577272037522714,0.242752,49,-2.2529818176956726,-0.06633701269941944
deepseek-ai/deepseek-math-7b-base,43,205,True,True,-2.687677,-2.8666011012671704,-3.214425582831266,0.299944,155,0.744686,0.7438478184076595,0.7786944302756936,0.190556,100,-4.104410064660074,0.4114597869841045
facebook/opt-1.3b,20,83,True,True,-2.077023,-2.5391877084045094,-2.9787395218532646,0.296107,62,1.013514,1.0160608070188744,1.1384603683557961,0.235031,41,-2.0876471280942894,0.9193420502076933
facebook/opt-2.7b,13,72,True,True,-1.842422,-2.375526486989239,-2.831409373773006,0.299484,56,0.939976,0.9649252734341699,1.1445235046075395,0.247556,37,-2.0658141229419473,0.9746632365652681
facebook/opt-6.7b,15,58,True,True,-1.54929,-1.875032458766972,-2.0486024258834656,0.293125,49,0.572749,0.6324113635966587,0.6831439927772095,0.279338,24,-2.277041205441721,0.7420813315545292
google/gemma-2-2b,14,54,True,True,-0.741051,-0.9889678320472749,-0.9723434278342723,0.295811,41,0.086852,0.09406584960447348,0.13323209565062344,0.285687,27,-0.9837482961437817,-0.0987695167891206
h2oai/h2o-danube2-1.8b-base,15,72,True,True,-0.905212,-1.0261652659831875,-1.0561881510335789,0.272923,58,-0.335282,-0.4595459905963553,-0.4333677749029598,0.290212,37,-1.3357821283903968,-0.5061228903174091
h2oai/h2o-danube3-4b-base,11,52,True,True,0.084267,0.019790772698595506,0.0998498676915613,0.230364,44,-0.736315,-0.8502955732188917,-0.8446784386284488,0.296863,18,0.1268621802065169,-0.8621596983695029
ibm-granite/granite-3.0-2b-base,9,42,True,True,1.180055,1.191717689449003,1.2102943150655743,0.146243,36,0.432587,0.5031552676882777,0.3319096852438863,0.279773,15,0.7986019373484843,0.11992677592263337
ibm-granite/granite-3.1-2b-base,20,85,True,True,1.166143,1.0843453140811379,1.1087520013186827,0.126336,70,0.361202,0.2811731134008731,0.25395788345150366,0.262601,31,0.7918093488407323,-0.13761748409970878
ibm-granite/granite-3.1-2b-instruct,8,44,True,True,1.416063,1.4031264095236684,1.4459573835719257,0.139641,37,-0.437916,-0.6869541901091117,-0.6172918511366172,0.239756,15,1.3130619584057737,-0.03626127443949853
lmsys/vicuna-7b-v1.5,11,45,True,True,-0.227251,-0.25372423038897274,-0.22158414951448974,0.274041,36,0.157859,0.18057554315766552,0.19991135737101856,0.277814,20,-0.011316415187973465,0.21844896898192262
meta-llama/Llama-3.2-1B,20,79,True,True,-1.675439,-2.024389813193574,-2.2735152121674886,0.299783,59,-0.181047,-0.19638574850806045,-0.18765700234325028,0.264868,36,-2.7564939188728257,0.010068827438764152
meta-llama/Llama-3.2-1B-Instruct,17,69,True,True,-0.617135,-0.638929227635551,-0.6669306557651776,0.299479,53,-1.124159,-1.1096519194861627,-1.2672087318634477,0.294625,33,-0.39261710309769315,-1.3600931507193614
meta-llama/Llama-3.2-3B,10,40,True,True,0.555969,0.49435361909605874,0.62083611732296,0.249149,32,0.527562,0.4370809803778353,0.5409868003088063,0.278008,18,-0.3854442106473697,-0.22542002122470073
meta-llama/Llama-3.2-3B-Instruct,10,50,True,True,1.138578,1.104263055833801,1.0848077275887418,0.177094,44,1.026006,1.294598046517861,1.1709985721430831,0.281054,15,1.1301065178332155,1.476632455906853
microsoft/Phi-3-mini-4k-instruct,17,73,True,True,0.67141,0.6279217653576431,0.6641494900252122,0.172473,56,0.192763,0.2631594487242316,0.23178990040901354,0.294564,34,0.39759712962562166,0.4021410987993649
microsoft/Phi-3.5-mini-instruct,14,55,True,True,1.166534,1.1324346756036867,1.1702507869450554,0.149495,45,-1.018541,-1.0237108047892494,-1.143418612526901,0.267044,21,1.3999183831544861,-0.9875302263469337
microsoft/phi-1_5,19,73,True,True,-1.37863,-1.4813497575196966,-1.6036009238498128,0.296077,60,-0.182869,-0.2079850528201055,-0.19113121457660817,0.289068,28,-2.244759366445578,-0.05859695062772576
microsoft/phi-2,10,40,True,True,-0.102747,-0.16241735276774982,-0.09815419892925735,0.289251,32,-0.127557,-0.13062907770435866,-0.12664242210890858,0.295459,16,0.11533490452960118,0.31037857277535696
mistralai/Mistral-7B-Instruct-v0.3,10,39,True,True,0.522871,0.4919882665035926,0.65190151261774,0.233551,32,0.64798,0.7083171826233859,0.8888343820165767,0.28761,17,1.0018252203762616,0.6106127801267907
mistralai/Mistral-7B-v0.1,12,49,True,True,0.743236,0.699328614696461,0.7734288792706806,0.185536,38,-0.264007,-0.2725386476945266,-0.28730378337419815,0.274349,20,0.5338276499999169,0.059493046335602935
mistralai/Mistral-7B-v0.3,10,44,True,True,1.241885,1.1975902669076601,1.2557637819151517,0.173217,37,-0.011685,-0.00047800379394366814,0.04329536356101804,0.261546,17,0.7995491301664649,0.2495247497159887
nvidia/Nemotron-Mini-4B-Instruct,17,61,True,True,-0.16308,-0.20786218761412145,-0.15374548831782403,0.266967,44,-0.942283,-0.8942718629790523,-1.0277476666357113,0.283058,29,-0.022546420447062444,-0.3483080336126307
openai-community/gpt2,22,107,True,True,-2.492226,-3.094614411696917,-4.438127732030189,0.297137,81,1.418803,1.4760328241273346,1.6431403419126747,0.207282,49,-5.238431718643568,1.1956060310665961
openai-community/gpt2-large,27,122,True,True,-2.663346,-3.221842473053925,-4.344828868542336,0.299905,94,0.963657,0.9876530286254609,1.0756262827983902,0.207674,52,-3.656409297899247,1.0460562409991736
openai-community/gpt2-medium,22,108,True,True,-2.498395,-3.027303706530284,-4.104882857818633,0.298592,87,0.992437,1.047298188827415,1.1404801515752827,0.22329,49,-5.579598938892855,1.0608214098776028
openai-community/gpt2-xl,19,88,True,True,-2.275119,-2.639401261764801,-3.041598311815524,0.293151,70,1.196845,1.1854114913178178,1.322159444107653,0.224452,35,-3.435173205374122,1.094945631665161
openbmb/MiniCPM-2B-sft-bf16,19,78,True,True,-1.675886,-1.8827118401626586,-2.075771164443205,0.291419,66,0.544439,0.4316442029975513,0.5115047881133049,0.248169,29,-2.366958889574693,0.3083202323334003
stabilityai/stablelm-2-1_6b,16,77,True,True,-1.792269,-2.2693848245049506,-2.636454789859336,0.290668,63,0.412834,0.312009245720795,0.3315934982605185,0.256087,35,-2.1023312246520263,0.08715891252677829
stabilityai/stablelm-2-zephyr-1_6b,15,62,True,True,-1.226199,-1.811875434618929,-2.044822436175935,0.290149,48,-0.501956,-0.791405520993344,-0.795178226838346,0.284219,31,-1.2006672866523869,-1.0966964301347892
stabilityai/stablelm-3b-4e1t,12,55,True,True,-0.803901,-0.9523632533437042,-0.9874970840002658,0.298043,43,-0.211579,-0.28442788208709086,-0.2525186590153278,0.27757,30,-2.066313693610849,-0.24947917339546796
stabilityai/stablelm-zephyr-3b,17,59,True,True,-0.597379,-0.7035375046068747,-0.6783412543193429,0.295051,45,-0.673273,-0.707476150644928,-0.7184656125848659,0.291359,24,-0.795070764339321,-1.3108450584886506
tiiuae/Falcon3-1B-Base,13,52,True,True,0.21216,0.14809815945054505,0.2212992109750096,0.224862,43,-0.94417,-1.0688975049694556,-1.0985032735435005,0.293647,19,0.19743023020640108,-1.0089680018151717
tiiuae/Falcon3-3B-Base,12,46,True,True,0.976803,0.9734892205501369,1.0251901585033376,0.148711,39,-0.937202,-1.0383301828541325,-1.0976239034524622,0.296888,15,1.5988674098795488,-1.0256777863689455
tiiuae/Falcon3-7B-Base,13,50,True,True,1.90177,1.9768806326037438,1.9788094678279888,0.132329,41,0.331931,0.16040949823980258,0.3609721334262117,0.205405,18,2.2000018168649507,-0.1785246287384219
togethercomputer/RedPajama-INCITE-7B-Base,36,171,True,True,-2.646823,-2.9959494892842056,-3.5989080323912344,0.298821,133,0.322349,0.309181174466583,0.32429228774837937,0.197227,73,-3.757668837670374,0.16960458247014354
togethercomputer/RedPajama-INCITE-Base-3B-v1,23,103,True,True,-2.303097,-2.7412047239447825,-3.217275014678323,0.298533,80,0.920487,0.9899099355450498,1.0787359857236372,0.22652,49,-3.6644025354318996,0.7743708366446631
