floor,se_target,n_models,recovery_r,recovery_slope,theta_mae,pct_reach,len_scen_mean,len_scen_sd,len_scen_max,len_scen_median,len_crit_mean,len_crit_sd,len_crit_max,se_ability_mean,se_ability_sd,se_ability_max,se_ability_median,se_param_mean,se_param_sd,se_param_max,se_total_mean,se_total_sd,se_total_max,se_total_median,pct_precision,pct_plateau,pct_cap,pct_bank_exhausted
20,0.15,52,0.972,0.9218,0.2785,46.2,21.17,2.69,34.0,20.0,35.65,4.71,54.0,0.1682,0.0729,0.4426,0.1579,0.1146,0.046,0.258,0.2062,0.0796,0.4928,0.1876,46.2,53.8,0.0,0.0
20,0.18,52,0.972,0.9215,0.2794,75.0,20.62,1.6,28.0,20.0,34.83,3.4,43.0,0.169,0.0729,0.4426,0.1588,0.1146,0.046,0.258,0.2068,0.0796,0.4928,0.1871,75.0,25.0,0.0,0.0
20,0.2,52,0.972,0.9206,0.2781,84.6,20.19,0.6,23.0,20.0,34.08,3.29,40.0,0.17,0.0732,0.4426,0.1588,0.1146,0.046,0.258,0.2076,0.0798,0.4928,0.1871,84.6,15.4,0.0,0.0
20,0.22,52,0.9718,0.9202,0.28,88.5,20.12,0.51,23.0,20.0,33.96,3.21,40.0,0.1702,0.0733,0.4426,0.1588,0.1146,0.046,0.258,0.2079,0.0798,0.4928,0.1871,88.5,11.5,0.0,0.0
20,0.25,52,0.9718,0.9199,0.2806,92.3,20.1,0.5,23.0,20.0,33.94,3.2,40.0,0.1702,0.0732,0.4426,0.1588,0.1146,0.046,0.258,0.2078,0.0798,0.4928,0.1871,92.3,7.7,0.0,0.0
20,0.27,52,0.9718,0.9199,0.2806,92.3,20.1,0.5,23.0,20.0,33.94,3.2,40.0,0.1702,0.0732,0.4426,0.1588,0.1146,0.046,0.258,0.2078,0.0798,0.4928,0.1871,92.3,7.7,0.0,0.0
20,0.3,52,0.9718,0.9199,0.2806,92.3,20.1,0.5,23.0,20.0,33.94,3.2,40.0,0.1702,0.0732,0.4426,0.1588,0.1146,0.046,0.258,0.2078,0.0798,0.4928,0.1871,92.3,7.7,0.0,0.0
20,0.32,52,0.9718,0.9199,0.2806,94.2,20.1,0.5,23.0,20.0,33.94,3.2,40.0,0.1702,0.0732,0.4426,0.1588,0.1146,0.046,0.258,0.2078,0.0798,0.4928,0.1871,94.2,5.8,0.0,0.0
25,0.15,52,0.9724,0.9344,0.2666,48.1,25.73,1.82,34.0,25.0,43.25,3.92,54.0,0.1597,0.0741,0.4405,0.1525,0.1146,0.046,0.258,0.1996,0.08,0.4909,0.1844,48.1,51.9,0.0,0.0
25,0.18,52,0.9723,0.9348,0.2699,82.7,25.17,0.81,30.0,25.0,42.38,3.43,51.0,0.1606,0.0743,0.4405,0.1523,0.1146,0.046,0.258,0.2003,0.08,0.4909,0.1838,82.7,17.3,0.0,0.0
25,0.2,52,0.9725,0.9356,0.2683,88.5,25.0,0.0,25.0,25.0,42.08,3.23,50.0,0.161,0.0744,0.4405,0.1523,0.1146,0.046,0.258,0.2007,0.0803,0.4909,0.1838,88.5,11.5,0.0,0.0
25,0.22,52,0.9725,0.9356,0.2683,90.4,25.0,0.0,25.0,25.0,42.08,3.23,50.0,0.161,0.0744,0.4405,0.1523,0.1146,0.046,0.258,0.2007,0.0803,0.4909,0.1838,90.4,9.6,0.0,0.0
25,0.25,52,0.9725,0.9356,0.2683,90.4,25.0,0.0,25.0,25.0,42.08,3.23,50.0,0.161,0.0744,0.4405,0.1523,0.1146,0.046,0.258,0.2007,0.0803,0.4909,0.1838,90.4,9.6,0.0,0.0
25,0.27,52,0.9725,0.9356,0.2683,92.3,25.0,0.0,25.0,25.0,42.08,3.23,50.0,0.161,0.0744,0.4405,0.1523,0.1146,0.046,0.258,0.2007,0.0803,0.4909,0.1838,92.3,7.7,0.0,0.0
25,0.3,52,0.9725,0.9356,0.2683,94.2,25.0,0.0,25.0,25.0,42.08,3.23,50.0,0.161,0.0744,0.4405,0.1523,0.1146,0.046,0.258,0.2007,0.0803,0.4909,0.1838,94.2,5.8,0.0,0.0
25,0.32,52,0.9725,0.9356,0.2683,94.2,25.0,0.0,25.0,25.0,42.08,3.23,50.0,0.161,0.0744,0.4405,0.1523,0.1146,0.046,0.258,0.2007,0.0803,0.4909,0.1838,94.2,5.8,0.0,0.0
