population,floor,se_target,n_models,recovery_r,recovery_slope,theta_mae,pct_reach,len_scen_mean,len_scen_sd,len_scen_max,len_scen_median,len_crit_mean,len_crit_sd,len_crit_max,se_ability_mean,se_ability_sd,se_ability_max,se_ability_median,se_param_mean,se_param_sd,se_param_max,se_total_mean,se_total_sd,se_total_max,se_total_median,pct_precision,pct_plateau,pct_cap,pct_bank_exhausted
all52,15,0.22,52,0.9661,0.9156,0.3034,84.6,15.21,0.96,21.0,15.0,25.81,2.96,36.0,0.1897,0.0796,0.4971,0.1768,0.1146,0.046,0.258,0.2239,0.086,0.5423,0.2014,84.6,15.4,0.0,0.0
all52,15,0.25,52,0.9663,0.9158,0.3031,90.4,15.13,0.6,18.0,15.0,25.67,2.73,32.0,0.1899,0.0797,0.4971,0.1768,0.1146,0.046,0.258,0.2241,0.0861,0.5423,0.2014,90.4,9.6,0.0,0.0
all52,15,0.27,52,0.9663,0.9161,0.3025,92.3,15.06,0.42,18.0,15.0,25.52,2.69,32.0,0.191,0.0806,0.4971,0.1768,0.1146,0.046,0.258,0.225,0.0871,0.5423,0.2014,92.3,7.7,0.0,0.0
all52,15,0.3,52,0.9655,0.9127,0.3066,94.2,15.0,0.0,15.0,15.0,25.4,2.53,29.0,0.191,0.0804,0.4971,0.1768,0.1146,0.046,0.258,0.225,0.087,0.5423,0.2014,94.2,5.8,0.0,0.0
all52,15,0.32,52,0.9655,0.9127,0.3066,94.2,15.0,0.0,15.0,15.0,25.4,2.53,29.0,0.191,0.0804,0.4971,0.1768,0.1146,0.046,0.258,0.225,0.087,0.5423,0.2014,94.2,5.8,0.0,0.0
all52,20,0.15,52,0.972,0.9218,0.2785,46.2,21.17,2.69,34.0,20.0,35.65,4.71,54.0,0.1682,0.0729,0.4426,0.1579,0.1146,0.046,0.258,0.2062,0.0796,0.4928,0.1876,46.2,53.8,0.0,0.0
all52,20,0.18,52,0.972,0.9215,0.2794,75.0,20.62,1.6,28.0,20.0,34.83,3.4,43.0,0.169,0.0729,0.4426,0.1588,0.1146,0.046,0.258,0.2068,0.0796,0.4928,0.1871,75.0,25.0,0.0,0.0
all52,20,0.2,52,0.972,0.9206,0.2781,84.6,20.19,0.6,23.0,20.0,34.08,3.29,40.0,0.17,0.0732,0.4426,0.1588,0.1146,0.046,0.258,0.2076,0.0798,0.4928,0.1871,84.6,15.4,0.0,0.0
all52,20,0.22,52,0.9718,0.9202,0.28,88.5,20.12,0.51,23.0,20.0,33.96,3.21,40.0,0.1702,0.0733,0.4426,0.1588,0.1146,0.046,0.258,0.2079,0.0798,0.4928,0.1871,88.5,11.5,0.0,0.0
all52,20,0.25,52,0.9718,0.9199,0.2806,92.3,20.1,0.5,23.0,20.0,33.94,3.2,40.0,0.1702,0.0732,0.4426,0.1588,0.1146,0.046,0.258,0.2078,0.0798,0.4928,0.1871,92.3,7.7,0.0,0.0
all52,20,0.27,52,0.9718,0.9199,0.2806,92.3,20.1,0.5,23.0,20.0,33.94,3.2,40.0,0.1702,0.0732,0.4426,0.1588,0.1146,0.046,0.258,0.2078,0.0798,0.4928,0.1871,92.3,7.7,0.0,0.0
all52,20,0.3,52,0.9718,0.9199,0.2806,92.3,20.1,0.5,23.0,20.0,33.94,3.2,40.0,0.1702,0.0732,0.4426,0.1588,0.1146,0.046,0.258,0.2078,0.0798,0.4928,0.1871,92.3,7.7,0.0,0.0
all52,20,0.32,52,0.9718,0.9199,0.2806,94.2,20.1,0.5,23.0,20.0,33.94,3.2,40.0,0.1702,0.0732,0.4426,0.1588,0.1146,0.046,0.258,0.2078,0.0798,0.4928,0.1871,94.2,5.8,0.0,0.0
all52,25,0.15,52,0.9724,0.9344,0.2666,48.1,25.73,1.82,34.0,25.0,43.25,3.92,54.0,0.1597,0.0741,0.4405,0.1525,0.1146,0.046,0.258,0.1996,0.08,0.4909,0.1844,48.1,51.9,0.0,0.0
all52,25,0.18,52,0.9723,0.9348,0.2699,82.7,25.17,0.81,30.0,25.0,42.38,3.43,51.0,0.1606,0.0743,0.4405,0.1523,0.1146,0.046,0.258,0.2003,0.08,0.4909,0.1838,82.7,17.3,0.0,0.0
all52,25,0.2,52,0.9725,0.9356,0.2683,88.5,25.0,0.0,25.0,25.0,42.08,3.23,50.0,0.161,0.0744,0.4405,0.1523,0.1146,0.046,0.258,0.2007,0.0803,0.4909,0.1838,88.5,11.5,0.0,0.0
all52,25,0.22,52,0.9725,0.9356,0.2683,90.4,25.0,0.0,25.0,25.0,42.08,3.23,50.0,0.161,0.0744,0.4405,0.1523,0.1146,0.046,0.258,0.2007,0.0803,0.4909,0.1838,90.4,9.6,0.0,0.0
all52,25,0.25,52,0.9725,0.9356,0.2683,90.4,25.0,0.0,25.0,25.0,42.08,3.23,50.0,0.161,0.0744,0.4405,0.1523,0.1146,0.046,0.258,0.2007,0.0803,0.4909,0.1838,90.4,9.6,0.0,0.0
all52,25,0.27,52,0.9725,0.9356,0.2683,92.3,25.0,0.0,25.0,25.0,42.08,3.23,50.0,0.161,0.0744,0.4405,0.1523,0.1146,0.046,0.258,0.2007,0.0803,0.4909,0.1838,92.3,7.7,0.0,0.0
all52,25,0.3,52,0.9725,0.9356,0.2683,94.2,25.0,0.0,25.0,25.0,42.08,3.23,50.0,0.161,0.0744,0.4405,0.1523,0.1146,0.046,0.258,0.2007,0.0803,0.4909,0.1838,94.2,5.8,0.0,0.0
all52,25,0.32,52,0.9725,0.9356,0.2683,94.2,25.0,0.0,25.0,25.0,42.08,3.23,50.0,0.161,0.0744,0.4405,0.1523,0.1146,0.046,0.258,0.2007,0.0803,0.4909,0.1838,94.2,5.8,0.0,0.0
excl_weak,10,0.15,49,0.9585,0.8917,0.2859,40.8,15.98,5.78,34.0,15.0,26.73,9.69,54.0,0.1783,0.0568,0.4127,0.1605,0.109,0.041,0.258,0.2111,0.0634,0.4428,0.1914,40.8,59.2,0.0,0.0
excl_weak,10,0.18,49,0.9515,0.8887,0.3038,71.4,13.71,4.79,28.0,11.0,23.16,8.17,43.0,0.1851,0.0544,0.4127,0.1738,0.109,0.041,0.258,0.217,0.0607,0.4428,0.1966,71.4,28.6,0.0,0.0
excl_weak,10,0.2,49,0.9512,0.8766,0.3092,81.6,12.39,3.1,22.0,11.0,20.86,5.5,38.0,0.1918,0.0537,0.4127,0.1903,0.109,0.041,0.258,0.2228,0.0596,0.4428,0.2077,81.6,18.4,0.0,0.0
excl_weak,10,0.22,49,0.9514,0.8668,0.3083,89.8,11.27,1.89,17.0,10.0,18.96,3.65,29.0,0.1983,0.0549,0.4127,0.1951,0.109,0.041,0.258,0.2286,0.0599,0.4428,0.2249,89.8,10.2,0.0,0.0
excl_weak,10,0.25,49,0.9519,0.8658,0.3077,93.9,10.63,1.51,16.0,10.0,17.82,2.93,28.0,0.2055,0.0569,0.4127,0.2069,0.109,0.041,0.258,0.2349,0.0616,0.4428,0.2294,93.9,6.1,0.0,0.0
excl_weak,10,0.27,49,0.9459,0.8685,0.3247,93.9,10.39,1.1,15.0,10.0,17.41,2.34,23.0,0.21,0.0595,0.4127,0.2074,0.109,0.041,0.258,0.239,0.0639,0.4428,0.2332,93.9,6.1,0.0,0.0
excl_weak,10,0.3,49,0.9455,0.8696,0.3248,93.9,10.29,0.89,14.0,10.0,17.18,2.13,22.0,0.2134,0.0622,0.4127,0.2119,0.109,0.041,0.258,0.242,0.0662,0.4428,0.2332,93.9,6.1,0.0,0.0
excl_weak,10,0.32,49,0.9454,0.8667,0.3279,95.9,10.22,0.8,14.0,10.0,17.1,2.05,22.0,0.2133,0.062,0.4127,0.2119,0.109,0.041,0.258,0.2419,0.066,0.4428,0.2332,95.9,4.1,0.0,0.0
excl_weak,12,0.15,49,0.9545,0.8725,0.2879,40.8,16.57,5.24,34.0,15.0,27.73,8.81,54.0,0.1727,0.0493,0.3838,0.1605,0.109,0.041,0.258,0.2062,0.0573,0.4166,0.1914,40.8,59.2,0.0,0.0
excl_weak,12,0.18,49,0.9495,0.8741,0.299,71.4,14.76,4.07,28.0,13.0,24.88,6.98,43.0,0.1768,0.0482,0.3838,0.1703,0.109,0.041,0.258,0.2098,0.0558,0.4166,0.1933,71.4,28.6,0.0,0.0
excl_weak,12,0.2,49,0.9495,0.8661,0.3037,81.6,13.49,2.37,22.0,12.0,22.71,4.39,38.0,0.1825,0.0486,0.3838,0.1857,0.109,0.041,0.258,0.2148,0.0554,0.4166,0.2063,81.6,18.4,0.0,0.0
excl_weak,12,0.22,49,0.9501,0.8585,0.3016,89.8,12.61,1.19,17.0,12.0,21.2,2.8,29.0,0.1871,0.0504,0.3838,0.1857,0.109,0.041,0.258,0.2188,0.0563,0.4166,0.2124,89.8,10.2,0.0,0.0
excl_weak,12,0.25,49,0.9522,0.8555,0.2974,93.9,12.33,0.9,16.0,12.0,20.65,2.31,28.0,0.1909,0.0522,0.3838,0.1882,0.109,0.041,0.258,0.2221,0.0581,0.4166,0.2141,93.9,6.1,0.0,0.0
excl_weak,12,0.27,49,0.9498,0.852,0.3076,95.9,12.14,0.54,15.0,12.0,20.35,1.97,24.0,0.1934,0.0543,0.3838,0.1882,0.109,0.041,0.258,0.2243,0.0598,0.4166,0.2141,95.9,4.1,0.0,0.0
excl_weak,12,0.3,49,0.9496,0.8535,0.3072,95.9,12.08,0.34,14.0,12.0,20.22,1.96,24.0,0.196,0.0573,0.3838,0.1882,0.109,0.041,0.258,0.2266,0.0623,0.4166,0.2141,95.9,4.1,0.0,0.0
excl_weak,12,0.32,49,0.9497,0.852,0.3087,98.0,12.06,0.32,14.0,12.0,20.18,1.97,24.0,0.196,0.0572,0.3838,0.1882,0.109,0.041,0.258,0.2266,0.0622,0.4166,0.2141,98.0,2.0,0.0,0.0
excl_weak,15,0.15,49,0.9561,0.8887,0.2865,40.8,18.12,4.28,34.0,17.0,30.43,7.1,54.0,0.1641,0.0415,0.2977,0.1588,0.109,0.041,0.258,0.1989,0.0512,0.3526,0.1892,40.8,59.2,0.0,0.0
excl_weak,15,0.18,49,0.9533,0.8893,0.2925,73.5,16.82,3.11,28.0,15.0,28.53,5.35,43.0,0.1669,0.0414,0.2977,0.1703,0.109,0.041,0.258,0.2013,0.0507,0.3526,0.1933,73.5,26.5,0.0,0.0
excl_weak,15,0.2,49,0.9531,0.8802,0.2966,85.7,15.73,1.62,22.0,15.0,26.73,3.52,38.0,0.1708,0.0429,0.2977,0.173,0.109,0.041,0.258,0.2047,0.0513,0.3526,0.2009,85.7,14.3,0.0,0.0
excl_weak,15,0.22,49,0.954,0.8787,0.2926,89.8,15.22,0.98,21.0,15.0,25.88,3.03,36.0,0.1734,0.0449,0.2977,0.173,0.109,0.041,0.258,0.207,0.0526,0.3526,0.2009,89.8,10.2,0.0,0.0
excl_weak,15,0.25,49,0.9543,0.879,0.2923,95.9,15.14,0.61,18.0,15.0,25.73,2.79,32.0,0.1737,0.0452,0.2977,0.173,0.109,0.041,0.258,0.2072,0.0528,0.3526,0.2009,95.9,4.1,0.0,0.0
excl_weak,15,0.27,49,0.9543,0.8795,0.2917,98.0,15.06,0.43,18.0,15.0,25.57,2.75,32.0,0.1749,0.0472,0.2977,0.173,0.109,0.041,0.258,0.2082,0.0548,0.3526,0.2009,98.0,2.0,0.0,0.0
excl_weak,15,0.3,49,0.9531,0.8736,0.2961,100.0,15.0,0.0,15.0,15.0,25.45,2.59,29.0,0.1748,0.047,0.2935,0.173,0.109,0.041,0.258,0.2082,0.0546,0.3526,0.2009,100.0,0.0,0.0,0.0
excl_weak,15,0.32,49,0.9531,0.8736,0.2961,100.0,15.0,0.0,15.0,15.0,25.45,2.59,29.0,0.1748,0.047,0.2935,0.173,0.109,0.041,0.258,0.2082,0.0546,0.3526,0.2009,100.0,0.0,0.0,0.0
excl_weak,20,0.15,49,0.9623,0.8951,0.261,49.0,21.14,2.75,34.0,20.0,35.73,4.76,54.0,0.154,0.0433,0.3061,0.1526,0.109,0.041,0.258,0.1911,0.0509,0.3463,0.1865,49.0,51.0,0.0,0.0
excl_weak,20,0.18,49,0.9622,0.8943,0.2619,79.6,20.55,1.6,28.0,20.0,34.86,3.38,43.0,0.1548,0.0436,0.3061,0.1526,0.109,0.041,0.258,0.1918,0.0511,0.3463,0.1864,79.6,20.4,0.0,0.0
excl_weak,20,0.2,49,0.9623,0.8924,0.2606,89.8,20.1,0.37,22.0,20.0,34.06,3.26,40.0,0.1559,0.0444,0.3061,0.1526,0.109,0.041,0.258,0.1927,0.0516,0.3463,0.1864,89.8,10.2,0.0,0.0
excl_weak,20,0.22,49,0.962,0.8917,0.2625,93.9,20.02,0.14,21.0,20.0,33.94,3.17,40.0,0.1561,0.0447,0.3061,0.1526,0.109,0.041,0.258,0.1929,0.0517,0.3463,0.1864,93.9,6.1,0.0,0.0
excl_weak,20,0.25,49,0.962,0.8911,0.2633,98.0,20.0,0.0,20.0,20.0,33.92,3.16,40.0,0.1561,0.0446,0.3061,0.1526,0.109,0.041,0.258,0.1929,0.0516,0.3463,0.1864,98.0,2.0,0.0,0.0
excl_weak,20,0.27,49,0.962,0.8911,0.2633,98.0,20.0,0.0,20.0,20.0,33.92,3.16,40.0,0.1561,0.0446,0.3061,0.1526,0.109,0.041,0.258,0.1929,0.0516,0.3463,0.1864,98.0,2.0,0.0,0.0
excl_weak,20,0.3,49,0.962,0.8911,0.2633,98.0,20.0,0.0,20.0,20.0,33.92,3.16,40.0,0.1561,0.0446,0.3061,0.1526,0.109,0.041,0.258,0.1929,0.0516,0.3463,0.1864,98.0,2.0,0.0,0.0
excl_weak,20,0.32,49,0.962,0.8911,0.2633,100.0,20.0,0.0,20.0,20.0,33.92,3.16,40.0,0.1561,0.0446,0.3061,0.1526,0.109,0.041,0.258,0.1929,0.0516,0.3463,0.1864,100.0,0.0,0.0,0.0
excl_weak,25,0.15,49,0.9657,0.8971,0.2455,51.0,25.78,1.86,34.0,25.0,43.49,3.82,54.0,0.1449,0.0423,0.287,0.1446,0.109,0.041,0.258,0.1841,0.0492,0.3296,0.1802,51.0,49.0,0.0,0.0
excl_weak,25,0.18,49,0.9654,0.8979,0.2489,87.8,25.18,0.83,30.0,25.0,42.57,3.35,51.0,0.1458,0.0429,0.287,0.1446,0.109,0.041,0.258,0.1849,0.0496,0.3296,0.1802,87.8,12.2,0.0,0.0
excl_weak,25,0.2,49,0.9658,0.8993,0.2473,93.9,25.0,0.0,25.0,25.0,42.24,3.15,50.0,0.1464,0.0434,0.287,0.1446,0.109,0.041,0.258,0.1853,0.0501,0.3296,0.1802,93.9,6.1,0.0,0.0
excl_weak,25,0.22,49,0.9658,0.8993,0.2473,95.9,25.0,0.0,25.0,25.0,42.24,3.15,50.0,0.1464,0.0434,0.287,0.1446,0.109,0.041,0.258,0.1853,0.0501,0.3296,0.1802,95.9,4.1,0.0,0.0
excl_weak,25,0.25,49,0.9658,0.8993,0.2473,95.9,25.0,0.0,25.0,25.0,42.24,3.15,50.0,0.1464,0.0434,0.287,0.1446,0.109,0.041,0.258,0.1853,0.0501,0.3296,0.1802,95.9,4.1,0.0,0.0
excl_weak,25,0.27,49,0.9658,0.8993,0.2473,98.0,25.0,0.0,25.0,25.0,42.24,3.15,50.0,0.1464,0.0434,0.287,0.1446,0.109,0.041,0.258,0.1853,0.0501,0.3296,0.1802,98.0,2.0,0.0,0.0
excl_weak,25,0.3,49,0.9658,0.8993,0.2473,100.0,25.0,0.0,25.0,25.0,42.24,3.15,50.0,0.1464,0.0434,0.287,0.1446,0.109,0.041,0.258,0.1853,0.0501,0.3296,0.1802,100.0,0.0,0.0,0.0
excl_weak,25,0.32,49,0.9658,0.8993,0.2473,100.0,25.0,0.0,25.0,25.0,42.24,3.15,50.0,0.1464,0.0434,0.287,0.1446,0.109,0.041,0.258,0.1853,0.0501,0.3296,0.1802,100.0,0.0,0.0,0.0
