model,floor,se_target,n_scenarios,n_criteria,stop_reason,sd,se_param,se_total,theta_ref,theta_mwle,reach,weak
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,10,0.18,10,17,plateau,0.4378527907811809,0.2032,0.48270623198262996,-4.202602674527077,-4.176762648952183,False,True
BEE-spoke-data/smol_llama-220M-openhermes,10,0.18,10,15,plateau,0.4127124450540235,0.1603,0.44275010141441,-3.8666100312702625,-3.252554228446465,False,False
BSC-LT/salamandra-2b,10,0.18,10,20,plateau,0.23233758208753144,0.1409,0.2717233189299005,-1.8238093175283205,-1.4810933401234974,False,False
BSC-LT/salamandra-2b-instruct,10,0.18,18,34,precision,0.1712230445657108,0.0821,0.18988875951554213,-1.2565934044275302,-1.006147408697264,True,False
BSC-LT/salamandra-7b,10,0.18,20,38,precision,0.17384682754834302,0.1704,0.2434314676631255,-0.7178730054518736,-1.2868650293355393,True,False
BSC-LT/salamandra-7b-instruct,10,0.18,10,17,precision,0.1480990467158144,0.1069,0.18264976769252397,0.20276356752274996,0.140150210246995,True,False
HuggingFaceTB/SmolLM2-360M,10,0.18,13,21,plateau,0.3118887738096267,0.2173,0.3801235289066865,-1.677996810911666,-1.6490202127499898,False,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,10,0.18,10,16,precision,0.16447896398381384,0.1653,0.2331896644218794,1.9970250013743478,1.491368346113415,True,False
OpenBMB/MiniCPM4-0.5B,10,0.18,18,28,precision,0.17765561949849124,0.0556,0.18615283811801717,-0.3327150757252768,-0.26894186067476405,True,False
Qwen/Qwen1.5-1.8B,10,0.18,11,17,plateau,0.2147078351846657,0.0733,0.226875173806403,-0.7868242845499819,-0.3632431029739644,False,False
Qwen/Qwen1.5-1.8B-Chat,10,0.18,11,21,precision,0.1783435442993242,0.0702,0.19166235883251834,-0.5489629043353035,-0.25728898603471057,True,False
Qwen/Qwen2-0.5B,10,0.18,10,20,precision,0.16989787099854037,0.121,0.20858160649931878,-1.468486165842045,-1.1609933225679485,True,False
Qwen/Qwen2.5-0.5B-Instruct,10,0.18,13,23,precision,0.17433311513463226,0.0908,0.19656214038452305,-0.5408412326480648,-1.0039131329500528,True,False
ai-forever/mGPT,10,0.18,13,21,plateau,0.4262233141899062,0.2004,0.4709845788972581,-4.00741791060614,-3.93551032999751,False,True
allenai/OLMo-1B-hf,10,0.18,14,25,plateau,0.49863726979323464,0.2166,0.5436494153651331,-4.150151379475481,-3.2044094931851923,False,True
allenai/OLMo-2-0425-1B,10,0.18,25,43,plateau,0.1967133422383402,0.1027,0.22190860509357982,-1.2492707921491486,-1.4611831848509231,False,False
allenai/OLMo-2-0425-1B-DPO,10,0.18,10,15,precision,0.17354007672608038,0.097,0.19880935146540232,0.22514974929546167,0.15707713058319064,True,False
allenai/OLMo-2-0425-1B-Instruct,10,0.18,16,28,precision,0.16372975241727128,0.0877,0.18573831545112318,0.3930375262194632,-0.045023442129847234,True,False
arcee-ai/raspberry-3B,10,0.18,10,16,precision,0.157176933247383,0.072,0.17288316385655453,1.199927822212961,1.2301680015272312,True,False
google/gemma-2-2b,10,0.18,24,37,precision,0.17927563139360586,0.1087,0.2096555317934064,-0.9088481085135922,-1.2683656224764042,True,False
google/gemma-2b,10,0.18,10,16,precision,0.17241045969321359,0.0985,0.19856388546668105,-0.8635749181415346,-0.16142412854598145,True,False
h2oai/h2o-danube-1.8b-chat,10,0.18,17,32,plateau,0.21850121346805162,0.1154,0.24710309647394357,-1.2848590663580741,-0.7679456607503973,False,False
h2oai/h2o-danube2-1.8b-base,10,0.18,13,25,precision,0.15937473983448133,0.09,0.1830308927402929,-1.2915971851830361,-1.1421370126710964,True,False
h2oai/h2o-danube2-1.8b-chat,10,0.18,19,29,plateau,0.18478563252786082,0.123,0.2219791206143533,-0.6060817704002986,-0.5545464389656631,False,False
ibm-granite/granite-3.0-2b-base,10,0.18,10,13,precision,0.14001307914097172,0.1009,0.17258178446909167,0.7678652965857196,1.3585782476213182,True,False
ibm-granite/granite-3.1-2b-base,10,0.18,10,17,precision,0.15596074959337577,0.0698,0.17086777172342263,0.7953531106038908,1.2245158154764164,True,False
ibm-granite/granite-3.1-2b-instruct,10,0.18,10,17,precision,0.12848424451050452,0.1245,0.1789090581480857,1.6000011880278608,1.3929196471548397,True,False
ibm-granite/granite-7b-instruct,10,0.18,10,15,precision,0.15291133688835132,0.0653,0.16627076396343066,0.265993916053506,0.04832049228969953,True,False
ibm/PowerLM-3b,10,0.18,10,16,precision,0.17130950465685868,0.0665,0.1837639692262286,0.20576469420020596,0.6248919852955993,True,False
meta-llama/Llama-3.2-1B,10,0.18,15,28,precision,0.17791165509785084,0.0757,0.19334696020278322,-1.4441995122196885,-1.1072365347568704,True,False
meta-llama/Llama-3.2-1B-Instruct,10,0.18,13,21,precision,0.17365658881918464,0.0639,0.18504005198960402,-0.0005778848317209413,-0.29913034010368716,True,False
meta-llama/Llama-3.2-3B-Instruct,10,0.18,11,17,precision,0.17903388781402324,0.0782,0.1953672771622829,1.3766122651320336,0.7489381796999962,True,False
microsoft/phi-1_5,10,0.18,25,38,precision,0.17891319312268636,0.0732,0.1933084857768941,-0.7685518470793657,-0.8675004668654464,True,False
nvidia/AceInstruct-1.5B,10,0.18,10,17,precision,0.1319233941656383,0.0818,0.15522571284481954,1.2333949625978662,0.9702040950971145,True,False
openbmb/MiniCPM-1B-sft-bf16,10,0.18,12,20,plateau,0.383827432091027,0.1619,0.4165754525000146,-2.2676964735636975,-1.9329143746287438,False,False
openbmb/MiniCPM-2B-sft-bf16,10,0.18,12,21,plateau,0.24041996161708376,0.0901,0.25674845266127705,-0.6237288600396811,-0.6937632043380965,False,False
openlm-research/open_llama_3b,10,0.18,18,27,plateau,0.20193222262148938,0.1305,0.24043059816266052,-1.6359628021783263,-1.8740038873983564,False,False
pankajmathur/orca_mini_3b,10,0.18,18,34,precision,0.17665814867861537,0.1209,0.21406753956299815,-1.198738742721586,-1.2281041294250967,True,False
pankajmathur/orca_mini_v9_5_3B-Instruct,10,0.18,10,19,precision,0.1748299738817092,0.0868,0.19519159758421753,1.0016997616475993,0.7888784524665721,True,False
stabilityai/stablelm-2-1_6b-chat,10,0.18,10,19,precision,0.14620516551126178,0.1456,0.20633785503919405,0.012220790706554813,0.025694668208738884,True,False
stabilityai/stablelm-2-zephyr-1_6b,10,0.18,10,15,plateau,0.19026264013762792,0.139,0.23562867446926003,-0.3913135101431359,-0.003261155882958422,False,False
stabilityai/stablelm-zephyr-3b,10,0.18,15,22,precision,0.1531284078836251,0.1472,0.21240562445701353,0.21566537807224986,1.2896790297700478,True,False
tiiuae/Falcon3-1B-Instruct,10,0.18,10,15,precision,0.16559696628618542,0.0725,0.1807722468831652,0.8139648836928877,0.8357845606849917,True,False
tiiuae/Falcon3-3B-Base,10,0.18,10,16,precision,0.13690463966366073,0.074,0.15562416380959862,1.399999623842926,0.9967591444738448,True,False
tiiuae/Falcon3-3B-Instruct,10,0.18,13,21,plateau,0.21720413088640408,0.258,0.33725603697208767,2.1999641221002983,2.1160141580335265,False,False
utter-project/EuroLLM-1.7B,10,0.18,28,43,precision,0.17708327050729913,0.1421,0.22704822107552677,-1.7002049889999085,-1.3599914060073361,True,False
utter-project/EuroLLM-1.7B-Instruct,10,0.18,17,33,precision,0.1703168820551464,0.0762,0.1865858523923683,-1.00138143224113,-0.9415638479791469,True,False
01-ai/Yi-1.5-6B,10,0.2,10,17,precision,0.1486287351935064,0.0896,0.17354728728856997,0.19678506140948468,0.0896639679656058,True,False
01-ai/Yi-1.5-6B-Chat,10,0.2,10,20,precision,0.1313564694851544,0.0874,0.15777605038662965,1.4000020772311779,0.9798559810826892,True,False
01-ai/Yi-6B,10,0.2,14,27,precision,0.1992049905254558,0.138,0.24233577583643512,-0.9452756389524437,-1.2279949334670823,True,False
01-ai/Yi-6B-200K,10,0.2,14,25,precision,0.19053124150235734,0.1297,0.23048697140712665,-1.0187709304409684,-1.322052269576872,True,False
01-ai/Yi-6B-Chat,10,0.2,10,17,precision,0.19505348170635417,0.1017,0.21997443198192612,0.3980048604872047,0.7973843711146454,True,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,10,0.2,10,17,plateau,0.4378527907811809,0.2032,0.48270623198262996,-4.202602674527077,-4.176762648952183,False,True
BEE-spoke-data/smol_llama-220M-openhermes,10,0.2,10,15,plateau,0.4127124450540235,0.1603,0.44275010141441,-3.8666100312702625,-3.252554228446465,False,False
BSC-LT/salamandra-2b,10,0.2,10,20,plateau,0.23233758208753144,0.1409,0.2717233189299005,-1.8238093175283205,-1.4810933401234974,False,False
BSC-LT/salamandra-2b-instruct,10,0.2,16,30,precision,0.19079917246803604,0.0821,0.207713105543409,-1.2565934044275302,-0.8584686300689005,True,False
BSC-LT/salamandra-7b,10,0.2,17,32,precision,0.1918645110418544,0.1704,0.25660894488955344,-0.7178730054518736,-1.1680827672824547,True,False
BSC-LT/salamandra-7b-instruct,10,0.2,10,17,precision,0.1480990467158144,0.1069,0.18264976769252397,0.20276356752274996,0.140150210246995,True,False
HuggingFaceTB/SmolLM2-360M,10,0.2,13,21,plateau,0.3118887738096267,0.2173,0.3801235289066865,-1.677996810911666,-1.6490202127499898,False,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,10,0.2,10,16,precision,0.16447896398381384,0.1653,0.2331896644218794,1.9970250013743478,1.491368346113415,True,False
OpenBMB/MiniCPM4-0.5B,10,0.2,14,23,precision,0.19372794214132266,0.0556,0.20154869279236634,-0.3327150757252768,-0.30968766853614055,True,False
Qwen/Qwen1.5-1.8B,10,0.2,11,17,plateau,0.2147078351846657,0.0733,0.226875173806403,-0.7868242845499819,-0.3632431029739644,False,False
Qwen/Qwen1.5-1.8B-Chat,10,0.2,10,19,precision,0.1905258623433463,0.0702,0.20304714778020339,-0.5489629043353035,-0.27336573782426177,True,False
Qwen/Qwen2-0.5B,10,0.2,10,20,precision,0.16989787099854037,0.121,0.20858160649931878,-1.468486165842045,-1.1609933225679485,True,False
Qwen/Qwen2.5-0.5B-Instruct,10,0.2,12,21,precision,0.18105570583284455,0.0908,0.20254828711847833,-0.5408412326480648,-0.9780338870256013,True,False
ai-forever/mGPT,10,0.2,13,21,plateau,0.4262233141899062,0.2004,0.4709845788972581,-4.00741791060614,-3.93551032999751,False,True
allenai/OLMo-1B-hf,10,0.2,14,25,plateau,0.49863726979323464,0.2166,0.5436494153651331,-4.150151379475481,-3.2044094931851923,False,True
allenai/OLMo-2-0425-1B,10,0.2,22,38,precision,0.19590544934784582,0.1027,0.22119275549660614,-1.2492707921491486,-1.3700615113270909,True,False
allenai/OLMo-2-0425-1B-DPO,10,0.2,10,15,precision,0.17354007672608038,0.097,0.19880935146540232,0.22514974929546167,0.15707713058319064,True,False
allenai/OLMo-2-0425-1B-Instruct,10,0.2,13,24,precision,0.18673742429096699,0.0877,0.2063059757516118,0.3930375262194632,-0.17224841484345058,True,False
arcee-ai/raspberry-3B,10,0.2,10,16,precision,0.157176933247383,0.072,0.17288316385655453,1.199927822212961,1.2301680015272312,True,False
google/gemma-2-2b,10,0.2,17,24,precision,0.1993993771476703,0.1087,0.2271030638430025,-0.9088481085135922,-1.2656230199108394,True,False
google/gemma-2b,10,0.2,10,16,precision,0.17241045969321359,0.0985,0.19856388546668105,-0.8635749181415346,-0.16142412854598145,True,False
h2oai/h2o-danube-1.8b-chat,10,0.2,17,32,plateau,0.21850121346805162,0.1154,0.24710309647394357,-1.2848590663580741,-0.7679456607503973,False,False
h2oai/h2o-danube2-1.8b-base,10,0.2,11,20,precision,0.19726680965452337,0.09,0.21682756787658242,-1.2915971851830361,-1.0259287532455559,True,False
h2oai/h2o-danube2-1.8b-chat,10,0.2,14,23,precision,0.19546388355058222,0.123,0.23094399704836577,-0.6060817704002986,-0.5101257161913441,True,False
ibm-granite/granite-3.0-2b-base,10,0.2,10,13,precision,0.14001307914097172,0.1009,0.17258178446909167,0.7678652965857196,1.3585782476213182,True,False
ibm-granite/granite-3.1-2b-base,10,0.2,10,17,precision,0.15596074959337577,0.0698,0.17086777172342263,0.7953531106038908,1.2245158154764164,True,False
ibm-granite/granite-3.1-2b-instruct,10,0.2,10,17,precision,0.12848424451050452,0.1245,0.1789090581480857,1.6000011880278608,1.3929196471548397,True,False
ibm-granite/granite-7b-instruct,10,0.2,10,15,precision,0.15291133688835132,0.0653,0.16627076396343066,0.265993916053506,0.04832049228969953,True,False
ibm/PowerLM-3b,10,0.2,10,16,precision,0.17130950465685868,0.0665,0.1837639692262286,0.20576469420020596,0.6248919852955993,True,False
meta-llama/Llama-3.2-1B,10,0.2,12,22,precision,0.19091014848937335,0.0757,0.20537082265072265,-1.4441995122196885,-1.1277153353966152,True,False
meta-llama/Llama-3.2-1B-Instruct,10,0.2,12,19,precision,0.18818110743519229,0.0639,0.19873434327145215,-0.0005778848317209413,-0.344027525010222,True,False
meta-llama/Llama-3.2-3B-Instruct,10,0.2,10,15,precision,0.18182827797155782,0.0782,0.1979312069131649,1.3766122651320336,0.7022213114479138,True,False
microsoft/phi-1_5,10,0.2,19,27,precision,0.19961405579327582,0.0732,0.21261234975946489,-0.7685518470793657,-0.9234448671685187,True,False
nvidia/AceInstruct-1.5B,10,0.2,10,17,precision,0.1319233941656383,0.0818,0.15522571284481954,1.2333949625978662,0.9702040950971145,True,False
openbmb/MiniCPM-1B-sft-bf16,10,0.2,12,20,plateau,0.383827432091027,0.1619,0.4165754525000146,-2.2676964735636975,-1.9329143746287438,False,False
openbmb/MiniCPM-2B-sft-bf16,10,0.2,12,21,plateau,0.24041996161708376,0.0901,0.25674845266127705,-0.6237288600396811,-0.6937632043380965,False,False
openlm-research/open_llama_3b,10,0.2,18,27,plateau,0.20193222262148938,0.1305,0.24043059816266052,-1.6359628021783263,-1.8740038873983564,False,False
pankajmathur/orca_mini_3b,10,0.2,15,28,precision,0.18969373047427385,0.1209,0.2249455964922329,-1.198738742721586,-1.195650834648668,True,False
pankajmathur/orca_mini_v9_5_3B-Instruct,10,0.2,10,19,precision,0.1748299738817092,0.0868,0.19519159758421753,1.0016997616475993,0.7888784524665721,True,False
stabilityai/stablelm-2-1_6b-chat,10,0.2,10,19,precision,0.14620516551126178,0.1456,0.20633785503919405,0.012220790706554813,0.025694668208738884,True,False
stabilityai/stablelm-2-zephyr-1_6b,10,0.2,10,15,precision,0.19026264013762792,0.139,0.23562867446926003,-0.3913135101431359,-0.003261155882958422,True,False
stabilityai/stablelm-zephyr-3b,10,0.2,15,22,precision,0.1531284078836251,0.1472,0.21240562445701353,0.21566537807224986,1.2896790297700478,True,False
tiiuae/Falcon3-1B-Instruct,10,0.2,10,15,precision,0.16559696628618542,0.0725,0.1807722468831652,0.8139648836928877,0.8357845606849917,True,False
tiiuae/Falcon3-3B-Base,10,0.2,10,16,precision,0.13690463966366073,0.074,0.15562416380959862,1.399999623842926,0.9967591444738448,True,False
tiiuae/Falcon3-3B-Instruct,10,0.2,13,21,plateau,0.21720413088640408,0.258,0.33725603697208767,2.1999641221002983,2.1160141580335265,False,False
utter-project/EuroLLM-1.7B,10,0.2,19,27,precision,0.19910897854569973,0.1421,0.24461560730564988,-1.7002049889999085,-1.2972337778636431,True,False
utter-project/EuroLLM-1.7B-Instruct,10,0.2,15,29,precision,0.19265681746043736,0.0762,0.2071788824035507,-1.00138143224113,-0.8171910697344348,True,False
01-ai/Yi-1.5-6B,10,0.22,10,17,precision,0.1486287351935064,0.0896,0.17354728728856997,0.19678506140948468,0.0896639679656058,True,False
01-ai/Yi-1.5-6B-Chat,10,0.22,10,20,precision,0.1313564694851544,0.0874,0.15777605038662965,1.4000020772311779,0.9798559810826892,True,False
01-ai/Yi-6B,10,0.22,11,21,precision,0.21299739968080642,0.138,0.2537949807832795,-0.9452756389524437,-1.2398324210684735,True,False
01-ai/Yi-6B-200K,10,0.22,11,19,precision,0.21917991558054717,0.1297,0.25468004514271586,-1.0187709304409684,-1.2472547309172253,True,False
01-ai/Yi-6B-Chat,10,0.22,10,17,precision,0.19505348170635417,0.1017,0.21997443198192612,0.3980048604872047,0.7973843711146454,True,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,10,0.22,10,17,plateau,0.4378527907811809,0.2032,0.48270623198262996,-4.202602674527077,-4.176762648952183,False,True
BEE-spoke-data/smol_llama-220M-openhermes,10,0.22,10,15,plateau,0.4127124450540235,0.1603,0.44275010141441,-3.8666100312702625,-3.252554228446465,False,False
BSC-LT/salamandra-2b,10,0.22,10,20,plateau,0.23233758208753144,0.1409,0.2717233189299005,-1.8238093175283205,-1.4810933401234974,False,False
BSC-LT/salamandra-2b-instruct,10,0.22,14,24,precision,0.2163662435659675,0.0821,0.23141901683925542,-1.2565934044275302,-0.7902892065797578,True,False
BSC-LT/salamandra-7b,10,0.22,14,24,precision,0.21691038488105366,0.1704,0.2758374069433782,-0.7178730054518736,-0.8322234935054639,True,False
BSC-LT/salamandra-7b-instruct,10,0.22,10,17,precision,0.1480990467158144,0.1069,0.18264976769252397,0.20276356752274996,0.140150210246995,True,False
HuggingFaceTB/SmolLM2-360M,10,0.22,13,21,plateau,0.3118887738096267,0.2173,0.3801235289066865,-1.677996810911666,-1.6490202127499898,False,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,10,0.22,10,16,precision,0.16447896398381384,0.1653,0.2331896644218794,1.9970250013743478,1.491368346113415,True,False
OpenBMB/MiniCPM4-0.5B,10,0.22,11,18,precision,0.21938159963261183,0.0556,0.2263175783216222,-0.3327150757252768,-0.3916980128559939,True,False
Qwen/Qwen1.5-1.8B,10,0.22,10,15,precision,0.21633043292088505,0.0733,0.22841135306227128,-0.7868242845499819,-0.33110265845852677,True,False
Qwen/Qwen1.5-1.8B-Chat,10,0.22,10,19,precision,0.1905258623433463,0.0702,0.20304714778020339,-0.5489629043353035,-0.27336573782426177,True,False
Qwen/Qwen2-0.5B,10,0.22,10,20,precision,0.16989787099854037,0.121,0.20858160649931878,-1.468486165842045,-1.1609933225679485,True,False
Qwen/Qwen2.5-0.5B-Instruct,10,0.22,12,21,precision,0.18105570583284455,0.0908,0.20254828711847833,-0.5408412326480648,-0.9780338870256013,True,False
ai-forever/mGPT,10,0.22,13,21,plateau,0.4262233141899062,0.2004,0.4709845788972581,-4.00741791060614,-3.93551032999751,False,True
allenai/OLMo-1B-hf,10,0.22,14,25,plateau,0.49863726979323464,0.2166,0.5436494153651331,-4.150151379475481,-3.2044094931851923,False,True
allenai/OLMo-2-0425-1B,10,0.22,15,29,precision,0.21911013732922502,0.1027,0.24198459099792252,-1.2492707921491486,-1.3270662566060343,True,False
allenai/OLMo-2-0425-1B-DPO,10,0.22,10,15,precision,0.17354007672608038,0.097,0.19880935146540232,0.22514974929546167,0.15707713058319064,True,False
