floor,se_target,n_models,recovery_r,recovery_slope,theta_mae,pct_reach,len_scen_mean,len_scen_sd,len_scen_max,len_scen_median,len_crit_mean,len_crit_sd,len_crit_max,se_ability_mean,se_ability_sd,se_ability_max,se_ability_median,se_param_mean,se_param_sd,se_param_max,se_total_mean,se_total_sd,se_total_max,se_total_median,pct_precision,pct_plateau,pct_cap,pct_bank_exhausted
12,0.2,49,0.9495,0.8661,0.3037,81.6,13.49,2.37,22.0,12.0,22.71,4.39,38.0,0.1825,0.0486,0.3838,0.1857,0.109,0.041,0.258,0.2148,0.0554,0.4166,0.2063,81.6,18.4,0.0,0.0
12,0.22,49,0.9501,0.8585,0.3016,89.8,12.61,1.19,17.0,12.0,21.2,2.8,29.0,0.1871,0.0504,0.3838,0.1857,0.109,0.041,0.258,0.2188,0.0563,0.4166,0.2124,89.8,10.2,0.0,0.0
12,0.25,49,0.9522,0.8555,0.2974,93.9,12.33,0.9,16.0,12.0,20.65,2.31,28.0,0.1909,0.0522,0.3838,0.1882,0.109,0.041,0.258,0.2221,0.0581,0.4166,0.2141,93.9,6.1,0.0,0.0
12,0.27,49,0.9498,0.852,0.3076,95.9,12.14,0.54,15.0,12.0,20.35,1.97,24.0,0.1934,0.0543,0.3838,0.1882,0.109,0.041,0.258,0.2243,0.0598,0.4166,0.2141,95.9,4.1,0.0,0.0
12,0.3,49,0.9496,0.8535,0.3072,95.9,12.08,0.34,14.0,12.0,20.22,1.96,24.0,0.196,0.0573,0.3838,0.1882,0.109,0.041,0.258,0.2266,0.0623,0.4166,0.2141,95.9,4.1,0.0,0.0
12,0.32,49,0.9497,0.852,0.3087,98.0,12.06,0.32,14.0,12.0,20.18,1.97,24.0,0.196,0.0572,0.3838,0.1882,0.109,0.041,0.258,0.2266,0.0622,0.4166,0.2141,98.0,2.0,0.0,0.0
15,0.15,49,0.9561,0.8887,0.2865,40.8,18.12,4.28,34.0,17.0,30.43,7.1,54.0,0.1641,0.0415,0.2977,0.1588,0.109,0.041,0.258,0.1989,0.0512,0.3526,0.1892,40.8,59.2,0.0,0.0
15,0.18,49,0.9533,0.8893,0.2925,73.5,16.82,3.11,28.0,15.0,28.53,5.35,43.0,0.1669,0.0414,0.2977,0.1703,0.109,0.041,0.258,0.2013,0.0507,0.3526,0.1933,73.5,26.5,0.0,0.0
15,0.2,49,0.9531,0.8802,0.2966,85.7,15.73,1.62,22.0,15.0,26.73,3.52,38.0,0.1708,0.0429,0.2977,0.173,0.109,0.041,0.258,0.2047,0.0513,0.3526,0.2009,85.7,14.3,0.0,0.0
15,0.22,49,0.954,0.8787,0.2926,89.8,15.22,0.98,21.0,15.0,25.88,3.03,36.0,0.1734,0.0449,0.2977,0.173,0.109,0.041,0.258,0.207,0.0526,0.3526,0.2009,89.8,10.2,0.0,0.0
15,0.25,49,0.9543,0.879,0.2923,95.9,15.14,0.61,18.0,15.0,25.73,2.79,32.0,0.1737,0.0452,0.2977,0.173,0.109,0.041,0.258,0.2072,0.0528,0.3526,0.2009,95.9,4.1,0.0,0.0
15,0.27,49,0.9543,0.8795,0.2917,98.0,15.06,0.43,18.0,15.0,25.57,2.75,32.0,0.1749,0.0472,0.2977,0.173,0.109,0.041,0.258,0.2082,0.0548,0.3526,0.2009,98.0,2.0,0.0,0.0
15,0.3,49,0.9531,0.8736,0.2961,100.0,15.0,0.0,15.0,15.0,25.45,2.59,29.0,0.1748,0.047,0.2935,0.173,0.109,0.041,0.258,0.2082,0.0546,0.3526,0.2009,100.0,0.0,0.0,0.0
15,0.32,49,0.9531,0.8736,0.2961,100.0,15.0,0.0,15.0,15.0,25.45,2.59,29.0,0.1748,0.047,0.2935,0.173,0.109,0.041,0.258,0.2082,0.0546,0.3526,0.2009,100.0,0.0,0.0,0.0
20,0.15,49,0.9623,0.8951,0.261,49.0,21.14,2.75,34.0,20.0,35.73,4.76,54.0,0.154,0.0433,0.3061,0.1526,0.109,0.041,0.258,0.1911,0.0509,0.3463,0.1865,49.0,51.0,0.0,0.0
20,0.18,49,0.9622,0.8943,0.2619,79.6,20.55,1.6,28.0,20.0,34.86,3.38,43.0,0.1548,0.0436,0.3061,0.1526,0.109,0.041,0.258,0.1918,0.0511,0.3463,0.1864,79.6,20.4,0.0,0.0
20,0.2,49,0.9623,0.8924,0.2606,89.8,20.1,0.37,22.0,20.0,34.06,3.26,40.0,0.1559,0.0444,0.3061,0.1526,0.109,0.041,0.258,0.1927,0.0516,0.3463,0.1864,89.8,10.2,0.0,0.0
20,0.22,49,0.962,0.8917,0.2625,93.9,20.02,0.14,21.0,20.0,33.94,3.17,40.0,0.1561,0.0447,0.3061,0.1526,0.109,0.041,0.258,0.1929,0.0517,0.3463,0.1864,93.9,6.1,0.0,0.0
20,0.25,49,0.962,0.8911,0.2633,98.0,20.0,0.0,20.0,20.0,33.92,3.16,40.0,0.1561,0.0446,0.3061,0.1526,0.109,0.041,0.258,0.1929,0.0516,0.3463,0.1864,98.0,2.0,0.0,0.0
20,0.27,49,0.962,0.8911,0.2633,98.0,20.0,0.0,20.0,20.0,33.92,3.16,40.0,0.1561,0.0446,0.3061,0.1526,0.109,0.041,0.258,0.1929,0.0516,0.3463,0.1864,98.0,2.0,0.0,0.0
20,0.3,49,0.962,0.8911,0.2633,98.0,20.0,0.0,20.0,20.0,33.92,3.16,40.0,0.1561,0.0446,0.3061,0.1526,0.109,0.041,0.258,0.1929,0.0516,0.3463,0.1864,98.0,2.0,0.0,0.0
20,0.32,49,0.962,0.8911,0.2633,100.0,20.0,0.0,20.0,20.0,33.92,3.16,40.0,0.1561,0.0446,0.3061,0.1526,0.109,0.041,0.258,0.1929,0.0516,0.3463,0.1864,100.0,0.0,0.0,0.0
25,0.15,49,0.9657,0.8971,0.2455,51.0,25.78,1.86,34.0,25.0,43.49,3.82,54.0,0.1449,0.0423,0.287,0.1446,0.109,0.041,0.258,0.1841,0.0492,0.3296,0.1802,51.0,49.0,0.0,0.0
25,0.18,49,0.9654,0.8979,0.2489,87.8,25.18,0.83,30.0,25.0,42.57,3.35,51.0,0.1458,0.0429,0.287,0.1446,0.109,0.041,0.258,0.1849,0.0496,0.3296,0.1802,87.8,12.2,0.0,0.0
25,0.2,49,0.9658,0.8993,0.2473,93.9,25.0,0.0,25.0,25.0,42.24,3.15,50.0,0.1464,0.0434,0.287,0.1446,0.109,0.041,0.258,0.1853,0.0501,0.3296,0.1802,93.9,6.1,0.0,0.0
25,0.22,49,0.9658,0.8993,0.2473,95.9,25.0,0.0,25.0,25.0,42.24,3.15,50.0,0.1464,0.0434,0.287,0.1446,0.109,0.041,0.258,0.1853,0.0501,0.3296,0.1802,95.9,4.1,0.0,0.0
25,0.25,49,0.9658,0.8993,0.2473,95.9,25.0,0.0,25.0,25.0,42.24,3.15,50.0,0.1464,0.0434,0.287,0.1446,0.109,0.041,0.258,0.1853,0.0501,0.3296,0.1802,95.9,4.1,0.0,0.0
25,0.27,49,0.9658,0.8993,0.2473,98.0,25.0,0.0,25.0,25.0,42.24,3.15,50.0,0.1464,0.0434,0.287,0.1446,0.109,0.041,0.258,0.1853,0.0501,0.3296,0.1802,98.0,2.0,0.0,0.0
25,0.3,49,0.9658,0.8993,0.2473,100.0,25.0,0.0,25.0,25.0,42.24,3.15,50.0,0.1464,0.0434,0.287,0.1446,0.109,0.041,0.258,0.1853,0.0501,0.3296,0.1802,100.0,0.0,0.0,0.0
25,0.32,49,0.9658,0.8993,0.2473,100.0,25.0,0.0,25.0,25.0,42.24,3.15,50.0,0.1464,0.0434,0.287,0.1446,0.109,0.041,0.258,0.1853,0.0501,0.3296,0.1802,100.0,0.0,0.0,0.0
