model,theta_stop_correctness,sd_correctness,se_total_correctness,length,stop_reason,weak_calibrated,reached_se_ability
pankajmathur/orca_mini_v9_5_3B-Instruct,0.950973438525236,0.141058478353994,0.1668856536349897,20,precision_reached,False,True
meta-llama/Llama-3.2-3B,0.9344429580467536,0.1138131892794254,0.1375209215411216,20,precision_reached,False,True
arcee-ai/raspberry-3B,0.9285856928159926,0.1243185829169311,0.1521794493903414,20,precision_reached,False,True
tiiuae/Falcon3-1B-Base,0.9180676326579128,0.1290358082156515,0.1514656594519929,20,precision_reached,False,True
mistralai/Mistral-7B-v0.3,0.8782898174707493,0.1197063447430343,0.1728063315900176,20,precision_reached,False,True
ibm/PowerLM-3b,0.8686633091564098,0.1189589776325941,0.1480586700503316,20,precision_reached,False,True
Qwen/Qwen2.5-1.5B,0.7171396994762433,0.1561319631193646,0.1792208995688338,20,precision_reached,False,True
allenai/OLMo-2-1124-7B,0.6513124955678277,0.1568785600350434,0.1773445188487759,20,precision_reached,False,True
mistralai/Mistral-7B-v0.1,0.619943628295012,0.159436657003356,0.1753924414545321,20,precision_reached,False,True
h2oai/h2o-danube3-4b-base,0.3572997535553081,0.1838766794654976,0.2091333032285998,20,precision_reached,False,True
allenai/OLMo-2-0425-1B-Instruct,0.3253313945302168,0.1956800280027535,0.2061774453736057,20,precision_reached,False,True
Qwen/Qwen2-1.5B,0.0840583413263136,0.2291326634943931,0.239157301861533,20,precision_reached,False,True
lmsys/vicuna-7b-v1.5,0.0319109298770211,0.2023247870097681,0.2219660503058674,20,precision_reached,False,True
allenai/OLMo-2-0425-1B-DPO,-0.02188296068837,0.2026336764167767,0.2127414917325987,20,precision_reached,False,True
microsoft/phi-2,-0.0936512434855455,0.1811798141334174,0.1992096678759552,20,precision_reached,False,True
stabilityai/stablelm-2-1_6b-chat,-0.1302556129413615,0.2091014850412179,0.2281153649787499,20,precision_reached,False,True
HuggingFaceTB/SmolLM2-1.7B-Instruct,-0.1762616673038397,0.1964817004004563,0.2115068121300544,20,precision_reached,False,True
google/gemma-2-2b,-0.2776630971309551,0.2200001434497106,0.2400411990122126,20,precision_reached,False,True
01-ai/Yi-6B,-0.3071516375542625,0.2270880184947668,0.2417474114636068,20,precision_reached,False,True
deepseek-ai/deepseek-coder-6.7b-base,-0.3075388820252218,0.2163434362118861,0.2345124239151249,20,precision_reached,False,True
nvidia/Nemotron-Mini-4B-Instruct,-0.4428253256126533,0.2082887499963166,0.2159535722105997,20,precision_reached,False,True
HuggingFaceTB/SmolLM2-1.7B,-0.4514120188529105,0.2026327290331487,0.2134686303401159,20,precision_reached,False,True
h2oai/h2o-danube2-1.8b-base,-0.4592673564006407,0.2359943110859277,0.2470857965985402,20,precision_reached,False,True
HuggingFaceTB/SmolLM2-360M-Instruct,-0.5178338916257912,0.2519002337172177,0.2704598468234749,20,precision_reached,False,True
01-ai/Yi-6B-Chat,-0.5785253029952303,0.2592265269017205,0.2666791706702516,20,precision_reached,False,True
stabilityai/stablelm-3b-4e1t,-0.5920031471089232,0.2551216863975659,0.2751274836447291,20,precision_reached,False,True
stabilityai/stablelm-zephyr-3b,-0.6311251515778926,0.2489729661375067,0.2688505223895587,21,precision_reached,False,True
stabilityai/stablelm-2-zephyr-1_6b,-0.662019270986326,0.2636292558230041,0.2838640407284021,20,precision_reached,False,True
BSC-LT/salamandra-7b-instruct,-0.6641564941470401,0.2450599604490089,0.2524613978789437,20,precision_reached,False,True
BSC-LT/salamandra-7b,-0.7701282337777918,0.2657716875190289,0.278987940491243,20,precision_reached,False,True
ibm-granite/granite-7b-instruct,-0.7742219025208812,0.2257968157411843,0.234342071814156,20,precision_reached,False,True
meta-llama/Llama-3.2-1B-Instruct,-0.8149939098954585,0.2692127802027939,0.2822669224676649,21,precision_reached,False,True
openlm-research/open_llama_3b,-0.8427577216701515,0.3149472481621064,0.32978237766282,20,info_plateau,False,False
microsoft/phi-1_5,-0.960867930278661,0.2640462767389829,0.2694099760098331,21,precision_reached,False,True
OpenBMB/MiniCPM4-0.5B,-1.0955540906404972,0.2508380502175394,0.2694897977973181,26,precision_reached,False,True
allenai/OLMo-2-0425-1B,-1.1793516028902238,0.2680432565512197,0.2827561871187062,22,precision_reached,False,True
h2oai/h2o-danube2-1.8b-chat,-1.3851577203169927,0.2673649604119885,0.2750230149039701,21,precision_reached,False,True
Qwen/Qwen2.5-0.5B-Instruct,-1.4356651505043336,0.2571548476982498,0.2808670379792903,23,precision_reached,False,True
google/gemma-2b,-1.4497801662151326,0.2760576108034088,0.3035322421886529,23,info_plateau,False,False
Qwen/Qwen2.5-0.5B,-1.4659497937255794,0.265032206869728,0.2855158792367938,25,precision_reached,False,True
TinyLlama/TinyLlama-1.1B-Chat-v1.0,-1.501998975953521,0.3198246969495154,0.3358280022536085,24,info_plateau,False,False
h2oai/h2o-danube-1.8b-chat,-1.5583350112688168,0.2646336780675193,0.2884315966536191,25,precision_reached,False,True
Qwen/Qwen1.5-1.8B-Chat,-1.746466100095963,0.2622324625715372,0.2767007063147162,25,precision_reached,False,True
01-ai/Yi-6B-200K,-1.8805453706640511,0.2587894584894687,0.3053221403143431,38,precision_reached,False,True
EleutherAI/pythia-6.9b,-1.9043403445920035,0.2992109831547785,0.3326341419555105,30,info_plateau,False,False
facebook/opt-2.7b,-1.9499732025636796,0.3343909062338243,0.3456709551084314,22,info_plateau,False,False
deepseek-ai/deepseek-llm-7b-base,-1.9543111620113929,0.3333775221864004,0.3431430759260348,22,info_plateau,False,False
openbmb/MiniCPM-2B-sft-bf16,-1.97612896364448,0.3491581978281751,0.3692013386080471,22,info_plateau,False,False
pankajmathur/orca_mini_3b,-1.9857905869634207,0.3419925130551721,0.3540509002336928,20,info_plateau,False,False
utter-project/EuroLLM-1.7B-Instruct,-2.0976971870828325,0.3474294974814973,0.3740129975849262,20,info_plateau,False,False
facebook/opt-6.7b,-2.1716706936633026,0.2935932979070821,0.3103746630485703,26,info_plateau,False,False
Qwen/Qwen2-0.5B,-2.3299881281334245,0.323332101931374,0.3423665366631525,21,info_plateau,False,False
bigscience/bloom-7b1,-2.3806319459885934,0.3699011693802076,0.3822704173672661,23,info_plateau,False,False
HuggingFaceTB/SmolLM2-360M,-2.434595868718801,0.412144473412287,0.4259790625085622,20,info_plateau,False,False
BSC-LT/salamandra-2b-instruct,-2.52918016533649,0.3250714168115509,0.3625388473712314,26,info_plateau,False,False
utter-project/EuroLLM-1.7B,-2.5911226864572683,0.3805092195394677,0.4041820627847511,21,info_plateau,False,False
stabilityai/stablelm-2-1_6b,-2.5935814663394616,0.319709138773638,0.3475559922852338,27,info_plateau,False,False
togethercomputer/RedPajama-INCITE-Base-3B-v1,-2.732131517468505,0.3298508229837893,0.3625931865318713,30,info_plateau,False,False
EleutherAI/pythia-2.8b,-2.7957657892888963,0.3777208027973483,0.3953936009464825,20,info_plateau,False,False
deepseek-ai/deepseek-math-7b-base,-2.8049120242352594,0.3226691075376092,0.3348429553021234,32,info_plateau,False,False
Qwen/Qwen1.5-1.8B,-2.860421338993155,0.4386670197687862,0.4617735379755526,20,info_plateau,True,False
meta-llama/Llama-3.2-1B,-2.8941226319883926,0.3492640368285825,0.3721218827926463,24,info_plateau,False,False
BSC-LT/salamandra-2b,-3.0421571767658078,0.3960523458036318,0.4198716311205297,20,info_plateau,False,False
bigscience/bloom-1b1,-3.0969752662186583,0.4408274288149261,0.4569978502673392,22,info_plateau,False,False
openbmb/MiniCPM-1B-sft-bf16,-3.383439411936729,0.3765812676470418,0.4046270095563923,25,info_plateau,False,False
openai-community/gpt2-xl,-3.4367577945015437,0.414964338892046,0.4344801261271885,21,info_plateau,False,False
bigscience/bloom-3b,-3.4486297850211844,0.4110184688022998,0.4491874631146251,23,info_plateau,False,False
togethercomputer/RedPajama-INCITE-7B-Base,-3.461586795972936,0.4127879675990849,0.4203688269817758,24,info_plateau,False,False
facebook/opt-1.3b,-3.765795231218016,0.4536488578724994,0.4792608995774934,22,info_plateau,False,False
BEE-spoke-data/smol_llama-220M-openhermes,-3.8306537902372906,0.4421286968622068,0.4612401311833643,22,info_plateau,False,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-3.8576718121570943,0.4345839464658557,0.4652287958887479,23,info_plateau,False,False
LLM360/Amber,-3.915272607585638,0.443196997987024,0.4667003647817808,24,info_plateau,False,False
EleutherAI/pythia-1.4b,-4.2790222710637815,0.5017318868002857,0.5182043042188926,20,info_plateau,False,False
openai-community/gpt2,-4.380379903545323,0.471700571247315,0.5006156775639653,20,info_plateau,False,False
bigscience/bloom-1b7,-4.404237014862686,0.4508261383845453,0.4700772740111454,22,info_plateau,False,False
allenai/OLMo-1B-hf,-5.189021166922564,0.5299705413638593,0.5878555683371745,23,info_plateau,False,False
EleutherAI/pythia-160m,-5.215869928578957,0.5005460892237709,0.5281872866399331,20,info_plateau,False,False
bigscience/bloom-560m,-5.33461471410936,0.479424374960293,0.5012074936794849,24,info_plateau,False,False
openai-community/gpt2-medium,-5.422181170555407,0.505772214122123,0.5301907388172882,20,info_plateau,False,False
bigscience/bloomz-7b1,-5.4393253712913205,0.4913042973186734,0.5229837272133284,20,info_plateau,False,False
HuggingFaceTB/SmolLM2-135M,-5.453069606744804,0.4972885546423117,0.5167025543851529,20,info_plateau,False,False
bigscience/bloomz-3b,-5.502338039681391,0.5033091821303886,0.5358365768999117,22,info_plateau,False,False
EleutherAI/pythia-1b,-5.538450846238133,0.5011490994560287,0.5257285760818371,21,info_plateau,False,False
EleutherAI/pythia-70m,-5.575334175184436,0.5118966155709737,0.5275477064540606,28,info_plateau,False,False
EleutherAI/pythia-410m,-5.585087789109745,0.4973328784452131,0.5472475554672052,25,info_plateau,False,False
ai-forever/mGPT,-5.721039313199934,0.4813325171108553,0.5096491718579284,26,info_plateau,False,False
bigscience/bloomz-1b7,-5.779724290200464,0.4786283204430732,0.4987329553786219,31,info_plateau,False,False
openai-community/gpt2-large,-5.78367493480984,0.498740494770967,0.5325376478429128,22,info_plateau,False,False
