model,fold,criteria_administered,scenarios_administered,theta_ref_overall,theta_online_overall,theta_batch_overall,theta_mwle_overall
deepseek-ai/deepseek-math-7b-base,2,58,12,-3.505116149225228,-1.796269,-2.3045173574656728,-2.6065345428474314
facebook/opt-1.3b,1,84,20,-1.940164309443087,-2.220514,-2.5170835117777615,-2.8302774472114023
facebook/opt-2.7b,2,49,12,-1.8993516064006966,-1.590863,-2.1427556342768335,-2.4007882381488965
facebook/opt-6.7b,0,56,12,-2.413141971421415,-1.505379,-1.7715391953718067,-1.9027447328310094
google/gemma-2-2b,3,50,12,-0.40338544070608057,-0.155034,-0.47834411663437393,-0.41339946342271205
google/gemma-2b,0,55,12,-1.6034288591118244,-1.400616,-1.427021330687515,-1.5044199179201805
h2oai/h2o-danube-1.8b-chat,2,47,12,-1.6842962662278056,-1.165771,-1.5261128652436526,-1.5923315545799026
h2oai/h2o-danube2-1.8b-base,3,52,12,-0.6907952851696422,-0.439314,-0.4674592810555894,-0.4536243352948162
h2oai/h2o-danube2-1.8b-chat,0,51,12,-1.4461049182152896,-1.17269,-1.2571727255651377,-1.3113569646425367
h2oai/h2o-danube3-4b-base,1,58,12,0.20506655032848542,-0.057165,-0.09228826299687645,-0.05591939082774563
ibm-granite/granite-3.0-2b-base,3,48,12,0.8000004596220036,0.971205,0.9389894109863484,0.9879245824845391
ibm-granite/granite-3.1-2b-base,1,55,12,0.7996450968680566,0.592043,0.5544437146779644,0.5908485619870492
ibm-granite/granite-3.1-2b-instruct,2,58,12,0.9816119635809895,1.000626,0.978739787801048,1.004487676749124
ibm-granite/granite-7b-instruct,0,68,12,-0.9780735814575057,-0.721527,-0.7346047881871632,-0.7391693083127735
ibm/PowerLM-3b,4,62,12,0.6000672497920103,0.834619,0.7550412443390127,0.8002454034496977
lmsys/vicuna-7b-v1.5,3,54,12,0.20328808654971622,0.075552,0.03594584646227711,0.06730888624539731
meta-llama/Llama-3.2-1B,0,63,12,-2.7037212877149006,-2.288151,-2.5490599203028914,-2.852015385455472
meta-llama/Llama-3.2-1B-Instruct,2,53,12,-0.4103381062254571,-1.133502,-1.2480681507661127,-1.298403513133562
meta-llama/Llama-3.2-3B,4,49,12,0.02606668549538066,0.042456,-0.03452094332184274,-0.003689994748683748
meta-llama/Llama-3.2-3B-Instruct,2,56,12,0.7999816801299886,0.29977,0.27768848709623717,0.2889517938439033
microsoft/Phi-3-mini-4k-instruct,4,59,12,0.6691159073093103,1.109461,1.1047609622540924,1.1168561788825098
microsoft/Phi-3.5-mini-instruct,2,64,12,0.9999999808689407,0.929844,0.9522519572447703,0.9797196847383212
microsoft/phi-1_5,4,59,12,-1.3724721597911613,-0.52919,-0.5378992835631367,-0.5325618659103774
microsoft/phi-2,0,52,12,-0.1910297922322673,-0.16047,-0.20268232873420355,-0.1840872914630812
mistralai/Mistral-7B-Instruct-v0.3,2,51,12,0.7770892262882985,0.753574,0.718299225811226,0.7421101866541878
mistralai/Mistral-7B-v0.1,4,68,12,0.7999775435056535,0.528617,0.3871182194559557,0.4306563912911993
mistralai/Mistral-7B-v0.3,4,60,12,0.9667611352507061,0.977494,0.9307840441756555,0.9514205427174524
nvidia/AceInstruct-1.5B,3,44,12,1.199999978780655,0.94439,0.9077624827092556,0.9622913523270612
nvidia/Nemotron-Mini-4B-Instruct,0,57,12,-0.335090327938401,-0.769227,-0.83624200378251,-0.8326024411675415
openai-community/gpt2,2,58,12,-4.4237706609378655,-1.307045,-2.640375227378393,-4.186209832677262
openai-community/gpt2-large,1,69,16,-3.31783196556451,-2.520098,-3.5644329592931188,-5.552594472173188
openai-community/gpt2-medium,1,84,21,-4.648294414538011,-2.718951,-3.556653480556135,-5.7584361971164855
openai-community/gpt2-xl,0,56,12,-3.5209437999310063,-2.101529,-2.6267458681028275,-3.008995215332474
openbmb/MiniCPM-1B-sft-bf16,0,55,12,-4.11514323176692,-1.830406,-2.3799277287898377,-2.7037226450255347
openbmb/MiniCPM-2B-sft-bf16,4,60,12,-1.4844985484194,-1.035334,-1.1083605331719606,-1.1327985357691612
openlm-research/open_llama_3b,3,46,12,-1.4319965011516276,-1.122745,-1.283324297585982,-1.3169802349911852
pankajmathur/orca_mini_3b,1,52,12,-1.8806284989850515,-1.307358,-1.4997856568280716,-1.6346441644050442
pankajmathur/orca_mini_v9_5_3B-Instruct,3,50,12,0.7999990119939475,0.592902,0.4674598754024153,0.5096814287423161
stabilityai/stablelm-2-1_6b,2,53,12,-1.7044546804262755,-1.917887,-2.549561732863899,-3.016527042875568
stabilityai/stablelm-2-1_6b-chat,4,75,12,-0.29146674522842575,0.096966,0.0577632642460085,0.09262702000920929
stabilityai/stablelm-2-zephyr-1_6b,3,47,12,-0.5975721291639299,-0.398894,-0.6498263081658541,-0.6031188371794376
stabilityai/stablelm-3b-4e1t,4,57,12,-1.1004665369392599,-0.782105,-0.7952672574778816,-0.8026144736039473
stabilityai/stablelm-zephyr-3b,2,56,12,-0.8060132915707383,-0.922037,-1.030750369496439,-1.0529870559465235
tiiuae/Falcon3-1B-Base,4,48,12,0.5394591326229279,0.648656,0.5881217913911553,0.6444613837107028
tiiuae/Falcon3-1B-Instruct,4,64,12,0.8070129922714939,1.025963,0.9843864324477898,1.002215248958452
tiiuae/Falcon3-3B-Base,4,58,12,1.5998844710964142,1.338581,1.3561595700977014,1.352151294347192
tiiuae/Falcon3-3B-Instruct,4,58,12,1.8030368394980432,1.427689,1.4025388714973237,1.4035524655239326
tiiuae/Falcon3-7B-Base,1,59,12,2.199670225193237,1.856274,1.8865791935818117,1.9244788687336087
togethercomputer/RedPajama-INCITE-7B-Base,2,54,12,-3.252881294784056,-1.681704,-2.2608394409029007,-2.5702001104117542
togethercomputer/RedPajama-INCITE-Base-3B-v1,2,62,12,-3.4031765787230324,-1.842793,-2.3380261917487304,-2.623042457322812
utter-project/EuroLLM-1.7B,4,53,12,-2.406655664727384,-1.382211,-1.6430291955164578,-1.7584646835980557
utter-project/EuroLLM-1.7B-Instruct,0,53,12,-2.3237534964307414,-1.569098,-1.8321161191068145,-1.9637859573125847
