model,theta_2skill_correctness,theta_unidim_correctness,is_headline_excluded
pankajmathur/orca_mini_v9_5_3B-Instruct,0.7998024234285215,0.7968465435124596,False
ibm-granite/granite-3.1-2b-base,0.7994644080388719,0.7907806472236022,False
mistralai/Mistral-7B-v0.1,0.6990570187484786,0.7696688612384113,False
microsoft/Phi-3-mini-4k-instruct,0.4027064021230695,0.35083937090915085,False
ibm/PowerLM-3b,0.4009764099946296,0.4733167330560524,False
HuggingFaceTB/SmolLM2-1.7B-Instruct,0.3924821908445978,0.3514865663665435,False
allenai/OLMo-2-0425-1B-Instruct,0.2044213809682086,0.2767771052547413,False
tiiuae/Falcon3-1B-Base,0.20306473367834063,0.24757840630674183,False
microsoft/phi-2,0.19615813889988415,0.20691942768214014,False
h2oai/h2o-danube3-4b-base,0.18659526549963018,0.23724446008196143,False
allenai/OLMo-2-0425-1B-DPO,0.16204676259933704,0.17442228485555072,False
lmsys/vicuna-7b-v1.5,0.0005229814847923619,0.10053728647430282,False
nvidia/Nemotron-Mini-4B-Instruct,-0.000798822532674765,0.07545830798362713,False
01-ai/Yi-6B-Chat,-0.18015578873280505,-0.06562586504650816,False
meta-llama/Llama-3.2-3B,-0.34967955640147785,-0.2533983746958448,False
meta-llama/Llama-3.2-1B-Instruct,-0.3801787627023915,-0.3183005529888703,False
BSC-LT/salamandra-7b-instruct,-0.4852452061500312,-0.3784076910101424,False
Qwen/Qwen2-1.5B,-0.5908733126681435,-0.4505665451200901,False
HuggingFaceTB/SmolLM2-1.7B,-0.6282472230202927,-0.48206092484160246,False
Qwen/Qwen2.5-0.5B-Instruct,-0.6497614091042201,-0.703148092262274,False
allenai/OLMo-2-0425-1B,-0.7023609655767253,-0.4996963177063293,False
ibm-granite/granite-7b-instruct,-0.7254704832078736,-0.4839880369038763,False
stabilityai/stablelm-zephyr-3b,-0.7721205938486834,-0.6704044816059658,False
deepseek-ai/deepseek-coder-6.7b-base,-0.8331017402558787,-0.8243947242982843,False
OpenBMB/MiniCPM4-0.5B,-0.8440406073797397,-0.7888865678652408,False
stabilityai/stablelm-2-1_6b-chat,-0.8525069628936406,-0.7410813901394133,False
google/gemma-2-2b,-0.9799924177456207,-0.9480574793408889,False
01-ai/Yi-6B,-1.0696387014845081,-0.9343516332325569,False
BSC-LT/salamandra-7b,-1.1253567230536328,-0.9488343183702203,False
stabilityai/stablelm-2-zephyr-1_6b,-1.2156858467694653,-1.0672336674329488,False
Qwen/Qwen2.5-0.5B,-1.3375661778612415,-1.3310175036791447,False
h2oai/h2o-danube2-1.8b-chat,-1.341409261458888,-1.2217054900223112,False
h2oai/h2o-danube2-1.8b-base,-1.3533250805552233,-1.285756987099349,False
HuggingFaceTB/SmolLM2-360M-Instruct,-1.449619458471238,-1.3321583735488565,False
google/gemma-2b,-1.5320829468883177,-1.414171190858418,False
01-ai/Yi-6B-200K,-1.633176956988785,-1.5626593711615466,False
Qwen/Qwen1.5-1.8B-Chat,-1.825529362314739,-1.6349271300353234,False
h2oai/h2o-danube-1.8b-chat,-1.8463721911073896,-1.6542648998122487,False
pankajmathur/orca_mini_3b,-2.025993454209396,-1.8909309103560403,False
facebook/opt-2.7b,-2.0445610023552554,-1.8029678021325288,False
stabilityai/stablelm-2-1_6b,-2.048596309008185,-1.8590760367698334,False
facebook/opt-1.3b,-2.0502899180465253,-1.850249321508182,False
openlm-research/open_llama_3b,-2.0597239348098277,-1.9174438737312165,False
stabilityai/stablelm-3b-4e1t,-2.1134976591947563,-1.9860133897893923,False
BSC-LT/salamandra-2b-instruct,-2.1763971897142227,-2.038842658765761,False
deepseek-ai/deepseek-llm-7b-base,-2.289774217412128,-2.1403045774080107,False
microsoft/phi-1_5,-2.327605612685531,-2.257784983661228,False
facebook/opt-6.7b,-2.3389730258172996,-2.156624992581369,False
EleutherAI/pythia-6.9b,-2.3863497649637173,-2.1946899354283924,False
EleutherAI/pythia-1.4b,-2.403808668527211,-2.2172830391804927,False
utter-project/EuroLLM-1.7B-Instruct,-2.416565598128007,-2.2449110174892,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,-2.4659508362909266,-2.3463575082469603,False
openbmb/MiniCPM-2B-sft-bf16,-2.493491078429523,-2.361033344558658,False
Qwen/Qwen2-0.5B,-2.607224816353566,-2.436499769991373,False
BSC-LT/salamandra-2b,-2.6207792432452424,-2.4736455402201005,False
EleutherAI/pythia-2.8b,-2.627479276623307,-2.39868030122268,False
EleutherAI/pythia-1b,-2.627589577189334,-2.4190369601525967,False
meta-llama/Llama-3.2-1B,-2.84267492496534,-2.6147490176835833,False
bigscience/bloom-7b1,-2.9006088175088722,-2.716400924731505,False
HuggingFaceTB/SmolLM2-360M,-3.362707980440635,-3.1838883682879047,False
utter-project/EuroLLM-1.7B,-3.3806553883325123,-3.252503643129451,False
openai-community/gpt2-xl,-3.5325746827755053,-3.2998925356614146,False
openai-community/gpt2-large,-3.7445815781737894,-3.517180730987048,False
EleutherAI/pythia-410m,-3.752435753241712,-3.555699756423073,False
togethercomputer/RedPajama-INCITE-Base-3B-v1,-3.7727511757145606,-3.530199868196696,False
togethercomputer/RedPajama-INCITE-7B-Base,-3.8702571979389893,-3.7856027680559228,False
Qwen/Qwen1.5-1.8B,-3.876434133120304,-3.8300087472387236,True
bigscience/bloom-3b,-3.942928826457043,-3.7608225217807965,False
HuggingFaceTB/SmolLM2-135M,-3.9582274581861174,-3.6796388200447896,False
openbmb/MiniCPM-1B-sft-bf16,-4.135920944210252,-4.161424153871486,False
BEE-spoke-data/smol_llama-220M-openhermes,-4.1776430711088794,-4.257374133948016,False
deepseek-ai/deepseek-math-7b-base,-4.235959593198044,-4.066376064242906,False
bigscience/bloom-1b1,-4.4376383522811915,-4.171971444681093,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-4.515843314914754,-4.124040720606256,False
LLM360/Amber,-4.8609392442402175,-4.6519367578162285,False
bigscience/bloom-1b7,-4.958498229956938,-4.674300334371116,False
ai-forever/mGPT,-5.202001963399543,-5.338570917658049,False
allenai/OLMo-1B-hf,-5.250889750255171,-5.140638392630971,False
bigscience/bloomz-3b,-5.263668626398832,-5.069000178825421,False
openai-community/gpt2,-5.356511843185682,-5.183700436625105,False
bigscience/bloomz-7b1,-5.3717023216605595,-4.9534048649651075,False
bigscience/bloomz-1b7,-5.59979590580863,-5.386942658372621,False
bigscience/bloom-560m,-5.621576535041461,-5.469959154477783,False
EleutherAI/pythia-160m,-5.659396172094196,-5.480268632368226,False
openai-community/gpt2-medium,-5.666361427680988,-5.5441454931500695,False
EleutherAI/pythia-70m,-5.734366704577031,-5.554789324155834,False
