stop_rule,op_point,min_scenarios,se_target,n_models,recovery_r,recovery_r_source,scen_mean,scen_max,se_total_mean,se_total_sd,se_total_median,se_total_q3,se_total_max,se_ability_mean,se_ability_sd,se_ability_median,se_ability_q3,se_ability_max,se_param_median,n_se_total_gt_0.15,n_se_total_gt_0.20
eap,f6_se0.08,6,0.08,51,0.9729,13_eap_stop_grid/recovery_grid.csv,31.49,60,0.098,0.0206,0.0924,0.103,0.1866,0.0841,0.0132,0.0795,0.0805,0.1478,0.0473,2,0
eap,f6_se0.10,6,0.1,51,0.9498,13_eap_stop_grid/recovery_grid.csv,21.08,60,0.1143,0.0158,0.1098,0.1173,0.1835,0.1001,0.0089,0.0991,0.0998,0.1478,0.0486,2,0
eap,f6_se0.12,6,0.12,51,0.9361,13_eap_stop_grid/recovery_grid.csv,14.08,60,0.1327,0.0142,0.1296,0.1359,0.1985,0.1165,0.0067,0.1164,0.1191,0.1478,0.0554,2,0
eap,f6_se0.15,6,0.15,51,0.9245,13_eap_stop_grid/recovery_grid.csv,9.98,47,0.1503,0.0224,0.1476,0.1651,0.2026,0.1317,0.0134,0.1311,0.1457,0.15,0.0584,23,1
eap,f6_se0.20,6,0.2,51,0.9178,13_eap_stop_grid/recovery_grid.csv,7.55,29,0.1666,0.0414,0.1468,0.2036,0.2638,0.1468,0.032,0.1363,0.1812,0.1997,0.0639,25,14
eap,f6_se0.25,6,0.25,51,0.9124,13_eap_stop_grid/recovery_grid.csv,6.61,19,0.1777,0.0568,0.1499,0.2271,0.3064,0.1563,0.0461,0.1363,0.2086,0.2476,0.0637,25,15
eap,f6_se0.30,6,0.3,51,0.9116,13_eap_stop_grid/recovery_grid.csv,6.35,16,0.1828,0.0682,0.1503,0.2267,0.37,0.1622,0.0574,0.1363,0.2086,0.2936,0.0648,26,15
eap,f8_se0.08,8,0.08,51,0.9728,13_eap_stop_grid/recovery_grid.csv,31.49,60,0.0984,0.0213,0.0927,0.1022,0.198,0.0841,0.0132,0.0795,0.0805,0.1478,0.0475,2,0
eap,f8_se0.10,8,0.1,51,0.9559,13_eap_stop_grid/recovery_grid.csv,21.08,60,0.1144,0.0167,0.1096,0.1169,0.1936,0.1001,0.0089,0.0991,0.0998,0.1478,0.0452,2,0
eap,f8_se0.12,8,0.12,51,0.946,13_eap_stop_grid/recovery_grid.csv,14.75,60,0.1286,0.0163,0.1271,0.1343,0.193,0.1125,0.0097,0.1143,0.1189,0.1478,0.0551,3,0
eap,f8_se0.15,8,0.15,51,0.9388,13_eap_stop_grid/recovery_grid.csv,11.25,47,0.1396,0.0262,0.1309,0.1593,0.2066,0.1222,0.0192,0.1164,0.1436,0.15,0.0554,18,1
eap,f8_se0.20,8,0.2,51,0.9393,13_eap_stop_grid/recovery_grid.csv,9.0,29,0.1544,0.0461,0.1311,0.2045,0.2653,0.1358,0.0379,0.1164,0.1804,0.1997,0.0602,19,14
eap,f8_se0.25,8,0.25,51,0.9374,13_eap_stop_grid/recovery_grid.csv,8.41,19,0.1598,0.0553,0.1304,0.2073,0.297,0.141,0.0467,0.1164,0.1849,0.2476,0.0597,19,15
eap,f8_se0.30,8,0.3,51,0.9374,13_eap_stop_grid/recovery_grid.csv,8.25,16,0.162,0.0623,0.1312,0.2074,0.363,0.1436,0.0525,0.1164,0.1849,0.2927,0.0593,20,15
eap,f12_se0.08,12,0.08,51,0.9758,13_eap_stop_grid/recovery_grid.csv,31.49,60,0.0979,0.021,0.0922,0.1022,0.1962,0.0841,0.0132,0.0795,0.0805,0.1478,0.0466,2,0
eap,f12_se0.10,12,0.1,51,0.9639,13_eap_stop_grid/recovery_grid.csv,22.59,60,0.1088,0.0191,0.1061,0.1135,0.1939,0.0947,0.0118,0.096,0.0994,0.1478,0.048,2,0
eap,f12_se0.12,12,0.12,51,0.9579,13_eap_stop_grid/recovery_grid.csv,17.08,60,0.1176,0.0232,0.1175,0.1308,0.1945,0.1022,0.0169,0.0994,0.1187,0.1478,0.053,2,0
eap,f12_se0.15,12,0.15,51,0.9515,13_eap_stop_grid/recovery_grid.csv,14.06,47,0.126,0.033,0.1168,0.1543,0.2027,0.1095,0.026,0.0994,0.1404,0.15,0.0534,14,1
eap,f12_se0.20,12,0.2,51,0.9517,13_eap_stop_grid/recovery_grid.csv,12.57,29,0.1325,0.0456,0.1146,0.1584,0.2715,0.1155,0.0362,0.0994,0.1414,0.1997,0.0525,13,4
eap,f12_se0.25,12,0.25,51,0.9517,13_eap_stop_grid/recovery_grid.csv,12.24,19,0.1342,0.0508,0.1152,0.1584,0.3123,0.1169,0.0395,0.0994,0.1414,0.2252,0.0524,13,4
eap,f12_se0.30,12,0.3,51,0.9517,13_eap_stop_grid/recovery_grid.csv,12.1,16,0.1365,0.0594,0.1155,0.1573,0.3703,0.1192,0.0468,0.0994,0.1414,0.2927,0.053,13,5
eap,f15_se0.08,15,0.08,51,0.9807,13_eap_stop_grid/recovery_grid.csv,31.63,60,0.0979,0.0208,0.0927,0.1031,0.189,0.0837,0.0133,0.0795,0.0805,0.1478,0.0471,2,0
eap,f15_se0.10,15,0.1,51,0.9698,13_eap_stop_grid/recovery_grid.csv,24.25,60,0.105,0.0212,0.1009,0.1118,0.193,0.0905,0.0141,0.0882,0.0994,0.1478,0.0457,2,0
eap,f15_se0.12,15,0.12,51,0.9634,13_eap_stop_grid/recovery_grid.csv,19.12,60,0.112,0.0251,0.1004,0.1292,0.1906,0.0968,0.0197,0.0882,0.1186,0.1478,0.0492,2,0
eap,f15_se0.15,15,0.15,51,0.96,13_eap_stop_grid/recovery_grid.csv,16.43,47,0.1189,0.0347,0.1015,0.144,0.2021,0.1026,0.0278,0.0882,0.1302,0.15,0.0482,13,1
eap,f15_se0.20,15,0.2,51,0.9595,13_eap_stop_grid/recovery_grid.csv,15.41,29,0.1228,0.0444,0.1003,0.1439,0.2651,0.1058,0.0347,0.0882,0.1302,0.1997,0.0483,13,3
eap,f15_se0.25,15,0.25,51,0.9595,13_eap_stop_grid/recovery_grid.csv,15.12,19,0.1239,0.0492,0.1004,0.1433,0.3099,0.1068,0.0376,0.0882,0.1302,0.2252,0.0489,13,3
eap,f15_se0.30,15,0.3,51,0.9595,13_eap_stop_grid/recovery_grid.csv,15.02,16,0.1262,0.0572,0.1007,0.1429,0.3555,0.1088,0.0445,0.0882,0.1302,0.2761,0.0496,13,3
eap,f20_se0.08,20,0.08,51,0.9822,13_eap_stop_grid/recovery_grid.csv,33.8,60,0.0944,0.0217,0.0889,0.102,0.1882,0.0804,0.0151,0.0763,0.0805,0.1478,0.0483,2,0
eap,f20_se0.10,20,0.1,51,0.9742,13_eap_stop_grid/recovery_grid.csv,27.35,60,0.0998,0.023,0.0967,0.1093,0.1925,0.0851,0.0174,0.0763,0.0993,0.1478,0.05,2,0
eap,f20_se0.12,20,0.12,51,0.9684,13_eap_stop_grid/recovery_grid.csv,22.84,60,0.1059,0.0289,0.0999,0.1239,0.1978,0.0902,0.0227,0.0763,0.1154,0.1478,0.0491,2,0
eap,f20_se0.15,20,0.15,51,0.9677,13_eap_stop_grid/recovery_grid.csv,21.02,47,0.1094,0.0341,0.098,0.1255,0.2096,0.0931,0.0272,0.0763,0.1154,0.15,0.0509,9,1
eap,f20_se0.20,20,0.2,51,0.9679,13_eap_stop_grid/recovery_grid.csv,20.22,29,0.1118,0.0413,0.0969,0.1259,0.2607,0.0951,0.0325,0.0763,0.1154,0.1997,0.0509,9,2
eap,f20_se0.25,20,0.25,51,0.9679,13_eap_stop_grid/recovery_grid.csv,20.0,20,0.1125,0.0441,0.0984,0.1241,0.2928,0.0955,0.0339,0.0763,0.1154,0.215,0.0493,9,2
eap,f20_se0.30,20,0.3,51,0.9679,13_eap_stop_grid/recovery_grid.csv,20.0,20,0.1128,0.0447,0.0997,0.1259,0.2923,0.0955,0.0339,0.0763,0.1154,0.215,0.0503,9,2
online,f8_se0.08,8,0.08,51,0.9693,06b_operating_point/recovery_grid.csv,30.49,60,0.0989,0.0222,0.0934,0.1026,0.2028,0.0851,0.0134,0.0812,0.0884,0.1478,0.0448,2,1
online,f8_se0.10,8,0.1,51,0.9525,06b_operating_point/recovery_grid.csv,18.57,60,0.1187,0.0209,0.1144,0.1232,0.1982,0.1036,0.0125,0.0999,0.1055,0.1492,0.0498,5,0
online,f8_se0.12,8,0.12,51,0.9378,06b_operating_point/recovery_grid.csv,11.92,26,0.1362,0.0354,0.1238,0.1425,0.302,0.1191,0.0246,0.112,0.1221,0.2214,0.0534,10,3
online,f8_se0.15,8,0.15,51,0.9401,06b_operating_point/recovery_grid.csv,8.82,14,0.1568,0.0693,0.1314,0.1713,0.4776,0.1384,0.0577,0.1164,0.1509,0.3859,0.057,19,8
online,f8_se0.20,8,0.2,51,0.937,06b_operating_point/recovery_grid.csv,8.0,8,0.1658,0.0743,0.131,0.2084,0.4698,0.1472,0.0642,0.1164,0.1849,0.3971,0.0613,20,15
online,f8_se0.25,8,0.25,51,0.937,06b_operating_point/recovery_grid.csv,8.0,8,0.1658,0.0744,0.1312,0.2092,0.4668,0.1472,0.0642,0.1164,0.1849,0.3971,0.0604,19,14
online,f8_se0.30,8,0.3,51,0.937,06b_operating_point/recovery_grid.csv,8.0,8,0.1663,0.0759,0.131,0.2104,0.4752,0.1472,0.0642,0.1164,0.1849,0.3971,0.0592,20,14
online,f12_se0.08,12,0.08,51,0.9728,06b_operating_point/recovery_grid.csv,30.49,60,0.099,0.0223,0.0922,0.1033,0.1946,0.0851,0.0134,0.0812,0.0884,0.1478,0.045,2,0
online,f12_se0.10,12,0.1,51,0.961,06b_operating_point/recovery_grid.csv,20.12,60,0.1117,0.0225,0.1053,0.118,0.1997,0.0974,0.0154,0.0946,0.1015,0.1492,0.0485,4,0
online,f12_se0.12,12,0.12,51,0.9532,06b_operating_point/recovery_grid.csv,14.31,26,0.1255,0.0424,0.1158,0.1381,0.3194,0.1088,0.0304,0.0994,0.1213,0.2214,0.0508,6,3
online,f12_se0.15,12,0.15,51,0.9519,06b_operating_point/recovery_grid.csv,12.08,14,0.1386,0.0703,0.1157,0.155,0.48,0.1213,0.0571,0.0994,0.14,0.3836,0.0519,13,5
online,f12_se0.20,12,0.2,51,0.9519,06b_operating_point/recovery_grid.csv,12.0,12,0.1389,0.0705,0.1164,0.1574,0.4775,0.1218,0.0574,0.0994,0.1414,0.3836,0.0522,13,4
online,f12_se0.25,12,0.25,51,0.9519,06b_operating_point/recovery_grid.csv,12.0,12,0.1388,0.0699,0.1168,0.1575,0.4769,0.1218,0.0574,0.0994,0.1414,0.3836,0.0517,13,3
online,f12_se0.30,12,0.3,51,0.9519,06b_operating_point/recovery_grid.csv,12.0,12,0.1389,0.0705,0.1163,0.1579,0.4822,0.1218,0.0574,0.0994,0.1414,0.3836,0.0528,13,4
