op_point,min_scenarios,se_target,scenarios_mean,scenarios_median,criteria_mean,criteria_median,convergence_rate,capped_frac,recovery_r,recovery_r_lo,recovery_r_hi,recovery_slope,theta_mae,pass_r,pass_mae,ability_se_median,se_param_median,se_total_median
f12_se0.30,12,0.3,12.0,12,212.3,213,1.0,0.0,0.9519,0.9239,0.9735,0.8763,0.2878,0.9349,0.047,0.1022,0.0535,0.1171
f15_se0.08,15,0.08,30.63,19,539.5,322,0.784,0.216,0.9771,0.9599,0.9875,0.9244,0.2077,0.9516,0.04,0.0871,0.0422,0.1015
f15_se0.10,15,0.1,21.92,15,386.4,269,0.98,0.02,0.9662,0.9408,0.982,0.889,0.2436,0.9474,0.0431,0.0966,0.0484,0.1073
f15_se0.12,15,0.12,16.61,15,293.1,267,1.0,0.0,0.9599,0.9349,0.9788,0.8859,0.2617,0.9458,0.0439,0.0977,0.0501,0.1106
f15_se0.15,15,0.15,15.0,15,264.8,265,1.0,0.0,0.9593,0.9341,0.9778,0.8914,0.2629,0.9455,0.0437,0.0977,0.0496,0.1115
f15_se0.20,15,0.2,15.0,15,264.8,265,1.0,0.0,0.9593,0.9341,0.9778,0.8914,0.2629,0.9455,0.0437,0.0977,0.0495,0.1095
f15_se0.25,15,0.25,15.0,15,264.8,265,1.0,0.0,0.9593,0.9341,0.9778,0.8914,0.2629,0.9455,0.0437,0.0977,0.0495,0.1106
f15_se0.30,15,0.3,15.0,15,264.8,265,1.0,0.0,0.9593,0.9341,0.9778,0.8914,0.2629,0.9455,0.0437,0.0977,0.0509,0.1115
f20_se0.08,20,0.08,32.84,20,578.6,359,0.784,0.216,0.9789,0.9648,0.9877,0.9379,0.2,0.954,0.0392,0.0799,0.0442,0.0966
f20_se0.10,20,0.1,25.16,20,443.3,356,0.98,0.02,0.971,0.9532,0.9833,0.9068,0.2284,0.9509,0.0417,0.0904,0.0466,0.0984
f20_se0.12,20,0.12,20.63,20,363.9,355,1.0,0.0,0.9674,0.9481,0.9816,0.899,0.2407,0.9499,0.0425,0.0932,0.0466,0.1022
f20_se0.15,20,0.15,20.0,20,353.0,354,1.0,0.0,0.9675,0.9485,0.9816,0.9018,0.2386,0.9499,0.0423,0.0932,0.0491,0.1008
f20_se0.20,20,0.2,20.0,20,353.0,354,1.0,0.0,0.9675,0.9485,0.9816,0.9018,0.2386,0.9499,0.0423,0.0932,0.0481,0.1014
f20_se0.25,20,0.25,20.0,20,353.0,354,1.0,0.0,0.9675,0.9485,0.9816,0.9018,0.2386,0.9499,0.0423,0.0932,0.0497,0.101
f20_se0.30,20,0.3,20.0,20,353.0,354,1.0,0.0,0.9675,0.9485,0.9816,0.9018,0.2386,0.9499,0.0423,0.0932,0.0491,0.1011
