model,skill,se_ability,se_param,se_total
Qwen/Qwen2.5-3B,correctness,0.225373,0.4469598400829769,0.5005657676829293
Qwen/Qwen2.5-3B,scaffolding,0.298972,0.649041879491274,0.7145905247885431
Qwen/Qwen2.5-3B-Instruct,correctness,0.144456,0.1338543399039441,0.1969378588466946
Qwen/Qwen2.5-3B-Instruct,scaffolding,0.148848,0.1319487447102492,0.19891253941019033
Qwen/Qwen2.5-7B,correctness,0.185956,0.1935764547849363,0.26842406334586416
Qwen/Qwen2.5-7B,scaffolding,0.197149,0.169189860788882,0.2597940284047369
Qwen/Qwen2.5-7B-Instruct,correctness,0.273825,0.2692504864863122,0.38402598232165985
Qwen/Qwen2.5-7B-Instruct,scaffolding,0.23978,0.2124363908470596,0.3203492914868467
Qwen/Qwen2.5-Coder-7B,correctness,0.229677,0.2931608086284393,0.37241748622302956
Qwen/Qwen2.5-Coder-7B,scaffolding,0.238391,0.4065811823256793,0.471315739926376
Qwen/Qwen2.5-Math-7B,correctness,0.192922,0.167351213494915,0.25539249546966064
Qwen/Qwen2.5-Math-7B,scaffolding,0.275108,0.2382863571865826,0.36395713990146095
Qwen/Qwen3-0.6B,correctness,0.219332,0.1838250632229053,0.2861785807724001
Qwen/Qwen3-0.6B,scaffolding,0.299633,0.2196856859858127,0.37153968202071913
Qwen/Qwen3-1.7B,correctness,0.145994,0.2112750858298691,0.25681006586272775
Qwen/Qwen3-1.7B,scaffolding,0.299157,0.774698268359907,0.8304530797395109
Qwen/Qwen3-4B,correctness,0.178146,0.2264805607273243,0.288148298109434
Qwen/Qwen3-4B,scaffolding,0.23873,0.2847095968557248,0.3715529133807853
TinyLlama/TinyLlama-1.1B-Chat-v1.0,correctness,0.299509,0.2765390708092717,0.407651197428703
TinyLlama/TinyLlama-1.1B-Chat-v1.0,scaffolding,0.296667,0.2474667108766541,0.38633027564651146
allenai/OLMo-2-0425-1B,correctness,0.289293,0.6223154768580476,0.686270349487765
allenai/OLMo-2-0425-1B,scaffolding,0.297718,0.6026288970362361,0.6721589061130637
allenai/OLMo-2-1124-7B,correctness,0.279731,0.148660302910487,0.31677960480819745
allenai/OLMo-2-1124-7B,scaffolding,0.296236,0.1204755931936175,0.3197970235185969
bigscience/bloom-1b1,correctness,0.298459,0.3394635160435231,0.4520102359522749
bigscience/bloom-1b1,scaffolding,0.290115,0.1699661270217807,0.3362368176743649
bigscience/bloom-1b7,correctness,0.291141,0.0767452386000236,0.3010862227481931
bigscience/bloom-1b7,scaffolding,0.299592,0.0933580429309863,0.3138010367157889
bigscience/bloom-3b,correctness,0.298572,0.483524135816591,0.5682788304179395
bigscience/bloom-3b,scaffolding,0.299949,0.2385021585472121,0.38321362480042315
bigscience/bloom-560m,correctness,0.299861,0.3205753762901506,0.4389592136002748
bigscience/bloom-560m,scaffolding,0.297435,0.1569280862613498,0.3362945189601663
bigscience/bloom-7b1,correctness,0.296545,0.3155685774588784,0.4330386404287961
bigscience/bloom-7b1,scaffolding,0.293482,0.2141680765547433,0.3633175599102779
bigscience/bloomz-1b7,correctness,0.297461,0.2815479774528278,0.4095757684834126
bigscience/bloomz-1b7,scaffolding,0.179164,0.2440093153932628,0.30272146421205215
bigscience/bloomz-3b,correctness,0.295355,0.2301670574793159,0.3744481945125209
bigscience/bloomz-3b,scaffolding,0.203699,0.1860075062085371,0.2758479199974489
bigscience/bloomz-7b1,correctness,0.297686,0.3839252692668649,0.4858143338536181
bigscience/bloomz-7b1,scaffolding,0.18754,0.2141670758294709,0.28467312477532253
deepseek-ai/deepseek-coder-6.7b-base,correctness,0.293568,0.2185217638504001,0.3659698510810556
deepseek-ai/deepseek-coder-6.7b-base,scaffolding,0.298867,0.1984399493658744,0.3587476790075872
deepseek-ai/deepseek-llm-7b-base,correctness,0.291312,0.2379350661381757,0.3761326588348558
deepseek-ai/deepseek-llm-7b-base,scaffolding,0.297542,0.1856077748658883,0.3506871652265966
deepseek-ai/deepseek-math-7b-base,correctness,0.296495,0.2072954092926442,0.36177433814299886
deepseek-ai/deepseek-math-7b-base,scaffolding,0.297999,0.0903867977074008,0.3114051656617125
facebook/opt-1.3b,correctness,0.294688,0.2534499147201227,0.3886873764552143
facebook/opt-1.3b,scaffolding,0.282566,0.1410698017926874,0.31582310449653317
facebook/opt-2.7b,correctness,0.294611,0.1266136943165017,0.3206659771623309
facebook/opt-2.7b,scaffolding,0.297498,0.1162145467328235,0.31939142267179876
facebook/opt-6.7b,correctness,0.297015,0.1660021717985183,0.340256713771859
facebook/opt-6.7b,scaffolding,0.279735,0.1613129128033273,0.32291411561295036
google/gemma-2-2b,correctness,0.292351,0.1694390700143871,0.33790339691743315
google/gemma-2-2b,scaffolding,0.294051,0.1450727148908751,0.3278903524149638
h2oai/h2o-danube2-1.8b-base,correctness,0.299641,0.2145177590175307,0.36851404018694234
h2oai/h2o-danube2-1.8b-base,scaffolding,0.298235,0.1991223723081019,0.35859982484463976
h2oai/h2o-danube3-4b-base,correctness,0.264153,0.0952938194377668,0.28081616661445563
h2oai/h2o-danube3-4b-base,scaffolding,0.283334,0.1133501046250365,0.30516618714154214
ibm-granite/granite-3.0-2b-base,correctness,0.215414,0.1038342521218301,0.2391333170214886
ibm-granite/granite-3.0-2b-base,scaffolding,0.223494,0.1693718512136598,0.2804218108841431
ibm-granite/granite-3.1-2b-base,correctness,0.253925,0.1138196452397561,0.27826752823048534
ibm-granite/granite-3.1-2b-base,scaffolding,0.272789,0.1378608554589722,0.30564596183964154
ibm-granite/granite-3.1-2b-instruct,correctness,0.259563,0.1339049565652228,0.2920676092306954
ibm-granite/granite-3.1-2b-instruct,scaffolding,0.296279,0.1195469122207315,0.31948820019291996
lmsys/vicuna-7b-v1.5,correctness,0.28054,0.1802010320198104,0.33342930816142236
lmsys/vicuna-7b-v1.5,scaffolding,0.295455,0.1935453865083344,0.3532045776368995
meta-llama/Llama-3.2-1B,correctness,0.297322,0.2223807110884253,0.37128634818451606
meta-llama/Llama-3.2-1B,scaffolding,0.292688,0.1597872810038489,0.3334640018271882
meta-llama/Llama-3.2-1B-Instruct,correctness,0.28872,1.0197741045520488,1.0598577558875213
meta-llama/Llama-3.2-1B-Instruct,scaffolding,0.293294,0.5388229016172063,0.6134749300038149
meta-llama/Llama-3.2-3B,correctness,0.212504,0.1172572034511218,0.24270805873966725
meta-llama/Llama-3.2-3B,scaffolding,0.216672,0.183930502204162,0.2842132741887248
meta-llama/Llama-3.2-3B-Instruct,correctness,0.196104,0.1697968154719294,0.2593987998438089
meta-llama/Llama-3.2-3B-Instruct,scaffolding,0.208921,0.2246743527433112,0.3068005036202285
microsoft/Phi-3-mini-4k-instruct,correctness,0.259232,0.1078417891128378,0.28076873277318076
microsoft/Phi-3-mini-4k-instruct,scaffolding,0.294515,0.1142214036433492,0.31588861055007494
microsoft/Phi-3.5-mini-instruct,correctness,0.26973,0.2030020754862486,0.33758571585854247
microsoft/Phi-3.5-mini-instruct,scaffolding,0.298688,0.2290433483026253,0.3763978968401361
microsoft/phi-1_5,correctness,0.297962,0.24207194519451,0.3839012634705099
microsoft/phi-1_5,scaffolding,0.293367,0.2437845930583558,0.3814382315678754
microsoft/phi-2,correctness,0.295408,0.146987406571957,0.3299563367398023
microsoft/phi-2,scaffolding,0.296192,0.0979103096699231,0.3119553327059184
mistralai/Mistral-7B-Instruct-v0.3,correctness,0.253422,0.1367094155221474,0.2879447418801169
mistralai/Mistral-7B-Instruct-v0.3,scaffolding,0.292447,0.1099667341632415,0.31243868267474345
mistralai/Mistral-7B-v0.1,correctness,0.294323,0.1439456515122798,0.3276375725070229
mistralai/Mistral-7B-v0.1,scaffolding,0.298627,0.125721533294695,0.3240123285663203
mistralai/Mistral-7B-v0.3,correctness,0.276831,0.1313957079479015,0.30643145176063474
mistralai/Mistral-7B-v0.3,scaffolding,0.295991,0.1079819368469819,0.31507264363353665
nvidia/Nemotron-Mini-4B-Instruct,correctness,0.262372,0.548987106729818,0.6084619213554588
nvidia/Nemotron-Mini-4B-Instruct,scaffolding,0.297664,0.5996511415936202,0.6694664655608464
openai-community/gpt2,correctness,0.298565,0.2263586559750964,0.3746722572593974
openai-community/gpt2,scaffolding,0.295452,0.1615097377933624,0.3367154283754765
openai-community/gpt2-large,correctness,0.29817,0.3693252358523377,0.47466459604375894
openai-community/gpt2-large,scaffolding,0.286411,0.1942962414094719,0.34609578204139935
openai-community/gpt2-medium,correctness,0.299828,0.4040929521851869,0.5031778448915848
openai-community/gpt2-medium,scaffolding,0.287784,0.1668485314968318,0.33265306720162563
openai-community/gpt2-xl,correctness,0.298582,0.2155155910624595,0.3682365825322102
openai-community/gpt2-xl,scaffolding,0.296433,0.1005732112841115,0.3130295422432179
openbmb/MiniCPM-2B-sft-bf16,correctness,0.291177,0.1852861821722195,0.34513043133423765
openbmb/MiniCPM-2B-sft-bf16,scaffolding,0.298081,0.1840896300704238,0.3503445082493309
stabilityai/stablelm-2-1_6b,correctness,0.295618,0.3961428441777199,0.49428651096020537
stabilityai/stablelm-2-1_6b,scaffolding,0.27068,0.3135234734568508,0.41420361032763653
stabilityai/stablelm-2-zephyr-1_6b,correctness,0.295066,0.8943540002645072,0.9417712153942305
stabilityai/stablelm-2-zephyr-1_6b,scaffolding,0.295356,0.5823115513584929,0.6529333117413559
stabilityai/stablelm-3b-4e1t,correctness,0.282199,0.1998860751415773,0.34581891017771754
stabilityai/stablelm-3b-4e1t,scaffolding,0.285852,0.1792720754584945,0.3374164236417607
stabilityai/stablelm-zephyr-3b,correctness,0.291038,0.1784891977118745,0.34141105890675044
stabilityai/stablelm-zephyr-3b,scaffolding,0.295765,0.2095843896280134,0.3624948987237571
tiiuae/Falcon3-1B-Base,correctness,0.23236,0.2028461228899351,0.3084440292362273
tiiuae/Falcon3-1B-Base,scaffolding,0.262075,0.1596347290766441,0.3068656910643051
tiiuae/Falcon3-3B-Base,correctness,0.243801,0.1112751330989135,0.26799455749544787
tiiuae/Falcon3-3B-Base,scaffolding,0.296533,0.1385942591553958,0.32732275930621296
tiiuae/Falcon3-7B-Base,correctness,0.171399,0.1524397938895165,0.22938070529597354
tiiuae/Falcon3-7B-Base,scaffolding,0.200493,0.2513648558058379,0.3215302999458833
togethercomputer/RedPajama-INCITE-7B-Base,correctness,0.297628,0.2425781879229261,0.3839617215816838
togethercomputer/RedPajama-INCITE-7B-Base,scaffolding,0.298603,0.1417715399196339,0.3305494231430216
togethercomputer/RedPajama-INCITE-Base-3B-v1,correctness,0.298034,0.1897893053626883,0.3533330519298354
togethercomputer/RedPajama-INCITE-Base-3B-v1,scaffolding,0.295229,0.1408543465038657,0.32710871185285034
01-ai/Yi-1.5-6B,correctness,0.278348,0.1020977125987213,0.2964819590158752
01-ai/Yi-1.5-6B,scaffolding,0.292024,0.1491276171452605,0.3278979456651465
01-ai/Yi-1.5-6B-Chat,correctness,0.171337,0.088243411933405,0.19272588647778638
01-ai/Yi-1.5-6B-Chat,scaffolding,0.173656,0.2425824338041524,0.29833310833084886
01-ai/Yi-6B-200K,correctness,0.292956,0.1755677705317719,0.341536615878147
01-ai/Yi-6B-200K,scaffolding,0.274391,0.1168651410224702,0.2982413151580475
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,correctness,0.299022,0.1571165499842345,0.33778656983803906
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,scaffolding,0.297765,0.1707264038222173,0.3432367989989809
BEE-spoke-data/smol_llama-220M-openhermes,correctness,0.29678,0.2709865010069268,0.4018856207031761
BEE-spoke-data/smol_llama-220M-openhermes,scaffolding,0.295549,0.1193612804732756,0.3187417868388454
BSC-LT/salamandra-2b,correctness,0.292888,0.2783818420353625,0.4040789904449395
BSC-LT/salamandra-2b,scaffolding,0.290617,0.2016429648263636,0.3537204064695252
BSC-LT/salamandra-2b-instruct,correctness,0.294596,0.292069050790903,0.41483868388314404
BSC-LT/salamandra-2b-instruct,scaffolding,0.295336,0.1811147014136744,0.3464475255564173
BSC-LT/salamandra-7b,correctness,0.299478,0.2260968043839481,0.3752423715901941
BSC-LT/salamandra-7b,scaffolding,0.292736,0.1936606190049685,0.3509968675777429
BSC-LT/salamandra-7b-instruct,correctness,0.296252,0.5178261586389927,0.596581241806022
BSC-LT/salamandra-7b-instruct,scaffolding,0.299218,0.7271358968736485,0.7862938534964172
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,correctness,0.256705,0.154679379432435,0.2997051341679071
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,scaffolding,0.299191,0.1576854262480398,0.3382010469114872
OpenBMB/MiniCPM4-0.5B,correctness,0.297997,0.2116793646736725,0.3655275166627673
OpenBMB/MiniCPM4-0.5B,scaffolding,0.267552,0.1748781787909174,0.3196348700020511
Qwen/Qwen1.5-1.8B,correctness,0.295021,1.042757969464413,1.08368887293473
Qwen/Qwen1.5-1.8B,scaffolding,0.297288,0.6693685562585276,0.732416834221897
Qwen/Qwen1.5-1.8B-Chat,correctness,0.29748,0.2297784290090528,0.3758889155560035
Qwen/Qwen1.5-1.8B-Chat,scaffolding,0.294612,0.1989958897512936,0.3555215811760363
ai-forever/mGPT,correctness,0.299637,0.3725672875704326,0.4781095225328496
ai-forever/mGPT,scaffolding,0.187381,0.212734693317991,0.283491955621495
allenai/OLMo-1B-hf,correctness,0.295652,0.1643319924508468,0.3382530248894534
allenai/OLMo-1B-hf,scaffolding,0.283321,0.146715214690527,0.3190550787288731
allenai/OLMo-2-0425-1B-DPO,correctness,0.282006,0.2043513916884479,0.34826265277948687
allenai/OLMo-2-0425-1B-DPO,scaffolding,0.299623,0.1469606422428677,0.33372349707120735
allenai/OLMo-2-0425-1B-Instruct,correctness,0.257525,0.1246577626186072,0.2861095653872429
allenai/OLMo-2-0425-1B-Instruct,scaffolding,0.29251,0.231567317411803,0.37307575985756397
arcee-ai/raspberry-3B,correctness,0.194689,0.1248989133654103,0.23130833379033333
arcee-ai/raspberry-3B,scaffolding,0.207128,0.1998775868501983,0.28784207147159463
google/gemma-2b,correctness,0.284017,0.298828574996869,0.4122671142883693
google/gemma-2b,scaffolding,0.288609,0.1938073513199952,0.34764413457826676
h2oai/h2o-danube-1.8b-chat,correctness,0.295573,0.2073817098675225,0.3610686526362781
h2oai/h2o-danube-1.8b-chat,scaffolding,0.298557,0.1556255475033841,0.3366832239431125
h2oai/h2o-danube2-1.8b-chat,correctness,0.296345,0.2448833094613754,0.3844323012934212
h2oai/h2o-danube2-1.8b-chat,scaffolding,0.294125,0.1456217044062044,0.32819993360628213
ibm-granite/granite-7b-instruct,correctness,0.295009,0.2527574041460682,0.38847987776931103
ibm-granite/granite-7b-instruct,scaffolding,0.294176,0.2093618991786726,0.3610705246952466
ibm/PowerLM-3b,correctness,0.281975,0.3701840889993152,0.4653452055982235
ibm/PowerLM-3b,scaffolding,0.296074,0.6147223674775495,0.6823074105952561
nvidia/AceInstruct-1.5B,correctness,0.219495,0.1206817420333264,0.2504838076307495
nvidia/AceInstruct-1.5B,scaffolding,0.29196,0.192658622280071,0.3497970645086306
openbmb/MiniCPM-1B-sft-bf16,correctness,0.299632,0.2288598375602087,0.37703602039073814
openbmb/MiniCPM-1B-sft-bf16,scaffolding,0.27979,0.088186114663496,0.2933585432869533
openlm-research/open_llama_3b,correctness,0.297677,0.1442911637026573,0.33080437761865705
openlm-research/open_llama_3b,scaffolding,0.281447,0.1159509979128695,0.30439620189153194
pankajmathur/orca_mini_3b,correctness,0.295658,0.3317685676607993,0.44439175898265526
pankajmathur/orca_mini_3b,scaffolding,0.288068,0.216376336645102,0.3602802959973727
pankajmathur/orca_mini_v9_5_3B-Instruct,correctness,0.279029,0.1125212847097716,0.3008624641821201
pankajmathur/orca_mini_v9_5_3B-Instruct,scaffolding,0.298347,0.1560570779534944,0.3366968131544803
stabilityai/stablelm-2-1_6b-chat,correctness,0.287899,0.2019618961805853,0.35167377171159286
stabilityai/stablelm-2-1_6b-chat,scaffolding,0.292063,0.1786360101938506,0.34236182629927875
tiiuae/Falcon3-1B-Instruct,correctness,0.290554,0.1283036976677266,0.31762157633134963
tiiuae/Falcon3-1B-Instruct,scaffolding,0.299831,0.2851893608476634,0.41380140176381563
tiiuae/Falcon3-3B-Instruct,correctness,0.23258,0.1330349534679241,0.2679398351201492
tiiuae/Falcon3-3B-Instruct,scaffolding,0.297355,0.1418174852433579,0.32944224857438975
utter-project/EuroLLM-1.7B,correctness,0.294375,0.1931528360510445,0.35208615238256913
utter-project/EuroLLM-1.7B,scaffolding,0.285061,0.1478125861462608,0.3211048650273704
utter-project/EuroLLM-1.7B-Instruct,correctness,0.2937,0.2231358289233115,0.36884859786814067
utter-project/EuroLLM-1.7B-Instruct,scaffolding,0.297093,0.1729763390389487,0.3437805470301037
