model,fold,criteria_administered,scenarios_administered,precision_reached,theta_ref_general,theta_online_general,theta_batch_general,theta_mwle_general,theta_mle_general,obs_pass_rate,pred_pass_rate
Qwen/Qwen1.5-1.8B,1,31,8,True,-1.686697639664092,-1.2793544338914917,-1.2793544338914935,-1.2777808658977097,-1.2852961611307157,0.1412310286677909,0.20144142762144915
Qwen/Qwen1.5-1.8B-Chat,3,41,8,True,0.3883034414390885,0.1142120962129185,0.11421209621291847,0.11225529325611391,0.11381505497884238,0.4855224506924045,0.44570467649809886
Qwen/Qwen2-0.5B,4,35,8,True,-0.6413603409482376,-0.3985872670577608,-0.3985872670577613,-0.38293957105095383,-0.39264176954270563,0.24343776460626587,0.30743200956607225
Qwen/Qwen2.5-0.5B-Instruct,4,47,12,True,0.5448329936874463,0.32039943028367585,0.320399430283674,0.29922447560106347,0.31200481045813233,0.45235069885641677,0.4256872098043552
ai-forever/mGPT,3,146,40,False,-4.537800997497735,-3.6876755412910898,-3.68767554129109,-3.8895635784845064,-3.9773515686735235,0.028115820394460762,0.043379287191961234
allenai/OLMo-1B-hf,3,149,40,False,-4.810603659066731,-4.291472247314992,-4.291472247314996,-5.709025545046161,-6.930459272210154,0.02643726395300042,0.027937812064338024
allenai/OLMo-2-0425-1B,3,23,8,True,-1.3088913095313415,-0.9529280215164281,-0.9529280215164269,-0.9707671337968964,-0.9686067988468022,0.19135543432647922,0.2526617310714289
allenai/OLMo-2-0425-1B-DPO,4,34,8,True,1.3955947174410315,1.50208320127475,1.5020832012747452,1.5026187265919737,1.5127826680956085,0.6248941574936494,0.6328819420698387
allenai/OLMo-2-0425-1B-Instruct,4,42,11,True,1.3289296298380069,1.515217527545325,1.515217527545321,1.5109339996769449,1.5238678414195896,0.6232006773920407,0.6342433292804976
arcee-ai/raspberry-3B,0,52,11,True,1.2715278028401882,0.9538331566534813,0.9538331566534806,0.9716328034111676,0.9681658301349214,0.6347935973041281,0.5768366886406961
google/gemma-2-2b,2,45,10,True,-1.4608310135592915,-1.4627230337534325,-1.4627230337534283,-1.4605396549140095,-1.4718566433593658,0.1634980988593156,0.16373129576204012
google/gemma-2b,1,29,8,True,-1.5080928120843338,-1.197064520457963,-1.197064520457964,-1.2072839668028095,-1.2086114066612428,0.16055625790139064,0.2111514652435797
h2oai/h2o-danube-1.8b-chat,3,34,8,True,0.1975037753870283,0.08259426685055403,0.0825942668505541,0.07694975409344654,0.0799933281125459,0.45446915652538816,0.4391009060977796
h2oai/h2o-danube2-1.8b-base,4,38,8,True,-0.5455440315408598,-0.20828034753246571,-0.20828034753246638,-0.20699563377955946,-0.20853001133552054,0.27276577721304535,0.33739096689716036
h2oai/h2o-danube2-1.8b-chat,1,36,8,True,-0.0009449494132644123,-0.2210135399512955,-0.22101353995129566,-0.22638494627131572,-0.22510094437035538,0.3994943109987358,0.3638417262038934
ibm-granite/granite-3.0-2b-base,2,55,15,True,0.7016707085241451,0.8445150379148794,0.8445150379148804,0.8680802640060784,0.8620672449332138,0.5198647506339814,0.547384422141262
ibm-granite/granite-3.1-2b-base,3,32,8,True,0.40157061229552027,0.20211727409608532,0.20211727409608543,0.19181605836180624,0.19814473166903523,0.5262274443978179,0.46044174125981463
ibm-granite/granite-3.1-2b-instruct,2,46,12,True,2.107355627648994,1.2914179196841258,1.2914179196841262,1.30092886854506,1.3045608699695126,0.7827557058326289,0.6218074834832582
ibm-granite/granite-7b-instruct,1,47,14,True,1.1807361030224668,1.3127138953516506,1.3127138953516497,1.3247844299313614,1.3283051983064025,0.5992414664981036,0.6153513547614822
ibm/PowerLM-3b,0,56,12,True,0.12772796608887568,0.3365220182940498,0.3365220182940497,0.3196639480236126,0.33098606737858227,0.44060657118786856,0.47234515090879015
meta-llama/Llama-3.2-1B,0,38,9,True,-1.7447321757087422,-1.4476554073932142,-1.4476554073932144,-1.4462828491201611,-1.4552531099153254,0.13642105263157894,0.18939506839173492
meta-llama/Llama-3.2-1B-Instruct,1,51,13,True,1.0182848852349309,0.9406889867756982,0.9406889867756989,0.968193658637757,0.9612147459139687,0.5887811050189793,0.5595498192833057
meta-llama/Llama-3.2-3B-Instruct,0,55,15,True,1.970006207119375,1.6011062640035378,1.6011062640035383,1.5983187157477905,1.6102198441310644,0.7637894736842106,0.6749699005515831
microsoft/phi-1_5,2,33,8,True,-1.1019899936034812,-1.0910111580331625,-1.091011158033163,-1.0923093806405264,-1.0982681999309731,0.1926489226869455,0.2122418178804914
nvidia/AceInstruct-1.5B,1,67,17,True,1.6977023456929712,1.3806756972579957,1.3806756972579977,1.3831813636652466,1.3915446615052813,0.6793088916982722,0.6242022556552594
openbmb/MiniCPM-1B-sft-bf16,1,33,8,True,-1.7983639543405983,-1.2531391664525975,-1.2531391664525973,-1.2535786224828782,-1.2596988663933237,0.10830172777075432,0.2047336987757165
openbmb/MiniCPM-2B-sft-bf16,0,36,8,True,-0.31577940432630425,-0.22561462603836863,-0.22561462603836904,-0.22052643707443287,-0.2241114104186085,0.3688421052631579,0.3832628078485265
openlm-research/open_llama_3b,2,115,28,True,-1.819862664154197,-1.8904940744443663,-1.8904940744443672,-1.894759753021391,-1.905899981998397,0.12336290663286861,0.12015372367421412
pankajmathur/orca_mini_3b,0,35,8,True,-0.3899917552018054,-0.284809794065834,-0.2848097940658343,-0.27717855847179323,-0.2825659204490848,0.35425442291491155,0.3738070691491623
pankajmathur/orca_mini_v9_5_3B-Instruct,4,45,12,True,1.6364277340580848,1.0759247358146657,1.0759247358146657,1.0934214519973333,1.091635150086882,0.6655376799322608,0.5626319631191963
stabilityai/stablelm-2-1_6b-chat,2,52,14,True,1.0385564994110712,1.1019291493529686,1.1019291493529706,1.115482684317842,1.11588111547618,0.5756551141166526,0.590263643899511
stabilityai/stablelm-2-zephyr-1_6b,0,42,9,True,0.674459148206042,0.8610239741766272,0.8610239741766273,0.889526562985663,0.8811247006399794,0.5153684210526316,0.5635270257410605
stabilityai/stablelm-zephyr-3b,2,41,11,True,1.1882510653766354,1.0755027274788231,1.075502727478824,1.094903587608694,1.092886207405892,0.6083650190114068,0.586718995152261
tiiuae/Falcon3-1B-Instruct,1,63,15,True,1.0593461970593925,1.0610978522713443,1.0610978522713461,1.075780358657228,1.075866400033287,0.5769068689422672,0.5766304104039768
tiiuae/Falcon3-3B-Base,1,40,11,True,0.5343187335810284,0.09081364627842516,0.09081364627842511,0.07571409340047178,0.08366017606362028,0.494732406236831,0.4142773911500666
tiiuae/Falcon3-3B-Instruct,4,39,9,True,1.8747217657155768,1.4650313615792314,1.465031361579232,1.4633181257247914,1.4735728300135538,0.7306226175349428,0.6264010313037187
utter-project/EuroLLM-1.7B,2,38,9,True,-1.2885894416371042,-1.3061325191288922,-1.3061325191288926,-1.3075144939119574,-1.3158941069217929,0.1563160118293198,0.18261641659007827
utter-project/EuroLLM-1.7B-Instruct,0,43,10,True,-0.024315800124700675,-0.009931666065398167,-0.009931666065398179,-0.03328468449995986,-0.022045631797847572,0.3934288121314238,0.4145148369678117
