model,adaptive_items_se0.3,random_items_se0.3,adaptive_items_se0.2,random_items_se0.2,adaptive_items_se0.1,random_items_se0.1
jaspionjader/test-13,8,21,8,48,31,242
jlzhou/Qwen2.5-3B-Infinity-Instruct-0625,22,260,44,400,400,400
jpacifico/Chocolatine-3B-Instruct-DPO-v1.2,8,18,8,36,17,189
jpacifico/Distilucie-7B-Math-Instruct-DPO-v0.1,9,195,27,299,400,400
jpacifico/Lucie-7B-Instruct-DPO-v1.1,8,105,17,400,400,400
kz919/QwQ-0.5B-Distilled-SFT,400,400,400,400,400,400
lesubra/ECE-PRYMMAL-3B-SLERP-V1,8,44,8,81,28,245
lunahr/thea-3b-50r-u1,8,46,9,83,36,261
matouLeLoup/ECE-PRYMMAL-0.5B-FT-V4-MUSR-ENSEMBLE-Mathis,12,252,32,383,400,400
meditsolutions/MedIT-Mesh-3B-Instruct,9,32,13,57,34,188
mergekit-community/mergekit-dare_ties-ajgjgea,8,64,17,212,72,400
meta-llama/Llama-3.2-3B,21,290,162,400,400,400
meta-llama/Llama-3.2-3B-Instruct,8,25,8,32,22,175
monsterapi/gemma-2-2b-LoRA-MonsterInstruct,8,192,121,400,400,400
mrdayl/OpenCogito,8,14,8,45,12,138
netcat420/MFANN-abliterated-phi2-merge-unretrained,9,253,19,400,400,400
netcat420/MFANN3bv0.18,8,111,18,207,400,400
open-atlas/Atlas-Flash-1.5B-Preview,8,45,13,90,101,400
pankajmathur/orca_mini_v9_5_1B-Instruct,8,74,14,233,126,400
pankajmathur/orca_mini_v9_6_3B-Instruct,8,95,13,170,52,400
prithivMLmods/Llama-Deepsync-1B,8,81,18,122,119,400
qingy2024/Qwen2.5-4B,8,88,14,165,54,400
saishshinde15/TethysAI_Vortex_Reasoning,8,22,8,46,19,153
sumink/Qwenftmodel,8,34,9,73,43,315
sumink/llamaft,400,400,400,400,400,400
tiiuae/Falcon3-3B-Instruct,8,27,8,45,15,114
tinycompany/SigmaBoi-bge-m3,13,28,17,111,56,369
tinycompany/Tamed-Shawty,8,48,10,72,49,383
viettelsecurity-ai/security-llama3.2-3b,8,24,8,60,31,209
voidful/smol-360m-ft,400,400,400,400,400,400
vonjack/Phi-3-mini-4k-instruct-LLaMAfied,8,18,8,40,19,214
weathermanj/Menda-3b-Optim-200,8,15,8,26,10,31
win10/Qwen2.5-2B-Instruct,400,400,400,400,400,400
ymcki/gemma-2-2b-jpn-it-abliterated-17-ORPO,8,89,10,132,65,400
yuchenxie/ArlowGPT-3B-Multilingual,8,70,12,91,43,256
