model,params_b
allknowingroger/StarlingMaxLimmy-7B-slerp,7.0
Nexusflow/Starling-LM-7B-beta,7.0
lemon-mint/gemma-ko-7b-instruct-v0.71,7.0
nbeerbower/flammen13X-mistral-7B,7.0
FallenMerick/Smart-Lemon-Cookie-7B,7.0
jambroz/FNCARLplus-7b,7.0
Azure99/blossom-v4-qwen1_5-7b,7.0
jisukim8873/falcon-7B-case-8,7.0
maldv/winter-garden-7b-delta,7.0
Weyaxi/MetaMath-Tulpar-7b-v2-Slerp,7.0
mvpmaster/Einstein-4D-Marcoro14-7b-full-slerp,7.0
AIJUUD/juud-Mistral-7B-dpo,7.0
CorticalStack/neurotic-crown-clown-7b-ties,7.0
Kukedlc/NeuralExperiment-7b-MagicCoder-v7.5,7.0
grimjim/madwind-wizard-7B,7.0
cognitivecomputations/dolphin-2.6-mistral-7b-dpo,7.0
twodgirl/Nimue-7B,7.0
rufjdk5480/llama-7b-ludwig-alpaca,7.0
PeanutJar/LLaMa-2-PeanutButter_v19_R8-7B,7.0
chujiezheng/tulu-2-dpo-7b-ExPO,7.0
ResplendentAI/Sinerva_7B,7.0
superlazycoder/NeuralPipe-7B-slerp,7.0
flammenai/flammen22-mistral-7B,7.0
touqir/Cyrax-7B,7.0
yam-peleg/gemma-7b-experiment,7.0
DUAL-GPO/phi-2-gpo-renew2-b0.001-extra-i1,2.7
shadowml/Marcoro14-7B-ties,7.0
YouKnowMee/Mistral-7b-instruct-v0.2-summ-dpo-ed3,7.0
Nitral-AI/Prima-LelantaclesV7-experimentalv2-7b,7.0
Azazelle/Maylin-7b,7.0
Deci/DeciLM-7B-instruct,7.0
AbacusResearch/jaLLAbi2-7b,7.0
mlabonne/NeuralPipe-7B-ties,7.0
DreadPoor/EveryNight-7B-slerp,7.0
FuseAI/FuseChat-7B-VaRM,7.0
TokenBender/pic_7B_mistral_Full_v0.2,7.0
FuseAI/OpenChat-3.5-7B-Mixtral,7.0
silvercoder45/Mistral-7b-instruct-v0.2-summ-sft-dpo-e1,7.0
ChaoticNeutrals/Eris_7B,7.0
Nitral-AI/Stanta-Lelemon-Maid-7B,7.0
perlthoughts/Chupacabra-7B-v2.04,7.0
allknowingroger/AutoLimmy-7B-slerp,7.0
Kukedlc/NeuralKuke-4-All-7b,7.0
Kquant03/Medusa-7B-bf16,7.0
raincandy-u/phillama-3.8b-v0.1,3.8
Gille/StrangeMerges_12-7B-slerp,7.0
DreadPoor/ToppyEvil-7B-slerp,7.0
dominguesm/canarim-7b,7.0
allknowingroger/QuantumBruins-7B-slerp,7.0
ArianAskari/SOLID-SFT-DPO-MixQV3-SOLIDRejected-SFTChosen-Zephyr-7b-beta,7.0
TeeZee/DarkSapling-7B-v2.0,7.0
maywell/Synatra-7B-v0.3-dpo,7.0
tourist800/Marcoro14-7B-slerp,7.0
PocketDoc/Dans-AdventurousWinds-Mk2-7b,7.0
Weyaxi/MetaMath-neural-chat-7b-v3-2-Ties,7.0
raincandy-u/Rain-7B-v0.1,7.0
flammenai/Mahou-1.2-mistral-7B,7.0
juhwanlee/gemma-7B-alpaca-case-1-2,7.0
ichigoberry/pandafish-7b,7.0
ignos/LeoScorpius-GreenNode-Platypus-7B-v1,7.0
sonthenguyen/NeuralHermes-2.5-Mistral-7B,7.0
KKare/Misgit-7B-slerp,7.0
chanwit/flux-7b-v0.1,7.0
flammenai/Mahou-1.1-mistral-7B,7.0
Kukedlc/Jupiter-k-7B-slerp,7.0
BuckeyBarnes/TriFusionNexus-7b,7.0
Isaak-Carter/J.O.S.I.E.3-Beta12-7B-slerp,7.0
Weyaxi/MetaMath-NeuralHermes-2.5-Mistral-7B-Ties,7.0
rmdhirr/Anthesis_7B,7.0
liminerity/Blurstral-7b-slerp,7.0
SC56/Mistral-7B-sumz-dpo-3h,7.0
222gate/BrurryDog-7b-v0.1,7.0
lex-hue/Delexa-V0.1-7b,7.0
bofenghuang/vigostral-7b-chat,7.0
ResplendentAI/Paradigm_7B,7.0
AurelPx/Meliodas-7b-dare,7.0
tlphams/zoyllm-7b-slimorca,7.0
Ppoyaa/LuminRP-7B-128k-v0.2,7.0
mlabonne/NeuralDarewin-7B,7.0
localfultonextractor/Erosumika-7B-v3,7.0
martyn/mistral-megamerge-dare-7b,7.0
nnethercott/llava-v1.5-7b-hf-vicuna,7.0
CobraMamba/mamba-gpt-7b-v2,7.0
nbeerbower/flammen12-mistral-7B,7.0
cgato/Thespis-Krangled-7b-v2,7.0
abideen/MonarchCoder-7B,7.0
tenyx/TenyxChat-7B-v1,7.0
AIDC-ai-business/Marcoroni-7B-v2,7.0
BarryFutureman/NeuralLake-Variant1-7B,7.0
yam-peleg/Hebrew-Mistral-7B,7.0
leveldevai/TurdusBeagle-7B,7.0
rmdhirr/Pulsar_7B,7.0
wang7776/Mistral-7B-Instruct-v0.2-sparsity-20-v0.1,7.0
Changgil/K2S3-Mistral-7b-v1.4,7.0
lodrick-the-lafted/Hermes-Instruct-7B-v0.2,7.0
jsfs11/RandomMergeNoNormWEIGHTED-7B-DARETIES,7.0
JCX-kcuf/Mistral-7B-v0.1-gpt-4-60k,7.0
Kukedlc/NeuralSynthesis-7B-v0.1,7.0
AI-B/UTENA-7B-V3,7.0
Neuronovo/neuronovo-7B-v0.3,7.0
CorticalStack/mistral-7b-openhermes-sft,7.0
nbeerbower/flammen9-mistral-7B,7.0
perlthoughts/Chupacabra-7B-v2.01,7.0
l3utterfly/mistral-7b-v0.1-layla-v4-chatml,7.0
Nitral-AI/Mika-Lelantacles-7b-Longtext,7.0
NurtureAI/Orca-2-7B-16k,7.0
viethq188/Rabbit-7B-v2-DPO-Chat,7.0
microsoft/WizardLM-2-7B,7.0
mayacinka/yam-sam-7B,7.0
YouKnwMe/Mistral-7B-Instruct-exp-e2,7.0
Locutusque/Hyperion-3.0-Mistral-7B-DPO,7.0
CorticalStack/mistral-7b-metamathqa-sft,7.0
G-reen/EXPERIMENT-SFT-m7b2-2-merged,7.0
paulml/OmniBeagleMBX-v3-7B,7.0
luffycodes/vicuna-class-tutor-7b-ep3,7.0
uukuguy/airoboros-m-7b-3.1.2-dare-0.85,7.0
s3nh/SeverusWestLake-7B-DPO,7.0
G-reen/EXPERIMENT-SFT-m7b2-3-merged,7.0
nlpguy/ColorShadow-7B-v3,7.0
aihub-app/ZySec-7B-v1,7.0
NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2,7.0
ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDRejected-SFTChosen-Zephyr-7b-beta,7.0
allknowingroger/MultiverseEx26-7B-slerp,7.0
adamo1139/Yi-6B-200K-AEZAKMI-v2,6.0
CultriX/NeuralTrix-7B-dpo,7.0
WDong/Qwen1.5-7B-sft-0506_7_7,7.0
NLUHOPOE/Mistral-7B-attention-100000,7.0
Qwen/Qwen1.5-MoE-A2.7B-Chat,2.7
alvarobartt/mistral-7b-orpo-capybara-reproduction,7.0
Kquant03/NeuralTrix-7B-dpo-relaser,7.0
UCLA-AGI/zephyr-7b-sft-full-SPIN-iter3,7.0
Locutusque/lr-experiment1-7B,7.0
eren23/dpo-binarized-NeuralTrix-7B,7.0
juhwanlee/llmdo-Mistral-7B-case-7,7.0
grimjim/cuckoo-starling-32k-7B,7.0
yanolja/EEVE-Korean-2.8B-v1.0,2.8
chlee10/T3Q-Platypus-Mistral7B,7.0
augmxnt/shisa-base-7b-v1,7.0
liuda1/Mistral-7B-golden,7.0
tushar310/MisGemma-7B,7.0
Weyaxi/Einstein-v4-phi2,2.7
weezywitasneezy/OxytocinErosEngineeringFX-7B-slerp,7.0
wang7776/Llama-2-7b-chat-hf-20-sparsity,7.0
Eang/Marcoro14-7B-slerp,7.0
saucam/Arithmo-Wizard-2-7B,7.0
paulml/OmniBeagleSquaredMBX-v3-7B,7.0
Gille/StrangeMerges_48-7B-dare_ties,7.0
MediaTek-Research/Breeze-7B-Instruct-v1_0,7.0
perlthoughts/Chupacabra-7B-v2.03-128k,7.0
Changgil/K2S3-Mistral-7b-v1.48,7.0
WDong/7B-0428,7.0
jeiku/Cookie_7B,7.0
Aryanne/Open-StarLake-Swap-7B,7.0
SCE/Mistral-7B-summ-lora-tuned,7.0
allknowingroger/DolphinChat-7B-slerp,7.0
chlee10/T3Q-Merge-Mistral7B,7.0
augmxnt/shisa-gamma-7b-v1,7.0
amu/spin-phi2,2.7
leveldevai/MarcDareBeagle-7B,7.0
allknowingroger/Strangecoven-7B-slerp,7.0
dball/zephyr-7b-sft-qlora,7.0
cgato/Thespis-7b-v0.2-SFTTest-3Epoch,7.0
DreadPoor/BagelLake-7B-slerp,7.0
0-hero/Matter-0.1-Slim-7B-A,7.0
Novocoders/jaskier-7b-NeuralDPO,7.0
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,7.0
TRI-ML/mamba-7b-rw,7.0
ZySec-AI/ZySec-7B,7.0
mayacinka/Buttercup-7b-dpo-ties,7.0
maldv/winter-garden-7b-beta,7.0
unsloth/mistral-7b-v0.2,7.0
Isaak-Carter/JOSIE_Beta-4-7B-slerp,7.0
allknowingroger/LadybirdGonzo-7B-slerp,7.0
umd-zhou-lab/recycled-wizardlm-7b-v2.0,7.0
CortexLM/btlm-v1-7b-base-v0.1,7.0
Kukedlc/NeuralKukedlc-7B-Labonned,7.0
uukuguy/speechless-mistral-six-in-one-7b,7.0
chihoonlee10/T3Q-DPO-Mistral-7B,7.0
robinsmits/Mistral-Instruct-7B-v0.2-ChatAlpacaV2-4bit,7.0
uukuguy/SynthIA-7B-v1.3-dare-0.85,7.0
AbacusResearch/RasGulla1-7b,7.0
Eric111/Mistral-7B-Instruct_v0.2_UNA-TheBeagle-7b-v1,7.0
JCX-kcuf/Llama-2-7b-chat-hf-gpt-3.5-80k-base_lora,7.0
field2437/phi-2-test,2.7
uukuguy/neural-chat-7b-v3-1-dare-0.85,7.0
DreadPoor/Bageluccine-2-7B-slerp,7.0
robinsmits/Qwen1.5-7B-Dutch-Chat-Sft,7.0
allknowingroger/PrometheusLaser-7B-slerp,7.0
saishf/Kuno-Lake-7B,7.0
Gille/StrangeMerges_51-7B-dare_ties,7.0
frankenmerger/delta-4b-orange,4.0
Gille/StrangeMerges_42-7B-dare_ties,7.0
yam-peleg/Experiment7-7B,7.0
liminerity/binarized-ingotrix-slerp-7b,7.0
adamo1139/Mistral-7B-AEZAKMI-v1,7.0
Charlie911/vicuna-7b-v1.5-general-temporal-merged,7.0
Locutusque/OpenCerebrum-1.5-Mistral-7b-v0.2-alpha,7.0
Inv/Kazbek-7B,7.0
MaziyarPanahi/Calme-7B-Instruct-v0.9,7.0
jisukim8873/mistral-7B-alpaca-case-1-2,7.0
Jingyu6/MergeTest-7B-slerp,7.0
abhishekchohan/mistral-7B-forest-dpo,7.0
Test157t/Prima-Pastacles-7b-128k,7.0
chargoddard/internlm2-base-7b-llama,7.0
SanjiWatsuki/Sonya-7B,7.0
CultriX/NeuralCeptrix-7B-SLERP,7.0
BarraHome/Mistroll-7B-v0.3-16bit,7.0
DUAL-GPO/phi-2-gpo-renew2-b0.001-0.5ultrafeedback-i1,2.7
mindy-labs/mindy-7b-v2,7.0
Abhinav7/NeuralPipe-7B-slerp,7.0
CorticalStack/pastiche-crown-clown-7b-dare-dpo,7.0
0ai/0ai-7B-v3,7.0
Test157t/Eris-Daturamix-7b,7.0
Weyaxi/Einstein-v5-v0.2-7B,7.0
ChaoticNeutrals/Eris_PrimeV3-Vision-7B,7.0
louisbrulenaudet/Pearl-7B-0210-dare,7.0
Xenon1/Eclipse-7B,7.0
jondurbin/bagel-dpo-7b-v0.4,7.0
lole25/phi-2-sft-lora-ultrachat,2.7
hamxea/Mistral-7B-v0.1-activity-fine-tuned-v5,7.0
MiniMoog/Mergerix-7b-v0.5,7.0
Radiantloom/radintloom-mistral-7b-fusion,7.0
openagi-project/OpenAGI-7B-v0.1-test-ada,7.0
indischepartij/OpenMia-Indo-Engineering-7b,7.0
Badgids/Gonzo-Code-7B,7.0
Charlie911/zephyr-7b-beta-MultiLoRA-mmlu-merged,7.0
bardsai/jaskier-7b-dpo-v4.3,7.0
0-hero/Matter-0.2-7B,7.0
abhishekchohan/mistral-7B-med-merge,7.0
SC56/Mistral-7B-orca-dpo-2h,7.0
chargoddard/piano-medley-7b,7.0
SCE/Mistral-7B-math-ia3-pruned20,7.0
CausalLM/7B-DPO-alpha,7.0
lgaalves/mistral-7b_open_platypus,7.0
conceptofmind/LLongMA-2-7b-16k,7.0
TinyPixel/llama2-7b-instruct,7.0
ehartford/dolphin-2.2.1-mistral-7b,7.0
tricktreat/Llama-2-7b-chat-hf-guanaco-freeze-embed-tokens-q-v-proj-lora,7.0
jilp00/OpenHermes-Symbolic-Mistral-7B,7.0
922CA/Silicon-Natsuki-7b,7.0
seyf1elislam/WestKunai-X-7b,7.0
eren23/ogno-monarch-jaskier-merge-7b-v2,7.0
pinkyponky/Mistral-7B-Instruct-Sft-Tuned-V0.2,7.0
teknium/OpenHermes-2-Mistral-7B,7.0
RatanRohith/MistralBeagle-RS-7B-V0.1,7.0
bardsai/jaskier-7b-dpo,7.0
allknowingroger/limyClown-7B-slerp,7.0
ewqr2130/alignment-handbook-zephyr-7b-sft-full-dpo-5e7-cont1,7.0
JunchengXie/Mistral-7B-Instruct-v0.1-gpt-4-80k-base_lora,7.0
allknowingroger/LeeMerge-7B-slerp,7.0
freecs/ThetaWave-7B-v0.2,7.0
mahiatlinux/MasherAI-v6.1-7B-eval-test,7.0
Gille/StrangeMerges_23-7B-slerp,7.0
ChaoticNeutrals/Eris_Remix_7B,7.0
WizardLM/WizardMath-7B-V1.1,7.0
clowman/openchat-mistral-7b-reproduce,7.0
silvercoder67/Mistral-7b-instruct-v0.2-summ-sft-dpo-e3,7.0
yam-peleg/Experiment26-7B,7.0
flammenai/flammen24-mistral-7B,7.0
SF-Foundation/TextBase-7B-v0.1,7.0
allknowingroger/TripleMerge-7B-Ties,7.0
nasiruddin15/Neural-grok-dolphin-Mistral-7B,7.0
ChaoticNeutrals/Eris_Floramix_DPO_7B,7.0
mayacinka/yam-jom-7B-dare,7.0
JCX-kcuf/Mistral-7B-v0.1-gpt-4-80k,7.0
wang7776/Mistral-7B-Instruct-v0.2-sparsity-10,7.0
YKM11/Mistral-7B-adaptv1,7.0
Noodlz/DolphinLake-7B,7.0
CultriX/MergeTrix-7B-v2,7.0
XuanXuanXuanXuan/Llama-2-7b-hf-gpt-3.5-80k,7.0
azarafrooz/mistral-v2-7b-selfplay-low-tmp,7.0
allknowingroger/MultiCalm-7B-slerp,7.0
Eric111/Mistral-7B-Instruct-v0.2_openchat-3.5-0106,7.0
freeCS-dot-org/Zero-7B-test-3,7.0
ZoidBB/unraveled-7b-a1,7.0
CorticalStack/mistral-7b-tak-stack-dpo,7.0
FelixChao/MathDolphin-7B,7.0
MisterRid/saulgoodman-7b-alpha1,7.0
DreadPoor/connate-7B-slerp,7.0
Replete-AI/Phi-5B-Test,5.0
Test157t/Prima-LelantaclesV6.25-7b,7.0
amu/dpo-phi2,2.7
localfultonextractor/Erosumika-7B-v2,7.0
allknowingroger/RasGullaINEX12-7B-slerp,7.0
viethq188/Rabbit-7B-DPO-Chat,7.0
monster119120/OpenHermes-2.5-Mistral-7B-new,7.0
222gate/Blurred-Beagle-7b-slerp,7.0
hamxea/Llama-2-7b-chat-hf-activity-fine-tuned-v4,7.0
indischepartij/OpenMia-Indo-Mistral-7b-v4,7.0
mlabonne/Zebrafish-7B,7.0
Korabbit/Llama-2-7b-chat-hf-afr-100step-v2,7.0
mistral-community/Mistral-7B-v0.2,7.0
PistachioAlt/Synatra-MCS-7B-v0.3-RP-Slerp,7.0
CorticalStack/pikus-pikantny-7B-dare,7.0
bardsai/jaskier-7b-dpo-v2,7.0
LHC88/LaseredHermes-7B-v1,7.0
abideen/NexoNimbus-7B,7.0
DreadPoor/RoyalMaid-7B-slerp,7.0
u66u/NeuralJaskier-7b-dpo,7.0
paulml/NeuralOmniWestBeaglake-7B,7.0
abideen/gemma-7b-openhermes,7.0
Kukedlc/Fasciculus-Arcuatus-7B-slerp,7.0
MiniMoog/Mergerix-7b-v0.1,7.0
GritLM/GritLM-7B,7.0
SC56/Mistral-7B-sumz-dpo-4h,7.0
wang7776/Llama-2-7b-chat-hf-10-sparsity,7.0
cognitivecomputations/dolphin-2.8-experiment26-7b,7.0
mychen76/mistral-7b-merged-dare,7.0
Kukedlc/NeuralGanesha-7b,7.0
seyf1elislam/WestKunai-Hermes-7b,7.0
sonthenguyen/OpenHermes-2.5-Mistral-7B-mt-bench-DPO-original-v2,7.0
Menouar/phi-2-basic-maths,2.7
Yuma42/KangalKhan-HardRuby-7B,7.0
gmonsoon/delta-4b-orange,4.0
Mr-Bhaskar/fbt-gemma-7b,7.0
g-ronimo/phi-2-OpenHermes-2.5,2.7
google/gemma-7b-it,7.0
TeeZee/Buttocks-7B-v1.1,7.0
fzzhang/Marcoroni-neural-chat-7B-v2_gsm8k_merged,7.0
XuanXuanXuanXuan/Mistral-7B-Instruct-v0.1-gpt-4-80k,7.0
RatanRohith/NeuralPizza-7B-V0.2,7.0
jsfs11/WildMBXMarconi-SLERP-7B,7.0
Walmart-the-bag/Misted-v2-7B,7.0
vanillaOVO/merge_7B_state_2,7.0
YouKnowMee/Mistral-7b-instruct-v0.2-summ-sft-dpo-ed3,7.0
xxyyy123/Mistral7B_adaptor_v1,7.0
s3nh/Mistral_Sonyichi-7B-slerp,7.0
mlabonne/Monarch-7B,7.0
vicgalle/OpenHermes-Gemma-7B,7.0
MaziyarPanahi/Calme-7B-Instruct-v0.3,7.0
Neuronovo/neuronovo-7B-v0.1,7.0
RatanRohith/NeuralPizza-7B-V0.1,7.0
fblgit/UNA-TheBeagle-7b-v1,7.0
Changgil/K2S3-Mistral-7b-v1.2,7.0
0-hero/Matter-0.1-7B-boost,7.0
ajibawa-2023/Code-Mistral-7B,7.0
Q-bert/Optimus-7B,7.0
Corianas/Neural-Mistral-7B,7.0
euclaise/Ferret_7B,7.0
NeuralNovel/Ignis-7B-DPO-Laser,7.0
paulilioaica/Hugo-7B-slerp,7.0
Weyaxi/Seraph-7B,7.0
haoranxu/ALMA-7B,7.0
allknowingroger/Experimentmultiverse-7B-slerp,7.0
SC99/Mistral-7B-privatemix-ia2,7.0
ManniX-ITA/Starling-LM-7B-beta-LaserRMT-v1,7.0
YeungNLP/LongQLoRA-Llama2-7b-8k,7.0
Kukedlc/MyModelsMerge-7b,7.0
ndavidson/Phi-2-openassistant,2.7
jambroz/sixtyoneeighty-7b-MOE,7.0
UCLA-AGI/zephyr-7b-sft-full-SPIN-iter1,7.0
HuggingFaceH4/zephyr-7b-gemma-v0.1,7.0
RatanRohith/NeuralPizza-7B-V0.3,7.0
SC44/Mistral-7B-private-spef,7.0
mncai/mistral-7b-dpo-merge-v1.1,7.0
FelixChao/Sectumsempra-7B-DPO,7.0
DreadPoor/IamSoTired-7B-slerp,7.0
Kukedlc/NeuralSynthesis-7B-v0.2,7.0
0-hero/Matter-0.1-7B,7.0
alnrg2arg/blockchainlabs_7B_merged_test2_4_prune,7.0
mlabonne/Darewin-7B,7.0
allknowingroger/StarlingDolphin-7B-slerp,7.0
Ba2han/Cucumber-7b-10k,7.0
itsliupeng/test_6b,6.0
Gille/StrangeMerges_32-7B-slerp,7.0
Weyaxi/MetaMath-neural-chat-7b-v3-2-Slerp,7.0
liuchanghf/phi2-mmlu-lora,2.7
ZySec-AI/ZySec-7B-v2,7.0
BarryFutureman/WestLakeX-7B-EvoMerge-Variant2,7.0
openaccess-ai-collective/DPOpenHermes-7B,7.0
EmbeddedLLM/Mistral-7B-Merge-14-v0.3,7.0
icefog72/IceCaffeLatteRP-7b,7.0
csujeong/Mistral-7B-Finetuning-Insurance-16R,7.0
amu/r-zephyr-7b-beta-qlora,7.0
cognitivecomputations/dolphin-2.8-mistral-7b-v02,7.0
jsfs11/TurdusTrixBeagle-DARETIES-7B,7.0
Kukedlc/NeuralStockFusion-7b,7.0
weezywitasneezy/BenchmarkEngineering-F2-7B-slerp,7.0
jsfs11/SnorkelWestBeagle-DARETIES-7B,7.0
grimjim/cuckoo-starling-7B,7.0
Yuma42/KangalKhan-PressurizedRuby-7B,7.0
CultriX/NeuralTrix-7B-v1,7.0
louisbrulenaudet/Pearl-7B-slerp,7.0
HenryJJ/dolphin-2.6-mistral-7b-dpo-orca-v2,7.0
gmonsoon/Delta-4B-notso-base,4.0
tourist800/Mistral-7B-Merge-14-v0.2,7.0
Weyaxi/Einstein-v4-7B,7.0
traversaal-ai/traversaal-2.5-Mistral-7B,7.0
robinsmits/Mistral-Instruct-7B-v0.2-ChatAlpaca,7.0
FelixChao/WizardDolphin-7B,7.0
chujiezheng/Starling-LM-7B-beta-ExPO,7.0
MSL7/INEX16-7b,7.0
