model,fold,criteria_administered,scenarios_administered,theta_ref_general,theta_online_general,theta_batch_general,theta_mwle_general
google/gemma-2b,1,29,8,-1.5080928120843338,-1.233346,-1.197064520457964,-1.2072839668028095
h2oai/h2o-danube-1.8b-chat,3,34,8,0.1975037753870283,0.074426,0.0825942668505541,0.07694975409344654
h2oai/h2o-danube2-1.8b-base,4,38,8,-0.5455440315408598,-0.217662,-0.20828034753246638,-0.20699563377955946
h2oai/h2o-danube2-1.8b-chat,1,36,8,-0.0009449494132644123,-0.252438,-0.22101353995129566,-0.22638494627131572
ibm-granite/granite-3.0-2b-base,2,60,16,0.7016707085241451,0.834158,0.8324970906376404,0.8550418968937609
ibm-granite/granite-3.1-2b-base,3,32,8,0.40157061229552027,0.194622,0.20211727409608543,0.19181605836180624
ibm-granite/granite-3.1-2b-instruct,2,36,9,2.107355627648994,1.174381,1.2642139585563426,1.2757192508947246
ibm-granite/granite-7b-instruct,1,47,14,1.1807361030224668,1.298899,1.3127138953516497,1.3247844299313614
ibm/PowerLM-3b,0,43,9,0.12772796608887568,0.353996,0.40387139449395465,0.3772988179131504
meta-llama/Llama-3.2-1B,0,34,8,-1.7447321757087422,-1.486791,-1.5259200755098379,-1.5182041271699944
meta-llama/Llama-3.2-1B-Instruct,1,40,11,1.0182848852349309,0.999215,1.0583260493094846,1.079258947313188
meta-llama/Llama-3.2-3B-Instruct,0,29,8,1.970006207119375,1.361318,1.5702638418744401,1.5658839365570454
microsoft/phi-1_5,2,33,8,-1.1019899936034812,-0.983694,-1.091011158033163,-1.0923093806405264
nvidia/AceInstruct-1.5B,1,48,12,1.6977023456929712,1.24305,1.3700390196146197,1.3620336562523867
openbmb/MiniCPM-1B-sft-bf16,1,33,8,-1.7983639543405983,-1.209245,-1.2531391664525973,-1.2535786224828782
openbmb/MiniCPM-2B-sft-bf16,0,36,8,-0.31577940432630425,-0.214251,-0.22561462603836904,-0.22052643707443287
openlm-research/open_llama_3b,2,32,8,-1.819862664154197,-1.464897,-2.45645447511633,-2.6301944565143422
pankajmathur/orca_mini_3b,0,35,8,-0.3899917552018054,-0.294465,-0.2848097940658343,-0.27717855847179323
pankajmathur/orca_mini_v9_5_3B-Instruct,4,38,11,1.6364277340580848,1.081769,1.1746135402559048,1.1826644066678615
stabilityai/stablelm-2-1_6b-chat,2,41,11,1.0385564994110712,1.017542,1.1203492620082858,1.1296764658637657
stabilityai/stablelm-2-zephyr-1_6b,0,46,10,0.674459148206042,0.823031,0.8247133510835032,0.855073683049276
stabilityai/stablelm-zephyr-3b,2,41,11,1.1882510653766354,1.059498,1.075502727478824,1.094903587608694
tiiuae/Falcon3-1B-Instruct,1,43,10,1.0593461970593925,0.993863,1.239082089152698,1.248805989259928
tiiuae/Falcon3-3B-Base,1,32,9,0.5343187335810284,0.16944,0.16676494965856573,0.14225994601825934
tiiuae/Falcon3-3B-Instruct,4,32,8,1.8747217657155768,1.378486,1.543072681246457,1.5308367233240932
utter-project/EuroLLM-1.7B,2,38,9,-1.2885894416371042,-1.304639,-1.3061325191288926,-1.3075144939119574
utter-project/EuroLLM-1.7B-Instruct,0,33,8,-0.024315800124700675,-0.159794,-0.14429343054839067,-0.15961530964949652
