id,params_b,family,key
MBZUAI/LaMini-GPT-1.5B,1.5,LaMini,mbzuai/lamini-gpt-1.5b
Qwen/Qwen2-Math-1.5B,1.5,Qwen2-Math,qwen/qwen2-math-1.5b
Qwen/Qwen2-Math-1.5B-Instruct,1.5,Qwen2-Math,qwen/qwen2-math-1.5b-instruct
Qwen/Qwen2.5-Coder-1.5B,1.5,Qwen2.5-Coder,qwen/qwen2.5-coder-1.5b
Qwen/Qwen2.5-Coder-1.5B-Instruct,1.5,Qwen2.5-Coder,qwen/qwen2.5-coder-1.5b-instruct
Qwen/Qwen2.5-Math-1.5B,1.5,Qwen2.5-Math,qwen/qwen2.5-math-1.5b
Vikhrmodels/Vikhr-Qwen-2.5-1.5B-Instruct,1.5,Vikhr,vikhrmodels/vikhr-qwen-2.5-1.5b-instruct
malteos/gpt2-xl-wechsel-german,1.5,GPT2-DE,malteos/gpt2-xl-wechsel-german
microsoft/BioGPT-Large,1.5,BioGPT,microsoft/biogpt-large
naver-hyperclovax/HyperCLOVAX-SEED-Text-Instruct-1.5B,1.5,HyperCLOVAX,naver-hyperclovax/hyperclovax-seed-text-instruct-1.5b
sdadas/polish-gpt2-xl,1.5,Polish-GPT2,sdadas/polish-gpt2-xl
speakleash/Bielik-1.5B-v3,1.5,Bielik,speakleash/bielik-1.5b-v3
speakleash/Bielik-1.5B-v3.0-Instruct,1.5,Bielik,speakleash/bielik-1.5b-v3.0-instruct
unsloth/Qwen2.5-1.5B,1.5,Qwen2.5-unsloth,unsloth/qwen2.5-1.5b
unsloth/Qwen2.5-1.5B-Instruct,1.5,Qwen2.5-unsloth,unsloth/qwen2.5-1.5b-instruct
Qwen/Qwen3-1.7B,1.7,Qwen3,qwen/qwen3-1.7b
facebook/xglm-1.7B,1.7,XGLM,facebook/xglm-1.7b
line-corporation/japanese-large-lm-1.7b,1.7,LINE-LM,line-corporation/japanese-large-lm-1.7b
line-corporation/japanese-large-lm-1.7b-instruction-sft,1.7,LINE-LM,line-corporation/japanese-large-lm-1.7b-instruction-sft
unsloth/SmolLM2-1.7B,1.7,SmolLM2-unsloth,unsloth/smollm2-1.7b
unsloth/SmolLM2-1.7B-Instruct,1.7,SmolLM2-unsloth,unsloth/smollm2-1.7b-instruct
utter-project/EuroLLM-1.7B,1.7,EuroLLM,utter-project/eurollm-1.7b
utter-project/EuroLLM-1.7B-Instruct,1.7,EuroLLM,utter-project/eurollm-1.7b-instruct
h2oai/h2o-danube2-1.8b-base,1.8,Danube,h2oai/h2o-danube2-1.8b-base
h2oai/h2o-danube2-1.8b-chat,1.8,Danube,h2oai/h2o-danube2-1.8b-chat
llm-jp/llm-jp-3-1.8b,1.8,LLM-JP,llm-jp/llm-jp-3-1.8b
llm-jp/llm-jp-3-1.8b-instruct,1.8,LLM-JP,llm-jp/llm-jp-3-1.8b-instruct
BSC-LT/salamandra-2b,2.0,Salamandra,bsc-lt/salamandra-2b
BSC-LT/salamandra-2b-instruct,2.0,Salamandra,bsc-lt/salamandra-2b-instruct
BSC-LT/salamandra-2b-instruct-af,2.0,Salamandra,bsc-lt/salamandra-2b-instruct-af
Salesforce/codegen-2B-mono,2.0,CodeGen,salesforce/codegen-2b-mono
Salesforce/codegen-2B-multi,2.0,CodeGen,salesforce/codegen-2b-multi
ibm-granite/granite-3.3-2b-base,2.0,Granite,ibm-granite/granite-3.3-2b-base
ibm-granite/granite-3.3-2b-instruct,2.0,Granite,ibm-granite/granite-3.3-2b-instruct
unsloth/gemma-2-2b,2.0,Gemma2-unsloth,unsloth/gemma-2-2b
kakaocorp/kanana-1.5-2.1b-instruct,2.1,Kanana,kakaocorp/kanana-1.5-2.1b-instruct
kakaocorp/kanana-nano-2.1b-base,2.1,Kanana,kakaocorp/kanana-nano-2.1b-base
kakaocorp/kanana-nano-2.1b-instruct,2.1,Kanana,kakaocorp/kanana-nano-2.1b-instruct
Iker/Llama-3-Instruct-Neurona-2.5b,2.5,Neurona,iker/llama-3-instruct-neurona-2.5b
beomi/gemma-ko-2b,2.5,Gemma-KO,beomi/gemma-ko-2b
openbmb/MiniCPM-2B-dpo-bf16,2.7,MiniCPM,openbmb/minicpm-2b-dpo-bf16
openbmb/MiniCPM-2B-sft-bf16,2.7,MiniCPM,openbmb/minicpm-2b-sft-bf16
stanford-crfm/BioMedLM,2.7,BioMedLM,stanford-crfm/biomedlm
facebook/xglm-2.9B,2.9,XGLM,facebook/xglm-2.9b
AZILA/Llama3.2-3B-Instruct-Czech,3.0,Llama3.2-CS,azila/llama3.2-3b-instruct-czech
HuggingFaceTB/SmolLM3-3B,3.0,SmolLM3,huggingfacetb/smollm3-3b
HuggingFaceTB/SmolLM3-3B-Base,3.0,SmolLM3,huggingfacetb/smollm3-3b-base
LightOn/lyso-3b-chat,3.0,Lyso,lighton/lyso-3b-chat
StabilityAI/stablecode-3b,3.0,StableCode,stabilityai/stablecode-3b
Writer/Palmyra-3B,3.0,Palmyra,writer/palmyra-3b
bigcode/starcoderbase-3b,3.0,StarCoder,bigcode/starcoderbase-3b
cyberagent/open-calm-3b,3.0,OpenCALM,cyberagent/open-calm-3b
openlm-research/open_llama_3b,3.0,OpenLLaMA,openlm-research/open_llama_3b
openlm-research/open_llama_3b_v2,3.0,OpenLLaMA,openlm-research/open_llama_3b_v2
replit/replit-code-v1-3b,3.0,Replit,replit/replit-code-v1-3b
replit/replit-code-v1_5-3b,3.0,Replit,replit/replit-code-v1_5-3b
sapienzanlp/Minerva-3B-base-v1.0,3.0,Minerva,sapienzanlp/minerva-3b-base-v1.0
stabilityai/stable-code-3b,3.0,StableCode,stabilityai/stable-code-3b
unsloth/Llama-3.2-3B,3.0,Llama3.2-unsloth,unsloth/llama-3.2-3b
unsloth/Llama-3.2-3B-Instruct,3.0,Llama3.2-unsloth,unsloth/llama-3.2-3b-instruct
unsloth/Qwen2.5-3B,3.0,Qwen2.5-unsloth,unsloth/qwen2.5-3b
unsloth/Qwen2.5-3B-Instruct,3.0,Qwen2.5-unsloth,unsloth/qwen2.5-3b-instruct
line-corporation/japanese-large-lm-3.6b,3.6,LINE-LM,line-corporation/japanese-large-lm-3.6b
llm-jp/llm-jp-3-3.7b,3.7,LLM-JP,llm-jp/llm-jp-3-3.7b
llm-jp/llm-jp-3-3.7b-instruct,3.7,LLM-JP,llm-jp/llm-jp-3-3.7b-instruct
EleutherAI/polyglot-ko-3.8b,3.8,Polyglot-KO,eleutherai/polyglot-ko-3.8b
unsloth/Phi-3.5-mini-instruct,3.8,Phi3.5-unsloth,unsloth/phi-3.5-mini-instruct
Qwen/Qwen3-4B,4.0,Qwen3,qwen/qwen3-4b
nvidia/Llama-3.1-Minitron-4B-Width-Base,4.0,Minitron,nvidia/llama-3.1-minitron-4b-width-base
openbmb/MiniCPM3-4B,4.0,MiniCPM3,openbmb/minicpm3-4b
facebook/xglm-4.5B,4.5,XGLM,facebook/xglm-4.5b
speakleash/Bielik-4.5B-v3.0-Instruct,4.5,Bielik,speakleash/bielik-4.5b-v3.0-instruct
Writer/camel-5b-hf,5.0,Camel,writer/camel-5b-hf
EleutherAI/polyglot-ko-5.8b,5.8,Polyglot-KO,eleutherai/polyglot-ko-5.8b
beomi/KoAlpaca-Polyglot-5.8B,5.8,KoAlpaca,beomi/koalpaca-polyglot-5.8b
nlpai-lab/KULLM-Polyglot-5.8B-v2,5.8,KULLM,nlpai-lab/kullm-polyglot-5.8b-v2
KoboldAI/GPT-J-6B-Janeway,6.0,Janeway,koboldai/gpt-j-6b-janeway
NbAiLab/nb-gpt-j-6B,6.0,NB-GPT-J,nbailab/nb-gpt-j-6b
kakaobrain/kogpt,6.0,KoGPT,kakaobrain/kogpt
ise-uiuc/Magicoder-S-DS-6.7B,6.7,Magicoder,ise-uiuc/magicoder-s-ds-6.7b
AlekseyKorshuk/vicuna-7b,7.0,Vicuna,alekseykorshuk/vicuna-7b
BAAI/Aquila-7B,7.0,Aquila,baai/aquila-7b
allenai/OLMo-2-1124-7B,7.0,OLMo2,allenai/olmo-2-1124-7b
allenai/OLMo-2-1124-7B-Instruct,7.0,OLMo2,allenai/olmo-2-1124-7b-instruct
allenai/OLMo-7B-0724-hf,7.0,OLMo,allenai/olmo-7b-0724-hf
