scenario_id,subset,role,criterion_count
ifb_0109,Easy_set,administration,2
ifb_0110,Easy_set,administration,6
ifb_0111,Easy_set,administration,2
ifb_0112,Easy_set,administration,3
ifb_0113,Easy_set,administration,3
ifb_0114,Easy_set,administration,2
ifb_0115,Easy_set,administration,4
ifb_0116,Easy_set,administration,4
ifb_0117,Easy_set,administration,2
ifb_0118,Easy_set,administration,4
ifb_0119,Easy_set,evaluation,4
ifb_0120,Easy_set,administration,2
ifb_0121,Easy_set,evaluation,3
ifb_0122,Easy_set,administration,2
ifb_0123,Easy_set,evaluation,2
ifb_0124,Easy_set,administration,2
ifb_0125,Easy_set,administration,2
ifb_0126,Easy_set,administration,3
ifb_0127,Easy_set,administration,2
ifb_0128,Easy_set,administration,2
ifb_0129,Easy_set,administration,3
ifb_0130,Easy_set,administration,1
ifb_0131,Easy_set,administration,3
ifb_0132,Easy_set,administration,3
ifb_0133,Easy_set,evaluation,2
ifb_0134,Easy_set,administration,2
ifb_0135,Easy_set,administration,2
ifb_0136,Easy_set,evaluation,2
ifb_0137,Easy_set,administration,5
ifb_0138,Easy_set,evaluation,2
ifb_0139,Easy_set,administration,4
ifb_0140,Easy_set,evaluation,2
ifb_0141,Easy_set,administration,2
ifb_0142,Easy_set,evaluation,2
ifb_0143,Easy_set,administration,2
ifb_0144,Easy_set,administration,3
ifb_0145,Easy_set,administration,4
ifb_0146,Easy_set,administration,2
ifb_0147,Easy_set,administration,3
ifb_0148,Easy_set,administration,4
ifb_0149,Easy_set,administration,2
ifb_0150,Easy_set,administration,3
ifb_0151,Easy_set,administration,2
ifb_0152,Easy_set,administration,2
ifb_0153,Easy_set,administration,3
ifb_0154,Easy_set,evaluation,3
ifb_0155,Easy_set,administration,3
ifb_0156,Easy_set,administration,2
ifb_0157,Easy_set,administration,5
ifb_0158,Easy_set,administration,3
ifb_0159,Easy_set,evaluation,4
ifb_0160,Easy_set,administration,2
ifb_0161,Easy_set,administration,2
ifb_0162,Easy_set,administration,3
ifb_0163,Easy_set,administration,2
ifb_0164,Easy_set,evaluation,2
ifb_0165,Easy_set,administration,4
ifb_0166,Easy_set,administration,3
ifb_0167,Easy_set,evaluation,2
ifb_0168,Easy_set,administration,3
ifb_0169,Easy_set,evaluation,2
ifb_0170,Easy_set,administration,3
ifb_0171,Easy_set,administration,3
ifb_0172,Easy_set,administration,3
ifb_0173,Easy_set,evaluation,3
ifb_0174,Easy_set,administration,2
ifb_0175,Easy_set,administration,2
ifb_0176,Easy_set,administration,2
ifb_0177,Easy_set,administration,5
ifb_0178,Easy_set,evaluation,6
ifb_0179,Easy_set,administration,2
ifb_0180,Easy_set,administration,3
ifb_0181,Easy_set,evaluation,2
ifb_0182,Easy_set,administration,2
ifb_0183,Easy_set,administration,2
ifb_0184,Easy_set,administration,2
ifb_0185,Easy_set,administration,2
ifb_0186,Easy_set,evaluation,4
ifb_0187,Easy_set,administration,6
ifb_0188,Easy_set,administration,3
ifb_0189,Easy_set,administration,2
ifb_0190,Easy_set,administration,3
ifb_0191,Easy_set,administration,4
ifb_0192,Easy_set,administration,2
ifb_0193,Easy_set,administration,3
ifb_0194,Easy_set,administration,3
ifb_0195,Easy_set,administration,2
ifb_0196,Easy_set,administration,2
ifb_0197,Easy_set,administration,3
ifb_0198,Easy_set,administration,2
ifb_0199,Easy_set,administration,2
ifb_0200,Easy_set,administration,3
ifb_0201,Easy_set,administration,2
ifb_0202,Easy_set,evaluation,2
ifb_0203,Easy_set,administration,2
ifb_0204,Easy_set,administration,2
ifb_0205,Easy_set,administration,3
ifb_0206,Easy_set,administration,2
ifb_0207,Easy_set,administration,4
ifb_0208,Easy_set,administration,4
ifb_0209,Easy_set,administration,3
ifb_0210,Easy_set,administration,3
ifb_0211,Easy_set,administration,2
ifb_0212,Easy_set,administration,2
ifb_0213,Easy_set,administration,3
ifb_0214,Easy_set,administration,2
ifb_0215,Easy_set,administration,2
ifb_0216,Easy_set,administration,2
ifb_0217,Easy_set,administration,4
ifb_0218,Easy_set,administration,2
ifb_0219,Easy_set,administration,3
ifb_0220,Easy_set,administration,2
ifb_0221,Easy_set,administration,3
ifb_0222,Easy_set,evaluation,2
ifb_0223,Easy_set,evaluation,2
ifb_0224,Easy_set,evaluation,1
ifb_0225,Easy_set,administration,3
ifb_0226,Easy_set,evaluation,2
ifb_0227,Easy_set,administration,3
ifb_0228,Easy_set,evaluation,3
ifb_0229,Easy_set,administration,3
ifb_0230,Easy_set,evaluation,1
ifb_0231,Easy_set,evaluation,4
ifb_0232,Easy_set,administration,2
ifb_0233,Easy_set,administration,2
ifb_0234,Easy_set,administration,2
ifb_0235,Easy_set,administration,2
ifb_0236,Easy_set,evaluation,4
ifb_0237,Easy_set,administration,1
ifb_0238,Easy_set,administration,2
ifb_0239,Easy_set,administration,3
ifb_0240,Easy_set,evaluation,3
ifb_0241,Easy_set,evaluation,3
ifb_0242,Easy_set,administration,2
ifb_0243,Easy_set,administration,2
ifb_0244,Easy_set,evaluation,4
ifb_0245,Easy_set,administration,2
ifb_0246,Easy_set,administration,3
ifb_0247,Easy_set,administration,3
ifb_0248,Easy_set,administration,2
ifb_0249,Easy_set,administration,3
ifb_0250,Easy_set,evaluation,3
ifb_0251,Easy_set,administration,5
ifb_0252,Hard_set,administration,6
ifb_0253,Hard_set,evaluation,5
ifb_0254,Hard_set,administration,5
ifb_0255,Hard_set,administration,5
ifb_0256,Hard_set,administration,6
ifb_0257,Hard_set,administration,6
ifb_0258,Hard_set,evaluation,5
ifb_0259,Hard_set,administration,6
ifb_0260,Hard_set,administration,7
ifb_0261,Hard_set,administration,5
ifb_0262,Hard_set,evaluation,8
ifb_0263,Hard_set,administration,6
ifb_0264,Hard_set,evaluation,3
ifb_0265,Hard_set,administration,8
ifb_0266,Hard_set,administration,3
ifb_0267,Hard_set,administration,6
ifb_0268,Hard_set,evaluation,6
ifb_0269,Hard_set,evaluation,6
ifb_0270,Hard_set,administration,9
ifb_0271,Hard_set,administration,2
ifb_0272,Hard_set,administration,9
ifb_0273,Hard_set,evaluation,8
ifb_0274,Hard_set,administration,5
ifb_0275,Hard_set,evaluation,6
ifb_0276,Hard_set,administration,6
ifb_0277,Hard_set,evaluation,4
ifb_0278,Hard_set,administration,5
ifb_0279,Hard_set,administration,8
ifb_0280,Hard_set,administration,6
ifb_0281,Hard_set,administration,6
ifb_0282,Hard_set,administration,5
ifb_0283,Hard_set,administration,7
ifb_0284,Hard_set,administration,7
ifb_0285,Hard_set,administration,5
ifb_0286,Hard_set,administration,5
ifb_0287,Hard_set,administration,3
ifb_0288,Hard_set,administration,5
ifb_0289,Hard_set,administration,7
ifb_0290,Hard_set,administration,7
ifb_0291,Hard_set,administration,7
ifb_0292,Hard_set,administration,4
ifb_0293,Hard_set,administration,6
ifb_0294,Hard_set,administration,4
ifb_0295,Hard_set,administration,3
ifb_0296,Hard_set,administration,6
ifb_0297,Hard_set,administration,6
ifb_0298,Hard_set,administration,7
ifb_0299,Hard_set,administration,5
ifb_0300,Hard_set,administration,6
ifb_0301,Hard_set,administration,8
ifb_0302,Hard_set,evaluation,7
ifb_0303,Hard_set,administration,5
ifb_0304,Hard_set,administration,5
ifb_0305,Hard_set,administration,6
ifb_0306,Hard_set,administration,6
ifb_0307,Hard_set,administration,5
ifb_0308,Hard_set,administration,7
ifb_0309,Hard_set,administration,5
ifb_0310,Hard_set,administration,8
ifb_0311,Hard_set,administration,6
ifb_0312,Hard_set,evaluation,5
ifb_0313,Hard_set,administration,10
ifb_0314,Hard_set,administration,8
ifb_0315,Hard_set,administration,5
ifb_0316,Hard_set,evaluation,3
ifb_0317,Hard_set,evaluation,6
ifb_0318,Hard_set,evaluation,4
ifb_0319,Hard_set,administration,3
ifb_0320,Hard_set,administration,5
ifb_0321,Hard_set,administration,7
ifb_0322,Hard_set,administration,8
ifb_0323,Hard_set,administration,6
ifb_0324,Hard_set,administration,5
ifb_0325,Hard_set,administration,4
ifb_0326,Hard_set,administration,5
ifb_0327,Hard_set,evaluation,4
ifb_0328,Hard_set,administration,6
ifb_0329,Hard_set,evaluation,4
ifb_0330,Hard_set,evaluation,5
ifb_0331,Hard_set,administration,4
ifb_0332,Hard_set,administration,5
ifb_0333,Hard_set,administration,5
ifb_0334,Hard_set,evaluation,5
ifb_0335,Hard_set,administration,5
ifb_0336,Hard_set,administration,5
ifb_0337,Hard_set,evaluation,4
ifb_0338,Hard_set,administration,9
ifb_0339,Hard_set,evaluation,3
ifb_0340,Hard_set,administration,7
ifb_0341,Hard_set,administration,6
ifb_0342,Hard_set,administration,6
ifb_0343,Hard_set,administration,6
ifb_0344,Hard_set,administration,4
ifb_0345,Hard_set,administration,7
ifb_0346,Hard_set,administration,6
ifb_0347,Hard_set,administration,3
ifb_0348,Hard_set,administration,5
ifb_0349,Hard_set,evaluation,7
ifb_0350,Hard_set,administration,6
ifb_0351,Hard_set,administration,13
ifb_0352,Hard_set,evaluation,8
ifb_0353,Hard_set,administration,7
ifb_0354,Hard_set,evaluation,8
ifb_0355,Hard_set,administration,4
ifb_0356,Hard_set,administration,4
ifb_0357,Hard_set,administration,4
ifb_0358,Hard_set,administration,5
ifb_0359,Hard_set,administration,5
ifb_0360,Hard_set,administration,6
ifb_0361,Hard_set,administration,5
ifb_0362,Hard_set,administration,5
ifb_0363,Hard_set,administration,5
ifb_0364,Hard_set,administration,5
ifb_0365,Hard_set,administration,7
ifb_0366,Hard_set,administration,4
ifb_0367,Hard_set,administration,4
ifb_0368,Hard_set,administration,7
ifb_0369,Hard_set,administration,6
ifb_0370,Hard_set,evaluation,12
ifb_0371,Hard_set,administration,6
ifb_0372,Hard_set,administration,6
ifb_0373,Hard_set,administration,7
ifb_0374,Hard_set,administration,11
ifb_0375,Hard_set,administration,11
ifb_0376,Hard_set,administration,8
ifb_0377,Hard_set,administration,8
ifb_0378,Hard_set,administration,5
ifb_0379,Hard_set,evaluation,6
ifb_0380,Hard_set,administration,5
ifb_0381,Hard_set,administration,7
ifb_0382,Hard_set,administration,3
ifb_0383,Hard_set,administration,5
ifb_0384,Hard_set,administration,6
ifb_0385,Hard_set,evaluation,4
ifb_0386,Hard_set,administration,8
ifb_0387,Hard_set,administration,5
ifb_0388,Hard_set,administration,4
ifb_0389,Hard_set,administration,4
ifb_0390,Hard_set,administration,5
ifb_0391,Hard_set,administration,4
ifb_0392,Hard_set,administration,5
ifb_0393,Hard_set,administration,8
ifb_0394,Hard_set,administration,9
ifb_0395,Hard_set,administration,8
ifb_0396,Hard_set,administration,5
ifb_0397,Hard_set,administration,3
ifb_0398,Hard_set,evaluation,4
ifb_0399,Hard_set,evaluation,3
ifb_0400,Hard_set,evaluation,5
ifb_0401,Hard_set,administration,7
ifb_0402,Hard_set,administration,6
ifb_0403,Hard_set,administration,7
ifb_0404,Hard_set,administration,6
ifb_0405,Hard_set,administration,8
ifb_0406,Hard_set,administration,8
ifb_0407,Hard_set,administration,6
ifb_0408,Hard_set,administration,7
ifb_0409,Hard_set,administration,6
ifb_0410,Hard_set,administration,8
ifb_0411,Hard_set,evaluation,5
ifb_0412,Hard_set,administration,9
ifb_0413,Hard_set,administration,7
ifb_0414,Hard_set,administration,3
ifb_0415,Hard_set,administration,7
ifb_0416,Hard_set,administration,5
ifb_0417,Hard_set,administration,11
ifb_0418,Hard_set,administration,8
ifb_0419,Hard_set,administration,14
ifb_0420,Hard_set,evaluation,8
ifb_0421,Hard_set,administration,5
ifb_0422,Hard_set,evaluation,4
ifb_0423,Hard_set,administration,5
ifb_0424,Hard_set,administration,7
ifb_0425,Hard_set,evaluation,6
ifb_0426,Hard_set,administration,6
ifb_0427,Hard_set,evaluation,6
ifb_0428,Hard_set,administration,9
ifb_0429,Hard_set,administration,9
ifb_0430,Hard_set,administration,7
ifb_0431,Hard_set,evaluation,4
ifb_0432,Hard_set,evaluation,5
ifb_0433,Hard_set,administration,6
ifb_0434,Hard_set,administration,7
ifb_0435,Hard_set,administration,8
ifb_0436,Hard_set,administration,8
ifb_0437,Hard_set,administration,7
ifb_0438,Hard_set,evaluation,7
ifb_0439,Hard_set,administration,4
ifb_0440,Hard_set,administration,8
ifb_0441,Hard_set,administration,9
ifb_0442,Hard_set,administration,5
ifb_0443,Hard_set,administration,10
ifb_0444,Hard_set,administration,11
ifb_0445,Hard_set,administration,7
ifb_0446,Hard_set,administration,8
ifb_0447,Hard_set,administration,12
ifb_0448,Hard_set,evaluation,7
ifb_0449,Hard_set,administration,7
ifb_0450,Hard_set,evaluation,8
ifb_0451,Hard_set,administration,7
ifb_0452,Hard_set,administration,8
ifb_0453,Hard_set,administration,5
ifb_0454,Hard_set,administration,5
ifb_0455,Hard_set,administration,5
ifb_0456,Hard_set,administration,4
ifb_0457,Hard_set,evaluation,5
ifb_0458,Hard_set,administration,6
ifb_0459,Hard_set,administration,9
ifb_0460,Hard_set,administration,6
ifb_0461,Hard_set,administration,10
ifb_0462,Hard_set,administration,3
ifb_0463,Hard_set,evaluation,5
ifb_0464,Hard_set,administration,7
ifb_0465,Hard_set,administration,5
ifb_0466,Hard_set,administration,11
ifb_0467,Hard_set,administration,7
ifb_0468,Hard_set,administration,5
ifb_0469,Hard_set,administration,5
ifb_0470,Hard_set,evaluation,8
ifb_0471,Hard_set,administration,6
ifb_0472,Hard_set,administration,7
ifb_0473,Hard_set,evaluation,6
ifb_0474,Hard_set,administration,4
ifb_0475,Hard_set,administration,7
ifb_0476,Hard_set,administration,4
ifb_0477,Hard_set,administration,7
ifb_0478,Hard_set,administration,8
ifb_0479,Hard_set,administration,7
ifb_0480,Hard_set,administration,8
ifb_0481,Hard_set,evaluation,7
ifb_0482,Hard_set,administration,15
ifb_0483,Hard_set,administration,5
ifb_0484,Hard_set,evaluation,7
ifb_0485,Hard_set,evaluation,5
ifb_0486,Hard_set,administration,9
ifb_0487,Hard_set,administration,7
ifb_0488,Hard_set,evaluation,5
ifb_0489,Hard_set,evaluation,7
ifb_0490,Hard_set,evaluation,12
ifb_0491,Hard_set,administration,8
ifb_0492,Hard_set,evaluation,8
ifb_0493,Hard_set,administration,7
ifb_0494,Hard_set,administration,8
ifb_0495,Hard_set,administration,8
ifb_0496,Hard_set,administration,11
ifb_0497,Hard_set,administration,9
ifb_0498,Hard_set,administration,6
ifb_0499,Hard_set,administration,6
