outer_fold,model_id,family_id,outer_role,inner_validation_fold,observed_pass_rate
1,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,test,,0.797777777778
1,OpenBMB/MiniCPM4-0.5B,minicpm,test,,0.502890173410
1,Qwen/Qwen1.5-1.8B,qwen,train,2,0.113929684023
1,Qwen/Qwen1.5-1.8B-Chat,qwen,train,2,0.554666666667
1,Qwen/Qwen2-0.5B,qwen,train,2,0.231555555556
1,Qwen/Qwen2.5-0.5B-Instruct,qwen,train,2,0.505782918149
1,ai-forever/mGPT,mgpt,train,3,0.006666666667
1,allenai/OLMo-1B-hf,olmo,test,,0.012444444444
1,allenai/OLMo-2-0425-1B,olmo,test,,0.096000000000
1,allenai/OLMo-2-0425-1B-DPO,olmo,test,,0.626779359431
1,allenai/OLMo-2-0425-1B-Instruct,olmo,test,,0.631227758007
1,arcee-ai/raspberry-3B,raspberry,train,0,0.689333333333
1,google/gemma-2-2b,gemma,train,3,0.153777777778
1,google/gemma-2b,gemma,train,3,0.090666666667
1,h2oai/h2o-danube-1.8b-chat,danube,train,3,0.532681191641
1,h2oai/h2o-danube2-1.8b-base,danube,train,3,0.265451311694
1,h2oai/h2o-danube2-1.8b-chat,danube,train,3,0.588444444444
1,ibm-granite/granite-3.0-2b-base,granite,train,1,0.499333036905
1,ibm-granite/granite-3.1-2b-base,granite,train,1,0.498443752779
1,ibm-granite/granite-3.1-2b-instruct,granite,train,1,0.783014673188
1,ibm-granite/granite-7b-instruct,granite,train,1,0.612716763006
1,ibm/PowerLM-3b,powerlm,train,0,0.532444444444
1,meta-llama/Llama-3.2-1B,llama_3_2,train,1,0.087111111111
1,meta-llama/Llama-3.2-1B-Instruct,llama_3_2,train,1,0.646954201867
1,meta-llama/Llama-3.2-3B-Instruct,llama_3_2,train,1,0.800000000000
1,microsoft/phi-1_5,phi,train,2,0.153777777778
1,nvidia/AceInstruct-1.5B,ace,test,,0.728768341485
1,openbmb/MiniCPM-1B-sft-bf16,minicpm,test,,0.179555555556
1,openbmb/MiniCPM-2B-sft-bf16,minicpm,test,,0.406402845709
1,openlm-research/open_llama_3b,open_llama,test,,0.037333333333
1,pankajmathur/orca_mini_3b,orca_mini,train,3,0.269897732325
1,pankajmathur/orca_mini_v9_5_3B-Instruct,orca_mini,train,3,0.741218319253
1,stabilityai/stablelm-2-1_6b-chat,stablelm,train,2,0.620000000000
1,stabilityai/stablelm-2-zephyr-1_6b,stablelm,train,2,0.619111111111
1,stabilityai/stablelm-zephyr-3b,stablelm,train,2,0.666222222222
1,tiiuae/Falcon3-1B-Instruct,falcon3,train,3,0.608714984438
1,tiiuae/Falcon3-3B-Base,falcon3,train,3,0.390395731436
1,tiiuae/Falcon3-3B-Instruct,falcon3,train,3,0.779457536683
1,utter-project/EuroLLM-1.7B,eurollm,train,2,0.062666666667
1,utter-project/EuroLLM-1.7B-Instruct,eurollm,train,2,0.491992882562
2,01-ai/Yi-1.5-6B,yi,train,0,0.270666666667
2,01-ai/Yi-1.5-6B-Chat,yi,train,0,0.711871943086
2,01-ai/Yi-6B,yi,train,0,0.160000000000
2,01-ai/Yi-6B-200K,yi,train,0,0.075111111111
2,01-ai/Yi-6B-Chat,yi,train,0,0.645777777778
2,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,test,,0.009777777778
2,BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,test,,0.041777777778
2,BSC-LT/salamandra-2b,salamandra,train,0,0.097777777778
2,BSC-LT/salamandra-2b-instruct,salamandra,train,0,0.448888888889
2,BSC-LT/salamandra-7b,salamandra,train,0,0.240000000000
2,BSC-LT/salamandra-7b-instruct,salamandra,train,0,0.555555555556
2,HuggingFaceTB/SmolLM2-360M,smollm,test,,0.036444444444
2,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,train,1,0.797777777778
2,OpenBMB/MiniCPM4-0.5B,minicpm,train,1,0.502890173410
2,Qwen/Qwen1.5-1.8B,qwen,train,2,0.113929684023
2,Qwen/Qwen1.5-1.8B-Chat,qwen,train,2,0.554666666667
2,Qwen/Qwen2-0.5B,qwen,train,2,0.231555555556
2,Qwen/Qwen2.5-0.5B-Instruct,qwen,train,2,0.505782918149
2,ai-forever/mGPT,mgpt,train,3,0.006666666667
2,allenai/OLMo-1B-hf,olmo,train,1,0.012444444444
2,allenai/OLMo-2-0425-1B,olmo,train,1,0.096000000000
2,allenai/OLMo-2-0425-1B-DPO,olmo,train,1,0.626779359431
2,allenai/OLMo-2-0425-1B-Instruct,olmo,train,1,0.631227758007
2,arcee-ai/raspberry-3B,raspberry,train,0,0.689333333333
2,google/gemma-2-2b,gemma,train,3,0.153777777778
2,google/gemma-2b,gemma,train,3,0.090666666667
2,h2oai/h2o-danube-1.8b-chat,danube,train,3,0.532681191641
2,h2oai/h2o-danube2-1.8b-base,danube,train,3,0.265451311694
2,h2oai/h2o-danube2-1.8b-chat,danube,train,3,0.588444444444
2,ibm-granite/granite-3.0-2b-base,granite,test,,0.499333036905
2,ibm-granite/granite-3.1-2b-base,granite,test,,0.498443752779
2,ibm-granite/granite-3.1-2b-instruct,granite,test,,0.783014673188
2,ibm-granite/granite-7b-instruct,granite,test,,0.612716763006
2,ibm/PowerLM-3b,powerlm,train,0,0.532444444444
2,meta-llama/Llama-3.2-1B,llama_3_2,test,,0.087111111111
2,meta-llama/Llama-3.2-1B-Instruct,llama_3_2,test,,0.646954201867
2,meta-llama/Llama-3.2-3B-Instruct,llama_3_2,test,,0.800000000000
2,microsoft/phi-1_5,phi,train,2,0.153777777778
2,nvidia/AceInstruct-1.5B,ace,train,1,0.728768341485
2,openbmb/MiniCPM-1B-sft-bf16,minicpm,train,1,0.179555555556
2,openbmb/MiniCPM-2B-sft-bf16,minicpm,train,1,0.406402845709
2,openlm-research/open_llama_3b,open_llama,train,1,0.037333333333
2,pankajmathur/orca_mini_3b,orca_mini,train,3,0.269897732325
2,pankajmathur/orca_mini_v9_5_3B-Instruct,orca_mini,train,3,0.741218319253
2,stabilityai/stablelm-2-1_6b-chat,stablelm,train,2,0.620000000000
2,stabilityai/stablelm-2-zephyr-1_6b,stablelm,train,2,0.619111111111
2,stabilityai/stablelm-zephyr-3b,stablelm,train,2,0.666222222222
2,tiiuae/Falcon3-1B-Instruct,falcon3,train,3,0.608714984438
2,tiiuae/Falcon3-3B-Base,falcon3,train,3,0.390395731436
2,tiiuae/Falcon3-3B-Instruct,falcon3,train,3,0.779457536683
2,utter-project/EuroLLM-1.7B,eurollm,train,2,0.062666666667
2,utter-project/EuroLLM-1.7B-Instruct,eurollm,train,2,0.491992882562
3,01-ai/Yi-1.5-6B,yi,train,0,0.270666666667
3,01-ai/Yi-1.5-6B-Chat,yi,train,0,0.711871943086
3,01-ai/Yi-6B,yi,train,0,0.160000000000
3,01-ai/Yi-6B-200K,yi,train,0,0.075111111111
3,01-ai/Yi-6B-Chat,yi,train,0,0.645777777778
3,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,train,2,0.009777777778
3,BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,train,2,0.041777777778
3,BSC-LT/salamandra-2b,salamandra,train,0,0.097777777778
3,BSC-LT/salamandra-2b-instruct,salamandra,train,0,0.448888888889
3,BSC-LT/salamandra-7b,salamandra,train,0,0.240000000000
3,BSC-LT/salamandra-7b-instruct,salamandra,train,0,0.555555555556
3,HuggingFaceTB/SmolLM2-360M,smollm,train,2,0.036444444444
3,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,train,1,0.797777777778
3,OpenBMB/MiniCPM4-0.5B,minicpm,train,1,0.502890173410
3,Qwen/Qwen1.5-1.8B,qwen,test,,0.113929684023
3,Qwen/Qwen1.5-1.8B-Chat,qwen,test,,0.554666666667
3,Qwen/Qwen2-0.5B,qwen,test,,0.231555555556
3,Qwen/Qwen2.5-0.5B-Instruct,qwen,test,,0.505782918149
3,ai-forever/mGPT,mgpt,train,3,0.006666666667
3,allenai/OLMo-1B-hf,olmo,train,1,0.012444444444
3,allenai/OLMo-2-0425-1B,olmo,train,1,0.096000000000
3,allenai/OLMo-2-0425-1B-DPO,olmo,train,1,0.626779359431
3,allenai/OLMo-2-0425-1B-Instruct,olmo,train,1,0.631227758007
3,arcee-ai/raspberry-3B,raspberry,train,0,0.689333333333
3,google/gemma-2-2b,gemma,train,3,0.153777777778
3,google/gemma-2b,gemma,train,3,0.090666666667
3,h2oai/h2o-danube-1.8b-chat,danube,train,3,0.532681191641
3,h2oai/h2o-danube2-1.8b-base,danube,train,3,0.265451311694
3,h2oai/h2o-danube2-1.8b-chat,danube,train,3,0.588444444444
3,ibm-granite/granite-3.0-2b-base,granite,train,2,0.499333036905
3,ibm-granite/granite-3.1-2b-base,granite,train,2,0.498443752779
3,ibm-granite/granite-3.1-2b-instruct,granite,train,2,0.783014673188
3,ibm-granite/granite-7b-instruct,granite,train,2,0.612716763006
3,ibm/PowerLM-3b,powerlm,train,0,0.532444444444
3,meta-llama/Llama-3.2-1B,llama_3_2,train,2,0.087111111111
3,meta-llama/Llama-3.2-1B-Instruct,llama_3_2,train,2,0.646954201867
3,meta-llama/Llama-3.2-3B-Instruct,llama_3_2,train,2,0.800000000000
3,microsoft/phi-1_5,phi,test,,0.153777777778
3,nvidia/AceInstruct-1.5B,ace,train,1,0.728768341485
3,openbmb/MiniCPM-1B-sft-bf16,minicpm,train,1,0.179555555556
3,openbmb/MiniCPM-2B-sft-bf16,minicpm,train,1,0.406402845709
3,openlm-research/open_llama_3b,open_llama,train,1,0.037333333333
3,pankajmathur/orca_mini_3b,orca_mini,train,3,0.269897732325
3,pankajmathur/orca_mini_v9_5_3B-Instruct,orca_mini,train,3,0.741218319253
3,stabilityai/stablelm-2-1_6b-chat,stablelm,test,,0.620000000000
3,stabilityai/stablelm-2-zephyr-1_6b,stablelm,test,,0.619111111111
3,stabilityai/stablelm-zephyr-3b,stablelm,test,,0.666222222222
3,tiiuae/Falcon3-1B-Instruct,falcon3,train,3,0.608714984438
3,tiiuae/Falcon3-3B-Base,falcon3,train,3,0.390395731436
3,tiiuae/Falcon3-3B-Instruct,falcon3,train,3,0.779457536683
3,utter-project/EuroLLM-1.7B,eurollm,test,,0.062666666667
3,utter-project/EuroLLM-1.7B-Instruct,eurollm,test,,0.491992882562
4,01-ai/Yi-1.5-6B,yi,train,0,0.270666666667
4,01-ai/Yi-1.5-6B-Chat,yi,train,0,0.711871943086
4,01-ai/Yi-6B,yi,train,0,0.160000000000
4,01-ai/Yi-6B-200K,yi,train,0,0.075111111111
4,01-ai/Yi-6B-Chat,yi,train,0,0.645777777778
4,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,train,2,0.009777777778
4,BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,train,2,0.041777777778
4,BSC-LT/salamandra-2b,salamandra,train,0,0.097777777778
4,BSC-LT/salamandra-2b-instruct,salamandra,train,0,0.448888888889
4,BSC-LT/salamandra-7b,salamandra,train,0,0.240000000000
4,BSC-LT/salamandra-7b-instruct,salamandra,train,0,0.555555555556
4,HuggingFaceTB/SmolLM2-360M,smollm,train,2,0.036444444444
4,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,train,1,0.797777777778
4,OpenBMB/MiniCPM4-0.5B,minicpm,train,1,0.502890173410
4,Qwen/Qwen1.5-1.8B,qwen,train,3,0.113929684023
4,Qwen/Qwen1.5-1.8B-Chat,qwen,train,3,0.554666666667
4,Qwen/Qwen2-0.5B,qwen,train,3,0.231555555556
4,Qwen/Qwen2.5-0.5B-Instruct,qwen,train,3,0.505782918149
4,ai-forever/mGPT,mgpt,test,,0.006666666667
4,allenai/OLMo-1B-hf,olmo,train,1,0.012444444444
4,allenai/OLMo-2-0425-1B,olmo,train,1,0.096000000000
4,allenai/OLMo-2-0425-1B-DPO,olmo,train,1,0.626779359431
4,allenai/OLMo-2-0425-1B-Instruct,olmo,train,1,0.631227758007
4,arcee-ai/raspberry-3B,raspberry,train,0,0.689333333333
4,google/gemma-2-2b,gemma,test,,0.153777777778
4,google/gemma-2b,gemma,test,,0.090666666667
4,h2oai/h2o-danube-1.8b-chat,danube,test,,0.532681191641
4,h2oai/h2o-danube2-1.8b-base,danube,test,,0.265451311694
4,h2oai/h2o-danube2-1.8b-chat,danube,test,,0.588444444444
4,ibm-granite/granite-3.0-2b-base,granite,train,2,0.499333036905
4,ibm-granite/granite-3.1-2b-base,granite,train,2,0.498443752779
4,ibm-granite/granite-3.1-2b-instruct,granite,train,2,0.783014673188
4,ibm-granite/granite-7b-instruct,granite,train,2,0.612716763006
4,ibm/PowerLM-3b,powerlm,train,0,0.532444444444
4,meta-llama/Llama-3.2-1B,llama_3_2,train,2,0.087111111111
4,meta-llama/Llama-3.2-1B-Instruct,llama_3_2,train,2,0.646954201867
4,meta-llama/Llama-3.2-3B-Instruct,llama_3_2,train,2,0.800000000000
4,microsoft/phi-1_5,phi,train,3,0.153777777778
4,nvidia/AceInstruct-1.5B,ace,train,1,0.728768341485
4,openbmb/MiniCPM-1B-sft-bf16,minicpm,train,1,0.179555555556
4,openbmb/MiniCPM-2B-sft-bf16,minicpm,train,1,0.406402845709
4,openlm-research/open_llama_3b,open_llama,train,1,0.037333333333
4,pankajmathur/orca_mini_3b,orca_mini,test,,0.269897732325
4,pankajmathur/orca_mini_v9_5_3B-Instruct,orca_mini,test,,0.741218319253
4,stabilityai/stablelm-2-1_6b-chat,stablelm,train,3,0.620000000000
4,stabilityai/stablelm-2-zephyr-1_6b,stablelm,train,3,0.619111111111
4,stabilityai/stablelm-zephyr-3b,stablelm,train,3,0.666222222222
4,tiiuae/Falcon3-1B-Instruct,falcon3,test,,0.608714984438
4,tiiuae/Falcon3-3B-Base,falcon3,test,,0.390395731436
4,tiiuae/Falcon3-3B-Instruct,falcon3,test,,0.779457536683
4,utter-project/EuroLLM-1.7B,eurollm,train,3,0.062666666667
4,utter-project/EuroLLM-1.7B-Instruct,eurollm,train,3,0.491992882562
