model,len_online,len_eap,honestSD_online_conceptual_understanding,honestSD_online_quantitative_procedural,honestSD_eap_conceptual_understanding,honestSD_eap_quantitative_procedural,online_honest_ok,eap_reached,theta_online_conceptual_understanding,theta_online_quantitative_procedural,theta_eap_conceptual_understanding,theta_eap_quantitative_procedural,theta_ref_conceptual_understanding,theta_ref_quantitative_procedural
ibm-granite/granite-3.1-2b-base,12,16,0.2815198827326482,0.3180186207923996,0.24182507946537396,0.2517541670797209,False,True,1.1088149689992688,0.21921474262016605,1.0647477147193773,0.16117427342800855,0.9000001337403306,0.1381234977969991
ibm-granite/granite-3.1-2b-instruct,12,50,0.42677476748134163,0.276186660800619,0.355768545889294,0.009717639998998445,False,False,1.224064337608483,0.35068896809744715,1.727116384443143,1.0396928668641543,2.1000072277121045,1.167447547277961
ibm-granite/granite-7b-instruct,14,26,0.36873902397933284,0.3612032513836897,0.19236379475392226,0.18427652932449917,False,True,0.17325619300776507,-0.5297843732281902,0.14518621440039356,-0.0453309340797971,0.2999294337944703,-0.05235043313241222
ibm/PowerLM-3b,12,15,0.29900633541069666,0.3252389145395227,0.29938266013654385,0.2744829002519543,False,True,-0.11145581869880888,-0.16740413298592183,-0.11268879567613407,-0.11158278915576726,0.00042540284704684116,-0.04354990257621041
meta-llama/Llama-3.2-1B,29,50,0.3240851517927042,0.47175396754543136,0.3172058474699929,0.45898095907821623,False,False,-1.15913539766542,-1.507897606409134,-1.1702389421811612,-1.5527809302842868,-1.4369962107175498,-1.4372020594459602
meta-llama/Llama-3.2-1B-Instruct,12,14,0.2814562236907079,0.31176127849053054,0.2724203996806765,0.2458858074221021,False,True,-0.1507844582266522,-0.0404522112148794,-0.20088904397905008,0.04945374011945216,-0.00010554962399888753,0.29455783484598513
meta-llama/Llama-3.2-3B-Instruct,12,12,0.18537841826819787,0.2531757169623677,0.18537841826819787,0.2531757169623677,True,True,1.432512588526334,0.8245439018860508,1.432512588526334,0.8245439018860508,1.4989054884159463,1.1671417108359574
microsoft/phi-1_5,16,19,0.34924917046387566,0.2942647966979959,0.29872731295101146,0.2873289914429188,False,True,-0.5894114596265577,-0.2627107782117755,-0.9864751477437389,-0.32545588754032434,-1.197150964198517,-0.6421135803056262
nvidia/AceInstruct-1.5B,12,12,0.24660151258599797,0.1616974640539958,0.24660151258599797,0.1616974640539958,True,True,1.2365356881041674,1.136334187724852,1.2365356881041674,1.136334187724852,1.499932223299337,1.0427307197896194
openbmb/MiniCPM-1B-sft-bf16,29,50,0.6063595918101432,0.5417728056331086,0.4556717988368545,0.5404325949997846,False,False,-0.8173988567191129,-1.6102918978776362,-1.2326682744694966,-1.6640140506610408,-2.743165713051489,-2.5129602166796996
openbmb/MiniCPM-2B-sft-bf16,17,50,0.33736424414550586,0.4464592825722757,0.34368182687703,0.41362768757379875,False,False,-0.3069464548553633,-1.1194788137127287,-0.5559183333202165,-1.338129079288436,-0.8953378147114177,-1.8645739318056864
openlm-research/open_llama_3b,17,50,0.5277952144066095,0.4181004879960717,0.3681412726482909,0.3982303162436043,False,False,-1.3629319808140798,-1.0563448679126748,-1.4184532402887966,-1.2530141866530435,-2.261667474581623,-1.704530304930652
pankajmathur/orca_mini_3b,17,50,0.38954702091476634,0.478909218163787,0.32648343617775055,0.3982713531214701,False,False,-1.2388844687636533,-1.1726307595627383,-1.2484780703285143,-1.264310771095891,-1.1862350523706322,-1.7689726049874464
pankajmathur/orca_mini_v9_5_3B-Instruct,12,12,0.24511089962556162,0.1993461599198254,0.24511089962556162,0.1993461599198254,True,True,1.2870219507085223,0.6737837162212668,1.2870219507085223,0.6737837162212668,1.1885544742618546,0.7899262050180152
stabilityai/stablelm-2-1_6b-chat,14,13,0.2679673417369413,0.28799764890140866,0.26819476481418264,0.2970087430181321,True,True,-0.1124935606075937,-0.06490371870028877,-0.11275991822443529,-0.03682079161112567,-0.0875403956578089,-0.24727104754844473
stabilityai/stablelm-2-zephyr-1_6b,14,31,0.3098382268268957,0.38000719339854505,0.2573342391817405,0.2988940056505692,False,True,-0.6865047309330721,-0.2588871873363928,-0.6793281861730183,-0.5758253929564167,-0.3549353846629333,-0.7534913418971264
stabilityai/stablelm-zephyr-3b,12,23,0.2428813570908832,0.42368470583582923,0.15354590832467915,0.2653893479634055,False,True,-0.13764146623194978,0.018212484038906476,-0.07395763469920032,-0.019754988225780416,0.00022377778714291087,-0.11936832094087114
tiiuae/Falcon3-1B-Instruct,12,14,0.29817158166072205,0.34960472047771174,0.29748118710642935,0.2791904344995376,False,True,0.7990298163663699,-0.2394386023233744,0.7962942858697594,-0.12877669551550064,0.8999999712907657,0.12540151885669887
tiiuae/Falcon3-3B-Base,12,12,0.1594662146186979,0.23891851538600667,0.1594662146186979,0.23891851538600667,True,True,1.5962813401049665,0.8278191809576267,1.5962813401049665,0.8278191809576267,1.2045818084351207,0.9969686626995238
tiiuae/Falcon3-3B-Instruct,12,12,0.20562418837489427,0.2572157367932215,0.20562418837489427,0.2572157367932215,True,True,1.9776620681022694,1.519398626434699,1.9776620681022694,1.519398626434699,2.4000210954910015,2.1857609209255093
utter-project/EuroLLM-1.7B,26,50,0.5183639536642443,0.5432573364719034,0.32495826877601414,0.520800182252216,False,False,-1.8704606839443176,-1.5578608377487742,-1.8077744710295462,-1.5984704674352315,-2.170675032202944,-2.404133708228041
utter-project/EuroLLM-1.7B-Instruct,18,50,0.36455588565574154,0.40498961644806747,0.3329981484430754,0.3791411281753506,False,False,-0.7899861716627428,-1.0138497636081791,-1.03449658736484,-1.2501995842251008,-1.0590818337230647,-1.6224080656764428
