floor,se_target,n_models,median_len,mean_len,pct_cap_hit,pct_info_plateau,pct_reach_all_skills,median_se_total_correctness,max_se_total_correctness,frac_se_total_le_0.25_correctness,frac_se_total_le_0.3_correctness,median_se_total_scaffolding,max_se_total_scaffolding,frac_se_total_le_0.25_scaffolding,frac_se_total_le_0.3_scaffolding
8,0.27,33,22.0,22.0,0.0,0.5151515151515151,0.48484848484848486,0.37389003225557244,1.131033197440387,0.12121212121212122,0.30303030303030304,0.32207340357642267,0.7721573923654534,0.0,0.18181818181818182
8,0.3,33,21.0,19.09090909090909,0.0,0.45454545454545453,0.5454545454545454,0.37564237296157454,1.1513974059377057,0.0,0.2727272727272727,0.33417623844254607,0.7833158321741167,0.0,0.09090909090909091
8,0.32,33,20.0,18.03030303030303,0.0,0.3939393939393939,0.6060606060606061,0.37836363972178083,1.1513974059377057,0.0,0.15151515151515152,0.3490550364569094,0.7935614818292248,0.0,0.06060606060606061
10,0.15,33,33.0,32.666666666666664,0.0,1.0,0.0,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7574226335832462,0.06060606060606061,0.48484848484848486
10,0.2,33,31.0,32.18181818181818,0.0,0.9090909090909091,0.09090909090909091,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7574226335832462,0.030303030303030304,0.48484848484848486
10,0.22,33,30.0,30.060606060606062,0.0,0.6666666666666666,0.3333333333333333,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7596720318293654,0.030303030303030304,0.48484848484848486
10,0.25,33,25.0,25.0,0.0,0.5454545454545454,0.45454545454545453,0.3645655901452937,1.12955301111806,0.12121212121212122,0.30303030303030304,0.31501516838643506,0.7668004522758441,0.0,0.36363636363636365
10,0.27,33,22.0,22.0,0.0,0.5151515151515151,0.48484848484848486,0.37389003225557244,1.131033197440387,0.12121212121212122,0.30303030303030304,0.32207340357642267,0.7721573923654534,0.0,0.18181818181818182
10,0.3,33,21.0,19.181818181818183,0.0,0.45454545454545453,0.5454545454545454,0.37564237296157454,1.1513974059377057,0.0,0.30303030303030304,0.3334670396990612,0.7833158321741167,0.0,0.09090909090909091
10,0.32,33,20.0,18.272727272727273,0.0,0.3939393939393939,0.6060606060606061,0.37836363972178083,1.1513974059377057,0.0,0.24242424242424243,0.34156639079834245,0.7935614818292248,0.0,0.06060606060606061
12,0.15,33,33.0,32.666666666666664,0.0,1.0,0.0,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7574226335832462,0.06060606060606061,0.48484848484848486
12,0.2,33,31.0,32.18181818181818,0.0,0.9090909090909091,0.09090909090909091,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7574226335832462,0.030303030303030304,0.48484848484848486
12,0.22,33,30.0,30.060606060606062,0.0,0.6666666666666666,0.3333333333333333,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7596720318293654,0.030303030303030304,0.48484848484848486
12,0.25,33,25.0,25.0,0.0,0.5454545454545454,0.45454545454545453,0.3645655901452937,1.12955301111806,0.12121212121212122,0.30303030303030304,0.31501516838643506,0.7668004522758441,0.0,0.36363636363636365
12,0.27,33,22.0,22.060606060606062,0.0,0.5151515151515151,0.48484848484848486,0.37389003225557244,1.131033197440387,0.12121212121212122,0.30303030303030304,0.32162770052871825,0.7721573923654534,0.0,0.18181818181818182
12,0.3,33,21.0,19.515151515151516,0.0,0.45454545454545453,0.5454545454545454,0.37564237296157454,1.1513974059377057,0.0,0.30303030303030304,0.3300215995767897,0.7833158321741167,0.0,0.09090909090909091
12,0.32,33,20.0,18.666666666666668,0.0,0.3939393939393939,0.6060606060606061,0.37836363972178083,1.1513974059377057,0.0,0.24242424242424243,0.335822485857674,0.7935614818292248,0.0,0.06060606060606061
15,0.15,33,33.0,32.666666666666664,0.0,1.0,0.0,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7574226335832462,0.06060606060606061,0.48484848484848486
15,0.2,33,31.0,32.18181818181818,0.0,0.9090909090909091,0.09090909090909091,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7574226335832462,0.030303030303030304,0.48484848484848486
15,0.22,33,30.0,30.060606060606062,0.0,0.6666666666666666,0.3333333333333333,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7596720318293654,0.030303030303030304,0.48484848484848486
15,0.25,33,25.0,25.09090909090909,0.0,0.5151515151515151,0.48484848484848486,0.3645655901452937,1.12955301111806,0.12121212121212122,0.30303030303030304,0.3128110207665637,0.7668004522758441,0.0,0.36363636363636365
15,0.27,33,22.0,22.424242424242426,0.0,0.5151515151515151,0.48484848484848486,0.37389003225557244,1.131033197440387,0.12121212121212122,0.30303030303030304,0.320964800515012,0.7721573923654534,0.0,0.21212121212121213
15,0.3,33,21.0,20.272727272727273,0.0,0.45454545454545453,0.5454545454545454,0.37564237296157454,1.1513974059377057,0.09090909090909091,0.30303030303030304,0.32939169070988317,0.7833158321741167,0.0,0.18181818181818182
15,0.32,33,20.0,19.606060606060606,0.0,0.3939393939393939,0.6060606060606061,0.37836363972178083,1.1513974059377057,0.09090909090909091,0.2727272727272727,0.3346354563498057,0.7833158321741167,0.0,0.15151515151515152
