model,fold,criteria_administered,scenarios_administered,theta_ref_general,theta_online_general,theta_batch_general,theta_mwle_general
Qwen/Qwen2-0.5B,4,35,8,-0.6000875652981706,-0.377601,-0.40118099518105604,-0.3829395487514435
Qwen/Qwen2.5-0.5B-Instruct,4,44,11,0.5994225408051859,0.385486,0.4317804994240375,0.4035006633220572
ai-forever/mGPT,3,38,10,-4.537801062052823,-2.04065,-3.0861185143787986,-3.750990885947194
allenai/OLMo-1B-hf,3,28,8,-4.810603380716438,-1.564826,-2.499617222518248,-2.988271742796712
allenai/OLMo-2-0425-1B,3,23,8,-1.3531412782676908,-0.948602,-0.954491902357151,-0.9707671363989402
allenai/OLMo-2-0425-1B-DPO,4,34,8,1.3999999266938943,1.503015,1.5009719852540675,1.5026187192412384
allenai/OLMo-2-0425-1B-Instruct,4,30,8,1.3974131098215818,1.36775,1.5995336306112007,1.583108570553298
arcee-ai/raspberry-3B,0,41,9,1.2046838503550918,0.592242,0.7088760998882604,0.7380818758294013
google/gemma-2-2b,2,39,9,-1.4049670188902819,-1.465475,-1.5470333377153156,-1.5352853716385988
google/gemma-2b,1,29,8,-1.5428847664711691,-1.233346,-1.1976962178965134,-1.2072839668019808
h2oai/h2o-danube-1.8b-chat,3,34,8,0.2000000053318791,0.074426,0.08037264656899713,0.07694969485527577
h2oai/h2o-danube2-1.8b-base,4,38,8,-0.5996399708365755,-0.217662,-0.20697589928125157,-0.2069956385971783
h2oai/h2o-danube2-1.8b-chat,1,36,8,3.693780322588774e-08,-0.252438,-0.2188086013476913,-0.22638486100199928
ibm-granite/granite-3.0-2b-base,2,60,16,0.7107500856242102,0.834158,0.8307948793830121,0.855041901106029
ibm-granite/granite-3.1-2b-base,3,32,8,0.40000018420890987,0.194622,0.20286968396260185,0.19181605994226222
ibm-granite/granite-3.1-2b-instruct,2,36,9,2.1338390962907794,1.174381,1.2638535624237859,1.275719250887871
ibm-granite/granite-7b-instruct,1,47,14,1.1999816369678016,1.298899,1.3128254273354851,1.324784429927517
ibm/PowerLM-3b,0,43,9,0.1944935052432113,0.353996,0.4041724341386901,0.37729881814925664
meta-llama/Llama-3.2-1B,0,34,8,-1.7968988456513342,-1.486791,-1.5253592554672442,-1.5182041233521915
meta-llama/Llama-3.2-1B-Instruct,1,40,11,1.0000156296141476,0.999215,1.0577575687865868,1.079258946995103
meta-llama/Llama-3.2-3B-Instruct,0,29,8,1.9996059746029329,1.361318,1.5702502457781737,1.5658839365551216
microsoft/phi-1_5,2,33,8,-1.1152478669492385,-0.983694,-1.0892551700095705,-1.0923092796934033
nvidia/AceInstruct-1.5B,1,48,12,1.689391664717252,1.24305,1.3701715300589732,1.3620336569866116
openbmb/MiniCPM-1B-sft-bf16,1,33,8,-1.8000371569835205,-1.209245,-1.2481660494162237,-1.253578622593219
openbmb/MiniCPM-2B-sft-bf16,0,36,8,-0.3794122481143425,-0.214251,-0.22340260065543976,-0.22052643692936397
openlm-research/open_llama_3b,2,32,8,-1.8010821171346902,-1.464897,-2.4564544603596477,-2.63019445651435
pankajmathur/orca_mini_3b,0,35,8,-0.3999991654227054,-0.294465,-0.28283006958022827,-0.27717855713977774
pankajmathur/orca_mini_v9_5_3B-Instruct,4,38,11,1.600051725001309,1.081769,1.1755181453921624,1.1826644066650516
stabilityai/stablelm-2-1_6b-chat,2,41,11,1.0000440612436055,1.017542,1.120363910129767,1.1296764658637881
stabilityai/stablelm-2-zephyr-1_6b,0,46,10,0.6088487925305718,0.823031,0.8226755554023888,0.855073725475856
stabilityai/stablelm-zephyr-3b,2,41,11,1.1999989283211006,1.059498,1.0748173764625417,1.0949035871679953
tiiuae/Falcon3-1B-Instruct,1,43,10,1.0018208538898583,0.993863,1.239076833794369,1.2488059892598313
tiiuae/Falcon3-3B-Base,1,32,9,0.5966222659536972,0.16944,0.16734574988214057,0.14225994602684489
tiiuae/Falcon3-3B-Instruct,4,32,8,1.8092673499746617,1.378486,1.5427674825630557,1.530836700824355
utter-project/EuroLLM-1.7B,2,38,9,-1.2458802618570315,-1.304639,-1.3054056600458628,-1.307514480259252
utter-project/EuroLLM-1.7B-Instruct,0,33,8,-7.76846589315524e-06,-0.159794,-0.14550499573503534,-0.1596153099868782
