criterion_id,a,b,n_persons,flags
bridge_0022_c06,1.591905,1.581853,51,
bridge_0022_c07,1.243763,1.437672,51,
bridge_0022_c08,1.741078,1.989631,51,
bridge_0022_c09,1.504801,2.227009,51,
bridge_0022_c10,2.673225,2.526747,51,
bridge_0022_c11,2.266248,0.751800,51,
bridge_0022_c12,2.292418,2.778273,51,
bridge_0022_c13,1.162362,-2.050521,51,
bridge_0022_c14,2.649406,0.974594,51,
bridge_0022_c15,-0.005288,-2.014457,51,
bridge_0022_c16,0.962557,-2.267012,51,
bridge_0022_c20,0.341957,-4.007296,51,
bridge_0022_c21,2.113828,1.157855,51,
bridge_0022_c37,1.751784,0.060999,51,
bridge_0023_c01,1.964845,2.318785,51,
bridge_0023_c02,1.601738,3.325521,51,
bridge_0023_c03,1.613954,0.061648,51,
bridge_0023_c04,1.329850,-1.995047,51,
bridge_0023_c05,1.931907,1.564942,51,
bridge_0023_c06,1.669419,2.796633,51,
bridge_0023_c07,1.907843,1.720952,51,
bridge_0023_c08,2.437027,3.486480,51,
bridge_0023_c09,1.903076,1.893693,51,
bridge_0023_c10,1.585732,0.642649,51,
bridge_0023_c11,1.679901,0.534909,51,
bridge_0023_c12,2.440383,4.738407,51,
bridge_0023_c13,1.447176,-2.072522,51,
bridge_0023_c14,1.521339,1.264480,51,
bridge_0023_c15,0.415349,-1.784034,51,
bridge_0023_c16,1.803336,-2.520339,51,
bridge_0023_c24,1.936153,-2.854224,51,
bridge_0023_c25,2.440383,4.738407,51,
bridge_0023_c38,2.327107,-0.213453,51,
bridge_0028_c01,1.468801,2.016807,51,
bridge_0028_c02,0.077125,3.908596,51,
bridge_0028_c03,0.167366,-0.212673,51,
bridge_0028_c04,0.406974,-0.850966,51,
bridge_0028_c05,1.056399,1.366734,51,
bridge_0028_c06,0.077125,3.908596,51,
bridge_0028_c07,0.752407,0.254776,51,
bridge_0028_c08,1.133309,3.252478,51,
bridge_0028_c09,1.337385,1.076480,51,
bridge_0028_c10,2.252855,1.354493,51,
bridge_0028_c11,0.886738,0.851497,51,
bridge_0028_c12,0.864803,2.718908,51,
bridge_0028_c13,0.632455,-1.343439,51,
bridge_0028_c14,0.772730,0.534157,51,
bridge_0028_c15,0.728152,-2.299600,51,
bridge_0028_c16,1.204708,-2.257739,51,
bridge_0028_c18,0.608610,0.429735,51,
bridge_0028_c19,1.159199,0.474824,51,
bridge_0028_c38,1.521380,1.264493,51,
bridge_0042_c01,1.348704,1.479725,51,
bridge_0042_c03,-0.142169,0.290089,51,
bridge_0042_c04,0.345826,-0.744593,51,
bridge_0042_c05,1.146523,1.400112,51,
bridge_0042_c07,1.223984,1.881538,51,
bridge_0042_c08,3.260765,5.889646,51,
bridge_0042_c09,1.239798,2.064277,51,
bridge_0042_c10,0.974826,1.337906,51,
bridge_0042_c11,0.660345,1.364272,51,
bridge_0042_c12,0.936410,2.274021,51,
bridge_0042_c13,0.624731,-1.461770,51,
bridge_0042_c14,0.989675,0.983553,51,
bridge_0042_c15,0.288961,-2.282729,51,
bridge_0042_c16,1.745315,-2.690126,51,
bridge_0042_c22,0.806988,0.255971,51,
bridge_0042_c23,1.057543,1.367148,51,
bridge_0042_c37,0.922830,0.164505,51,
bridge_0043_c01,0.531348,4.015984,51,
bridge_0043_c03,0.284323,0.096235,51,
bridge_0043_c04,0.310245,-0.228266,51,
bridge_0043_c05,0.797416,1.406068,51,
bridge_0043_c07,1.340777,1.944602,51,
bridge_0043_c09,1.284113,0.940550,51,
bridge_0043_c10,1.487123,1.391773,51,
bridge_0043_c11,0.631598,1.484850,51,
bridge_0043_c12,1.637336,5.072667,51,
bridge_0043_c13,0.692280,-0.929912,51,
bridge_0043_c14,1.565592,2.477734,51,
bridge_0043_c15,0.712901,-2.767542,51,
bridge_0043_c16,2.127998,-4.849290,51,
bridge_0043_c18,0.203731,0.261977,51,
bridge_0043_c19,0.659641,1.364076,51,
bridge_0043_c37,0.567733,0.517425,51,
bridge_0045_c01,1.023134,2.826016,51,
bridge_0045_c02,1.597212,3.321077,51,
bridge_0045_c03,0.710581,-1.146550,51,
bridge_0045_c04,0.216853,-2.815313,51,
bridge_0045_c05,1.213612,-0.036838,51,
bridge_0045_c06,0.077125,3.908596,51,
bridge_0045_c07,1.521162,1.264420,51,
bridge_0045_c08,0.690109,1.024310,51,
bridge_0045_c09,1.404137,1.225505,51,
bridge_0045_c10,0.923307,0.070348,51,
bridge_0045_c11,1.363698,-0.693873,51,
bridge_0045_c12,1.975620,4.142587,51,
bridge_0045_c13,2.124335,-1.460155,51,
bridge_0045_c14,1.129305,1.530929,51,
bridge_0045_c15,0.372382,-2.563347,51,
bridge_0045_c16,1.102077,-2.825740,51,
bridge_0045_c20,0.341957,-4.007296,51,
bridge_0045_c21,0.750553,1.037525,51,
bridge_0045_c37,1.238477,0.813866,51,
bridge_0051_c01,0.775534,1.531512,51,
bridge_0051_c02,1.363549,3.463694,51,
bridge_0051_c03,0.820016,-0.477548,51,
bridge_0051_c04,0.704119,-2.093917,51,
bridge_0051_c05,1.362726,2.137806,51,
bridge_0051_c06,1.026993,4.364578,51,
bridge_0051_c07,2.530380,0.796109,51,
bridge_0051_c08,1.380693,3.117395,51,
bridge_0051_c09,0.918274,0.966428,51,
bridge_0051_c10,1.614297,1.440251,51,
bridge_0051_c11,3.305140,0.933007,51,
bridge_0051_c12,0.863704,2.718218,51,
bridge_0051_c13,0.659910,-0.631052,51,
bridge_0051_c14,0.863871,0.743298,51,
bridge_0051_c15,0.361360,-2.870530,51,
bridge_0051_c16,1.794339,-4.355131,51,
bridge_0051_c26,1.778633,-0.918779,51,
bridge_0051_c27,1.244195,-2.707703,51,
bridge_0051_c39,3.141649,0.731944,51,
bridge_0053_c01,7.665109,16.977713,51,extreme_a
bridge_0053_c02,1.972235,4.138460,51,
bridge_0053_c03,0.901972,-1.107461,51,
bridge_0053_c04,0.414897,-1.783855,51,
bridge_0053_c05,3.024946,1.053089,51,
bridge_0053_c07,1.211394,0.167790,51,
bridge_0053_c08,2.289674,2.776231,51,
bridge_0053_c09,1.056405,0.067717,51,
bridge_0053_c10,2.663615,0.511098,51,
bridge_0053_c11,3.189293,-0.770974,51,
bridge_0053_c12,7.665109,16.977713,51,extreme_a
bridge_0053_c13,0.655623,-1.126645,51,
bridge_0053_c14,1.741284,2.607727,51,
bridge_0053_c15,1.013126,-2.510266,51,
bridge_0053_c16,0.797356,-3.162020,51,
bridge_0053_c26,0.978373,-1.930341,51,
bridge_0053_c27,1.156536,-2.046588,51,
bridge_0053_c38,3.305140,0.933007,51,
bridge_0055_c01,1.327160,2.530441,51,
bridge_0055_c02,2.434358,4.730358,51,
bridge_0055_c03,0.761491,0.438968,51,
bridge_0055_c04,0.482757,-1.812345,51,
bridge_0055_c05,1.762901,1.063469,51,
bridge_0055_c06,1.599274,3.323101,51,
bridge_0055_c07,0.824708,1.288953,51,
bridge_0055_c08,1.587457,1.906223,51,
bridge_0055_c09,0.661097,1.364482,51,
bridge_0055_c10,2.225782,1.036240,51,
bridge_0055_c11,1.585732,0.642649,51,
bridge_0055_c12,1.790066,4.454794,51,
bridge_0055_c13,1.191664,-1.610330,51,
bridge_0055_c14,1.932956,1.565360,51,
bridge_0055_c15,0.251722,-1.585495,51,
bridge_0055_c16,1.404647,-2.620999,51,
bridge_0055_c21,1.241976,1.436968,51,
bridge_0055_c38,2.254151,1.354899,51,
bridge_0057_c01,1.846154,3.236683,51,
bridge_0057_c02,1.611599,2.100543,51,
bridge_0057_c03,0.321210,0.093928,51,
bridge_0057_c04,0.767749,-1.168006,51,
bridge_0057_c05,1.506856,0.749535,51,
bridge_0057_c06,1.668629,2.795984,51,
bridge_0057_c07,2.186875,2.961133,51,
bridge_0057_c08,2.115246,3.502293,51,
bridge_0057_c09,0.855471,1.560904,51,
bridge_0057_c10,2.126769,0.869081,51,
bridge_0057_c11,1.080940,0.466786,51,
bridge_0057_c12,1.469434,2.017171,51,
bridge_0057_c13,0.926364,-2.061386,51,
bridge_0057_c14,1.057572,1.367159,51,
bridge_0057_c15,-0.725866,-1.976036,51,
bridge_0057_c16,1.013364,-2.120202,51,
bridge_0057_c17,1.637336,5.072667,51,
bridge_0057_c18,0.611911,-0.808094,51,
bridge_0057_c19,0.688741,0.716925,51,
bridge_0057_c38,2.351342,1.222680,51,
bridge_0058_c01,2.124764,2.206293,51,
bridge_0058_c02,1.333175,1.619480,51,
bridge_0058_c03,0.279192,0.177189,51,
bridge_0058_c04,0.202976,-0.808917,51,
bridge_0058_c05,1.072564,0.780784,51,
bridge_0058_c06,1.451914,1.834876,51,
bridge_0058_c07,-0.022543,1.542586,51,
bridge_0058_c08,1.903076,1.893693,51,
bridge_0058_c09,0.052897,1.174921,51,
bridge_0058_c10,1.565168,1.142948,51,
bridge_0058_c11,1.066864,1.002949,51,
bridge_0058_c12,2.186875,2.961133,51,
bridge_0058_c13,1.476096,-0.957237,51,
bridge_0058_c14,0.917364,0.966215,51,
bridge_0058_c15,0.341957,-4.007296,51,
bridge_0058_c16,1.617255,-3.689297,51,
bridge_0058_c21,1.664881,2.792903,51,
bridge_0058_c38,1.620494,1.025926,51,
bridge_0060_c01,1.129200,1.530886,51,
bridge_0060_c02,1.427219,2.860360,51,
bridge_0060_c03,0.117618,0.598290,51,
bridge_0060_c04,0.477519,-1.972224,51,
bridge_0060_c05,1.266197,1.310731,51,
bridge_0060_c06,1.054065,2.344739,51,
bridge_0060_c07,0.650378,0.810010,51,
bridge_0060_c08,1.504200,2.226623,51,
bridge_0060_c09,0.966267,2.517987,51,
bridge_0060_c10,2.336964,2.115275,51,
bridge_0060_c11,0.824051,1.288752,51,
bridge_0060_c12,1.105219,2.611413,51,
bridge_0060_c13,0.301754,-0.146380,51,
bridge_0060_c14,0.876145,-0.113560,51,
bridge_0060_c15,0.071432,-0.282833,51,
bridge_0060_c16,0.729408,-2.300431,51,
bridge_0060_c22,1.219177,1.718776,51,
bridge_0060_c23,2.287253,2.774430,51,
bridge_0060_c38,2.124444,2.206109,51,
bridge_0061_c01,1.105380,2.611527,51,
bridge_0061_c02,1.862875,3.593227,51,
bridge_0061_c03,0.273484,-0.224110,51,
bridge_0061_c04,0.452393,-0.862158,51,
bridge_0061_c05,1.272503,2.276358,51,
bridge_0061_c06,1.636158,3.747741,51,
bridge_0061_c07,0.613712,0.905045,51,
bridge_0061_c08,3.260765,5.889646,51,
bridge_0061_c09,1.120269,1.672530,51,
bridge_0061_c10,1.129305,1.530929,51,
bridge_0061_c11,1.123291,0.681820,51,
bridge_0061_c12,3.498674,7.051076,51,
bridge_0061_c13,0.687657,-0.544645,51,
bridge_0061_c14,1.454599,1.836265,51,
bridge_0061_c15,0.558179,-3.414710,51,
bridge_0061_c16,1.573550,-2.158091,51,
bridge_0061_c20,-0.531348,-4.015984,51,
bridge_0061_c21,0.775309,1.531432,51,
bridge_0061_c37,1.734603,1.809799,51,
bridge_0062_c01,0.596181,1.347209,51,
bridge_0062_c02,0.603900,1.614167,51,
bridge_0062_c03,1.349957,-0.362409,51,
bridge_0062_c04,0.837198,-2.865944,51,
bridge_0062_c05,2.559914,0.062157,51,
bridge_0062_c06,1.371632,1.348820,51,
bridge_0062_c07,1.032158,1.110344,51,
bridge_0062_c08,2.180032,1.494136,51,
bridge_0062_c09,0.855585,1.560948,51,
bridge_0062_c10,2.118844,1.159217,51,
bridge_0062_c11,0.863214,0.071757,51,
bridge_0062_c12,0.936400,1.592868,51,
bridge_0062_c13,0.603870,-1.108614,51,
bridge_0062_c14,0.870438,0.351912,51,
bridge_0062_c15,0.226540,-0.722252,51,
bridge_0062_c16,0.915122,-2.433160,51,
bridge_0062_c20,-0.077125,-3.908596,51,
bridge_0062_c21,2.902872,0.221262,51,
bridge_0062_c37,1.751831,0.060999,51,
bridge_0063_c01,0.740578,2.968050,51,
bridge_0063_c02,1.394954,3.980865,51,
bridge_0063_c03,0.713262,-0.100668,51,
bridge_0063_c04,0.499712,-1.537013,51,
bridge_0063_c05,3.249835,1.284594,51,
bridge_0063_c06,3.356081,3.999796,51,
bridge_0063_c07,0.953203,1.461085,51,
bridge_0063_c08,3.356081,3.999796,51,
bridge_0063_c09,1.243908,1.437729,51,
bridge_0063_c10,3.346839,1.701989,51,
bridge_0063_c11,2.663779,0.511116,51,
bridge_0063_c12,2.118437,3.505538,51,
bridge_0063_c13,0.813848,-1.422049,51,
bridge_0063_c14,0.632350,1.485070,51,
bridge_0063_c15,0.666285,-2.476405,51,
bridge_0063_c16,1.123488,-2.602061,51,
bridge_0063_c21,1.730208,1.807635,51,
bridge_0063_c38,1.764642,1.498763,51,
bridge_0065_c01,0.323314,2.485120,51,
bridge_0065_c02,0.308258,3.221047,51,
bridge_0065_c03,0.289642,0.015507,51,
bridge_0065_c04,-0.236202,-0.965685,51,
bridge_0065_c05,1.019235,1.942706,51,
bridge_0065_c06,0.531348,4.015984,51,
bridge_0065_c07,0.274415,0.774930,51,
bridge_0065_c08,1.619567,3.026817,51,
bridge_0065_c09,0.822984,2.020069,51,
bridge_0065_c10,2.338033,1.915939,51,
bridge_0065_c11,1.521131,1.264410,51,
bridge_0065_c12,0.308258,3.221047,51,
bridge_0065_c13,0.442248,-1.514777,51,
bridge_0065_c14,0.245791,1.175450,51,
bridge_0065_c15,0.162032,-1.706087,51,
bridge_0065_c16,1.532115,-3.991386,51,
bridge_0065_c21,0.079046,3.195105,51,
bridge_0065_c37,1.500267,0.173666,51,
bridge_0066_c01,1.771133,0.799552,51,
bridge_0066_c02,2.593519,-1.140307,51,
bridge_0066_c03,1.079634,-0.948100,51,
bridge_0066_c04,1.442278,-2.069249,51,
bridge_0066_c05,3.522097,-1.804241,51,
bridge_0066_c06,3.355516,-1.349870,51,
bridge_0066_c07,1.083228,1.247943,51,
bridge_0066_c08,3.607998,-1.222569,51,
bridge_0066_c09,1.228383,1.573078,51,
bridge_0066_c10,3.703899,-1.655187,51,
bridge_0066_c11,3.703899,-1.655187,51,
bridge_0066_c12,2.882863,0.064731,51,
bridge_0066_c13,0.823121,-0.868122,51,
bridge_0066_c14,2.803495,-0.708217,51,
bridge_0066_c15,0.023141,-1.542648,51,
bridge_0066_c16,1.886386,-2.377916,51,
bridge_0066_c22,3.037148,-1.630060,51,
bridge_0066_c23,2.117133,-1.010634,51,
bridge_0066_c39,3.703899,-1.655187,51,
bridge_0067_c01,1.116598,1.826322,51,
bridge_0067_c03,0.880145,-0.885350,51,
bridge_0067_c04,0.985289,-2.721543,51,
bridge_0067_c05,1.623290,-0.053145,51,
bridge_0067_c06,0.990003,0.983634,51,
bridge_0067_c07,0.375259,0.974791,51,
bridge_0067_c08,1.865406,3.595924,51,
bridge_0067_c09,0.474533,1.319871,51,
bridge_0067_c10,1.416627,0.391564,51,
bridge_0067_c11,1.409343,-0.153003,51,
bridge_0067_c12,0.827889,1.850679,51,
bridge_0067_c13,0.612285,-0.620471,51,
bridge_0067_c14,0.627087,1.234661,51,
bridge_0067_c15,0.030989,-1.075590,51,
bridge_0067_c16,0.813024,-1.685046,51,
bridge_0067_c20,-0.531348,-4.015984,51,
bridge_0067_c21,0.824180,0.839435,51,
bridge_0067_c38,1.762903,1.063470,51,
bridge_0068_c01,1.186231,2.431162,51,
bridge_0068_c03,0.905828,0.648202,51,
bridge_0068_c04,0.633119,-0.718299,51,
bridge_0068_c05,2.338406,1.916109,51,
bridge_0068_c06,1.876162,2.971433,51,
bridge_0068_c07,1.018489,1.942320,51,
bridge_0068_c08,2.363127,5.255217,51,
bridge_0068_c09,1.147130,2.197472,51,
bridge_0068_c10,1.743491,1.990960,51,
bridge_0068_c11,1.153121,0.796552,51,
bridge_0068_c12,2.363127,5.255217,51,
bridge_0068_c13,0.700005,-1.254372,51,
bridge_0068_c14,2.747479,1.696797,51,
bridge_0068_c15,-0.280555,-2.230411,51,
bridge_0068_c16,1.163182,-2.051075,51,
bridge_0068_c20,-0.077125,-3.908596,51,
bridge_0068_c21,2.122448,3.509620,51,
bridge_0068_c38,3.206834,3.146256,51,
bridge_0069_c01,0.396807,2.815437,51,
bridge_0069_c03,0.685556,-0.544220,51,
bridge_0069_c04,1.099724,-3.108546,51,
bridge_0069_c05,1.066385,1.002826,51,
bridge_0069_c06,0.531348,4.015984,51,
bridge_0069_c07,1.907843,1.720952,51,
bridge_0069_c09,0.990002,0.983633,51,
bridge_0069_c10,1.926310,1.107160,51,
bridge_0069_c11,0.752585,0.254779,51,
bridge_0069_c12,7.665109,16.977713,51,extreme_a
bridge_0069_c13,0.820238,-1.303841,51,
bridge_0069_c14,4.358080,5.578470,51,
bridge_0069_c15,-0.210631,-1.538441,51,
bridge_0069_c16,0.887089,-1.725415,51,
bridge_0069_c24,-0.040109,-1.408072,51,
bridge_0069_c25,7.665109,16.977713,51,extreme_a
bridge_0069_c37,1.768688,0.301058,51,
bridge_0070_c01,1.079141,3.666010,51,
bridge_0070_c02,7.665109,16.977713,51,extreme_a
bridge_0070_c03,0.023561,-1.542691,51,
bridge_0070_c04,0.298573,-1.122788,51,
bridge_0070_c05,0.357877,1.699658,51,
bridge_0070_c07,1.125546,1.999477,51,
bridge_0070_c09,1.031112,2.129173,51,
bridge_0070_c10,0.955066,1.088828,51,
bridge_0070_c11,0.638838,-0.268420,51,
bridge_0070_c12,7.665109,16.977713,51,extreme_a
bridge_0070_c13,1.283291,-1.385757,51,
bridge_0070_c14,1.604493,3.328229,51,
bridge_0070_c15,0.341957,-4.007296,51,
bridge_0070_c16,1.253188,-3.268681,51,
bridge_0070_c38,0.374084,0.974678,51,
bridge_0071_c01,0.802089,3.447938,51,
bridge_0071_c03,0.558117,0.252858,51,
bridge_0071_c04,0.151785,-0.710609,51,
bridge_0071_c05,0.661082,1.364478,51,
bridge_0071_c06,0.531348,4.015984,51,
bridge_0071_c07,1.465712,1.528154,51,
bridge_0071_c08,0.451245,2.519520,51,
bridge_0071_c09,2.124764,2.206293,51,
bridge_0071_c10,1.083228,1.247943,51,
bridge_0071_c11,0.450850,0.785660,51,
bridge_0071_c12,0.531348,4.015984,51,
bridge_0071_c13,1.721298,-2.260595,51,
bridge_0071_c14,1.861623,3.591894,51,
bridge_0071_c15,0.074855,-2.023842,51,
bridge_0071_c16,1.421645,-3.457028,51,
bridge_0071_c22,0.924784,1.198039,51,
bridge_0071_c23,1.031703,1.110214,51,
bridge_0071_c38,1.333291,1.774556,51,
bridge_0073_c01,1.335896,1.076056,51,
bridge_0073_c02,1.908624,1.721301,51,
bridge_0073_c03,0.999039,-0.122991,51,
bridge_0073_c04,1.207960,-2.260162,51,
bridge_0073_c05,1.631389,0.772875,51,
bridge_0073_c06,1.015399,1.777098,51,
bridge_0073_c07,0.720109,1.141985,51,
bridge_0073_c08,1.975176,1.421555,51,
bridge_0073_c09,1.030952,2.129082,51,
bridge_0073_c10,1.839780,0.946417,51,
bridge_0073_c11,1.719763,0.663485,51,
bridge_0073_c12,2.183580,2.459728,51,
bridge_0073_c13,0.282697,-0.823631,51,
bridge_0073_c14,1.467632,0.624678,51,
bridge_0073_c15,-0.193133,-1.066310,51,
bridge_0073_c16,1.204235,-1.761174,51,
bridge_0073_c20,0.217062,-2.815377,51,
bridge_0073_c21,1.238605,1.048786,51,
bridge_0073_c38,1.926056,1.107091,51,
bridge_0074_c01,0.954716,1.088733,51,
bridge_0074_c02,1.972235,4.138460,51,
bridge_0074_c03,0.750661,0.164486,51,
bridge_0074_c04,0.013849,-1.412253,51,
bridge_0074_c05,1.996765,0.574729,51,
bridge_0074_c06,0.740578,2.968050,51,
bridge_0074_c07,1.792383,0.424851,51,
bridge_0074_c08,1.972235,4.138460,51,
bridge_0074_c09,2.225588,1.036194,51,
bridge_0074_c10,2.378753,0.481630,51,
bridge_0074_c11,2.267410,0.751993,51,
bridge_0074_c12,1.963081,2.317663,51,
bridge_0074_c13,0.936006,-0.696771,51,
bridge_0074_c14,1.178225,-0.339471,51,
bridge_0074_c15,0.370922,-2.562696,51,
bridge_0074_c16,3.294245,-7.737080,51,
bridge_0074_c22,0.931740,0.355491,51,
bridge_0074_c23,1.552095,0.519394,51,
bridge_0074_c38,2.863857,0.853673,51,
bridge_0077_c01,2.438537,3.487936,51,
bridge_0077_c02,1.254248,2.721486,51,
bridge_0077_c03,0.350498,0.596294,51,
bridge_0077_c04,0.523434,-1.301447,51,
bridge_0077_c05,2.103841,1.809328,51,
bridge_0077_c06,1.484710,2.648970,51,
bridge_0077_c07,0.829450,1.851371,51,
bridge_0077_c08,1.637336,5.072667,51,
bridge_0077_c09,0.926750,1.736536,51,
bridge_0077_c10,2.253811,1.354792,51,
bridge_0077_c11,0.756509,1.666502,51,
bridge_0077_c12,0.077125,3.908596,51,
bridge_0077_c13,0.660199,-0.821210,51,
bridge_0077_c14,0.617929,2.118165,51,
bridge_0077_c15,0.403500,-1.939862,51,
bridge_0077_c16,1.856195,-3.988768,51,
bridge_0077_c20,0.733476,-4.283184,51,
bridge_0077_c21,0.834360,2.438634,51,
bridge_0077_c37,0.953650,1.088443,51,
bridge_0078_c01,1.150381,1.024824,51,
bridge_0078_c02,0.080811,2.768870,51,
bridge_0078_c03,1.930568,-0.959963,51,
bridge_0078_c04,1.643298,-2.397210,51,
bridge_0078_c05,2.255363,-0.619323,51,
bridge_0078_c06,1.023346,0.562473,51,
bridge_0078_c07,0.509865,1.209257,51,
bridge_0078_c08,2.309879,0.197882,51,
bridge_0078_c09,0.336285,1.552148,51,
bridge_0078_c10,3.414210,-0.451809,51,
bridge_0078_c11,1.832192,-0.426290,51,
bridge_0078_c12,1.613140,2.101463,51,
bridge_0078_c13,0.906772,-1.109251,51,
bridge_0078_c14,1.029411,0.881322,51,
bridge_0078_c15,0.310110,-1.602395,51,
bridge_0078_c16,3.965866,-5.798740,51,
bridge_0078_c20,0.765365,-3.579948,51,
bridge_0078_c21,1.134431,0.267415,51,
bridge_0078_c38,2.300160,0.060919,51,
bridge_0082_c01,1.169714,1.277030,51,
bridge_0082_c03,0.440737,0.691059,51,
bridge_0082_c04,0.950523,-1.361037,51,
bridge_0082_c05,0.718653,1.141627,51,
bridge_0082_c06,0.833640,2.438228,51,
bridge_0082_c07,0.534366,1.332456,51,
bridge_0082_c08,1.103028,2.609868,51,
bridge_0082_c09,0.552238,1.910171,51,
bridge_0082_c10,1.144621,1.399393,51,
bridge_0082_c11,0.797633,1.406139,51,
bridge_0082_c12,0.726571,1.976338,51,
bridge_0082_c13,0.782275,-1.063979,51,
bridge_0082_c14,0.941753,0.453530,51,
bridge_0082_c15,-0.110910,-0.775781,51,
bridge_0082_c16,1.112562,-1.708744,51,
bridge_0082_c20,0.649372,-3.042997,51,
bridge_0082_c21,0.951589,1.460479,51,
bridge_0082_c39,1.401585,0.280350,51,
bridge_0085_c01,1.862875,3.593227,51,
bridge_0085_c03,0.326298,0.012756,51,
bridge_0085_c04,0.699528,-0.365450,51,
bridge_0085_c05,1.926264,1.107147,51,
bridge_0085_c06,2.363127,5.255217,51,
bridge_0085_c07,0.690139,1.250546,51,
bridge_0085_c08,1.618669,3.026014,51,
bridge_0085_c09,1.427954,2.860974,51,
bridge_0085_c10,3.249665,1.284551,51,
bridge_0085_c11,1.934151,0.831171,51,
bridge_0085_c12,1.185991,2.430999,51,
bridge_0085_c13,0.954022,-1.621779,51,
bridge_0085_c14,0.955682,1.088996,51,
bridge_0085_c15,0.290035,-2.283108,51,
bridge_0085_c16,0.508585,-2.948542,51,
bridge_0085_c24,0.053251,-1.844070,51,
bridge_0085_c25,2.363127,5.255217,51,
bridge_0085_c38,2.867303,1.548286,51,
bridge_0090_c01,0.501229,1.732266,51,
bridge_0090_c02,1.264830,1.310245,51,
bridge_0090_c03,0.194424,-0.135736,51,
bridge_0090_c04,0.496374,-0.686135,51,
bridge_0090_c05,1.294298,0.711028,51,
bridge_0090_c06,1.369338,1.347978,51,
bridge_0090_c07,0.336338,1.552156,51,
bridge_0090_c08,1.614297,1.440251,51,
bridge_0090_c09,0.936576,2.274117,51,
bridge_0090_c10,0.822332,0.839089,51,
bridge_0090_c11,0.534510,0.698973,51,
bridge_0090_c12,0.836872,1.698173,51,
bridge_0090_c13,0.882198,-0.885977,51,
