model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_overall,theta_cat_overall,theta_batch_overall,theta_mwle_overall,final_se_overall,scorable_evals_overall
google/gemma-2b,10,44,precision_reached,True,44,0,0.09053497942386832,-1.0445886972754235,-1.212702,-1.3787730460306928,-1.4452303611055233,0.296257,44
h2oai/h2o-danube-1.8b-chat,8,42,precision_reached,True,42,0,0.07076247942951179,-1.175689628778975,-1.054584,-1.2097573664581072,-1.2178964384454918,0.286681,42
h2oai/h2o-danube2-1.8b-chat,6,31,precision_reached,True,31,0,0.08340192043895747,-0.8059178985028392,-0.315905,-0.36313764552697236,-0.31668176661697295,0.279512,31
ibm-granite/granite-7b-instruct,6,26,precision_reached,True,26,0,0.11985737794843665,-0.2718382568339535,0.185145,0.07644300643138571,0.12557562037857722,0.289098,26
ibm/PowerLM-3b,5,26,precision_reached,True,26,0,0.17882611080636313,0.4058988586334604,0.120916,0.03849790195590313,0.06832751755905184,0.285002,26
nvidia/AceInstruct-1.5B,4,18,precision_reached,True,18,0,0.2616566099835436,1.0666666666666667,0.885491,0.834309201893956,0.9493168393538548,0.188972,18
openbmb/MiniCPM-1B-sft-bf16,11,49,precision_reached,True,49,0,0.0575973669775096,-3.2147544010060924,-1.646354,-2.0098543600045593,-2.2733849687733696,0.293811,49
openlm-research/open_llama_3b,11,47,precision_reached,True,47,0,0.08913878222709819,-1.3304148662278923,-1.250452,-1.4150480801055192,-1.4885147675663237,0.29362,47
pankajmathur/orca_mini_3b,10,46,precision_reached,True,46,0,0.06995884773662552,-1.3412623566591948,-1.13675,-1.3024448480831072,-1.3467449363149553,0.28784,46
pankajmathur/orca_mini_v9_5_3B-Instruct,5,23,precision_reached,True,23,0,0.21256171146461875,0.7999993685915845,0.374237,0.23438703108318132,0.3083958368869917,0.256708,23
stabilityai/stablelm-2-1_6b-chat,4,21,precision_reached,True,21,0,0.09215578716401536,-0.5265348057478154,0.485782,0.28612881860026346,0.2571336855955507,0.293362,21
tiiuae/Falcon3-1B-Instruct,4,18,precision_reached,True,18,0,0.20378496982995062,0.7999961743181224,1.157536,1.1152977992278132,1.1826935945065027,0.178021,18
tiiuae/Falcon3-3B-Instruct,4,16,precision_reached,True,16,0,0.3742112482853224,1.5999999999999996,1.481126,1.4926490032513062,1.4902864426637839,0.183387,16
utter-project/EuroLLM-1.7B,6,31,precision_reached,True,31,0,0.0666483817882611,-2.3436465460959663,-1.085168,-1.8152559989810666,-2.236051390123037,0.286265,31
utter-project/EuroLLM-1.7B-Instruct,7,32,precision_reached,True,32,0,0.055951727921009324,-1.6250070921470456,-0.737262,-0.8685542880151902,-0.8515005979055285,0.283955,32
