benchmark,n_train,rep,corr,mae_full,n_test,n_items,calib_s
openbookqa,25,4,0.596505,0.088855,10,279,30.9
sciq,25,4,0.872571,0.050234,10,735,112.1
arc_challenge,30,0,0.631093,0.059923,10,741,243.8
openbookqa,30,0,0.625742,0.077138,10,282,21.9
sciq,30,0,0.767479,0.069603,10,663,193.1
arc_challenge,30,1,0.959479,0.060207,10,726,212.0
openbookqa,30,1,0.749926,0.076410,10,268,19.6
sciq,30,1,0.567459,0.078151,10,702,86.0
arc_challenge,30,2,0.471684,0.087218,10,765,117.1
openbookqa,30,2,0.769682,0.061536,10,273,19.4
sciq,30,2,0.747311,0.047880,10,776,137.7
arc_challenge,30,3,0.597949,0.090566,10,742,158.9
openbookqa,30,3,0.865202,0.045676,10,288,24.9
sciq,30,3,0.884629,0.043998,10,761,90.9
arc_challenge,30,4,0.566197,0.117494,10,725,136.8
openbookqa,30,4,0.296111,0.067736,10,278,23.0
sciq,30,4,0.787007,0.040793,10,701,119.0
arc_challenge,40,0,0.706534,0.079751,10,760,214.3
openbookqa,40,0,0.748127,0.037110,10,292,24.9
sciq,40,0,0.915139,0.039866,10,775,124.6
arc_challenge,40,1,0.826079,0.093707,10,753,201.3
openbookqa,40,1,0.546244,0.074764,10,287,24.0
sciq,40,1,0.958920,0.032552,10,774,141.4
arc_challenge,40,2,0.924465,0.052018,10,763,245.9
openbookqa,40,2,0.549087,0.053911,10,295,27.6
sciq,40,2,0.912510,0.044435,10,756,77.6
arc_challenge,40,3,0.827228,0.095354,10,721,126.6
openbookqa,40,3,0.212130,0.042560,10,292,22.5
sciq,40,3,0.759616,0.061901,10,730,89.6
arc_challenge,40,4,0.963074,0.065273,10,748,230.8
openbookqa,40,4,0.900301,0.057099,10,292,34.5
sciq,40,4,0.862779,0.057064,10,731,102.3
arc_challenge,50,0,0.932640,0.095245,10,771,128.5
openbookqa,50,0,0.697544,0.040556,10,298,24.9
sciq,50,0,0.822361,0.048899,10,789,72.5
arc_challenge,50,1,0.866067,0.084722,10,754,232.5
openbookqa,50,1,0.782514,0.052399,10,290,33.4
sciq,50,1,0.927941,0.030281,10,786,130.8
arc_challenge,50,2,0.848751,0.071174,10,775,162.5
openbookqa,50,2,0.869193,0.042175,10,301,21.7
sciq,50,2,0.989565,0.023389,10,797,190.7
arc_challenge,50,3,0.799891,0.087059,10,759,146.5
openbookqa,50,3,0.578936,0.044274,10,284,18.0
sciq,50,3,0.816374,0.063293,10,742,79.7
arc_challenge,50,4,0.279878,0.052153,10,793,200.0
openbookqa,50,4,0.548863,0.034797,10,303,32.4
sciq,50,4,0.843440,0.044423,10,790,156.5
arc_challenge,60,0,0.954210,0.055236,10,790,257.9
openbookqa,60,0,0.822317,0.040845,10,310,25.4
sciq,60,0,0.943864,0.040811,10,809,151.6
arc_challenge,60,1,0.841493,0.072888,10,789,180.4
openbookqa,60,1,0.737117,0.065312,10,300,27.0
sciq,60,1,0.952227,0.030321,10,808,168.6
arc_challenge,60,2,0.830737,0.058091,10,800,150.8
openbookqa,60,2,0.822184,0.049472,10,307,40.1
sciq,60,2,0.853327,0.041702,10,813,164.4
arc_challenge,60,3,0.924938,0.054657,10,768,198.1
openbookqa,60,3,0.848198,0.048561,10,300,28.5
sciq,60,3,0.719224,0.055547,10,805,130.1
arc_challenge,60,4,0.935389,0.079818,10,776,141.2
openbookqa,60,4,0.800745,0.067094,10,302,32.5
sciq,60,4,0.755956,0.074277,10,811,108.9
