model,scenarios,criteria,precision_reached,mwle_ok,theta_online_ability,theta_batch_ability,theta_mwle_ability,final_se_ability,scorable_evals_ability,theta_full_ability
meta-llama/Llama-3.2-3B-Instruct,12,15,True,True,1.222428,1.2785552513909924,1.2868778849938196,0.113085,15,1.4000347918116143
microsoft/phi-1_5,11,15,True,True,-0.855835,-0.9240828745700167,-0.9541288375637341,0.2388,15,-1.1702357116226318
nvidia/AceInstruct-1.5B,13,15,True,True,1.260841,1.2345402183983318,1.2687079510914616,0.119422,15,1.4000753145297569
openbmb/MiniCPM-1B-sft-bf16,10,15,True,True,-1.554055,-2.036784286197635,-2.14243372502919,0.227262,15,-2.789558755282348
openbmb/MiniCPM-2B-sft-bf16,9,16,True,True,-0.683915,-0.6497221074742977,-0.7479366144938303,0.237713,16,-0.919447665996554
openlm-research/open_llama_3b,8,15,True,True,-1.98369,-2.1621250945663073,-2.3663530647678095,0.252139,15,-2.2508411974394713
pankajmathur/orca_mini_3b,11,17,True,True,-0.783971,-0.8461191719596519,-0.927085024850856,0.220622,17,-1.185563777919145
pankajmathur/orca_mini_v9_5_3B-Instruct,11,16,True,True,1.127907,1.1991986102868935,1.2012074148931267,0.119439,16,1.1520681164764353
stabilityai/stablelm-2-1_6b-chat,11,15,True,True,0.176173,0.16442344545739906,0.17882671306137976,0.193378,15,-0.18883277817354963
stabilityai/stablelm-2-zephyr-1_6b,10,15,True,True,-0.748084,-0.7686548544241696,-0.821383467587439,0.240349,15,-0.43949124228417147
stabilityai/stablelm-zephyr-3b,10,16,True,True,-0.295744,-0.337333925045066,-0.2979142650913072,0.238473,16,0.012800903495526848
tiiuae/Falcon3-1B-Instruct,13,16,True,True,1.055047,0.9364518300337694,0.985705730595784,0.113019,16,0.8353731432742934
tiiuae/Falcon3-3B-Base,11,15,True,True,1.265519,1.3333605597679394,1.3507846124298226,0.123778,15,1.3995280598627153
tiiuae/Falcon3-3B-Instruct,12,15,True,True,1.966403,2.6518505845160867,2.5654887907506834,0.108567,15,2.5478153605121308
utter-project/EuroLLM-1.7B,10,17,True,True,-1.38908,-2.3605371093704264,-2.6812691157954127,0.205173,17,-2.23805789498708
utter-project/EuroLLM-1.7B-Instruct,10,16,True,True,-0.937076,-0.9416504063195268,-0.9840626610648412,0.246009,16,-1.0905076517769126
