model,scenarios,criteria,precision_reached,mwle_ok,theta_online_ability,theta_batch_ability,theta_mwle_ability,final_se_ability,scorable_evals_ability,theta_full_ability
google/gemma-2-2b,9,16,True,True,-1.643668,-2.255570639558189,-2.4483454318717213,0.212781,16,-1.211442994531723
google/gemma-2b,11,15,True,True,-1.332772,-1.5096156923383401,-1.5039285775763072,0.212799,15,-1.3082841734634267
h2oai/h2o-danube-1.8b-chat,12,15,True,True,-0.906027,-0.9625555314563189,-1.0153032034191443,0.235424,15,-1.2530546570042613
h2oai/h2o-danube2-1.8b-base,11,15,True,True,-1.108092,-1.3091717019902485,-1.3525072769014335,0.235638,15,-1.3137266657789781
h2oai/h2o-danube2-1.8b-chat,10,15,True,True,-0.883078,-0.9383887181019287,-0.9899219298325619,0.22356,15,-0.7124180761566541
ibm-granite/granite-3.0-2b-base,11,15,True,True,0.837457,0.8188296738480683,0.8671990189888257,0.160677,15,0.7811772198586089
ibm-granite/granite-3.1-2b-base,12,15,True,True,1.188733,1.1733699936497044,1.1966857630898373,0.119883,15,0.9477075578147052
ibm-granite/granite-3.1-2b-instruct,12,15,True,True,1.632016,2.3001570417262434,2.0745284084818105,0.114466,15,2.198979644842215
ibm-granite/granite-7b-instruct,9,15,True,True,0.330249,0.31453286269970615,0.33961955004172045,0.196518,15,0.21701734514423496
ibm/PowerLM-3b,11,16,True,True,-0.105619,-0.14998308363352575,-0.09298866445206945,0.182734,16,0.03988246556363799
meta-llama/Llama-3.2-1B,9,15,True,True,-0.982172,-1.0223241468544133,-1.0882679121721834,0.254657,15,-1.4327100479942891
meta-llama/Llama-3.2-1B-Instruct,10,15,True,True,0.118868,-0.2558746393955119,-0.11475019718124382,0.16051,15,0.018256013375822663
meta-llama/Llama-3.2-3B-Instruct,9,15,True,True,1.045521,1.132722107516913,1.1443971336393988,0.142412,15,1.4000347918116143
microsoft/phi-1_5,11,16,True,True,-0.578955,-0.7244967409170402,-0.7037155546712823,0.217904,16,-1.1702357116226318
nvidia/AceInstruct-1.5B,13,15,True,True,1.22586,1.2193994616666255,1.2499942041273242,0.118496,15,1.4000753145297569
openbmb/MiniCPM-1B-sft-bf16,10,16,True,True,-1.515663,-1.7607856268872266,-1.8564816235144304,0.223531,16,-2.789558755282348
openbmb/MiniCPM-2B-sft-bf16,12,18,True,True,-0.84089,-0.8408536105835993,-0.880864920717353,0.231907,18,-0.919447665996554
openlm-research/open_llama_3b,10,16,True,True,-1.689748,-2.423161142421961,-2.772844118806196,0.212723,16,-2.2508411974394713
pankajmathur/orca_mini_3b,12,16,True,True,-0.945151,-1.0447962081731588,-1.0823627729016054,0.228259,16,-1.185563777919145
pankajmathur/orca_mini_v9_5_3B-Instruct,11,15,True,True,1.123848,1.1905299156150377,1.1950626731062213,0.123754,15,1.1520681164764353
stabilityai/stablelm-2-1_6b-chat,11,15,True,True,0.176173,0.16442344545739906,0.17882671306137976,0.193378,15,-0.18883277817354963
stabilityai/stablelm-2-zephyr-1_6b,11,15,True,True,-0.862973,-0.9034392573868532,-0.9630319915543767,0.211619,15,-0.43949124228417147
stabilityai/stablelm-zephyr-3b,10,16,True,True,-0.485277,-0.5388649587588143,-0.5025648848833043,0.23977,16,0.012800903495526848
tiiuae/Falcon3-1B-Instruct,10,15,True,True,0.97735,0.9491998448499894,0.9826693798640348,0.132873,15,0.8353731432742934
tiiuae/Falcon3-3B-Base,13,16,True,True,1.197428,1.1838655881418325,1.2103307939296906,0.117342,16,1.3995280598627153
tiiuae/Falcon3-3B-Instruct,11,15,True,True,1.890217,2.5439596226198886,2.4413536800944513,0.106192,15,2.5478153605121308
utter-project/EuroLLM-1.7B,10,17,True,True,-1.38908,-2.3605371093704264,-2.6812691157954127,0.205173,17,-2.23805789498708
utter-project/EuroLLM-1.7B-Instruct,12,16,True,True,-1.162349,-1.2006863883909156,-1.237773635553121,0.249197,16,-1.0905076517769126
