# NOT of-record; shrinkage estimator. The per-model theta_debiased and bias_band_* columns come from a per-column-prevalence-prior resample that COMPRESSES the ability scale (top models move spuriously down). Retained for provenance only. Of-record de-bias is the COHORT pass-rate factor 1.33x [1.17, 1.57]; per-model noisy-label IRT de-bias is future work.
rank_debiased_SHRINKAGE_NOT_OF_RECORD,model,weak,theta,theta_debiased,se_ability,se_param,se_judge,se_total,bias_band_low,bias_band_high,observed_pass_rate,theta_debiased_op,se_total_op,bias_band_low_op,bias_band_high_op
33,BSC-LT/salamandra-2b-instruct,False,-0.289366405546806,0.291371595326421,0.0434549088295059,0.0192383593446085,0.1484018572642096,0.1558253984789379,-0.0623161668467238,0.5110237272307308,0.345409429280397,-0.0860685472328245,0.1863472243122305,-0.2037943163055717,0.2579849105459597
34,Qwen/Qwen2-0.5B,False,-0.747820490067767,0.0805207683672236,0.0435778159642175,0.0264243456904973,0.1772561104362255,0.1844369832120485,-0.3752519525951799,0.3520335309734443,0.2823821339950372,-0.3583305234379279,0.2185443803436121,-0.4653195416655426,0.1548600603433898
35,BSC-LT/salamandra-7b,False,-0.8283261434078302,0.0180527412872613,0.0436128137342981,0.0244722332479674,0.1828465105314179,0.1895621643036432,-0.425567376316158,0.3529480398656417,0.2933002481389578,-0.5764028554679242,0.2139238459182019,-0.7094090854489827,0.1747927259752933
36,h2oai/h2o-danube2-1.8b-base,False,-0.8682978263468349,-0.0241117257363082,0.0436805267198795,0.0230793389662585,0.1819976228457151,0.1885836128170651,-0.4461916954048333,0.3302289421437984,0.2679900744416873,-0.4445322452846764,0.230312626105989,-0.6522916098191576,0.1135893133139558
37,01-ai/Yi-6B,False,-0.9657110773842756,-0.0672396784239405,0.0440610505512763,0.0234203708724176,0.1940627763822716,0.2003752757320105,-0.5026387137359913,0.335209445113628,0.2749379652605459,-0.7630664860680911,0.227464138196212,-0.9017383229884516,0.1578053786205043
38,microsoft/phi-1_5,False,-1.2414531891541725,-0.1563197300544821,0.0470798582236722,0.0218688629639396,0.2101904041654713,0.2165058110558255,-0.709615982176173,0.1924777575969133,0.1945409429280397,-0.7067694559801669,0.2728098449349185,-0.9413963819858224,0.2037567006224278
39,allenai/OLMo-2-0425-1B,False,-1.487352252630176,-0.2092398458078379,0.0517018448150301,0.0265047151326839,0.2210003778012804,0.2285098415164013,-0.7802689486716455,0.1905872792232728,0.1851116625310173,-0.8063408302209519,0.2337559953599735,-1.040976144447837,0.1843466070954963
40,utter-project/EuroLLM-1.7B,False,-1.364532453971704,-0.2377522830028804,0.049221573670404,0.0251250177603907,0.2092794695061884,0.2164530577026866,-0.782131087792082,0.1342390575409451,0.171712158808933,-0.8081471026209163,0.2316416020685756,-0.9869966684915132,0.1941292572376575
41,google/gemma-2b,False,-1.580573314488766,-0.2760897385240799,0.0537143606094193,0.0310766018831459,0.2241392799118121,0.2325712891129684,-0.8502702576347337,0.1422902949981424,0.1642679900744416,-0.8628523115348957,0.244182713412522,-1.0728791694139983,0.0960827375818315
42,google/gemma-2-2b,False,-1.6436970521935352,-0.2875713769149502,0.0550889021775206,0.0328359187621477,0.2288432410571288,0.2376598697332176,-0.8702207014756573,0.1527110497015329,0.1617866004962779,-0.9116396380952714,0.2344508705037564,-1.024394679431008,0.1762192817789546
43,BSC-LT/salamandra-2b,False,-1.558144631869239,-0.2972546874201296,0.0532255580085426,0.0328136317564409,0.2228422774102144,0.231448428501338,-0.8579900743950923,0.1131570356332975,0.1598014888337469,-0.869842812100415,0.24489361628656,-0.8895416025722942,0.1436244092386787
44,meta-llama/Llama-3.2-1B,False,-2.023227782681973,-0.3759205725762938,0.0622591418544613,0.0368964914112821,0.2373062898131155,0.2480964066805142,-0.9768849306853066,0.0779698106863157,0.1275434243176178,-0.9410073194124322,0.2568897283538305,-1.1171325975995432,0.2391283681660868
45,openlm-research/open_llama_3b,False,-2.257938772087067,-0.3853655867742337,0.0661500788251106,0.0386922286197055,0.2435543946645187,0.2553265842886871,-1.0006748225662958,0.0919771195267545,0.115136476426799,-1.1105395327155063,0.3641353492078727,-1.0682325231377137,0.3030227477335234
46,openbmb/MiniCPM-1B-sft-bf16,False,-2.1832231945823333,-0.3886111560346586,0.0648124290984481,0.038027583966918,0.2399970756887567,0.2514862708919856,-0.9926316123314278,0.0830338850685182,0.1037220843672456,-0.8541418246367276,0.2087100790201583,-1.0188589621376851,0.1564363557861579
47,01-ai/Yi-6B-200K,False,-2.182559056684544,-0.3939370078912237,0.0648012325716787,0.0377483674897989,0.2453087098708336,0.2565160855179388,-1.0050745973211956,0.0994499748710809,0.1131513647642679,-1.121908344167078,0.3141541549749149,-1.1691882680704555,0.2190811965415851
48,HuggingFaceTB/SmolLM2-360M,False,-2.3019802967073613,-0.4507041444379084,0.0670316823659997,0.0360602990706522,0.2496005293979307,0.2609483011740226,-1.063268950964948,0.0612751903215665,0.1022332506203474,-1.157936442647224,0.4435689151115655,-1.0746629066626598,0.293218114179447
49,BEE-spoke-data/smol_llama-220M-openhermes,False,-2.789833331264793,-0.4779870522834443,0.08403434264396,0.0619399404907292,0.2551213910194926,0.2756542238517639,-1.1133194436030205,0.0326219421808115,0.0560794044665012,-1.082472489532441,0.4454661072393472,-1.1294385731175942,0.2194762805254643
50,ai-forever/mGPT,True,-4.5720473691320365,-0.5481331891117316,0.2256250663699912,0.190208044674365,0.2699273584842519,0.3999331815336082,-1.1937942467980818,0.0128358855162224,0.0233250620347394,-1.002654208473908,0.3931263494671942,-1.1527514835496395,0.21157995698358
51,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,True,-5.568755386773125,-0.5504810770611377,0.344586087498434,0.3135118041983896,0.2711434447952893,0.5390250371964774,-1.1981983833579617,0.0120975290352127,0.0168734491315136,-1.2933737362069793,0.7241955686194904,-1.1762634517967347,0.2506054826977059
52,allenai/OLMo-1B-hf,True,-5.873037700110269,-0.5530151832345397,0.3840754957669883,0.3213223053109093,0.271668598874896,0.5697067999889278,-1.1993430000024037,0.0107183798363309,0.0158808933002481,-1.161911155520287,0.6621600094316167,-1.1815225478536084,0.1674502044970518
