rank,model,theta,se_ability,se_param,se_judge,se_total,weak
24,h2oai/h2o-danube-1.8b-chat,0.2469767749400897,0.0442258408597718,0.0178892077880309,0.1179059636363432,0.1271918433550355,False
25,ibm/PowerLM-3b,0.0946599974129115,0.0439808631401544,0.020584899446917,0.1427351977857495,0.1507693307497573,False
26,utter-project/EuroLLM-1.7B-Instruct,0.0601720050049475,0.0439112035337302,0.018362806363714,0.1284907938787208,0.1370228833622904,False
27,Qwen/Qwen1.5-1.8B,0.0527417267395414,0.0438960486036561,0.0189908103482549,0.1297889632831715,0.1383209635262072,False
28,h2oai/h2o-danube2-1.8b-chat,0.0356600275845672,0.0438612370355981,0.0188302991479916,0.1296730252369934,0.1381791654136386,False
29,OpenBMB/MiniCPM4-0.5B,0.0285621571927819,0.0438468322593747,0.0190075226500834,0.1354907858588288,0.1436717914871189,False
30,01-ai/Yi-1.5-6B,-0.0126765894954009,0.043764955945261,0.0185260067653437,0.1484090042706958,0.15583265653957,False
31,openbmb/MiniCPM-2B-sft-bf16,-0.1947464923156845,0.04350006504949,0.0224619350879874,0.1624383344625192,0.169655553077888,False
32,pankajmathur/orca_mini_3b,-0.2610405836122831,0.0434609003704681,0.0201912858177669,0.1509748580200639,0.1583980607146595,False
33,BSC-LT/salamandra-2b-instruct,-0.289366405546806,0.0434549088295059,0.0192383593446085,0.1484018572642096,0.1558253984789379,False
34,Qwen/Qwen2-0.5B,-0.747820490067767,0.0435778159642175,0.0264243456904973,0.1772561104362255,0.1844369832120485,False
35,BSC-LT/salamandra-7b,-0.8283261434078302,0.0436128137342981,0.0244722332479674,0.1828465105314179,0.1895621643036432,False
36,h2oai/h2o-danube2-1.8b-base,-0.8682978263468349,0.0436805267198795,0.0230793389662585,0.1819976228457151,0.1885836128170651,False
37,01-ai/Yi-6B,-0.9657110773842756,0.0440610505512763,0.0234203708724176,0.1940627763822716,0.2003752757320105,False
38,microsoft/phi-1_5,-1.2414531891541725,0.0470798582236722,0.0218688629639396,0.2101904041654713,0.2165058110558255,False
39,utter-project/EuroLLM-1.7B,-1.364532453971704,0.049221573670404,0.0251250177603907,0.2092794695061884,0.2164530577026866,False
40,allenai/OLMo-2-0425-1B,-1.487352252630176,0.0517018448150301,0.0265047151326839,0.2210003778012804,0.2285098415164013,False
41,BSC-LT/salamandra-2b,-1.558144631869239,0.0532255580085426,0.0328136317564409,0.2228422774102144,0.231448428501338,False
42,google/gemma-2b,-1.580573314488766,0.0537143606094193,0.0310766018831459,0.2241392799118121,0.2325712891129684,False
43,google/gemma-2-2b,-1.6436970521935352,0.0550889021775206,0.0328359187621477,0.2288432410571288,0.2376598697332176,False
44,meta-llama/Llama-3.2-1B,-2.023227782681973,0.0622591418544613,0.0368964914112821,0.2373062898131155,0.2480964066805142,False
45,01-ai/Yi-6B-200K,-2.182559056684544,0.0648012325716787,0.0377483674897989,0.2453087098708336,0.2565160855179388,False
46,openbmb/MiniCPM-1B-sft-bf16,-2.1832231945823333,0.0648124290984481,0.038027583966918,0.2399970756887567,0.2514862708919856,False
47,openlm-research/open_llama_3b,-2.257938772087067,0.0661500788251106,0.0386922286197055,0.2435543946645187,0.2553265842886871,False
48,HuggingFaceTB/SmolLM2-360M,-2.3019802967073613,0.0670316823659997,0.0360602990706522,0.2496005293979307,0.2609483011740226,False
49,BEE-spoke-data/smol_llama-220M-openhermes,-2.789833331264793,0.08403434264396,0.0619399404907292,0.2551213910194926,0.2756542238517639,False
50,ai-forever/mGPT,-4.5720473691320365,0.2256250663699912,0.190208044674365,0.2699273584842519,0.3999331815336082,True
51,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-5.568755386773125,0.344586087498434,0.3135118041983896,0.2711434447952893,0.5390250371964774,True
52,allenai/OLMo-1B-hf,-5.873037700110269,0.3840754957669883,0.3213223053109093,0.271668598874896,0.5697067999889278,True
