floor,target,n_models,median_scen,mean_scen,median_crit,pct_reach,pct_plateau,pct_cap,recovery_r,recovery_slope,theta_mae,median_sd,median_se_param,median_se_total
15,0.22,52,19.5,20.346153846153847,73.0,71.15384615384616,28.846153846153843,0.0,0.9776675992116787,1.1318898897483878,0.4824533948985848,0.21816299191347172,0.08516976374131871,0.23571889173475952
15,0.25,52,17.0,17.807692307692307,65.0,78.84615384615384,21.153846153846153,0.0,0.9774592091165905,1.14028363145575,0.5072982121093293,0.24512039573004227,0.08699450833161577,0.2589524303219375
15,0.27,52,15.0,16.634615384615383,63.0,86.53846153846155,13.461538461538462,0.0,0.9760796251964847,1.1306636103137335,0.511718714751333,0.25860623837391206,0.0883468486546326,0.27267274569046457
15,0.3,52,15.0,15.75,58.5,90.38461538461539,9.615384615384617,0.0,0.9756102545279335,1.1375922577392825,0.5268157925739978,0.2603000914053436,0.08926612037447451,0.27267274569046457
15,0.32,52,15.0,15.538461538461538,57.5,90.38461538461539,9.615384615384617,0.0,0.975977451835043,1.1464505747080915,0.5424160995770084,0.2603000914053436,0.0923562694316127,0.27267274569046457
20,0.15,52,26.0,26.673076923076923,108.5,1.9230769230769231,98.07692307692307,0.0,0.9804754000243496,1.1338424346582716,0.4662829757501675,0.20005571632017463,0.07243851320671574,0.21041180955488661
20,0.2,52,23.0,23.807692307692307,87.5,50.0,50.0,0.0,0.9801801073855763,1.1326979946047722,0.464738546604367,0.20052792673122466,0.07685449872816374,0.21315372034915187
20,0.22,52,21.0,22.442307692307693,83.0,76.92307692307693,23.076923076923077,0.0,0.9796038215049473,1.131146234903095,0.47400741776886846,0.21411514183496905,0.07940149058539885,0.22736161430158675
20,0.25,52,20.0,21.03846153846154,78.5,80.76923076923077,19.230769230769234,0.0,0.9780199672875357,1.1367800825644534,0.5035354430461934,0.22423924573786713,0.07992064151072954,0.23413925660527296
20,0.27,52,20.0,20.596153846153847,75.0,90.38461538461539,9.615384615384617,0.0,0.9787030614450636,1.1408060184646203,0.5061127638718337,0.22423924573786713,0.08132160832094347,0.23413925660527296
20,0.3,52,20.0,20.23076923076923,73.5,90.38461538461539,9.615384615384617,0.0,0.9786809770901237,1.145688689220682,0.5148645509372313,0.22423924573786713,0.08132160832094347,0.23413925660527296
20,0.32,52,20.0,20.173076923076923,73.5,92.3076923076923,7.6923076923076925,0.0,0.9785346722530895,1.143852929624516,0.5116200805777361,0.22423924573786713,0.08132160832094347,0.23413925660527296
25,0.15,52,29.0,30.01923076923077,118.0,3.8461538461538463,96.15384615384616,0.0,0.9838457551434201,1.108910848177314,0.43315566478552847,0.1795190607747109,0.06614594966084789,0.19320476125117558
25,0.2,52,27.0,27.46153846153846,106.0,61.53846153846154,38.46153846153847,0.0,0.9837071849617477,1.1055043509247338,0.4260235154555818,0.19808249742433248,0.07154463366754105,0.20778298529098593
25,0.22,52,25.0,26.403846153846153,102.0,82.6923076923077,17.307692307692307,0.0,0.9829178496503459,1.104940529127903,0.4342251751569805,0.2054846311686171,0.07115198560757502,0.21570291683289206
25,0.25,52,25.0,25.692307692307693,94.0,86.53846153846155,13.461538461538462,0.0,0.9830210030338139,1.1151988136513185,0.4442464050608431,0.2054846311686171,0.07317231211146312,0.21570291683289206
25,0.27,52,25.0,25.403846153846153,92.5,92.3076923076923,7.6923076923076925,0.0,0.9830839306621836,1.1119768260321998,0.43825059927199556,0.2054846311686171,0.07317231211146312,0.21570291683289206
25,0.3,52,25.0,25.25,91.0,94.23076923076923,5.769230769230769,0.0,0.9829997016729435,1.115160610138697,0.4438988187196013,0.2054846311686171,0.07317231211146312,0.21570291683289206
25,0.32,52,25.0,25.173076923076923,91.0,94.23076923076923,5.769230769230769,0.0,0.9828497327510051,1.1171053967884854,0.4473719072686238,0.2054846311686171,0.07317231211146312,0.21570291683289206
