bench,model_type,chunk,chunk_end,n_items,n_degenerate,n_persons,m2_type,M2,df,p,RMSEA,RMSEA_5,RMSEA_95,SRMSR,TLI,CFI,converged,status
gpqa,2PL,11,1101,100,26,1102,M2,91782.4536335973,4850,0,0.127592879899096,0.126814326660925,0.128257002830437,0.131289015511503,0.530592690574667,0.540075666522654,True,ok
gpqa,2PL,12,1193,92,19,1102,M2,70061.3915299875,4094,0,0.120975402898897,0.120135041265618,0.121707672104808,0.130142597366299,0.529127906389898,0.539476743612098,True,ok
gpqa,3PL,1,101,100,37,1102,M2,79949.4472405956,4750,0,0.119913163316517,0.119129289092186,0.120589684157805,0.135811415918739,0.425360825207451,0.448578569643514,False,ok
gpqa,3PL,2,201,100,63,1102,M2,70439.1731190513,4750,0,0.112074402771528,0.111292513230599,0.112756140710592,0.116091001925925,0.530689928849234,0.549651951926033,False,ok
gpqa,3PL,3,301,100,61,1102,M2,65113.6333403719,4750,0,0.107435354682709,0.106654472849959,0.108120351074753,0.126201296048232,0.554638992461054,0.572633376604042,False,ok
gpqa,3PL,4,401,100,66,1102,M2,63175.649637858,4750,0,0.105696671399898,0.104916129497606,0.106382927610692,0.114383917367006,0.568577736853504,0.586008939404878,False,ok
gpqa,3PL,5,501,100,31,1102,M2,76914.4050613568,4750,0,0.117468400020459,0.116685178509869,0.118146513348953,0.129625368778923,0.367972747761407,0.39350920239731,False,ok
gpqa,3PL,6,601,100,67,1102,M2,75056.8414463474,4750,0,0.115946683166942,0.115163853197203,0.116625802857186,0.120577104820404,0.565649337886838,0.58319885958838,False,ok
gpqa,3PL,7,701,100,34,1102,M2,66513.1437391226,4750,0,0.108673644634395,0.107892507632853,0.109357757127862,0.130399474739245,0.471372083419992,0.492730787120195,False,ok
gpqa,3PL,8,801,100,71,1102,M2,71637.3727821696,4750,0,0.113091927132049,0.112309798646657,0.113772968698691,0.123415783032825,0.516739359287213,0.536265041740255,False,ok
gpqa,3PL,9,901,100,72,1102,M2,75754.2292691958,4750,0,0.116520313523793,0.115737337349828,0.117199052435496,0.144185244209258,0.607565568725193,0.623421505342357,False,ok
gpqa,3PL,10,1001,100,19,1102,M2,66672.4237817707,4750,0,0.108813682820939,0.108032516304272,0.109497696027236,0.170460457249323,0.539457416558066,0.558065197707235,False,ok
gpqa,3PL,11,1101,100,74,1102,M2,70974.4752179868,4750,0,0.112530124265246,0.111748128452469,0.11321154955013,0.128501576074506,0.634880889364299,0.649633176662711,False,ok
gpqa,3PL,12,1193,92,19,1102,M2,62566.7091951428,4002,0,0.115288448298921,0.114440528309984,0.116033549839074,0.127152622805779,0.572357966394032,0.591155418420668,False,ok
