model,se_target,mirt_items_total,uni_items_sum
Lil-R/PRYMMAL-ECE-1B-SLERP-V1,0.3,211.0,52.0
Lyte/Llama-3.2-1B-Instruct-COT-RL-Expriement1-EP04,0.3,400.0,119.0
Marsouuu/general3B-ECE-PRYMMAL-Martial,0.3,327.0,211.0
Marsouuu/lareneg1_78B-ECE-PRYMMAL-Martial,0.3,221.0,62.0
MaziyarPanahi/calme-2.1-phi3-4b,0.3,323.0,160.0
MaziyarPanahi/calme-3.2-baguette-3b,0.3,244.0,98.0
Mostafa8Mehrabi/llama-3.2-1b-Insomnia-ChatBot-merged,0.3,400.0,367.0
MrRobotoAI/MrRoboto-ProLong-8b-v4i,0.3,167.0,42.0
MultivexAI/Phi-3.5-Mini-Instruct-MultiVex-v0.25-GGUF,0.3,400.0,204.0
NikolaSigmoid/DeepSeek-R1-Distill-Qwen-1.5B-500,0.3,400.0,306.0
Novaciano/Fusetrix-Dolphin-3.2-1B-GRPO_Creative_RP,0.3,206.0,78.0
Novaciano/La_Mejor_Mezcla-3.2-1B,0.3,224.0,80.0
OpenBuddy/openbuddy-llama3.2-3b-v23.2-131k,0.3,351.0,142.0
PJMixers-Dev/Qwen2.5-RomboTiesTest-7B,0.3,162.0,200.0
Qwen/Qwen2.5-1.5B-Instruct,0.3,170.0,70.0
Qwen/Qwen2.5-3B,0.3,358.0,133.0
Sakalti/Anemoi-3B,0.3,400.0,191.0
Sakalti/Saba1-1.8B,0.3,269.0,63.0
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-epoch3,0.3,225.0,104.0
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-epoch5,0.3,202.0,46.0
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch1,0.3,231.0,51.0
SkyOrbis/SKY-Ko-Qwen2.5-3B-Instruct,0.3,216.0,79.0
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,0.3,294.0,150.0
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,0.3,176.0,69.0
Triangle104/Q2.5-CodeR1-3B,0.3,251.0,69.0
Triangle104/Q2.5-R1-3B,0.3,400.0,206.0
Triangle104/RomboHermes3-R1-Llama3.2-3b,0.3,201.0,51.0
VAGOsolutions/SauerkrautLM-gemma-2-2b-it,0.3,259.0,130.0
Youlln/ECE-PRYMMAL1B-FT-V1,0.3,219.0,69.0
ai4bharat/Airavata,0.3,400.0,258.0
akhadangi/Llama3.2.1B.0.1-Last,0.3,400.0,142.0
appvoid/arco-2,0.3,400.0,141.0
arcee-ai/raspberry-3B,0.3,207.0,60.0
bamec66557/VICIOUS_MESH-12B-DIGAMMA,0.3,228.0,82.0
brgx53/3Blareneg-ECE-PRYMMAL-Martial,0.3,303.0,139.0
bunnycore/Llama-3.2-3B-Booval,0.3,400.0,218.0
bunnycore/Llama-3.2-3B-ProdigyPlusPlus,0.3,400.0,191.0
bunnycore/QwQen-3B-LCoT-R1,0.3,340.0,368.0
ehristoforu/fd-lora-merged-16x32,0.3,400.0,129.0
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,0.3,295.0,114.0
godlikehhd/ifd_new_correct_sample_2500_qwen,0.3,228.0,67.0
h2oai/h2o-danube3-4b-chat,0.3,200.0,52.0
hotmailuser/QwenSlerp2-3B,0.3,400.0,165.0
iFaz/llama32_3B_en_emo_v3,0.3,190.0,84.0
ibm-granite/granite-3.0-3b-a800m-base,0.3,206.0,56.0
internlm/internlm2_5-1_8b-chat,0.3,125.0,115.0
jaspionjader/test-16,0.3,379.0,118.0
laislemke/LLaMA-2-vicuna-7b-slerp,0.3,400.0,168.0
lalainy/ECE-PRYMMAL-YL-0.5B-SLERP-BIS-V1,0.3,400.0,209.0
lalainy/ECE-PRYMMAL-YL-1B-SLERP-V4,0.3,225.0,59.0
matouLeLoup/ECE-PRYMMAL-0.5B-FT-EnhancedMUSREnsembleV3,0.3,198.0,67.0
meta-llama/Llama-3.2-3B-Instruct,0.3,298.0,252.0
noname0202/gemma-2-2b-it-ties,0.3,331.0,147.0
noname0202/llama-math-1b-r16-0to512tokens-test,0.3,400.0,200.0
ontocord/RedPajama-3B-v1-AutoRedteam-Harmless-only,0.3,400.0,206.0
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr.no_issue,0.3,400.0,202.0
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_math.no_issue,0.3,400.0,288.0
ontocord/wide_3b_sft_stage1.2-ss1-expert_how-to,0.3,400.0,298.0
ontocord/wide_3b_sft_stage1.2-ss1-expert_news,0.3,400.0,277.0
oopere/pruned40-llama-1b,0.3,400.0,284.0
oopere/pruned40-llama-3.2-1B,0.3,400.0,280.0
prithivMLmods/Llama-3.2-3B-Math-Oct,0.3,250.0,55.0
prithivMLmods/SmolLM2-CoT-360M,0.3,400.0,134.0
qingy2019/LLaMa_3.2_3B_Catalysts,0.3,229.0,59.0
shastraai/Shastra-LLAMA2-Math-Commonsense-SFT,0.3,323.0,119.0
suayptalha/Komodo-Llama-3.2-3B-v2-fp16,0.3,400.0,191.0
sumink/Qwenmplus,0.3,136.0,62.0
sumink/bbhqwen6,0.3,400.0,408.0
tangledgroup/tangled-llama-pints-1.5b-v0.2-instruct,0.3,400.0,125.0
theprint/ReWiz-Llama-3.2-3B,0.3,203.0,50.0
vhab10/Llama-3.2-Instruct-3B-TIES,0.3,299.0,65.0
voidful/smol-360m-ft,0.3,400.0,174.0
vonjack/Phi-3.5-mini-instruct-hermes-fc-json,0.3,400.0,165.0
vonjack/Qwen2.5-Coder-0.5B-Merged,0.3,292.0,155.0
win10/Llama-3.2-3B-Instruct-24-9-29,0.3,347.0,273.0
win10/Qwen2.5-2B-Instruct,0.3,400.0,115.0
01-ai/Yi-1.5-6B,0.2,400.0,243.0
BEE-spoke-data/tFINE-900m-e16-d32-flan,0.2,400.0,414.0
BEE-spoke-data/tFINE-900m-instruct-orpo,0.2,400.0,492.0
BramVanroy/fietje-2-instruct,0.2,400.0,230.0
CoolSpring/Qwen2-0.5B-Abyme-merge3,0.2,400.0,295.0
Daemontatox/Research_PathfinderAI,0.2,400.0,261.0
DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B,0.2,400.0,388.0
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1.1,0.2,400.0,262.0
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.2,400.0,271.0
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.3,0.2,400.0,254.0
JayHyeon/Qwen-0.5B-IRPO-5epoch,0.2,400.0,207.0
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-3ep,0.2,400.0,254.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-3ep_0alp_0lam,0.2,400.0,262.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_3ep_0alp_0lam,0.2,400.0,235.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_2ep_0alp_0lam,0.2,400.0,246.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-3ep_1alp_0lam,0.2,400.0,232.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-3ep_1alp_0lam,0.2,400.0,245.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_2ep_0alp_0lam,0.2,400.0,245.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam_2ep,0.2,400.0,218.0
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-2ep,0.2,400.0,326.0
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-2ep,0.2,400.0,251.0
JayHyeon/Qwen2.5-0.5B-SFT-MDPO-1epoch_v1,0.2,400.0,412.0
JayHyeon/Qwen_0.5-DPOP_1e-7-3ep_0alp_5lam,0.2,400.0,250.0
JayHyeon/Qwen_0.5-DPOP_3e-7-3ep_0alp_5lam,0.2,400.0,251.0
JayHyeon/Qwen_0.5-DPOP_5e-7-1ep_0alp_5lam,0.2,400.0,242.0
JayHyeon/Qwen_0.5-DPO_5e-7-3ep_0alp_0lam,0.2,400.0,230.0
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_10vpo_const,0.2,400.0,181.0
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_1vpo_const,0.2,400.0,187.0
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_10vpo_const,0.2,400.0,167.0
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.2,400.0,162.0
Kimargin/GPT-NEO-1.3B-wiki,0.2,400.0,527.0
KingNish/Reasoning-Llama-3b-v0.1,0.2,400.0,271.0
Lawnakk/BBALAW1.0,0.2,400.0,527.0
LenguajeNaturalAI/leniachat-gemma-2b-v0,0.2,400.0,436.0
Lil-R/PRYMMAL-ECE-1B-SLERP-V1,0.2,400.0,251.0
Lyte/Llama-3.2-1B-Instruct-COT-RL-Expriement1-EP04,0.2,400.0,252.0
Marsouuu/general3B-ECE-PRYMMAL-Martial,0.2,400.0,299.0
Marsouuu/lareneg1_78B-ECE-PRYMMAL-Martial,0.2,400.0,256.0
MaziyarPanahi/calme-2.1-phi3-4b,0.2,400.0,307.0
MaziyarPanahi/calme-3.2-baguette-3b,0.2,400.0,310.0
Mostafa8Mehrabi/llama-3.2-1b-Insomnia-ChatBot-merged,0.2,400.0,527.0
MrRobotoAI/MrRoboto-ProLong-8b-v4i,0.2,400.0,225.0
MultivexAI/Phi-3.5-Mini-Instruct-MultiVex-v0.25-GGUF,0.2,400.0,460.0
NikolaSigmoid/DeepSeek-R1-Distill-Qwen-1.5B-500,0.2,400.0,435.0
Novaciano/Fusetrix-Dolphin-3.2-1B-GRPO_Creative_RP,0.2,400.0,252.0
Novaciano/La_Mejor_Mezcla-3.2-1B,0.2,400.0,252.0
OpenBuddy/openbuddy-llama3.2-3b-v23.2-131k,0.2,400.0,292.0
PJMixers-Dev/Qwen2.5-RomboTiesTest-7B,0.2,400.0,527.0
Qwen/Qwen2.5-1.5B-Instruct,0.2,400.0,242.0
Qwen/Qwen2.5-3B,0.2,400.0,264.0
Sakalti/Anemoi-3B,0.2,400.0,270.0
Sakalti/Saba1-1.8B,0.2,400.0,259.0
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-epoch3,0.2,400.0,271.0
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-epoch5,0.2,400.0,145.0
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch1,0.2,400.0,162.0
SkyOrbis/SKY-Ko-Qwen2.5-3B-Instruct,0.2,400.0,245.0
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,0.2,400.0,292.0
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,0.2,400.0,253.0
Triangle104/Q2.5-CodeR1-3B,0.2,400.0,262.0
Triangle104/Q2.5-R1-3B,0.2,400.0,300.0
Triangle104/RomboHermes3-R1-Llama3.2-3b,0.2,400.0,161.0
VAGOsolutions/SauerkrautLM-gemma-2-2b-it,0.2,400.0,256.0
Youlln/ECE-PRYMMAL1B-FT-V1,0.2,400.0,274.0
ai4bharat/Airavata,0.2,400.0,352.0
akhadangi/Llama3.2.1B.0.1-Last,0.2,400.0,328.0
appvoid/arco-2,0.2,400.0,279.0
arcee-ai/raspberry-3B,0.2,400.0,269.0
bamec66557/VICIOUS_MESH-12B-DIGAMMA,0.2,400.0,391.0
brgx53/3Blareneg-ECE-PRYMMAL-Martial,0.2,400.0,310.0
bunnycore/Llama-3.2-3B-Booval,0.2,400.0,372.0
bunnycore/Llama-3.2-3B-ProdigyPlusPlus,0.2,400.0,366.0
bunnycore/QwQen-3B-LCoT-R1,0.2,400.0,412.0
ehristoforu/fd-lora-merged-16x32,0.2,400.0,245.0
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,0.2,400.0,201.0
godlikehhd/ifd_new_correct_sample_2500_qwen,0.2,400.0,265.0
h2oai/h2o-danube3-4b-chat,0.2,400.0,163.0
hotmailuser/QwenSlerp2-3B,0.2,400.0,276.0
iFaz/llama32_3B_en_emo_v3,0.2,400.0,253.0
ibm-granite/granite-3.0-3b-a800m-base,0.2,400.0,187.0
internlm/internlm2_5-1_8b-chat,0.2,400.0,185.0
jaspionjader/test-16,0.2,400.0,291.0
laislemke/LLaMA-2-vicuna-7b-slerp,0.2,400.0,350.0
lalainy/ECE-PRYMMAL-YL-0.5B-SLERP-BIS-V1,0.2,400.0,376.0
lalainy/ECE-PRYMMAL-YL-1B-SLERP-V4,0.2,400.0,215.0
matouLeLoup/ECE-PRYMMAL-0.5B-FT-EnhancedMUSREnsembleV3,0.2,400.0,240.0
meta-llama/Llama-3.2-3B-Instruct,0.2,400.0,404.0
noname0202/gemma-2-2b-it-ties,0.2,400.0,335.0
noname0202/llama-math-1b-r16-0to512tokens-test,0.2,400.0,264.0
ontocord/RedPajama-3B-v1-AutoRedteam-Harmless-only,0.2,400.0,488.0
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr.no_issue,0.2,400.0,527.0
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_math.no_issue,0.2,400.0,450.0
ontocord/wide_3b_sft_stage1.2-ss1-expert_how-to,0.2,400.0,478.0
ontocord/wide_3b_sft_stage1.2-ss1-expert_news,0.2,400.0,527.0
oopere/pruned40-llama-1b,0.2,400.0,372.0
oopere/pruned40-llama-3.2-1B,0.2,400.0,366.0
prithivMLmods/Llama-3.2-3B-Math-Oct,0.2,400.0,177.0
prithivMLmods/SmolLM2-CoT-360M,0.2,400.0,276.0
qingy2019/LLaMa_3.2_3B_Catalysts,0.2,400.0,151.0
shastraai/Shastra-LLAMA2-Math-Commonsense-SFT,0.2,400.0,218.0
suayptalha/Komodo-Llama-3.2-3B-v2-fp16,0.2,400.0,294.0
sumink/Qwenmplus,0.2,400.0,210.0
sumink/bbhqwen6,0.2,400.0,527.0
tangledgroup/tangled-llama-pints-1.5b-v0.2-instruct,0.2,400.0,313.0
theprint/ReWiz-Llama-3.2-3B,0.2,400.0,142.0
vhab10/Llama-3.2-Instruct-3B-TIES,0.2,400.0,246.0
voidful/smol-360m-ft,0.2,400.0,339.0
vonjack/Phi-3.5-mini-instruct-hermes-fc-json,0.2,400.0,441.0
vonjack/Qwen2.5-Coder-0.5B-Merged,0.2,400.0,374.0
win10/Llama-3.2-3B-Instruct-24-9-29,0.2,400.0,389.0
win10/Qwen2.5-2B-Instruct,0.2,400.0,223.0
